NOMBRE,FECHA,PP,T
VISCA VISCA,2026-01-15 22:00:00,,
VISCA VISCA,2026-01-14 11:00:00,,
VISCA VISCA,2026-01-14 12:00:00,,
VISCA VISCA,2026-01-14 13:00:00,,
VISCA VISCA,2026-01-14 14:00:00,,
VISCA VISCA,2026-01-14 15:00:00,,
VISCA VISCA,2026-01-14 16:00:00,,
VISCA VISCA,2026-01-14 17:00:00,,
VISCA VISCA,2026-01-14 18:00:00,,
VISCA VISCA,2026-01-14 19:00:00,,
VISCA VISCA,2026-02-10 20:00:00,,
VISCA VISCA,2026-02-10 22:00:00,0.0,4.0
VISCA VISCA,2026-02-11 00:00:00,0.0,4.5
VISCA VISCA,2026-02-11 05:00:00,0.0,3.6
VISCA VISCA,2026-02-11 06:00:00,0.0,3.6
VISCA VISCA,2026-02-11 07:00:00,0.0,3.6
VISCA VISCA,2026-02-11 08:00:00,0.0,3.6
