NOMBRE,FECHA,PP,T
ACJANACO,2026-02-12 06:00:00,0.0,6.1
ACJANACO,2026-02-12 07:00:00,0.0,7.0
ACJANACO,2026-02-12 08:00:00,0.0,8.0
ACJANACO,2026-02-12 09:00:00,0.0,10.5
ACJANACO,2026-02-12 10:00:00,0.0,11.2
ACJANACO,2026-02-12 11:00:00,0.0,12.5
ACJANACO,2026-02-12 12:00:00,0.0,13.2
ACJANACO,2026-02-12 13:00:00,0.0,12.3
ACJANACO,2026-02-12 14:00:00,0.0,11.7
ACJANACO,2026-02-12 15:00:00,0.0,15.2
ACJANACO,2026-02-12 16:00:00,0.0,14.8
ACJANACO,2026-02-12 17:00:00,0.0,14.1
ACJANACO,2026-02-12 18:00:00,0.0,13.4
ACJANACO,2026-02-12 19:00:00,0.0,11.0
ACJANACO,2026-02-12 20:00:00,0.0,7.8
ACJANACO,2026-02-12 21:00:00,0.0,7.0
ACJANACO,2026-02-12 22:00:00,0.0,7.1
ACJANACO,2026-02-12 23:00:00,0.0,7.1
ACJANACO,2026-02-13 00:00:00,0.0,7.1
ACJANACO,2026-02-13 01:00:00,0.0,7.3
ACJANACO,2026-02-13 02:00:00,0.0,7.0
ACJANACO,2026-02-13 03:00:00,0.0,7.1
ACJANACO,2026-02-13 04:00:00,0.0,6.9
ACJANACO,2026-02-13 05:00:00,0.0,6.6
ACJANACO,2026-02-13 06:00:00,0.0,6.4
ACJANACO,2026-02-13 07:00:00,0.2,6.0
ACJANACO,2026-02-13 08:00:00,0.2,6.6
ACJANACO,2026-02-13 09:00:00,0.0,8.3
ACJANACO,2026-02-13 10:00:00,0.0,9.4
ACJANACO,2026-02-13 11:00:00,0.0,10.1
ACJANACO,2026-02-13 12:00:00,0.0,11.3
ACJANACO,2026-02-13 13:00:00,0.0,14.3
ACJANACO,2026-02-13 14:00:00,0.0,16.5
ACJANACO,2026-02-13 15:00:00,0.0,15.4
ACJANACO,2026-02-13 16:00:00,0.0,13.5
ACJANACO,2026-02-13 17:00:00,0.0,10.7
ACJANACO,2026-02-13 18:00:00,0.0,9.6
ACJANACO,2026-02-13 19:00:00,0.0,8.9
ACJANACO,2026-02-13 20:00:00,0.0,7.7
ACJANACO,2026-02-13 21:00:00,0.0,7.7
ACJANACO,2026-02-13 22:00:00,0.0,7.3
ACJANACO,2026-02-13 23:00:00,0.0,7.6
ACJANACO,2026-02-14 00:00:00,0.0,8.3
ACJANACO,2026-02-14 01:00:00,0.0,8.3
ACJANACO,2026-02-14 02:00:00,0.0,7.8
ACJANACO,2026-02-14 03:00:00,0.0,7.7
ACJANACO,2026-02-14 04:00:00,0.0,7.6
ACJANACO,2026-02-14 05:00:00,0.0,7.3
ACJANACO,2026-02-14 06:00:00,0.8,7.5
ACJANACO,2026-02-14 07:00:00,2.0,7.3
ACJANACO,2026-02-14 08:00:00,2.0,7.2
ACJANACO,2026-02-14 09:00:00,0.8,7.4
ACJANACO,2026-02-14 10:00:00,0.4,8.4
ACJANACO,2026-02-14 11:00:00,0.0,9.3
ACJANACO,2026-02-14 12:00:00,0.0,9.4
ACJANACO,2026-02-14 13:00:00,0.0,11.0
ACJANACO,2026-02-14 14:00:00,0.4,10.3
ACJANACO,2026-02-14 15:00:00,0.0,10.8
ACJANACO,2026-02-14 16:00:00,0.0,12.1
ACJANACO,2026-02-14 17:00:00,0.0,12.3
ACJANACO,2026-02-14 18:00:00,0.0,10.0
ACJANACO,2026-02-14 19:00:00,0.4,8.9
ACJANACO,2026-02-14 20:00:00,0.8,8.0
ACJANACO,2026-02-14 21:00:00,4.0,7.7
ACJANACO,2026-02-14 22:00:00,2.4,7.4
ACJANACO,2026-02-14 23:00:00,0.0,7.3
ACJANACO,2026-02-15 00:00:00,0.4,7.2
ACJANACO,2026-02-15 01:00:00,0.8,7.2
ACJANACO,2026-02-15 02:00:00,0.4,6.8
ACJANACO,2026-02-15 03:00:00,0.4,6.8
ACJANACO,2026-02-15 04:00:00,0.0,6.5
ACJANACO,2026-02-15 05:00:00,0.0,6.2
ACJANACO,2026-02-15 06:00:00,0.0,6.2
ACJANACO,2026-02-15 07:00:00,0.0,5.9
ACJANACO,2026-02-15 08:00:00,0.0,6.3
ACJANACO,2026-02-15 09:00:00,0.0,8.0
ACJANACO,2026-02-15 10:00:00,0.0,8.9
ACJANACO,2026-02-15 11:00:00,0.0,9.7
ACJANACO,2026-02-15 12:00:00,0.0,10.4
ACJANACO,2026-02-15 13:00:00,0.0,10.5
ACJANACO,2026-02-15 14:00:00,0.0,11.4
ACJANACO,2026-02-15 15:00:00,0.0,11.3
