NOMBRE,FECHA,PP,T
MACHUPICCHU,2026-02-08 15:00:00,0.0,16.8
MACHUPICCHU,2026-02-08 16:00:00,0.0,18.6
MACHUPICCHU,2026-02-08 17:00:00,0.0,21.1
MACHUPICCHU,2026-02-08 18:00:00,0.0,18.1
MACHUPICCHU,2026-02-09 08:00:00,0.0,12.9
MACHUPICCHU,2026-02-09 09:00:00,0.0,14.7
MACHUPICCHU,2026-02-09 10:00:00,0.0,18.2
MACHUPICCHU,2026-02-09 11:00:00,0.0,20.4
MACHUPICCHU,2026-02-09 12:00:00,0.0,23.1
MACHUPICCHU,2026-02-09 13:00:00,0.0,24.5
MACHUPICCHU,2026-02-09 14:00:00,0.0,26.3
MACHUPICCHU,2026-02-09 15:00:00,0.0,24.8
MACHUPICCHU,2026-02-09 16:00:00,0.0,26.1
MACHUPICCHU,2026-02-09 17:00:00,0.0,25.0
MACHUPICCHU,2026-02-09 18:00:00,0.0,22.1
MACHUPICCHU,2026-02-09 19:00:00,,4.7
MACHUPICCHU,2026-02-09 20:00:00,0.0,16.2
MACHUPICCHU,2026-02-09 21:00:00,0.0,15.8
MACHUPICCHU,2026-02-09 22:00:00,0.0,15.5
MACHUPICCHU,2026-02-09 23:00:00,0.0,15.4
MACHUPICCHU,2026-02-10 00:00:00,0.0,14.9
MACHUPICCHU,2026-02-10 09:00:00,0.0,
MACHUPICCHU,2026-02-10 10:00:00,0.0,18.2
MACHUPICCHU,2026-02-10 11:00:00,0.0,20.0
MACHUPICCHU,2026-02-10 12:00:00,0.0,24.1
MACHUPICCHU,2026-02-10 13:00:00,0.0,24.5
MACHUPICCHU,2026-02-12 09:00:00,,
MACHUPICCHU,2026-02-12 11:00:00,,
MACHUPICCHU,2026-02-13 10:00:00,0.0,
MACHUPICCHU,2026-02-13 11:00:00,0.0,20.1
MACHUPICCHU,2026-02-13 12:00:00,0.0,20.6
MACHUPICCHU,2026-02-13 13:00:00,0.0,19.0
MACHUPICCHU,2026-02-13 14:00:00,0.0,18.1
