NOMBRE,FECHA,PP,T
CASAPALCA,2026-01-14 12:00:00,0.0,8.4
CASAPALCA,2026-01-14 13:00:00,0.4,8.8
CASAPALCA,2026-01-14 14:00:00,0.3,8.1
CASAPALCA,2026-01-14 15:00:00,0.1,5.7
CASAPALCA,2026-01-14 16:00:00,0.2,5.3
CASAPALCA,2026-01-14 17:00:00,5.3,3.5
CASAPALCA,2026-01-14 18:00:00,4.0,1.7
CASAPALCA,2026-01-14 19:00:00,4.0,1.7
CASAPALCA,2026-01-14 20:00:00,1.4,0.6
CASAPALCA,2026-01-14 21:00:00,0.5,1.4
CASAPALCA,2026-01-14 22:00:00,0.8,2.2
CASAPALCA,2026-01-14 23:00:00,1.0,2.8
CASAPALCA,2026-01-15 00:00:00,1.4,3.1
CASAPALCA,2026-01-15 01:00:00,0.9,3.2
CASAPALCA,2026-01-15 02:00:00,1.6,3.3
CASAPALCA,2026-01-15 03:00:00,0.7,3.4
CASAPALCA,2026-01-15 04:00:00,0.0,3.2
CASAPALCA,2026-01-15 05:00:00,0.0,2.7
CASAPALCA,2026-01-15 06:00:00,0.0,3.6
CASAPALCA,2026-01-15 07:00:00,0.0,3.8
CASAPALCA,2026-01-15 08:00:00,0.0,4.6
CASAPALCA,2026-01-15 09:00:00,0.0,7.5
CASAPALCA,2026-01-15 10:00:00,0.1,7.0
CASAPALCA,2026-01-15 16:00:00,6.0,3.7
CASAPALCA,2026-01-15 17:00:00,4.7,3.7
CASAPALCA,2026-01-15 11:00:00,0.3,7.2
CASAPALCA,2026-01-15 12:00:00,0.3,7.2
CASAPALCA,2026-01-15 13:00:00,0.0,11.6
CASAPALCA,2026-01-15 14:00:00,0.7,7.2
CASAPALCA,2026-01-15 15:00:00,4.8,4.2
CASAPALCA,2026-01-15 18:00:00,2.9,1.8
CASAPALCA,2026-01-15 19:00:00,2.9,1.8
CASAPALCA,2026-01-15 20:00:00,1.8,1.0
CASAPALCA,2026-01-15 21:00:00,1.9,1.1
CASAPALCA,2026-01-15 22:00:00,1.7,1.4
CASAPALCA,2026-01-15 23:00:00,1.5,1.5
CASAPALCA,2026-01-16 02:00:00,0.7,2.1
CASAPALCA,2026-01-16 03:00:00,1.1,1.7
CASAPALCA,2026-01-16 04:00:00,0.8,1.6
CASAPALCA,2026-01-16 05:00:00,0.1,2.0
CASAPALCA,2026-01-16 06:00:00,0.0,2.8
CASAPALCA,2026-01-16 07:00:00,0.0,3.3
CASAPALCA,2026-01-16 08:00:00,0.0,4.5
CASAPALCA,2026-01-16 09:00:00,0.0,7.7
CASAPALCA,2026-01-16 10:00:00,0.0,8.8
CASAPALCA,2026-01-16 11:00:00,0.0,9.3
CASAPALCA,2026-01-16 12:00:00,0.0,10.3
CASAPALCA,2026-01-16 13:00:00,0.0,11.0
CASAPALCA,2026-01-16 14:00:00,0.0,11.2
CASAPALCA,2026-01-16 17:00:00,0.0,7.7
CASAPALCA,2026-01-16 18:00:00,0.1,6.1
CASAPALCA,2026-01-16 19:00:00,0.1,6.1
CASAPALCA,2026-01-16 20:00:00,0.0,4.0
CASAPALCA,2026-01-16 21:00:00,0.0,4.1
CASAPALCA,2026-01-16 22:00:00,0.0,3.6
CASAPALCA,2026-01-16 23:00:00,0.0,3.8
CASAPALCA,2026-01-17 00:00:00,0.0,4.3
