NOMBRE,FECHA,PP,T
PUENTE COINA,2026-01-14 12:00:00,0.0,21.1
PUENTE COINA,2026-01-14 13:00:00,0.0,20.8
PUENTE COINA,2026-01-14 14:00:00,0.0,20.7
PUENTE COINA,2026-01-14 15:00:00,0.0,20.8
PUENTE COINA,2026-01-14 16:00:00,0.0,20.3
PUENTE COINA,2026-01-14 17:00:00,0.0,19.4
PUENTE COINA,2026-01-14 18:00:00,0.0,17.7
PUENTE COINA,2026-01-14 19:00:00,0.0,16.6
PUENTE COINA,2026-01-14 20:00:00,0.2,16.3
PUENTE COINA,2026-01-14 21:00:00,0.1,16.2
PUENTE COINA,2026-01-14 22:00:00,0.6,16.2
PUENTE COINA,2026-01-14 23:00:00,0.4,16.1
PUENTE COINA,2026-01-15 00:00:00,0.3,16.2
PUENTE COINA,2026-01-15 01:00:00,2.5,16.0
PUENTE COINA,2026-01-15 02:00:00,0.3,15.9
PUENTE COINA,2026-01-15 03:00:00,0.1,15.8
PUENTE COINA,2026-01-15 04:00:00,0.0,15.2
PUENTE COINA,2026-01-15 05:00:00,0.0,15.1
PUENTE COINA,2026-01-15 06:00:00,0.0,15.0
PUENTE COINA,2026-01-15 07:00:00,0.0,14.9
PUENTE COINA,2026-01-15 08:00:00,0.0,14.9
PUENTE COINA,2026-01-15 09:00:00,0.0,15.2
PUENTE COINA,2026-01-15 10:00:00,0.1,15.7
PUENTE COINA,2026-01-15 16:00:00,0.2,15.5
PUENTE COINA,2026-01-15 17:00:00,4.7,15.0
PUENTE COINA,2026-01-15 11:00:00,0.0,16.3
PUENTE COINA,2026-01-15 12:00:00,0.0,17.1
PUENTE COINA,2026-01-15 13:00:00,2.5,15.8
PUENTE COINA,2026-01-15 14:00:00,0.2,15.8
PUENTE COINA,2026-01-15 15:00:00,0.1,15.4
PUENTE COINA,2026-01-15 18:00:00,3.3,15.0
PUENTE COINA,2026-01-15 19:00:00,2.2,14.9
PUENTE COINA,2026-01-15 20:00:00,0.5,15.0
PUENTE COINA,2026-01-15 21:00:00,0.2,14.9
PUENTE COINA,2026-01-15 22:00:00,2.5,15.0
PUENTE COINA,2026-01-15 23:00:00,0.1,14.9
PUENTE COINA,2026-01-16 02:00:00,0.0,14.7
PUENTE COINA,2026-01-16 03:00:00,0.0,14.6
PUENTE COINA,2026-01-16 04:00:00,0.0,14.6
PUENTE COINA,2026-01-16 05:00:00,0.0,14.6
PUENTE COINA,2026-01-16 06:00:00,0.0,14.6
PUENTE COINA,2026-01-16 07:00:00,0.1,14.5
PUENTE COINA,2026-01-16 08:00:00,0.0,16.3
PUENTE COINA,2026-01-16 09:00:00,0.0,19.2
PUENTE COINA,2026-01-16 10:00:00,0.0,19.3
PUENTE COINA,2026-01-16 11:00:00,0.0,20.3
PUENTE COINA,2026-01-16 12:00:00,0.0,20.8
PUENTE COINA,2026-01-16 13:00:00,0.0,21.5
PUENTE COINA,2026-01-16 17:00:00,0.0,19.0
PUENTE COINA,2026-01-16 18:00:00,1.3,17.6
PUENTE COINA,2026-01-16 19:00:00,0.5,16.8
PUENTE COINA,2026-01-16 20:00:00,0.4,16.6
PUENTE COINA,2026-01-16 21:00:00,1.3,16.3
PUENTE COINA,2026-01-16 22:00:00,0.1,16.0
PUENTE COINA,2026-01-16 23:00:00,0.4,16.0
PUENTE COINA,2026-01-17 00:00:00,0.0,15.9
PUENTE COINA,2026-01-17 01:00:00,0.3,15.9
PUENTE COINA,2026-01-17 02:00:00,0.8,16.0
PUENTE COINA,2026-01-17 03:00:00,0.3,15.9
PUENTE COINA,2026-01-17 04:00:00,0.0,15.7
PUENTE COINA,2026-01-17 05:00:00,0.0,15.6
PUENTE COINA,2026-01-17 06:00:00,0.0,15.4
PUENTE COINA,2026-01-17 07:00:00,0.0,15.4
PUENTE COINA,2026-01-17 08:00:00,0.0,16.2
PUENTE COINA,2026-01-17 09:00:00,0.0,19.9
PUENTE COINA,2026-01-17 10:00:00,0.0,19.7
PUENTE COINA,2026-01-17 11:00:00,0.0,21.5
PUENTE COINA,2026-01-17 12:00:00,0.0,22.7
PUENTE COINA,2026-01-17 13:00:00,0.0,24.2
PUENTE COINA,2026-01-17 14:00:00,0.0,23.1
PUENTE COINA,2026-01-17 15:00:00,0.0,23.2
PUENTE COINA,2026-01-17 16:00:00,0.0,22.3
PUENTE COINA,2026-01-17 17:00:00,0.0,21.6
PUENTE COINA,2026-01-17 18:00:00,0.3,19.3
PUENTE COINA,2026-01-17 19:00:00,0.0,18.6
PUENTE COINA,2026-01-17 20:00:00,0.0,18.2
PUENTE COINA,2026-01-17 21:00:00,0.5,18.1
PUENTE COINA,2026-01-17 22:00:00,0.0,17.4
PUENTE COINA,2026-01-17 23:00:00,2.4,17.2
PUENTE COINA,2026-01-18 00:00:00,0.0,16.9
PUENTE COINA,2026-01-18 01:00:00,1.4,16.7
PUENTE COINA,2026-01-18 02:00:00,0.0,16.6
PUENTE COINA,2026-01-18 03:00:00,0.0,16.4
PUENTE COINA,2026-01-18 04:00:00,0.0,16.0
PUENTE COINA,2026-01-18 05:00:00,0.0,15.9
PUENTE COINA,2026-01-18 06:00:00,0.0,16.0
PUENTE COINA,2026-01-18 07:00:00,0.0,16.0
PUENTE COINA,2026-01-18 08:00:00,0.0,17.0
PUENTE COINA,2026-01-18 09:00:00,0.0,18.2
PUENTE COINA,2026-01-18 10:00:00,0.0,21.0
PUENTE COINA,2026-01-18 11:00:00,0.0,24.2
PUENTE COINA,2026-01-18 12:00:00,0.0,24.9
PUENTE COINA,2026-01-18 13:00:00,0.0,22.4
PUENTE COINA,2026-01-18 14:00:00,0.0,21.0
PUENTE COINA,2026-01-18 15:00:00,0.0,20.4
PUENTE COINA,2026-01-18 16:00:00,0.0,19.6
PUENTE COINA,2026-01-18 17:00:00,0.0,18.8
PUENTE COINA,2026-01-18 18:00:00,0.0,18.7
PUENTE COINA,2026-01-18 19:00:00,0.1,18.7
PUENTE COINA,2026-01-18 20:00:00,1.9,18.0
PUENTE COINA,2026-01-18 21:00:00,0.2,17.7
PUENTE COINA,2026-01-18 22:00:00,0.0,17.4
PUENTE COINA,2026-01-18 23:00:00,1.1,17.2
PUENTE COINA,2026-01-19 00:00:00,1.4,16.6
PUENTE COINA,2026-01-19 01:00:00,2.5,16.3
PUENTE COINA,2026-01-19 02:00:00,0.5,15.9
PUENTE COINA,2026-01-19 03:00:00,0.0,15.9
PUENTE COINA,2026-01-19 04:00:00,0.0,15.8
PUENTE COINA,2026-01-19 05:00:00,0.0,15.6
PUENTE COINA,2026-01-19 06:00:00,0.1,15.7
PUENTE COINA,2026-01-19 07:00:00,0.0,15.9
PUENTE COINA,2026-01-19 08:00:00,0.0,16.5
PUENTE COINA,2026-01-19 09:00:00,0.0,18.3
PUENTE COINA,2026-01-19 10:00:00,0.0,19.4
PUENTE COINA,2026-01-19 11:00:00,0.0,21.1
PUENTE COINA,2026-01-19 12:00:00,0.0,21.0
PUENTE COINA,2026-01-19 13:00:00,0.0,21.9
PUENTE COINA,2026-01-19 14:00:00,0.0,22.0
PUENTE COINA,2026-01-19 15:00:00,0.0,21.1
PUENTE COINA,2026-01-19 16:00:00,0.0,20.1
PUENTE COINA,2026-01-19 17:00:00,0.0,20.1
PUENTE COINA,2026-01-19 18:00:00,1.0,19.1
PUENTE COINA,2026-01-19 19:00:00,1.3,18.0
PUENTE COINA,2026-01-19 20:00:00,0.3,17.8
PUENTE COINA,2026-01-19 21:00:00,0.9,17.4
PUENTE COINA,2026-01-19 22:00:00,0.1,17.3
PUENTE COINA,2026-01-19 23:00:00,0.3,17.2
PUENTE COINA,2026-01-20 00:00:00,0.9,17.2
PUENTE COINA,2026-01-20 01:00:00,0.1,16.9
PUENTE COINA,2026-01-20 02:00:00,0.0,16.7
PUENTE COINA,2026-01-20 03:00:00,0.0,16.3
PUENTE COINA,2026-01-20 04:00:00,0.0,15.9
PUENTE COINA,2026-01-20 05:00:00,0.0,16.0
PUENTE COINA,2026-01-20 06:00:00,0.0,16.1
PUENTE COINA,2026-01-20 07:00:00,0.0,16.1
PUENTE COINA,2026-01-20 08:00:00,0.0,16.4
PUENTE COINA,2026-01-20 09:00:00,0.0,17.9
PUENTE COINA,2026-01-20 10:00:00,0.0,19.2
PUENTE COINA,2026-01-20 11:00:00,0.0,20.5
PUENTE COINA,2026-01-20 12:00:00,0.0,21.0
PUENTE COINA,2026-01-20 13:00:00,0.0,22.6
PUENTE COINA,2026-01-20 14:00:00,0.0,22.9
PUENTE COINA,2026-01-20 15:00:00,0.0,23.8
PUENTE COINA,2026-01-20 16:00:00,0.0,22.2
PUENTE COINA,2026-01-20 17:00:00,0.0,21.4
PUENTE COINA,2026-01-20 18:00:00,2.0,18.9
PUENTE COINA,2026-01-20 19:00:00,0.4,18.1
PUENTE COINA,2026-01-20 20:00:00,0.3,17.7
PUENTE COINA,2026-01-20 21:00:00,0.0,17.6
PUENTE COINA,2026-01-20 22:00:00,0.0,17.4
PUENTE COINA,2026-01-20 23:00:00,0.0,17.0
PUENTE COINA,2026-01-21 00:00:00,0.0,16.9
PUENTE COINA,2026-01-21 01:00:00,0.0,16.7
PUENTE COINA,2026-01-21 02:00:00,0.0,16.5
PUENTE COINA,2026-01-21 03:00:00,0.0,16.6
PUENTE COINA,2026-01-21 04:00:00,0.0,16.4
PUENTE COINA,2026-01-21 05:00:00,0.0,16.4
PUENTE COINA,2026-01-21 06:00:00,0.0,16.5
PUENTE COINA,2026-01-21 07:00:00,0.0,16.5
PUENTE COINA,2026-01-21 08:00:00,0.0,16.7
PUENTE COINA,2026-01-21 10:00:00,0.0,19.1
PUENTE COINA,2026-01-21 11:00:00,0.0,19.3
PUENTE COINA,2026-01-21 13:00:00,0.0,22.2
PUENTE COINA,2026-01-21 14:00:00,0.0,20.5
PUENTE COINA,2026-01-21 17:00:00,0.0,18.4
PUENTE COINA,2026-01-21 18:00:00,0.0,18.1
PUENTE COINA,2026-01-21 19:00:00,0.1,17.1
PUENTE COINA,2026-01-21 20:00:00,0.0,16.7
PUENTE COINA,2026-01-21 21:00:00,0.0,16.6
PUENTE COINA,2026-01-21 22:00:00,0.0,16.7
PUENTE COINA,2026-01-21 23:00:00,0.0,16.2
PUENTE COINA,2026-01-22 00:00:00,0.0,15.5
PUENTE COINA,2026-01-22 01:00:00,0.0,15.2
PUENTE COINA,2026-01-22 02:00:00,0.0,15.1
PUENTE COINA,2026-01-22 03:00:00,0.0,15.2
PUENTE COINA,2026-01-22 04:00:00,0.0,15.3
PUENTE COINA,2026-01-22 05:00:00,0.1,15.5
PUENTE COINA,2026-01-22 06:00:00,0.0,15.6
PUENTE COINA,2026-01-22 07:00:00,0.0,15.6
PUENTE COINA,2026-01-22 08:00:00,0.0,16.0
PUENTE COINA,2026-01-22 10:00:00,0.0,19.9
PUENTE COINA,2026-01-22 11:00:00,0.0,19.7
PUENTE COINA,2026-01-22 12:00:00,0.0,20.6
PUENTE COINA,2026-01-22 13:00:00,0.0,20.8
PUENTE COINA,2026-01-22 14:00:00,0.0,20.0
PUENTE COINA,2026-01-22 15:00:00,0.0,19.5
PUENTE COINA,2026-01-22 16:00:00,0.0,18.5
PUENTE COINA,2026-01-22 17:00:00,0.0,18.5
PUENTE COINA,2026-01-22 18:00:00,0.0,18.3
PUENTE COINA,2026-01-22 19:00:00,0.0,17.9
PUENTE COINA,2026-01-22 20:00:00,0.0,17.5
PUENTE COINA,2026-01-22 21:00:00,0.0,17.3
PUENTE COINA,2026-01-22 22:00:00,0.0,17.2
PUENTE COINA,2026-01-22 23:00:00,0.0,16.7
PUENTE COINA,2026-01-23 00:00:00,0.0,16.3
PUENTE COINA,2026-01-23 01:00:00,0.0,16.3
PUENTE COINA,2026-01-23 02:00:00,0.0,16.1
PUENTE COINA,2026-01-23 03:00:00,0.0,15.9
PUENTE COINA,2026-01-23 04:00:00,0.0,15.8
PUENTE COINA,2026-01-23 05:00:00,0.0,15.8
PUENTE COINA,2026-01-23 06:00:00,0.0,15.3
PUENTE COINA,2026-01-23 07:00:00,0.0,14.4
PUENTE COINA,2026-01-23 08:00:00,0.0,16.6
PUENTE COINA,2026-01-23 09:00:00,0.0,19.2
PUENTE COINA,2026-01-23 10:00:00,0.0,20.1
PUENTE COINA,2026-01-23 11:00:00,0.0,22.1
PUENTE COINA,2026-01-23 12:00:00,0.0,22.4
