NOMBRE,FECHA,PP,T
HUALCUY,2026-01-14 11:00:00,0.0,18.4
HUALCUY,2026-01-14 12:00:00,0.0,19.9
HUALCUY,2026-01-14 13:00:00,1.7,20.2
HUALCUY,2026-01-14 14:00:00,12.7,17.9
HUALCUY,2026-01-14 15:00:00,1.4,17.4
HUALCUY,2026-01-14 16:00:00,1.9,16.9
HUALCUY,2026-01-14 17:00:00,0.0,17.2
HUALCUY,2026-01-14 18:00:00,0.0,16.5
HUALCUY,2026-01-14 19:00:00,0.0,15.8
HUALCUY,2026-01-14 20:00:00,0.0,15.3
HUALCUY,2026-01-14 21:00:00,0.0,15.1
HUALCUY,2026-01-14 22:00:00,0.0,14.9
HUALCUY,2026-01-14 23:00:00,0.0,14.9
HUALCUY,2026-01-15 00:00:00,0.2,14.8
HUALCUY,2026-01-15 01:00:00,0.3,14.6
HUALCUY,2026-01-15 02:00:00,0.2,14.5
HUALCUY,2026-01-15 03:00:00,0.6,14.4
HUALCUY,2026-01-15 04:00:00,0.0,14.4
HUALCUY,2026-01-15 05:00:00,1.0,14.2
HUALCUY,2026-01-15 06:00:00,3.4,14.0
HUALCUY,2026-01-15 07:00:00,0.4,13.9
HUALCUY,2026-01-15 08:00:00,0.1,14.0
HUALCUY,2026-01-15 09:00:00,0.1,14.4
HUALCUY,2026-01-15 10:00:00,0.0,15.0
HUALCUY,2026-01-15 15:00:00,0.4,15.4
HUALCUY,2026-01-15 16:00:00,0.8,15.2
HUALCUY,2026-01-15 11:00:00,0.0,15.4
HUALCUY,2026-01-15 12:00:00,0.1,16.1
HUALCUY,2026-01-15 13:00:00,0.0,16.1
HUALCUY,2026-01-15 14:00:00,1.1,15.7
HUALCUY,2026-01-15 17:00:00,3.0,14.9
HUALCUY,2026-01-15 18:00:00,3.5,14.6
HUALCUY,2026-01-15 19:00:00,4.2,14.3
HUALCUY,2026-01-15 21:00:00,2.2,14.2
HUALCUY,2026-01-15 22:00:00,1.0,14.1
HUALCUY,2026-01-15 23:00:00,0.1,14.1
HUALCUY,2026-01-16 02:00:00,2.0,13.7
HUALCUY,2026-01-16 03:00:00,0.2,13.7
HUALCUY,2026-01-16 04:00:00,0.1,13.7
HUALCUY,2026-01-16 05:00:00,0.2,13.7
HUALCUY,2026-01-16 06:00:00,0.0,13.7
HUALCUY,2026-01-16 07:00:00,0.0,13.8
HUALCUY,2026-01-16 08:00:00,0.0,14.4
HUALCUY,2026-01-16 09:00:00,0.0,15.4
HUALCUY,2026-01-16 10:00:00,0.1,16.4
HUALCUY,2026-01-16 11:00:00,0.0,18.6
HUALCUY,2026-01-16 12:00:00,0.0,19.9
HUALCUY,2026-01-16 13:00:00,2.8,19.0
HUALCUY,2026-01-16 14:00:00,4.1,17.9
HUALCUY,2026-01-16 15:00:00,0.0,19.3
HUALCUY,2026-01-16 16:00:00,0.0,19.3
HUALCUY,2026-01-16 17:00:00,5.9,17.6
HUALCUY,2026-01-16 18:00:00,0.1,16.3
HUALCUY,2026-01-16 19:00:00,0.0,15.3
HUALCUY,2026-01-16 20:00:00,,
HUALCUY,2026-01-16 21:00:00,0.0,15.0
HUALCUY,2026-01-16 22:00:00,0.0,15.3
HUALCUY,2026-01-16 23:00:00,0.0,15.2
HUALCUY,2026-01-17 00:00:00,0.0,15.1
HUALCUY,2026-01-17 01:00:00,0.0,15.0
HUALCUY,2026-01-17 02:00:00,0.0,15.1
HUALCUY,2026-01-17 03:00:00,0.1,14.9
HUALCUY,2026-01-17 04:00:00,0.0,14.5
HUALCUY,2026-01-17 05:00:00,0.0,14.4
HUALCUY,2026-01-17 06:00:00,0.0,14.4
HUALCUY,2026-01-17 07:00:00,0.0,14.5
HUALCUY,2026-01-17 08:00:00,0.0,15.0
HUALCUY,2026-01-17 09:00:00,0.0,15.7
HUALCUY,2026-01-17 10:00:00,0.0,17.4
HUALCUY,2026-01-17 11:00:00,0.0,19.1
HUALCUY,2026-01-17 12:00:00,0.0,19.8
HUALCUY,2026-01-17 13:00:00,0.0,20.6
HUALCUY,2026-01-17 14:00:00,0.0,20.7
HUALCUY,2026-01-17 15:00:00,0.0,20.2
HUALCUY,2026-01-17 16:00:00,1.3,18.9
HUALCUY,2026-01-17 17:00:00,0.0,18.0
HUALCUY,2026-01-17 18:00:00,0.1,16.9
HUALCUY,2026-01-17 19:00:00,0.0,16.2
HUALCUY,2026-01-17 20:00:00,0.0,16.0
HUALCUY,2026-01-17 21:00:00,0.0,15.8
HUALCUY,2026-01-17 22:00:00,0.0,15.4
HUALCUY,2026-01-17 23:00:00,0.1,15.1
HUALCUY,2026-01-18 00:00:00,0.0,15.0
HUALCUY,2026-01-18 01:00:00,0.0,14.9
HUALCUY,2026-01-18 02:00:00,0.0,14.3
HUALCUY,2026-01-18 03:00:00,0.0,14.1
HUALCUY,2026-01-18 04:00:00,0.0,14.1
HUALCUY,2026-01-18 05:00:00,0.1,14.7
HUALCUY,2026-01-18 06:00:00,0.0,14.0
HUALCUY,2026-01-18 07:00:00,0.0,13.8
HUALCUY,2026-01-18 08:00:00,0.0,14.9
HUALCUY,2026-01-18 09:00:00,0.0,17.5
HUALCUY,2026-01-18 10:00:00,0.0,19.6
HUALCUY,2026-01-18 11:00:00,0.0,21.5
HUALCUY,2026-01-18 12:00:00,0.0,22.3
HUALCUY,2026-01-18 13:00:00,0.0,22.4
HUALCUY,2026-01-18 14:00:00,0.0,23.6
HUALCUY,2026-01-18 15:00:00,0.0,22.3
HUALCUY,2026-01-18 16:00:00,0.0,20.0
HUALCUY,2026-01-18 17:00:00,0.0,19.0
HUALCUY,2026-01-18 18:00:00,0.0,18.5
HUALCUY,2026-01-18 19:00:00,0.0,16.6
HUALCUY,2026-01-18 20:00:00,0.0,
HUALCUY,2026-01-18 21:00:00,0.0,15.6
