NOMBRE,FECHA,PP,T
TINAJONES,2026-01-14 11:00:00,0.0,27.7
TINAJONES,2026-01-14 12:00:00,0.0,28.7
TINAJONES,2026-01-14 13:00:00,0.0,29.9
TINAJONES,2026-01-14 14:00:00,0.0,30.9
TINAJONES,2026-01-14 15:00:00,0.0,30.7
TINAJONES,2026-01-14 16:00:00,0.0,29.5
TINAJONES,2026-01-14 17:00:00,0.0,28.1
TINAJONES,2026-01-14 18:00:00,0.0,27.2
TINAJONES,2026-01-14 19:00:00,0.0,26.5
TINAJONES,2026-01-14 20:00:00,0.0,25.5
TINAJONES,2026-01-14 21:00:00,0.0,23.7
TINAJONES,2026-01-14 22:00:00,0.0,22.6
TINAJONES,2026-01-14 23:00:00,0.0,22.7
TINAJONES,2026-01-15 00:00:00,0.0,22.7
TINAJONES,2026-01-15 01:00:00,0.0,22.6
TINAJONES,2026-01-15 02:00:00,0.0,22.3
TINAJONES,2026-01-15 03:00:00,0.0,22.4
TINAJONES,2026-01-15 04:00:00,0.0,21.9
TINAJONES,2026-01-15 05:00:00,0.0,21.5
TINAJONES,2026-01-15 06:00:00,0.0,21.4
TINAJONES,2026-01-15 10:00:00,0.0,22.0
TINAJONES,2026-01-15 11:00:00,0.0,23.8
TINAJONES,2026-01-15 12:00:00,0.0,25.4
TINAJONES,2026-01-14 07:00:00,0.0,21.7
TINAJONES,2026-01-14 08:00:00,0.0,22.1
TINAJONES,2026-01-14 09:00:00,0.0,23.6
TINAJONES,2026-01-14 10:00:00,0.0,26.1
TINAJONES,2026-01-15 21:00:00,0.3,20.4
TINAJONES,2026-01-15 22:00:00,0.0,20.5
TINAJONES,2026-01-16 03:00:00,0.1,20.7
TINAJONES,2026-01-16 10:00:00,0.0,25.2
TINAJONES,2026-01-16 11:00:00,0.0,26.9
TINAJONES,2026-01-16 12:00:00,0.0,28.0
TINAJONES,2026-01-16 13:00:00,0.0,29.3
TINAJONES,2026-01-16 14:00:00,0.0,29.4
TINAJONES,2026-01-16 20:00:00,0.0,23.8
TINAJONES,2026-01-17 02:00:00,0.0,21.3
TINAJONES,2026-01-17 09:00:00,0.0,25.0
TINAJONES,2026-01-17 10:00:00,0.0,26.6
TINAJONES,2026-01-17 11:00:00,0.0,28.0
TINAJONES,2026-01-17 12:00:00,0.0,29.2
TINAJONES,2026-01-17 13:00:00,0.0,30.6
TINAJONES,2026-01-17 14:00:00,0.0,30.5
TINAJONES,2026-01-17 15:00:00,0.0,29.9
TINAJONES,2026-01-17 16:00:00,0.0,29.4
TINAJONES,2026-01-17 19:00:00,0.0,25.4
TINAJONES,2026-01-17 22:00:00,0.0,23.3
TINAJONES,2026-01-17 23:00:00,0.0,23.0
TINAJONES,2026-01-18 08:00:00,0.0,21.8
TINAJONES,2026-01-18 09:00:00,0.0,23.7
TINAJONES,2026-01-18 10:00:00,0.0,25.3
TINAJONES,2026-01-18 11:00:00,0.0,27.0
TINAJONES,2026-01-18 12:00:00,0.0,28.1
TINAJONES,2026-01-18 13:00:00,0.0,29.0
TINAJONES,2026-01-18 14:00:00,0.0,29.9
TINAJONES,2026-01-18 15:00:00,0.0,29.7
TINAJONES,2026-01-18 21:00:00,0.0,24.1
TINAJONES,2026-01-19 10:00:00,0.0,25.0
TINAJONES,2026-01-19 11:00:00,0.0,26.9
TINAJONES,2026-01-19 12:00:00,0.0,28.4
TINAJONES,2026-01-19 13:00:00,0.0,29.8
TINAJONES,2026-01-19 14:00:00,0.0,31.0
TINAJONES,2026-01-19 15:00:00,0.0,30.1
TINAJONES,2026-01-19 16:00:00,0.0,29.0
TINAJONES,2026-01-19 17:00:00,0.0,27.6
TINAJONES,2026-01-19 18:00:00,0.0,27.2
TINAJONES,2026-01-19 19:00:00,0.0,26.3
TINAJONES,2026-01-19 20:00:00,0.0,25.6
TINAJONES,2026-01-19 21:00:00,0.0,24.6
TINAJONES,2026-01-19 22:00:00,0.0,24.2
TINAJONES,2026-01-19 23:00:00,0.0,24.3
TINAJONES,2026-01-20 00:00:00,0.0,24.1
TINAJONES,2026-01-20 01:00:00,0.0,23.9
TINAJONES,2026-01-20 02:00:00,0.0,22.8
TINAJONES,2026-01-20 03:00:00,0.0,22.2
TINAJONES,2026-01-20 04:00:00,0.0,21.1
TINAJONES,2026-01-20 05:00:00,0.0,21.1
TINAJONES,2026-01-20 06:00:00,0.0,21.4
TINAJONES,2026-01-20 07:00:00,0.0,21.8
TINAJONES,2026-01-20 08:00:00,0.0,23.6
TINAJONES,2026-01-20 10:00:00,0.0,27.3
TINAJONES,2026-01-20 11:00:00,0.0,28.7
TINAJONES,2026-01-20 12:00:00,0.0,30.6
TINAJONES,2026-01-20 13:00:00,0.0,30.7
TINAJONES,2026-01-20 14:00:00,0.0,29.4
TINAJONES,2026-01-20 16:00:00,0.0,28.4
TINAJONES,2026-01-20 17:00:00,0.0,27.5
TINAJONES,2026-01-20 18:00:00,0.0,27.5
TINAJONES,2026-01-20 19:00:00,0.0,27.1
TINAJONES,2026-01-20 20:00:00,0.0,25.8
TINAJONES,2026-01-20 21:00:00,0.0,24.6
TINAJONES,2026-01-20 22:00:00,0.0,23.9
TINAJONES,2026-01-20 23:00:00,0.0,24.1
TINAJONES,2026-01-21 00:00:00,0.0,23.8
TINAJONES,2026-01-21 01:00:00,0.0,23.6
TINAJONES,2026-01-21 02:00:00,0.0,22.9
TINAJONES,2026-01-21 03:00:00,0.0,21.9
TINAJONES,2026-01-21 04:00:00,0.0,21.7
TINAJONES,2026-01-21 05:00:00,0.0,22.1
TINAJONES,2026-01-21 06:00:00,0.0,22.1
TINAJONES,2026-01-21 07:00:00,0.0,22.1
TINAJONES,2026-01-21 08:00:00,0.0,22.4
TINAJONES,2026-01-21 09:00:00,0.0,23.7
TINAJONES,2026-01-21 10:00:00,0.0,26.2
TINAJONES,2026-01-21 11:00:00,0.0,26.9
TINAJONES,2026-01-21 13:00:00,0.0,29.6
TINAJONES,2026-01-21 14:00:00,0.0,29.4
TINAJONES,2026-01-21 16:00:00,0.0,28.6
TINAJONES,2026-01-21 17:00:00,0.0,27.2
TINAJONES,2026-01-21 18:00:00,0.0,26.4
TINAJONES,2026-01-21 19:00:00,0.0,25.2
TINAJONES,2026-01-21 20:00:00,0.0,24.5
TINAJONES,2026-01-21 21:00:00,0.0,23.8
TINAJONES,2026-01-21 22:00:00,0.0,23.5
TINAJONES,2026-01-21 23:00:00,0.0,23.0
TINAJONES,2026-01-22 00:00:00,0.0,22.7
TINAJONES,2026-01-22 01:00:00,0.0,22.6
TINAJONES,2026-01-22 02:00:00,0.0,21.9
TINAJONES,2026-01-22 03:00:00,0.0,21.6
