NOMBRE,FECHA,PP,T
CACHICOTO,2026-01-14 12:00:00,0.0,24.2
CACHICOTO,2026-01-14 13:00:00,0.0,26.8
CACHICOTO,2026-01-14 14:00:00,0.0,29.0
CACHICOTO,2026-01-14 15:00:00,0.0,30.0
CACHICOTO,2026-01-14 16:00:00,0.0,30.4
CACHICOTO,2026-01-14 17:00:00,0.0,30.7
CACHICOTO,2026-01-14 18:00:00,0.0,29.3
CACHICOTO,2026-01-14 19:00:00,0.0,26.2
CACHICOTO,2026-01-14 20:00:00,0.0,24.0
CACHICOTO,2026-01-14 21:00:00,0.0,22.3
CACHICOTO,2026-01-14 22:00:00,7.7,22.0
CACHICOTO,2026-01-14 23:00:00,0.0,22.0
CACHICOTO,2026-01-15 00:00:00,7.4,21.1
CACHICOTO,2026-01-15 01:00:00,0.6,20.6
CACHICOTO,2026-01-15 02:00:00,0.0,20.2
CACHICOTO,2026-01-15 03:00:00,0.0,19.8
CACHICOTO,2026-01-15 04:00:00,0.0,19.6
CACHICOTO,2026-01-15 05:00:00,0.0,19.7
CACHICOTO,2026-01-15 06:00:00,0.0,19.8
CACHICOTO,2026-01-15 07:00:00,0.0,19.8
CACHICOTO,2026-01-15 08:00:00,0.0,19.9
CACHICOTO,2026-01-15 09:00:00,0.1,21.0
CACHICOTO,2026-01-15 10:00:00,0.0,21.9
CACHICOTO,2026-01-15 16:00:00,0.0,26.8
CACHICOTO,2026-01-15 17:00:00,6.1,23.3
CACHICOTO,2026-01-15 18:00:00,2.5,20.7
CACHICOTO,2026-01-15 11:00:00,0.0,23.6
CACHICOTO,2026-01-15 12:00:00,0.0,24.9
CACHICOTO,2026-01-15 13:00:00,0.0,25.7
CACHICOTO,2026-01-15 14:00:00,0.0,26.7
CACHICOTO,2026-01-15 15:00:00,0.0,27.5
CACHICOTO,2026-01-15 19:00:00,3.3,20.5
CACHICOTO,2026-01-15 20:00:00,2.5,20.3
CACHICOTO,2026-01-15 21:00:00,0.5,20.0
CACHICOTO,2026-01-15 22:00:00,0.0,19.8
CACHICOTO,2026-01-15 23:00:00,0.0,19.4
CACHICOTO,2026-01-16 02:00:00,0.0,19.0
CACHICOTO,2026-01-16 03:00:00,0.0,19.0
CACHICOTO,2026-01-16 04:00:00,0.0,19.0
CACHICOTO,2026-01-16 05:00:00,0.0,19.0
CACHICOTO,2026-01-16 06:00:00,0.1,19.0
CACHICOTO,2026-01-16 07:00:00,0.0,19.0
CACHICOTO,2026-01-16 08:00:00,0.0,19.0
CACHICOTO,2026-01-16 09:00:00,0.0,20.0
CACHICOTO,2026-01-16 10:00:00,0.0,22.0
CACHICOTO,2026-01-16 11:00:00,0.0,24.1
CACHICOTO,2026-01-16 12:00:00,0.0,26.5
CACHICOTO,2026-01-16 13:00:00,0.0,28.0
CACHICOTO,2026-01-16 14:00:00,0.0,27.5
CACHICOTO,2026-01-16 15:00:00,0.0,29.5
CACHICOTO,2026-01-16 16:00:00,0.0,29.9
CACHICOTO,2026-01-16 17:00:00,0.0,29.7
CACHICOTO,2026-01-16 18:00:00,0.0,28.5
CACHICOTO,2026-01-16 19:00:00,0.0,27.0
CACHICOTO,2026-01-16 20:00:00,0.0,25.3
CACHICOTO,2026-01-16 21:00:00,0.0,23.1
CACHICOTO,2026-01-16 22:00:00,0.0,22.3
CACHICOTO,2026-01-16 23:00:00,0.0,22.0
CACHICOTO,2026-01-17 00:00:00,0.0,21.8
CACHICOTO,2026-01-17 01:00:00,0.0,21.7
CACHICOTO,2026-01-17 02:00:00,0.0,21.5
CACHICOTO,2026-01-17 03:00:00,0.0,21.3
CACHICOTO,2026-01-17 04:00:00,1.4,21.0
