NOMBRE,FECHA,PP,T
PICHARI,2026-01-14 12:00:00,0.0,26.2
PICHARI,2026-01-14 13:00:00,0.0,26.7
PICHARI,2026-01-14 14:00:00,0.0,27.0
PICHARI,2026-01-14 15:00:00,0.0,27.7
PICHARI,2026-01-14 16:00:00,0.0,28.5
PICHARI,2026-01-14 17:00:00,0.0,27.9
PICHARI,2026-01-14 18:00:00,0.0,27.1
PICHARI,2026-01-14 19:00:00,0.0,26.0
PICHARI,2026-01-14 20:00:00,0.0,24.5
PICHARI,2026-01-14 21:00:00,0.0,23.7
PICHARI,2026-01-14 22:00:00,0.0,22.9
PICHARI,2026-01-14 23:00:00,0.0,22.8
PICHARI,2026-01-15 00:00:00,0.0,22.4
PICHARI,2026-01-15 01:00:00,0.0,22.3
PICHARI,2026-01-15 02:00:00,0.0,22.0
PICHARI,2026-01-15 03:00:00,0.0,21.9
PICHARI,2026-01-15 04:00:00,0.0,21.9
PICHARI,2026-01-15 05:00:00,0.0,21.9
PICHARI,2026-01-15 06:00:00,0.0,21.9
PICHARI,2026-01-15 07:00:00,0.0,21.9
PICHARI,2026-01-15 08:00:00,0.0,22.2
PICHARI,2026-01-15 09:00:00,0.0,22.9
PICHARI,2026-01-15 10:00:00,0.0,24.9
PICHARI,2026-01-15 16:00:00,0.0,26.5
PICHARI,2026-01-15 17:00:00,0.0,27.0
PICHARI,2026-01-15 18:00:00,0.0,26.6
PICHARI,2026-01-15 19:00:00,0.0,25.7
PICHARI,2026-01-15 11:00:00,0.0,26.2
PICHARI,2026-01-15 12:00:00,0.0,27.3
PICHARI,2026-01-15 13:00:00,0.0,28.6
PICHARI,2026-01-15 14:00:00,0.0,28.0
PICHARI,2026-01-15 15:00:00,0.0,26.0
PICHARI,2026-01-15 20:00:00,0.0,24.9
PICHARI,2026-01-15 21:00:00,0.0,24.5
PICHARI,2026-01-15 22:00:00,0.0,23.5
PICHARI,2026-01-15 23:00:00,0.0,23.0
PICHARI,2026-01-16 02:00:00,1.6,22.1
PICHARI,2026-01-16 03:00:00,0.0,21.8
PICHARI,2026-01-16 04:00:00,0.0,21.9
PICHARI,2026-01-16 05:00:00,0.1,21.9
PICHARI,2026-01-16 06:00:00,0.0,21.7
PICHARI,2026-01-16 07:00:00,0.0,21.2
PICHARI,2026-01-16 08:00:00,0.0,21.4
PICHARI,2026-01-16 09:00:00,0.0,23.1
PICHARI,2026-01-16 10:00:00,0.0,24.1
PICHARI,2026-01-16 11:00:00,0.0,25.7
PICHARI,2026-01-16 12:00:00,0.0,27.7
PICHARI,2026-01-16 13:00:00,0.0,30.6
PICHARI,2026-01-16 14:00:00,0.0,29.2
PICHARI,2026-01-16 15:00:00,0.1,27.5
PICHARI,2026-01-16 16:00:00,0.0,29.4
PICHARI,2026-01-16 17:00:00,0.0,29.8
PICHARI,2026-01-16 18:00:00,0.0,30.1
PICHARI,2026-01-16 19:00:00,0.0,28.9
PICHARI,2026-01-16 20:00:00,0.0,27.2
PICHARI,2026-01-16 21:00:00,0.0,25.9
PICHARI,2026-01-16 22:00:00,0.0,24.2
PICHARI,2026-01-16 23:00:00,0.2,23.3
PICHARI,2026-01-17 00:00:00,0.0,22.8
PICHARI,2026-01-17 01:00:00,0.0,22.8
PICHARI,2026-01-17 02:00:00,0.1,22.7
PICHARI,2026-01-17 03:00:00,0.0,22.7
PICHARI,2026-01-17 04:00:00,0.0,22.7
PICHARI,2026-01-17 05:00:00,0.0,22.7
