CODIGO,ESTACION,YEAR,MONTH,DAY,PP,TMAX,TMIN
109085,JACAS_GRANDE,2009,12,01,5.2,19.6,-999
109085,JACAS_GRANDE,2009,12,02,1.0,27.6,8.0
109085,JACAS_GRANDE,2009,12,03,0.0,19.8,10.6
109085,JACAS_GRANDE,2009,12,04,1.8,21.2,9.9
109085,JACAS_GRANDE,2009,12,05,1.3,20.4,9.8
109085,JACAS_GRANDE,2009,12,06,3.9,19.2,12.5
109085,JACAS_GRANDE,2009,12,07,0.0,-999,13.0
109085,JACAS_GRANDE,2009,12,08,3.5,17.4,10.8
109085,JACAS_GRANDE,2009,12,09,3.0,16.0,12.6
109085,JACAS_GRANDE,2009,12,10,1.3,18.2,12.8
109085,JACAS_GRANDE,2009,12,11,8.2,16.2,-999
109085,JACAS_GRANDE,2009,12,12,5.6,19.8,7.7
109085,JACAS_GRANDE,2009,12,13,5.9,15.2,12.0
109085,JACAS_GRANDE,2009,12,14,0.5,20.6,10.3
109085,JACAS_GRANDE,2009,12,15,11.0,20.8,-999
109085,JACAS_GRANDE,2009,12,16,4.2,19.2,10.0
109085,JACAS_GRANDE,2009,12,17,7.8,19.4,10.2
109085,JACAS_GRANDE,2009,12,18,5.3,15.4,9.2
109085,JACAS_GRANDE,2009,12,19,9.8,15.0,9.6
109085,JACAS_GRANDE,2009,12,20,8.5,17.2,9.8
109085,JACAS_GRANDE,2009,12,21,1.9,16.0,-999
109085,JACAS_GRANDE,2009,12,22,0.0,14.6,9.1
109085,JACAS_GRANDE,2009,12,23,3.8,20.0,8.4
109085,JACAS_GRANDE,2009,12,24,16.1,20.0,9.1
109085,JACAS_GRANDE,2009,12,25,7.1,19.0,-999
109085,JACAS_GRANDE,2009,12,26,0.0,20.2,7.8
109085,JACAS_GRANDE,2009,12,27,8.7,16.2,10.8
109085,JACAS_GRANDE,2009,12,28,0.0,18.4,9.8
109085,JACAS_GRANDE,2009,12,29,8.0,19.4,8.4
109085,JACAS_GRANDE,2009,12,30,0.0,17.8,8.5
109085,JACAS_GRANDE,2009,12,31,4.3,21.0,-999
109085,JACAS_GRANDE,2010,01,01,-999,-999,-999
109085,JACAS_GRANDE,2010,02,01,1.8,21.2,9.4
109085,JACAS_GRANDE,2010,02,02,2.0,20.2,9.8
109085,JACAS_GRANDE,2010,02,03,2.1,18.8,10.0
109085,JACAS_GRANDE,2010,02,04,18.7,19.2,9.6
109085,JACAS_GRANDE,2010,02,05,14.0,14.4,-999
109085,JACAS_GRANDE,2010,02,06,24.0,14.0,9.4
109085,JACAS_GRANDE,2010,02,07,4.4,-999,-999
109085,JACAS_GRANDE,2010,02,08,0.0,-999,6.0
109085,JACAS_GRANDE,2010,02,09,2.4,21.2,9.4
109085,JACAS_GRANDE,2010,02,10,0.5,22.0,9.2
109085,JACAS_GRANDE,2010,02,11,0.0,22.0,8.4
109085,JACAS_GRANDE,2010,02,12,5.3,18.2,9.2
109085,JACAS_GRANDE,2010,02,13,0.0,20.4,9.8
109085,JACAS_GRANDE,2010,02,14,3.2,21.0,9.4
109085,JACAS_GRANDE,2010,02,15,0.0,18.6,10.6
109085,JACAS_GRANDE,2010,02,16,1.0,18.8,9.4
109085,JACAS_GRANDE,2010,02,17,0.0,20.0,10.4
109085,JACAS_GRANDE,2010,02,18,0.0,19.0,10.8
109085,JACAS_GRANDE,2010,02,19,1.0,20.6,7.2
109085,JACAS_GRANDE,2010,02,20,4.4,20.8,9.2
109085,JACAS_GRANDE,2010,02,21,0.4,17.4,9.6
109085,JACAS_GRANDE,2010,02,22,22.0,22.6,9.4
109085,JACAS_GRANDE,2010,02,23,0.0,21.0,7.2
109085,JACAS_GRANDE,2010,02,24,0.0,-999,8.6
109085,JACAS_GRANDE,2010,02,25,30.0,-999,9.6
109085,JACAS_GRANDE,2010,02,26,7.5,-999,-999
109085,JACAS_GRANDE,2010,02,27,0.0,19.0,8.6
109085,JACAS_GRANDE,2010,02,28,0.6,-999,10.0
109085,JACAS_GRANDE,2010,03,01,1.2,14.4,-999
109085,JACAS_GRANDE,2010,03,02,1.7,16.2,9.8
109085,JACAS_GRANDE,2010,03,03,15.9,19.4,9.6
109085,JACAS_GRANDE,2010,03,04,2.1,-999,8.8
109085,JACAS_GRANDE,2010,03,05,0.0,19.0,8.2
109085,JACAS_GRANDE,2010,03,06,0.0,19.2,8.6
109085,JACAS_GRANDE,2010,03,07,3.9,18.4,9.4
109085,JACAS_GRANDE,2010,03,08,0.0,21.4,9.4
109085,JACAS_GRANDE,2010,03,09,8.0,21.4,6.8
109085,JACAS_GRANDE,2010,03,10,0.0,19.4,8.0
109085,JACAS_GRANDE,2010,03,11,0.0,19.0,10.4
109085,JACAS_GRANDE,2010,03,12,1.4,-999,9.2
109085,JACAS_GRANDE,2010,03,13,6.5,18.4,9.0
109085,JACAS_GRANDE,2010,03,14,0.8,18.2,6.2
109085,JACAS_GRANDE,2010,03,15,19.9,18.0,8.2
109085,JACAS_GRANDE,2010,03,16,3.4,15.8,8.2
109085,JACAS_GRANDE,2010,03,17,5.0,15.8,7.4
109085,JACAS_GRANDE,2010,03,18,5.6,18.4,6.8
109085,JACAS_GRANDE,2010,03,19,3.7,14.8,8.6
109085,JACAS_GRANDE,2010,03,20,2.3,20.0,9.2
109085,JACAS_GRANDE,2010,03,21,4.0,21.2,9.8
109085,JACAS_GRANDE,2010,03,22,0.0,20.4,8.2
109085,JACAS_GRANDE,2010,03,23,4.0,21.0,7.2
109085,JACAS_GRANDE,2010,03,24,3.6,20.6,8.0
109085,JACAS_GRANDE,2010,03,25,11.6,16.0,9.6
109085,JACAS_GRANDE,2010,03,26,5.8,16.0,9.4
109085,JACAS_GRANDE,2010,03,27,0.0,19.0,9.0
109085,JACAS_GRANDE,2010,03,28,0.8,20.2,8.8
109085,JACAS_GRANDE,2010,03,29,3.0,20.4,8.0
109085,JACAS_GRANDE,2010,03,30,4.2,19.4,7.2
109085,JACAS_GRANDE,2010,03,31,15.2,18.0,8.0
109085,JACAS_GRANDE,2010,04,01,3.8,19.2,8.6
109085,JACAS_GRANDE,2010,04,02,0.0,20.0,5.0
