CODIGO,ESTACION,YEAR,MONTH,DAY,PP,TMAX,TMIN
110127,PACAYZAPA,2013,02,01,0.0,-999,-999
110127,PACAYZAPA,2013,02,02,2.1,-999,-999
110127,PACAYZAPA,2013,02,03,0.0,-999,-999
110127,PACAYZAPA,2013,02,04,17.9,-999,-999
110127,PACAYZAPA,2013,02,05,12.8,-999,-999
110127,PACAYZAPA,2013,02,06,0.0,-999,-999
110127,PACAYZAPA,2013,02,07,0.0,-999,-999
110127,PACAYZAPA,2013,02,08,3.2,-999,-999
110127,PACAYZAPA,2013,02,09,6.6,-999,-999
110127,PACAYZAPA,2013,02,10,1.1,29.6,19.0
110127,PACAYZAPA,2013,02,11,0.0,27.2,19.6
110127,PACAYZAPA,2013,02,12,0.0,28.2,20.2
110127,PACAYZAPA,2013,02,13,1.1,29.8,19.2
110127,PACAYZAPA,2013,02,14,0.0,29.6,19.6
110127,PACAYZAPA,2013,02,15,2.3,25.6,17.0
110127,PACAYZAPA,2013,02,16,2.1,27.2,16.4
110127,PACAYZAPA,2013,02,17,0.0,31.6,17.6
110127,PACAYZAPA,2013,02,18,5.3,26.0,17.2
110127,PACAYZAPA,2013,02,19,2.2,29.0,18.4
110127,PACAYZAPA,2013,02,20,0.0,30.0,18.2
110127,PACAYZAPA,2013,02,21,0.0,30.2,16.8
110127,PACAYZAPA,2013,02,22,4.3,29.4,18.2
110127,PACAYZAPA,2013,02,23,5.6,26.6,20.2
110127,PACAYZAPA,2013,02,24,3.4,29.8,19.4
110127,PACAYZAPA,2013,02,25,1.2,27.8,18.4
110127,PACAYZAPA,2013,02,26,5.1,25.6,18.8
110127,PACAYZAPA,2013,02,27,17.7,25.2,19.6
110127,PACAYZAPA,2013,02,28,1.2,26.2,18.6
110127,PACAYZAPA,2013,03,01,10.5,26.8,20.2
110127,PACAYZAPA,2013,03,02,11.4,28.2,19.8
110127,PACAYZAPA,2013,03,03,7.3,27.4,19.8
110127,PACAYZAPA,2013,03,04,15.5,27.4,19.2
110127,PACAYZAPA,2013,03,05,3.7,29.8,18.8
110127,PACAYZAPA,2013,03,06,0.0,30.6,20.0
110127,PACAYZAPA,2013,03,07,1.5,30.0,19.9
110127,PACAYZAPA,2013,03,08,2.2,27.4,19.8
110127,PACAYZAPA,2013,03,09,2.3,29.4,18.6
110127,PACAYZAPA,2013,03,10,4.5,30.2,19.6
110127,PACAYZAPA,2013,03,11,0.0,28.6,19.8
110127,PACAYZAPA,2013,03,12,2.3,31.2,19.4
110127,PACAYZAPA,2013,03,13,3.1,31.2,19.0
110127,PACAYZAPA,2013,03,14,0.0,30.8,20.0
110127,PACAYZAPA,2013,03,15,6.3,27.8,19.8
110127,PACAYZAPA,2013,03,16,22.5,27.2,19.8
110127,PACAYZAPA,2013,03,17,27.4,27.4,19.0
110127,PACAYZAPA,2013,03,18,2.5,29.8,19.0
110127,PACAYZAPA,2013,03,19,0.0,30.4,20.0
110127,PACAYZAPA,2013,03,20,15.4,29.8,20.2
110127,PACAYZAPA,2013,03,21,27.5,26.4,19.0
110127,PACAYZAPA,2013,03,22,3.4,27.2,17.6
110127,PACAYZAPA,2013,03,23,1.1,30.2,18.8
110127,PACAYZAPA,2013,03,24,0.0,30.8,19.0
110127,PACAYZAPA,2013,03,25,0.0,30.2,19.0
110127,PACAYZAPA,2013,03,26,0.0,30.2,17.8
110127,PACAYZAPA,2013,03,27,47.3,27.4,18.2
110127,PACAYZAPA,2013,03,28,3.4,28.8,18.6
110127,PACAYZAPA,2013,03,29,0.0,28.8,18.8
110127,PACAYZAPA,2013,03,30,1.2,27.8,19.6
110127,PACAYZAPA,2013,03,31,1.1,26.8,18.8
110127,PACAYZAPA,2013,04,01,2.6,26.8,19.2
110127,PACAYZAPA,2013,04,02,16.0,27.2,20.0
110127,PACAYZAPA,2013,04,03,2.1,28.2,18.8
110127,PACAYZAPA,2013,04,04,0.0,29.8,18.0
110127,PACAYZAPA,2013,04,05,0.0,31.2,17.0
110127,PACAYZAPA,2013,04,06,8.4,29.8,17.6
110127,PACAYZAPA,2013,04,07,1.1,28.8,19.6
110127,PACAYZAPA,2013,04,08,7.2,27.6,18.0
110127,PACAYZAPA,2013,04,09,1.1,29.2,19.8
110127,PACAYZAPA,2013,04,10,0.0,31.6,19.0
110127,PACAYZAPA,2013,04,11,2.1,27.6,17.0
110127,PACAYZAPA,2013,04,12,0.0,30.2,19.4
110127,PACAYZAPA,2013,04,13,12.2,26.8,18.2
110127,PACAYZAPA,2013,04,14,26.2,27.2,18.6
110127,PACAYZAPA,2013,04,15,1.4,27.6,17.6
110127,PACAYZAPA,2013,04,16,1.2,29.2,15.8
110127,PACAYZAPA,2013,04,17,34.7,26.8,17.0
110127,PACAYZAPA,2013,04,18,0.0,28.8,16.8
110127,PACAYZAPA,2013,04,19,0.0,28.4,17.4
110127,PACAYZAPA,2013,04,20,0.0,29.8,15.0
