CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
100015,BAMBAMARCA,1990,1,48.2,19.14,11.91
100015,BAMBAMARCA,1990,2,51.8,20.13,10.69
100015,BAMBAMARCA,1990,3,25.5,20.47,11.16
100015,BAMBAMARCA,1990,4,82.2,20.2,11.64
100015,BAMBAMARCA,1990,5,45.2,19.54,10.81
100015,BAMBAMARCA,1990,6,33.7,18.46,10.18
100015,BAMBAMARCA,1990,7,5.9,18.83,8.56
100015,BAMBAMARCA,1990,8,5.9,20.1,7.96
100015,BAMBAMARCA,1990,9,47.0,20.2,10.48
100015,BAMBAMARCA,1990,10,121.7,20.13,11.03
100015,BAMBAMARCA,1990,11,103.8,19.79,11.38
100015,BAMBAMARCA,1990,12,53.6,19.99,9.41
100015,BAMBAMARCA,1991,1,41.4,19.9,10.28
100015,BAMBAMARCA,1991,2,70.1,20.41,11.57
100015,BAMBAMARCA,1991,3,116.4,20.15,11.52
100015,BAMBAMARCA,1991,4,101.1,20.56,10.7
100015,BAMBAMARCA,1991,5,29.6,20.36,10.47
100015,BAMBAMARCA,1991,6,7.1,20.88,9.7
100015,BAMBAMARCA,1991,7,5.9,21.32,6.41
100015,BAMBAMARCA,1991,8,3.4,20.22,6.81
100015,BAMBAMARCA,1991,9,56.6,20.79,8.84
100015,BAMBAMARCA,1991,10,48.0,19.43,10.2
100015,BAMBAMARCA,1991,11,35.9,19.76,11.0
100015,BAMBAMARCA,1991,12,39.0,19.12,10.92
100015,BAMBAMARCA,1992,1,28.9,18.83,11.75
100015,BAMBAMARCA,1992,2,22.5,19.52,11.73
100015,BAMBAMARCA,1992,3,55.9,19.09,10.33
100015,BAMBAMARCA,1992,4,41.6,19.54,11.28
100015,BAMBAMARCA,1992,5,17.4,19.47,9.02
100015,BAMBAMARCA,1992,6,9.1,19.54,8.32
100015,BAMBAMARCA,1992,7,10.3,20.08,6.54
100015,BAMBAMARCA,1992,8,9.8,20.49,9.21
100015,BAMBAMARCA,1992,9,63.6,19.89,10.14
100015,BAMBAMARCA,1992,10,89.5,20.12,10.24
100015,BAMBAMARCA,1992,11,61.7,21.01,10.11
100015,BAMBAMARCA,1992,12,54.2,21.3,9.88
100015,BAMBAMARCA,1993,1,99.1,19.74,10.92
100015,BAMBAMARCA,1993,2,110.3,19.46,10.71
100015,BAMBAMARCA,1993,3,206.3,18.66,10.99
100015,BAMBAMARCA,1993,4,64.1,19.17,11.81
100015,BAMBAMARCA,1993,5,90.7,20.41,11.06
100015,BAMBAMARCA,1993,6,12.6,19.78,9.05
100015,BAMBAMARCA,1993,7,12.1,19.68,8.52
100015,BAMBAMARCA,1993,8,35.1,19.95,7.72
100015,BAMBAMARCA,1993,9,59.3,19.93,9.79
100015,BAMBAMARCA,1993,10,90.0,19.49,9.55
100015,BAMBAMARCA,1993,11,77.2,20.4,9.14
100015,BAMBAMARCA,1993,12,136.4,19.23,10.75
100015,BAMBAMARCA,1994,1,98.0,19.06,-999.0
100015,BAMBAMARCA,1994,2,109.7,18.67,-999.0
100015,BAMBAMARCA,1994,3,183.8,19.17,-999.0
100015,BAMBAMARCA,1994,4,104.5,18.95,-999.0
100015,BAMBAMARCA,1994,5,30.6,19.82,-999.0
100015,BAMBAMARCA,1994,6,14.3,18.92,-999.0
100015,BAMBAMARCA,1994,7,4.9,19.96,-999.0
100015,BAMBAMARCA,1994,8,2.3,20.85,-999.0
100015,BAMBAMARCA,1994,9,52.7,21.37,-999.0
100015,BAMBAMARCA,1994,10,58.2,21.03,-999.0
100015,BAMBAMARCA,1994,11,124.7,20.74,-999.0
100015,BAMBAMARCA,1994,12,116.9,19.6,-999.0
100015,BAMBAMARCA,1995,1,17.9,20.03,-999.0
100015,BAMBAMARCA,1995,2,71.9,20.36,-999.0
100015,BAMBAMARCA,1995,3,65.8,19.93,-999.0
100015,BAMBAMARCA,1995,4,52.9,20.9,-999.0
100015,BAMBAMARCA,1995,5,64.3,20.3,-999.0
100015,BAMBAMARCA,1995,6,13.5,20.52,-999.0
100015,BAMBAMARCA,1995,7,30.9,20.32,-999.0
100015,BAMBAMARCA,1995,8,5.3,21.47,-999.0
100015,BAMBAMARCA,1995,9,43.5,20.71,-999.0
100015,BAMBAMARCA,1995,10,101.0,20.71,-999.0
100015,BAMBAMARCA,1995,11,69.0,20.1,-999.0
100015,BAMBAMARCA,1995,12,124.3,20.74,-999.0
100015,BAMBAMARCA,1996,1,64.2,19.06,-999.0
100015,BAMBAMARCA,1996,2,125.7,19.26,-999.0
100015,BAMBAMARCA,1996,3,127.7,19.06,-999.0
100015,BAMBAMARCA,1996,4,56.9,19.41,-999.0
100015,BAMBAMARCA,1996,5,27.1,-999.0,-999.0
100015,BAMBAMARCA,1996,6,10.3,20.09,-999.0
100015,BAMBAMARCA,1996,7,11.1,19.89,-999.0
100015,BAMBAMARCA,1996,8,16.5,19.97,-999.0
100015,BAMBAMARCA,1996,9,37.5,21.34,-999.0
100015,BAMBAMARCA,1996,10,146.7,19.99,-999.0
100015,BAMBAMARCA,1996,11,46.9,21.5,-999.0
100015,BAMBAMARCA,1996,12,17.0,20.73,-999.0
100015,BAMBAMARCA,1997,1,75.6,21.29,-999.0
100015,BAMBAMARCA,1997,2,123.6,19.15,-999.0
100015,BAMBAMARCA,1997,3,79.6,20.69,-999.0
100015,BAMBAMARCA,1997,4,69.7,20.43,-999.0
100015,BAMBAMARCA,1997,5,27.3,19.81,-999.0
100015,BAMBAMARCA,1997,6,16.7,19.83,-999.0
100015,BAMBAMARCA,1997,7,0.0,-999.0,-999.0
100015,BAMBAMARCA,1997,8,-999.0,-999.0,-999.0
100015,BAMBAMARCA,1997,9,27.6,21.75,-999.0
100015,BAMBAMARCA,1997,10,41.5,21.79,-999.0
100015,BAMBAMARCA,1997,11,67.1,21.14,-999.0
100015,BAMBAMARCA,1997,12,121.4,19.03,-999.0
100015,BAMBAMARCA,1998,1,60.1,19.85,-999.0
100015,BAMBAMARCA,1998,2,147.5,20.16,-999.0
100015,BAMBAMARCA,1998,3,134.7,19.57,-999.0
100015,BAMBAMARCA,1998,4,118.6,20.31,-999.0
100015,BAMBAMARCA,1998,5,48.0,-999.0,-999.0
100015,BAMBAMARCA,1998,6,3.7,19.96,-999.0
100015,BAMBAMARCA,1998,7,0.0,20.93,-999.0
100015,BAMBAMARCA,1998,8,2.0,21.13,-999.0
100015,BAMBAMARCA,1998,9,51.0,22.03,-999.0
100015,BAMBAMARCA,1998,10,156.5,21.44,10.92
100015,BAMBAMARCA,1998,11,69.4,21.05,9.14
100015,BAMBAMARCA,1998,12,65.0,22.31,7.36
100015,BAMBAMARCA,1999,1,107.4,20.18,10.41
100015,BAMBAMARCA,1999,2,230.9,18.99,11.38
100015,BAMBAMARCA,1999,3,46.0,20.0,10.59
100015,BAMBAMARCA,1999,4,33.6,19.67,11.03
100015,BAMBAMARCA,1999,5,46.7,18.9,10.14
100015,BAMBAMARCA,1999,6,46.6,19.63,-999.0
100015,BAMBAMARCA,1999,7,10.1,19.26,-999.0
100015,BAMBAMARCA,1999,8,4.3,20.92,-999.0
100015,BAMBAMARCA,1999,9,85.8,20.67,-999.0
100015,BAMBAMARCA,1999,10,35.0,21.32,-999.0
100015,BAMBAMARCA,1999,11,94.1,21.77,10.46
100015,BAMBAMARCA,1999,12,115.2,20.24,10.7
100015,BAMBAMARCA,2000,1,55.0,20.45,8.79
100015,BAMBAMARCA,2000,2,188.3,18.72,10.96
100015,BAMBAMARCA,2000,3,125.2,19.3,11.09
100015,BAMBAMARCA,2000,4,59.1,19.38,11.25
100015,BAMBAMARCA,2000,5,49.9,20.52,10.93
100015,BAMBAMARCA,2000,6,37.2,19.78,10.47
100015,BAMBAMARCA,2000,7,12.4,20.07,8.67
100015,BAMBAMARCA,2000,8,8.9,20.74,9.09
100015,BAMBAMARCA,2000,9,54.2,21.02,10.88
100015,BAMBAMARCA,2000,10,7.2,22.19,9.52
100015,BAMBAMARCA,2000,11,73.6,22.68,5.91
100015,BAMBAMARCA,2000,12,129.6,20.16,11.15
100015,BAMBAMARCA,2001,1,150.4,18.29,11.44
100015,BAMBAMARCA,2001,2,43.3,18.8,11.19
100015,BAMBAMARCA,2001,3,184.5,18.77,12.09
100015,BAMBAMARCA,2001,4,68.4,20.35,11.09
100015,BAMBAMARCA,2001,5,34.6,20.23,11.33
100015,BAMBAMARCA,2001,6,1.3,20.05,9.01
100015,BAMBAMARCA,2001,7,5.9,20.11,9.96
100015,BAMBAMARCA,2001,8,2.9,21.56,8.35
100015,BAMBAMARCA,2001,9,64.7,21.06,10.94
100015,BAMBAMARCA,2001,10,97.3,21.58,12.15
100015,BAMBAMARCA,2001,11,93.8,20.35,11.46
100015,BAMBAMARCA,2001,12,106.4,21.52,11.86
100015,BAMBAMARCA,2002,1,46.9,20.77,10.98
100015,BAMBAMARCA,2002,2,83.9,20.05,11.9
100015,BAMBAMARCA,2002,3,130.1,20.21,12.4
100015,BAMBAMARCA,2002,4,139.7,20.3,11.65
