CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
100021,CAPACHICA,1990,1,215.7,14.13,4.16
100021,CAPACHICA,1990,2,87.0,14.55,3.28
100021,CAPACHICA,1990,3,47.9,15.33,3.29
100021,CAPACHICA,1990,4,94.6,15.02,2.53
100021,CAPACHICA,1990,5,11.2,15.25,1.14
100021,CAPACHICA,1990,6,40.8,12.43,-0.86
100021,CAPACHICA,1990,7,0.0,13.86,-3.81
100021,CAPACHICA,1990,8,31.5,13.87,-2.25
100021,CAPACHICA,1990,9,12.3,14.97,-0.87
100021,CAPACHICA,1990,10,74.5,15.77,3.22
100021,CAPACHICA,1990,11,54.7,15.55,3.99
100021,CAPACHICA,1990,12,159.9,14.94,3.93
100021,CAPACHICA,1991,1,122.7,14.89,4.54
100021,CAPACHICA,1991,2,113.1,15.26,4.76
100021,CAPACHICA,1991,3,227.6,14.83,5.04
100021,CAPACHICA,1991,4,96.6,14.38,3.73
100021,CAPACHICA,1991,5,-999.0,-999.0,-999.0
100021,CAPACHICA,1991,6,38.0,-999.0,-999.0
100021,CAPACHICA,1991,7,0.5,-999.0,-999.0
100021,CAPACHICA,1991,8,0.0,-999.0,-999.0
100021,CAPACHICA,1991,9,17.5,14.79,1.12
100021,CAPACHICA,1991,10,62.5,15.54,2.56
100021,CAPACHICA,1991,11,66.5,-999.0,3.28
100021,CAPACHICA,1991,12,102.0,15.71,3.61
100021,CAPACHICA,1992,1,157.7,14.14,5.16
100021,CAPACHICA,1992,2,145.0,15.0,4.31
100021,CAPACHICA,1992,3,32.5,15.39,2.7
100021,CAPACHICA,1992,4,51.0,16.16,1.33
100021,CAPACHICA,1992,5,0.0,16.05,-1.62
100021,CAPACHICA,1992,6,12.0,14.1,-1.42
100021,CAPACHICA,1992,7,5.0,13.16,-3.04
100021,CAPACHICA,1992,8,70.0,12.16,-1.81
100021,CAPACHICA,1992,9,0.5,15.32,-0.39
100021,CAPACHICA,1992,10,40.5,15.68,1.79
100021,CAPACHICA,1992,11,89.0,-999.0,2.98
100021,CAPACHICA,1992,12,49.0,15.62,4.58
100021,CAPACHICA,1993,1,284.0,13.67,-999.0
100021,CAPACHICA,1993,2,123.5,14.26,4.48
100021,CAPACHICA,1993,3,293.0,13.11,4.65
100021,CAPACHICA,1993,4,39.0,14.45,3.13
100021,CAPACHICA,1993,5,1.0,14.95,0.64
100021,CAPACHICA,1993,6,0.5,13.36,-3.99
100021,CAPACHICA,1993,7,0.0,14.28,-3.22
100021,CAPACHICA,1993,8,49.5,13.76,-2.02
100021,CAPACHICA,1993,9,25.3,14.87,0.73
100021,CAPACHICA,1993,10,34.0,15.68,3.12
100021,CAPACHICA,1993,11,124.8,15.63,4.29
100021,CAPACHICA,1993,12,159.5,15.61,5.44
100021,CAPACHICA,1994,1,300.0,14.44,4.79
100021,CAPACHICA,1994,2,308.3,14.4,5.05
100021,CAPACHICA,1994,3,179.0,14.23,3.91
100021,CAPACHICA,1994,4,120.8,14.14,3.76
100021,CAPACHICA,1994,5,4.5,13.7,-0.23
100021,CAPACHICA,1994,6,0.0,13.19,-3.38
100021,CAPACHICA,1994,7,2.7,13.95,-3.43
100021,CAPACHICA,1994,8,4.5,14.98,-2.17
100021,CAPACHICA,1994,9,5.5,14.94,0.92
100021,CAPACHICA,1994,10,15.3,15.89,1.77
100021,CAPACHICA,1994,11,38.8,15.89,3.68
100021,CAPACHICA,1994,12,139.6,15.29,4.84
100021,CAPACHICA,1995,1,140.2,14.96,5.19
100021,CAPACHICA,1995,2,141.7,15.01,4.41
100021,CAPACHICA,1995,3,150.3,14.08,4.7
100021,CAPACHICA,1995,4,1.8,15.22,1.3
100021,CAPACHICA,1995,5,8.4,14.96,-2.02
100021,CAPACHICA,1995,6,0.0,13.69,-3.7
100021,CAPACHICA,1995,7,0.5,14.16,-3.23
100021,CAPACHICA,1995,8,4.5,15.82,-2.83
100021,CAPACHICA,1995,9,18.2,15.29,0.28
100021,CAPACHICA,1995,10,15.9,16.72,1.83
100021,CAPACHICA,1995,11,40.7,16.3,2.85
100021,CAPACHICA,1995,12,133.0,14.28,3.61
100021,CAPACHICA,1996,1,244.9,14.24,4.56
100021,CAPACHICA,1996,2,111.3,13.64,5.22
100021,CAPACHICA,1996,3,47.1,14.64,3.77
100021,CAPACHICA,1996,4,34.5,14.66,1.79
100021,CAPACHICA,1996,5,14.9,14.29,-1.05
100021,CAPACHICA,1996,6,0.0,13.97,-4.14
100021,CAPACHICA,1996,7,4.4,13.03,-4.44
100021,CAPACHICA,1996,8,26.1,14.11,-0.41
100021,CAPACHICA,1996,9,5.6,15.35,-0.9
100021,CAPACHICA,1996,10,22.0,16.31,2.09
100021,CAPACHICA,1996,11,70.4,14.84,3.33
100021,CAPACHICA,1996,12,88.5,15.26,4.55
100021,CAPACHICA,1997,1,255.3,13.62,5.08
100021,CAPACHICA,1997,2,217.4,13.12,4.94
100021,CAPACHICA,1997,3,132.2,13.46,4.23
100021,CAPACHICA,1997,4,79.4,13.25,1.43
100021,CAPACHICA,1997,5,2.5,13.86,-1.66
100021,CAPACHICA,1997,6,0.0,13.6,-4.26
100021,CAPACHICA,1997,7,0.0,14.31,-3.86
100021,CAPACHICA,1997,8,22.9,13.45,-1.09
100021,CAPACHICA,1997,9,59.3,15.19,1.61
100021,CAPACHICA,1997,10,35.6,16.0,2.38
100021,CAPACHICA,1997,11,103.1,15.69,4.07
100021,CAPACHICA,1997,12,41.3,17.2,5.12
100021,CAPACHICA,1998,1,102.2,16.23,6.52
100021,CAPACHICA,1998,2,124.5,16.75,5.96
100021,CAPACHICA,1998,3,136.4,16.71,5.23
100021,CAPACHICA,1998,4,36.2,16.65,3.31
100021,CAPACHICA,1998,5,0.0,15.65,-1.76
100021,CAPACHICA,1998,6,8.2,14.3,-1.85
100021,CAPACHICA,1998,7,0.0,14.61,-3.09
100021,CAPACHICA,1998,8,0.0,15.68,-1.09
100021,CAPACHICA,1998,9,1.8,16.38,-0.51
100021,CAPACHICA,1998,10,15.8,16.25,2.83
100021,CAPACHICA,1998,11,57.4,15.89,3.4
100021,CAPACHICA,1998,12,12.1,16.59,3.87
100021,CAPACHICA,1999,1,184.8,14.6,5.26
100021,CAPACHICA,1999,2,229.0,13.37,5.71
100021,CAPACHICA,1999,3,236.1,13.3,5.41
100021,CAPACHICA,1999,4,91.5,13.44,3.48
100021,CAPACHICA,1999,5,0.9,13.58,-0.25
100021,CAPACHICA,1999,6,0.0,13.38,-3.85
100021,CAPACHICA,1999,7,0.0,13.58,-3.28
100021,CAPACHICA,1999,8,0.0,13.65,-1.79
100021,CAPACHICA,1999,9,42.9,14.32,0.27
100021,CAPACHICA,1999,10,76.4,14.26,2.51
100021,CAPACHICA,1999,11,30.6,15.57,1.51
100021,CAPACHICA,1999,12,64.7,15.82,4.1
100021,CAPACHICA,2000,1,157.0,13.63,5.37
100021,CAPACHICA,2000,2,145.0,13.38,5.37
100021,CAPACHICA,2000,3,169.1,13.84,4.57
100021,CAPACHICA,2000,4,9.5,14.35,1.87
100021,CAPACHICA,2000,5,20.0,14.62,-0.81
100021,CAPACHICA,2000,6,0.0,13.63,-2.83
100021,CAPACHICA,2000,7,1.0,12.84,-3.86
100021,CAPACHICA,2000,8,35.2,14.1,-0.96
100021,CAPACHICA,2000,9,10.7,15.49,-0.23
100021,CAPACHICA,2000,10,84.1,14.07,2.65
100021,CAPACHICA,2000,11,0.0,16.61,1.23
100021,CAPACHICA,2000,12,68.8,14.61,3.51
100021,CAPACHICA,2001,1,214.1,-999.0,-999.0
100021,CAPACHICA,2001,2,172.7,13.36,4.98
100021,CAPACHICA,2001,3,219.4,13.7,4.97
