CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
100043,FONAGRO (CHINCHA),1990,1,0.0,26.71,18.49
100043,FONAGRO (CHINCHA),1990,2,0.0,27.98,18.98
100043,FONAGRO (CHINCHA),1990,3,0.0,27.44,19.39
100043,FONAGRO (CHINCHA),1990,4,0.0,25.82,16.92
100043,FONAGRO (CHINCHA),1990,5,2.2,23.49,16.16
100043,FONAGRO (CHINCHA),1990,6,2.6,20.17,14.83
100043,FONAGRO (CHINCHA),1990,7,0.4,19.37,-999.0
100043,FONAGRO (CHINCHA),1990,8,0.4,18.74,14.23
100043,FONAGRO (CHINCHA),1990,9,0.9,20.39,14.06
100043,FONAGRO (CHINCHA),1990,10,0.0,21.27,15.56
100043,FONAGRO (CHINCHA),1990,11,0.0,22.16,-999.0
100043,FONAGRO (CHINCHA),1990,12,2.7,24.2,-999.0
100043,FONAGRO (CHINCHA),1991,1,0.0,26.45,18.29
100043,FONAGRO (CHINCHA),1991,2,-999.0,-999.0,-999.0
100043,FONAGRO (CHINCHA),1991,3,0.0,26.64,20.27
100043,FONAGRO (CHINCHA),1991,4,0.0,25.55,17.29
100043,FONAGRO (CHINCHA),1991,5,0.0,22.85,-999.0
100043,FONAGRO (CHINCHA),1991,6,0.0,22.06,13.78
100043,FONAGRO (CHINCHA),1991,7,0.0,-999.0,-999.0
100043,FONAGRO (CHINCHA),1991,8,-999.0,-999.0,-999.0
100043,FONAGRO (CHINCHA),1991,9,0.0,-999.0,-999.0
100043,FONAGRO (CHINCHA),1991,10,-999.0,-999.0,-999.0
100043,FONAGRO (CHINCHA),1991,11,-999.0,-999.0,-999.0
100043,FONAGRO (CHINCHA),1991,12,-999.0,-999.0,-999.0
100043,FONAGRO (CHINCHA),1992,1,-999.0,-999.0,-999.0
100043,FONAGRO (CHINCHA),1992,2,-999.0,-999.0,-999.0
100043,FONAGRO (CHINCHA),1992,3,-999.0,-999.0,-999.0
100043,FONAGRO (CHINCHA),1992,4,-999.0,-999.0,-999.0
100043,FONAGRO (CHINCHA),1992,5,-999.0,-999.0,-999.0
100043,FONAGRO (CHINCHA),1992,6,-999.0,-999.0,-999.0
100043,FONAGRO (CHINCHA),1992,7,-999.0,-999.0,-999.0
100043,FONAGRO (CHINCHA),1992,8,-999.0,-999.0,-999.0
100043,FONAGRO (CHINCHA),1992,9,-999.0,-999.0,-999.0
100043,FONAGRO (CHINCHA),1992,10,-999.0,-999.0,-999.0
100043,FONAGRO (CHINCHA),1992,11,-999.0,-999.0,-999.0
100043,FONAGRO (CHINCHA),1992,12,-999.0,-999.0,-999.0
100043,FONAGRO (CHINCHA),1993,1,-999.0,-999.0,-999.0
100043,FONAGRO (CHINCHA),1993,2,-999.0,-999.0,-999.0
100043,FONAGRO (CHINCHA),1993,3,-999.0,-999.0,-999.0
100043,FONAGRO (CHINCHA),1993,4,-999.0,-999.0,-999.0
100043,FONAGRO (CHINCHA),1993,5,-999.0,-999.0,-999.0
100043,FONAGRO (CHINCHA),1993,6,-999.0,-999.0,-999.0
100043,FONAGRO (CHINCHA),1993,7,-999.0,-999.0,-999.0
100043,FONAGRO (CHINCHA),1993,8,-999.0,-999.0,-999.0
100043,FONAGRO (CHINCHA),1993,9,-999.0,-999.0,-999.0
100043,FONAGRO (CHINCHA),1993,10,-999.0,-999.0,-999.0
100043,FONAGRO (CHINCHA),1993,11,-999.0,-999.0,-999.0
100043,FONAGRO (CHINCHA),1993,12,-999.0,-999.0,-999.0
100043,FONAGRO (CHINCHA),1994,1,-999.0,-999.0,-999.0
100043,FONAGRO (CHINCHA),1994,2,-999.0,-999.0,-999.0
100043,FONAGRO (CHINCHA),1994,3,-999.0,-999.0,-999.0
100043,FONAGRO (CHINCHA),1994,4,-999.0,-999.0,-999.0
100043,FONAGRO (CHINCHA),1994,5,-999.0,-999.0,-999.0
100043,FONAGRO (CHINCHA),1994,6,-999.0,-999.0,-999.0
100043,FONAGRO (CHINCHA),1994,7,-999.0,-999.0,-999.0
100043,FONAGRO (CHINCHA),1994,8,-999.0,-999.0,-999.0
100043,FONAGRO (CHINCHA),1994,9,-999.0,-999.0,-999.0
100043,FONAGRO (CHINCHA),1994,10,-999.0,-999.0,-999.0
100043,FONAGRO (CHINCHA),1994,11,0.0,23.91,-999.0
