CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
100046,HACIENDA BERNALES,1990,1,-999.0,-999.0,-999.0
100046,HACIENDA BERNALES,1990,2,-999.0,-999.0,17.57
100046,HACIENDA BERNALES,1990,3,-999.0,-999.0,15.66
100046,HACIENDA BERNALES,1990,4,-999.0,-999.0,14.81
100046,HACIENDA BERNALES,1990,5,-999.0,-999.0,14.32
100046,HACIENDA BERNALES,1990,6,-999.0,-999.0,12.74
100046,HACIENDA BERNALES,1990,7,-999.0,-999.0,11.82
100046,HACIENDA BERNALES,1990,8,-999.0,-999.0,12.92
100046,HACIENDA BERNALES,1990,9,-999.0,-999.0,12.32
100046,HACIENDA BERNALES,1990,10,-999.0,-999.0,12.32
100046,HACIENDA BERNALES,1990,11,-999.0,-999.0,13.91
100046,HACIENDA BERNALES,1990,12,-999.0,-999.0,15.31
100046,HACIENDA BERNALES,1991,1,-999.0,-999.0,16.6
100046,HACIENDA BERNALES,1991,2,-999.0,-999.0,16.63
100046,HACIENDA BERNALES,1991,3,-999.0,-999.0,18.24
100046,HACIENDA BERNALES,1991,4,-999.0,-999.0,16.98
100046,HACIENDA BERNALES,1991,5,-999.0,-999.0,13.16
100046,HACIENDA BERNALES,1991,6,-999.0,-999.0,12.0
100046,HACIENDA BERNALES,1991,7,-999.0,-999.0,11.23
100046,HACIENDA BERNALES,1991,8,-999.0,-999.0,11.45
100046,HACIENDA BERNALES,1991,9,-999.0,-999.0,12.31
100046,HACIENDA BERNALES,1991,10,-999.0,-999.0,13.46
100046,HACIENDA BERNALES,1991,11,-999.0,-999.0,14.65
100046,HACIENDA BERNALES,1991,12,-999.0,-999.0,14.91
100046,HACIENDA BERNALES,1992,1,-999.0,-999.0,19.06
100046,HACIENDA BERNALES,1992,2,-999.0,-999.0,19.2
100046,HACIENDA BERNALES,1992,3,-999.0,-999.0,20.22
100046,HACIENDA BERNALES,1992,4,-999.0,-999.0,18.22
100046,HACIENDA BERNALES,1992,5,-999.0,-999.0,16.81
100046,HACIENDA BERNALES,1992,6,-999.0,-999.0,16.02
100046,HACIENDA BERNALES,1992,7,-999.0,-999.0,11.89
100046,HACIENDA BERNALES,1992,8,-999.0,-999.0,-999.0
100046,HACIENDA BERNALES,1992,9,-999.0,-999.0,-999.0
100046,HACIENDA BERNALES,1992,10,-999.0,-999.0,-999.0
100046,HACIENDA BERNALES,1992,11,-999.0,-999.0,-999.0
100046,HACIENDA BERNALES,1992,12,-999.0,-999.0,16.37
100046,HACIENDA BERNALES,1993,1,-999.0,-999.0,17.13
100046,HACIENDA BERNALES,1993,2,-999.0,-999.0,19.05
100046,HACIENDA BERNALES,1993,3,-999.0,-999.0,18.7
100046,HACIENDA BERNALES,1993,4,-999.0,-999.0,14.57
100046,HACIENDA BERNALES,1993,5,-999.0,-999.0,13.65
100046,HACIENDA BERNALES,1993,6,-999.0,-999.0,12.33
100046,HACIENDA BERNALES,1993,7,-999.0,-999.0,12.02
100046,HACIENDA BERNALES,1993,8,-999.0,-999.0,11.77
100046,HACIENDA BERNALES,1993,9,-999.0,-999.0,12.54
100046,HACIENDA BERNALES,1993,10,-999.0,-999.0,14.62
100046,HACIENDA BERNALES,1993,11,-999.0,-999.0,13.47
100046,HACIENDA BERNALES,1993,12,-999.0,-999.0,15.72
100046,HACIENDA BERNALES,1994,1,-999.0,28.42,18.8
100046,HACIENDA BERNALES,1994,2,-999.0,29.12,19.25
100046,HACIENDA BERNALES,1994,3,-999.0,28.09,-999.0
100046,HACIENDA BERNALES,1994,4,-999.0,26.55,16.41
100046,HACIENDA BERNALES,1994,5,-999.0,-999.0,13.63
100046,HACIENDA BERNALES,1994,6,-999.0,24.23,12.25
100046,HACIENDA BERNALES,1994,7,-999.0,22.94,10.69
100046,HACIENDA BERNALES,1994,8,-999.0,22.08,10.82
100046,HACIENDA BERNALES,1994,9,-999.0,23.62,12.44
100046,HACIENDA BERNALES,1994,10,-999.0,-999.0,13.85
100046,HACIENDA BERNALES,1994,11,-999.0,25.82,15.0
100046,HACIENDA BERNALES,1994,12,-999.0,27.37,16.73
100046,HACIENDA BERNALES,1995,1,-999.0,28.89,18.92
100046,HACIENDA BERNALES,1995,2,-999.0,30.48,18.88
100046,HACIENDA BERNALES,1995,3,-999.0,29.54,18.63
100046,HACIENDA BERNALES,1995,4,-999.0,28.04,16.16
100046,HACIENDA BERNALES,1995,5,-999.0,27.13,14.25
100046,HACIENDA BERNALES,1995,6,-999.0,-999.0,12.33
100046,HACIENDA BERNALES,1995,7,-999.0,-999.0,11.45
100046,HACIENDA BERNALES,1995,8,-999.0,-999.0,11.24
100046,HACIENDA BERNALES,1995,9,-999.0,23.38,13.03
100046,HACIENDA BERNALES,1995,10,-999.0,24.86,12.51
100046,HACIENDA BERNALES,1995,11,-999.0,24.92,15.23
100046,HACIENDA BERNALES,1995,12,-999.0,27.05,15.47
100046,HACIENDA BERNALES,1996,1,-999.0,27.83,17.69
100046,HACIENDA BERNALES,1996,2,-999.0,28.72,-999.0
100046,HACIENDA BERNALES,1996,3,-999.0,29.26,18.41
