CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
100059,ICHUÑA,1990,1,111.4,-999.0,-999.0
100059,ICHUÑA,1990,2,32.6,-999.0,-999.0
100059,ICHUÑA,1990,3,48.3,-999.0,-999.0
100059,ICHUÑA,1990,4,20.1,-999.0,-999.0
100059,ICHUÑA,1990,5,10.8,-999.0,-999.0
100059,ICHUÑA,1990,6,42.9,-999.0,-999.0
100059,ICHUÑA,1990,7,0.0,-999.0,-999.0
100059,ICHUÑA,1990,8,8.9,-999.0,-999.0
100059,ICHUÑA,1990,9,0.0,-999.0,-999.0
100059,ICHUÑA,1990,10,22.0,-999.0,-999.0
100059,ICHUÑA,1990,11,73.2,-999.0,-999.0
100059,ICHUÑA,1990,12,46.1,-999.0,-999.0
100059,ICHUÑA,1991,1,72.5,-999.0,-999.0
100059,ICHUÑA,1991,2,74.7,-999.0,-999.0
100059,ICHUÑA,1991,3,116.4,-999.0,-999.0
100059,ICHUÑA,1991,4,16.1,-999.0,-999.0
100059,ICHUÑA,1991,5,1.3,-999.0,-999.0
100059,ICHUÑA,1991,6,23.6,-999.0,-999.0
100059,ICHUÑA,1991,7,0.0,-999.0,-999.0
100059,ICHUÑA,1991,8,0.0,-999.0,-999.0
100059,ICHUÑA,1991,9,3.3,-999.0,-999.0
100059,ICHUÑA,1991,10,10.5,-999.0,-999.0
100059,ICHUÑA,1991,11,10.2,-999.0,-999.0
100059,ICHUÑA,1991,12,29.1,-999.0,-999.0
100059,ICHUÑA,1992,1,84.5,-999.0,-999.0
100059,ICHUÑA,1992,2,29.0,-999.0,-999.0
100059,ICHUÑA,1992,3,2.5,-999.0,-999.0
100059,ICHUÑA,1992,4,8.2,-999.0,-999.0
100059,ICHUÑA,1992,5,0.0,-999.0,-999.0
100059,ICHUÑA,1992,6,4.0,-999.0,-999.0
100059,ICHUÑA,1992,7,0.0,-999.0,-999.0
100059,ICHUÑA,1992,8,20.3,-999.0,-999.0
100059,ICHUÑA,1992,9,0.0,-999.0,-999.0
100059,ICHUÑA,1992,10,16.7,-999.0,-999.0
100059,ICHUÑA,1992,11,11.8,-999.0,-999.0
100059,ICHUÑA,1992,12,59.9,-999.0,-999.0
100059,ICHUÑA,1993,1,215.8,-999.0,-999.0
100059,ICHUÑA,1993,2,37.0,-999.0,-999.0
100059,ICHUÑA,1993,3,137.0,-999.0,-999.0
100059,ICHUÑA,1993,4,28.6,-999.0,-999.0
100059,ICHUÑA,1993,5,0.0,-999.0,-999.0
100059,ICHUÑA,1993,6,7.1,-999.0,-999.0
100059,ICHUÑA,1993,7,0.0,-999.0,-999.0
100059,ICHUÑA,1993,8,15.4,-999.0,-999.0
100059,ICHUÑA,1993,9,2.1,-999.0,-999.0
100059,ICHUÑA,1993,10,32.0,-999.0,-999.0
100059,ICHUÑA,1993,11,77.7,-999.0,-999.0
100059,ICHUÑA,1993,12,74.3,-999.0,-999.0
100059,ICHUÑA,1994,1,165.3,-999.0,-999.0
100059,ICHUÑA,1994,2,234.8,-999.0,-999.0
100059,ICHUÑA,1994,3,92.3,-999.0,-999.0
100059,ICHUÑA,1994,4,106.4,-999.0,-999.0
100059,ICHUÑA,1994,5,4.8,-999.0,-999.0
100059,ICHUÑA,1994,6,0.0,-999.0,-999.0
100059,ICHUÑA,1994,7,0.0,-999.0,-999.0
100059,ICHUÑA,1994,8,0.0,-999.0,-999.0
100059,ICHUÑA,1994,9,2.1,-999.0,-999.0
100059,ICHUÑA,1994,10,0.3,-999.0,-999.0
100059,ICHUÑA,1994,11,41.8,-999.0,-999.0
100059,ICHUÑA,1994,12,103.8,-999.0,-999.0
100059,ICHUÑA,1995,1,85.2,-999.0,-999.0
100059,ICHUÑA,1995,2,67.5,-999.0,-999.0
100059,ICHUÑA,1995,3,111.2,-999.0,-999.0
100059,ICHUÑA,1995,4,16.6,-999.0,-999.0
100059,ICHUÑA,1995,5,0.0,-999.0,-999.0
100059,ICHUÑA,1995,6,0.0,-999.0,-999.0
100059,ICHUÑA,1995,7,0.0,-999.0,-999.0
100059,ICHUÑA,1995,8,0.2,-999.0,-999.0
100059,ICHUÑA,1995,9,0.2,-999.0,-999.0
100059,ICHUÑA,1995,10,1.9,-999.0,-999.0
100059,ICHUÑA,1995,11,25.7,-999.0,-999.0
100059,ICHUÑA,1995,12,81.6,-999.0,-999.0
100059,ICHUÑA,1996,1,245.7,-999.0,-999.0
100059,ICHUÑA,1996,2,139.9,-999.0,-999.0
100059,ICHUÑA,1996,3,54.4,-999.0,-999.0
100059,ICHUÑA,1996,4,31.9,-999.0,-999.0
100059,ICHUÑA,1996,5,8.9,-999.0,-999.0
100059,ICHUÑA,1996,6,0.0,-999.0,-999.0
100059,ICHUÑA,1996,7,0.0,-999.0,-999.0
100059,ICHUÑA,1996,8,22.9,-999.0,-999.0
100059,ICHUÑA,1996,9,2.1,-999.0,-999.0
100059,ICHUÑA,1996,10,7.5,-999.0,-999.0
100059,ICHUÑA,1996,11,37.0,-999.0,-999.0
100059,ICHUÑA,1996,12,67.6,-999.0,-999.0
100059,ICHUÑA,1997,1,145.9,-999.0,-999.0
100059,ICHUÑA,1997,2,200.7,-999.0,-999.0
100059,ICHUÑA,1997,3,27.8,-999.0,-999.0
100059,ICHUÑA,1997,4,33.7,-999.0,-999.0
100059,ICHUÑA,1997,5,8.5,-999.0,-999.0
100059,ICHUÑA,1997,6,0.0,-999.0,-999.0
100059,ICHUÑA,1997,7,0.0,-999.0,-999.0
100059,ICHUÑA,1997,8,41.3,-999.0,-999.0
100059,ICHUÑA,1997,9,41.9,-999.0,-999.0
100059,ICHUÑA,1997,10,14.1,-999.0,-999.0
100059,ICHUÑA,1997,11,47.3,-999.0,-999.0
100059,ICHUÑA,1997,12,54.9,-999.0,-999.0
100059,ICHUÑA,1998,1,192.3,-999.0,-999.0
100059,ICHUÑA,1998,2,94.0,-999.0,-999.0
100059,ICHUÑA,1998,3,50.5,-999.0,-999.0
100059,ICHUÑA,1998,4,8.6,-999.0,-999.0
100059,ICHUÑA,1998,5,0.0,-999.0,-999.0
100059,ICHUÑA,1998,6,1.5,-999.0,-999.0
100059,ICHUÑA,1998,7,0.0,-999.0,-999.0
100059,ICHUÑA,1998,8,0.0,-999.0,-999.0
100059,ICHUÑA,1998,9,0.0,-999.0,-999.0
100059,ICHUÑA,1998,10,2.6,-999.0,-999.0
100059,ICHUÑA,1998,11,55.6,-999.0,-999.0
100059,ICHUÑA,1998,12,27.5,-999.0,-999.0
100059,ICHUÑA,1999,1,62.0,-999.0,-999.0
100059,ICHUÑA,1999,2,214.3,-999.0,-999.0
100059,ICHUÑA,1999,3,183.1,-999.0,-999.0
100059,ICHUÑA,1999,4,54.4,-999.0,-999.0
100059,ICHUÑA,1999,5,1.3,-999.0,-999.0
100059,ICHUÑA,1999,6,0.0,-999.0,-999.0
100059,ICHUÑA,1999,7,0.0,-999.0,-999.0
100059,ICHUÑA,1999,8,4.7,-999.0,-999.0
100059,ICHUÑA,1999,9,0.5,-999.0,-999.0
100059,ICHUÑA,1999,10,45.0,-999.0,-999.0
100059,ICHUÑA,1999,11,1.0,-999.0,-999.0
100059,ICHUÑA,1999,12,68.0,-999.0,-999.0
100059,ICHUÑA,2000,1,198.4,-999.0,-999.0
