CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
100065,ISLA SOTO,1990,1,-999.0,-999.0,-999.0
100065,ISLA SOTO,1990,2,-999.0,-999.0,-999.0
100065,ISLA SOTO,1990,3,-999.0,-999.0,-999.0
100065,ISLA SOTO,1990,4,-999.0,-999.0,-999.0
100065,ISLA SOTO,1990,5,-999.0,-999.0,-999.0
100065,ISLA SOTO,1990,6,-999.0,-999.0,-999.0
100065,ISLA SOTO,1990,7,-999.0,-999.0,-999.0
100065,ISLA SOTO,1990,8,-999.0,-999.0,-999.0
100065,ISLA SOTO,1990,9,-999.0,-999.0,-999.0
100065,ISLA SOTO,1990,10,87.5,-999.0,-999.0
100065,ISLA SOTO,1990,11,110.8,-999.0,-999.0
100065,ISLA SOTO,1990,12,154.1,-999.0,-999.0
100065,ISLA SOTO,1991,1,169.8,-999.0,-999.0
100065,ISLA SOTO,1991,2,210.8,-999.0,-999.0
100065,ISLA SOTO,1991,3,178.0,-999.0,-999.0
100065,ISLA SOTO,1991,4,72.3,-999.0,-999.0
100065,ISLA SOTO,1991,5,29.1,-999.0,-999.0
100065,ISLA SOTO,1991,6,69.7,-999.0,-999.0
100065,ISLA SOTO,1991,7,0.0,-999.0,-999.0
100065,ISLA SOTO,1991,8,3.2,-999.0,-999.0
100065,ISLA SOTO,1991,9,26.3,-999.0,-999.0
100065,ISLA SOTO,1991,10,49.2,-999.0,-999.0
100065,ISLA SOTO,1991,11,58.3,-999.0,-999.0
100065,ISLA SOTO,1991,12,124.4,-999.0,-999.0
100065,ISLA SOTO,1992,1,403.7,-999.0,-999.0
100065,ISLA SOTO,1992,2,134.8,-999.0,-999.0
100065,ISLA SOTO,1992,3,53.8,-999.0,-999.0
100065,ISLA SOTO,1992,4,55.6,-999.0,-999.0
100065,ISLA SOTO,1992,5,-999.0,-999.0,-999.0
100065,ISLA SOTO,1992,6,34.2,-999.0,-999.0
100065,ISLA SOTO,1992,7,3.5,-999.0,-999.0
100065,ISLA SOTO,1992,8,119.2,-999.0,-999.0
100065,ISLA SOTO,1992,9,2.5,-999.0,-999.0
100065,ISLA SOTO,1992,10,67.7,-999.0,-999.0
100065,ISLA SOTO,1992,11,41.6,-999.0,-999.0
100065,ISLA SOTO,1992,12,102.7,-999.0,-999.0
100065,ISLA SOTO,1993,1,315.7,-999.0,-999.0
100065,ISLA SOTO,1993,2,78.4,-999.0,-999.0
100065,ISLA SOTO,1993,3,118.8,-999.0,-999.0
100065,ISLA SOTO,1993,4,112.3,-999.0,-999.0
100065,ISLA SOTO,1993,5,20.9,-999.0,-999.0
100065,ISLA SOTO,1993,6,12.2,-999.0,-999.0
100065,ISLA SOTO,1993,7,0.0,-999.0,-999.0
100065,ISLA SOTO,1993,8,43.8,-999.0,-999.0
100065,ISLA SOTO,1993,9,35.3,-999.0,-999.0
100065,ISLA SOTO,1993,10,83.4,-999.0,-999.0
100065,ISLA SOTO,1993,11,124.0,-999.0,-999.0
100065,ISLA SOTO,1993,12,148.0,-999.0,-999.0
100065,ISLA SOTO,1994,1,125.4,-999.0,-999.0
100065,ISLA SOTO,1994,2,231.4,-999.0,-999.0
100065,ISLA SOTO,1994,3,173.9,-999.0,-999.0
100065,ISLA SOTO,1994,4,105.0,-999.0,-999.0
100065,ISLA SOTO,1994,5,9.9,-999.0,-999.0
100065,ISLA SOTO,1994,6,0.0,-999.0,-999.0
100065,ISLA SOTO,1994,7,0.0,-999.0,-999.0
100065,ISLA SOTO,1994,8,1.8,-999.0,-999.0
100065,ISLA SOTO,1994,9,0.0,-999.0,-999.0
100065,ISLA SOTO,1994,10,36.5,-999.0,-999.0
100065,ISLA SOTO,1994,11,71.3,-999.0,-999.0
100065,ISLA SOTO,1994,12,149.5,-999.0,-999.0
100065,ISLA SOTO,1995,1,119.2,-999.0,-999.0
100065,ISLA SOTO,1995,2,170.6,-999.0,-999.0
100065,ISLA SOTO,1995,3,112.4,-999.0,-999.0
100065,ISLA SOTO,1995,4,15.4,-999.0,-999.0
100065,ISLA SOTO,1995,5,18.1,-999.0,-999.0
100065,ISLA SOTO,1995,6,0.0,-999.0,-999.0
100065,ISLA SOTO,1995,7,0.0,-999.0,-999.0
100065,ISLA SOTO,1995,8,4.0,-999.0,-999.0
100065,ISLA SOTO,1995,9,19.7,-999.0,-999.0
100065,ISLA SOTO,1995,10,22.0,-999.0,-999.0
100065,ISLA SOTO,1995,11,69.3,-999.0,-999.0
100065,ISLA SOTO,1995,12,142.5,-999.0,-999.0
100065,ISLA SOTO,1996,1,309.3,-999.0,-999.0
100065,ISLA SOTO,1996,2,143.8,-999.0,-999.0
100065,ISLA SOTO,1996,3,53.7,-999.0,-999.0
100065,ISLA SOTO,1996,4,49.0,-999.0,-999.0
100065,ISLA SOTO,1996,5,10.1,-999.0,-999.0
100065,ISLA SOTO,1996,6,0.0,-999.0,-999.0
100065,ISLA SOTO,1996,7,16.0,-999.0,-999.0
100065,ISLA SOTO,1996,8,18.3,-999.0,-999.0
100065,ISLA SOTO,1996,9,24.9,-999.0,-999.0
100065,ISLA SOTO,1996,10,16.6,-999.0,-999.0
100065,ISLA SOTO,1996,11,82.9,-999.0,-999.0
100065,ISLA SOTO,1996,12,149.0,-999.0,-999.0
100065,ISLA SOTO,1997,1,227.2,-999.0,-999.0
100065,ISLA SOTO,1997,2,147.9,-999.0,-999.0
100065,ISLA SOTO,1997,3,203.9,-999.0,-999.0
100065,ISLA SOTO,1997,4,93.6,-999.0,-999.0
100065,ISLA SOTO,1997,5,33.5,-999.0,-999.0
100065,ISLA SOTO,1997,6,0.0,-999.0,-999.0
100065,ISLA SOTO,1997,7,0.0,-999.0,-999.0
100065,ISLA SOTO,1997,8,23.2,-999.0,-999.0
100065,ISLA SOTO,1997,9,55.9,-999.0,-999.0
100065,ISLA SOTO,1997,10,3.0,-999.0,-999.0
100065,ISLA SOTO,1997,11,19.9,-999.0,-999.0
100065,ISLA SOTO,1997,12,86.9,-999.0,-999.0
100065,ISLA SOTO,1998,1,149.3,-999.0,-999.0
100065,ISLA SOTO,1998,2,106.9,-999.0,-999.0
100065,ISLA SOTO,1998,3,151.7,-999.0,-999.0
100065,ISLA SOTO,1998,4,52.1,-999.0,-999.0
100065,ISLA SOTO,1998,5,0.0,-999.0,-999.0
100065,ISLA SOTO,1998,6,20.8,-999.0,-999.0
100065,ISLA SOTO,1998,7,0.0,-999.0,-999.0
100065,ISLA SOTO,1998,8,5.0,-999.0,-999.0
100065,ISLA SOTO,1998,9,2.0,-999.0,-999.0
100065,ISLA SOTO,1998,10,54.1,-999.0,-999.0
100065,ISLA SOTO,1998,11,128.9,-999.0,-999.0
100065,ISLA SOTO,1998,12,8.3,-999.0,-999.0
100065,ISLA SOTO,1999,1,166.4,-999.0,-999.0
100065,ISLA SOTO,1999,2,115.5,-999.0,-999.0
100065,ISLA SOTO,1999,3,267.4,-999.0,-999.0
100065,ISLA SOTO,1999,4,114.9,-999.0,-999.0
100065,ISLA SOTO,1999,5,17.8,-999.0,-999.0
100065,ISLA SOTO,1999,6,11.3,-999.0,-999.0
100065,ISLA SOTO,1999,7,10.1,-999.0,-999.0
100065,ISLA SOTO,1999,8,10.8,-999.0,-999.0
100065,ISLA SOTO,1999,9,55.0,-999.0,-999.0
100065,ISLA SOTO,1999,10,41.4,-999.0,-999.0
100065,ISLA SOTO,1999,11,34.4,-999.0,-999.0
100065,ISLA SOTO,1999,12,103.0,-999.0,-999.0
100065,ISLA SOTO,2000,1,231.7,-999.0,-999.0
100065,ISLA SOTO,2000,2,121.7,-999.0,-999.0
100065,ISLA SOTO,2000,3,160.6,-999.0,-999.0
100065,ISLA SOTO,2000,4,15.6,-999.0,-999.0
100065,ISLA SOTO,2000,5,17.0,-999.0,-999.0
100065,ISLA SOTO,2000,6,17.5,-999.0,-999.0
100065,ISLA SOTO,2000,7,0.0,-999.0,-999.0
100065,ISLA SOTO,2000,8,31.8,-999.0,-999.0
100065,ISLA SOTO,2000,9,4.0,-999.0,-999.0
100065,ISLA SOTO,2000,10,116.6,-999.0,-999.0
100065,ISLA SOTO,2000,11,28.1,-999.0,-999.0
100065,ISLA SOTO,2000,12,226.6,-999.0,-999.0
100065,ISLA SOTO,2001,1,406.3,-999.0,-999.0
100065,ISLA SOTO,2001,2,313.7,-999.0,-999.0
100065,ISLA SOTO,2001,3,286.0,-999.0,-999.0
100065,ISLA SOTO,2001,4,44.2,-999.0,-999.0
100065,ISLA SOTO,2001,5,47.9,-999.0,-999.0
100065,ISLA SOTO,2001,6,9.6,-999.0,-999.0
100065,ISLA SOTO,2001,7,34.6,-999.0,-999.0
100065,ISLA SOTO,2001,8,45.0,-999.0,-999.0
100065,ISLA SOTO,2001,9,19.7,-999.0,-999.0
100065,ISLA SOTO,2001,10,63.6,-999.0,-999.0
100065,ISLA SOTO,2001,11,82.4,-999.0,-999.0
100065,ISLA SOTO,2001,12,144.2,-999.0,-999.0
100065,ISLA SOTO,2002,1,142.0,-999.0,-999.0
100065,ISLA SOTO,2002,2,281.3,-999.0,-999.0
100065,ISLA SOTO,2002,3,169.9,-999.0,-999.0
100065,ISLA SOTO,2002,4,150.8,-999.0,-999.0
100065,ISLA SOTO,2002,5,42.1,-999.0,-999.0
100065,ISLA SOTO,2002,6,4.2,-999.0,-999.0
100065,ISLA SOTO,2002,7,50.7,-999.0,-999.0
100065,ISLA SOTO,2002,8,11.9,-999.0,-999.0
100065,ISLA SOTO,2002,9,41.1,-999.0,-999.0
100065,ISLA SOTO,2002,10,92.0,-999.0,-999.0
100065,ISLA SOTO,2002,11,96.5,-999.0,-999.0
100065,ISLA SOTO,2002,12,125.1,-999.0,-999.0
100065,ISLA SOTO,2003,1,313.4,-999.0,-999.0
100065,ISLA SOTO,2003,2,173.9,-999.0,-999.0
100065,ISLA SOTO,2003,3,142.5,-999.0,-999.0
100065,ISLA SOTO,2003,4,31.8,-999.0,-999.0
100065,ISLA SOTO,2003,5,41.3,-999.0,-999.0
100065,ISLA SOTO,2003,6,20.6,-999.0,-999.0
100065,ISLA SOTO,2003,7,4.7,-999.0,-999.0
100065,ISLA SOTO,2003,8,4.1,-999.0,-999.0
100065,ISLA SOTO,2003,9,35.7,-999.0,-999.0
100065,ISLA SOTO,2003,10,34.9,-999.0,-999.0
100065,ISLA SOTO,2003,11,19.4,-999.0,-999.0
100065,ISLA SOTO,2003,12,109.7,-999.0,-999.0
100065,ISLA SOTO,2004,1,230.7,-999.0,-999.0
100065,ISLA SOTO,2004,2,152.1,-999.0,-999.0
