CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
100101,PISAC,1990,1,76.7,-999.0,-999.0
100101,PISAC,1990,2,45.6,-999.0,-999.0
100101,PISAC,1990,3,20.3,-999.0,-999.0
100101,PISAC,1990,4,82.6,-999.0,-999.0
100101,PISAC,1990,5,6.2,-999.0,-999.0
100101,PISAC,1990,6,38.4,-999.0,-999.0
100101,PISAC,1990,7,0.0,-999.0,-999.0
100101,PISAC,1990,8,3.0,-999.0,-999.0
100101,PISAC,1990,9,8.4,-999.0,-999.0
100101,PISAC,1990,10,44.1,-999.0,-999.0
100101,PISAC,1990,11,99.4,-999.0,-999.0
100101,PISAC,1990,12,115.0,-999.0,-999.0
100101,PISAC,1991,1,76.2,-999.0,-999.0
100101,PISAC,1991,2,101.7,-999.0,-999.0
100101,PISAC,1991,3,64.5,-999.0,-999.0
100101,PISAC,1991,4,31.4,-999.0,-999.0
100101,PISAC,1991,5,11.5,-999.0,-999.0
100101,PISAC,1991,6,8.0,-999.0,-999.0
100101,PISAC,1991,7,0.0,-999.0,-999.0
100101,PISAC,1991,8,2.0,-999.0,-999.0
100101,PISAC,1991,9,2.0,-999.0,-999.0
100101,PISAC,1991,10,50.7,-999.0,-999.0
100101,PISAC,1991,11,61.4,-999.0,-999.0
100101,PISAC,1991,12,65.4,-999.0,-999.0
100101,PISAC,1992,1,81.0,-999.0,-999.0
100101,PISAC,1992,2,45.4,-999.0,-999.0
100101,PISAC,1992,3,31.7,-999.0,-999.0
100101,PISAC,1992,4,22.6,-999.0,-999.0
100101,PISAC,1992,5,0.0,-999.0,-999.0
100101,PISAC,1992,6,26.0,-999.0,-999.0
100101,PISAC,1992,7,-999.0,-999.0,-999.0
100101,PISAC,1992,8,13.3,-999.0,-999.0
100101,PISAC,1992,9,4.0,-999.0,-999.0
100101,PISAC,1992,10,32.0,-999.0,-999.0
100101,PISAC,1992,11,91.8,-999.0,-999.0
100101,PISAC,1992,12,73.0,-999.0,-999.0
100101,PISAC,1993,1,178.9,-999.0,-999.0
100101,PISAC,1993,2,82.9,-999.0,-999.0
100101,PISAC,1993,3,12.4,-999.0,-999.0
100101,PISAC,1993,4,36.0,-999.0,-999.0
100101,PISAC,1993,5,8.2,-999.0,-999.0
100101,PISAC,1993,6,4.2,-999.0,-999.0
100101,PISAC,1993,7,8.2,-999.0,-999.0
100101,PISAC,1993,8,14.2,-999.0,-999.0
100101,PISAC,1993,9,3.0,-999.0,-999.0
100101,PISAC,1993,10,18.2,-999.0,-999.0
100101,PISAC,1993,11,-999.0,-999.0,-999.0
100101,PISAC,1993,12,109.8,-999.0,-999.0
100101,PISAC,1994,1,167.2,-999.0,-999.0
100101,PISAC,1994,2,118.0,-999.0,-999.0
100101,PISAC,1994,3,151.6,-999.0,-999.0
100101,PISAC,1994,4,59.8,-999.0,-999.0
100101,PISAC,1994,5,5.3,-999.0,-999.0
100101,PISAC,1994,6,0.0,-999.0,-999.0
100101,PISAC,1994,7,0.0,-999.0,-999.0
100101,PISAC,1994,8,0.0,-999.0,-999.0
100101,PISAC,1994,9,12.4,-999.0,-999.0
100101,PISAC,1994,10,52.6,-999.0,-999.0
100101,PISAC,1994,11,13.2,-999.0,-999.0
100101,PISAC,1994,12,158.6,-999.0,-999.0
100101,PISAC,1995,1,98.9,-999.0,-999.0
100101,PISAC,1995,2,79.5,-999.0,-999.0
100101,PISAC,1995,3,80.0,-999.0,-999.0
100101,PISAC,1995,4,7.2,-999.0,-999.0
100101,PISAC,1995,5,4.2,-999.0,-999.0
100101,PISAC,1995,6,0.0,-999.0,-999.0
100101,PISAC,1995,7,0.0,-999.0,-999.0
100101,PISAC,1995,8,0.0,-999.0,-999.0
100101,PISAC,1995,9,12.2,-999.0,-999.0
100101,PISAC,1995,10,24.2,-999.0,-999.0
100101,PISAC,1995,11,18.2,-999.0,-999.0
100101,PISAC,1995,12,51.6,-999.0,-999.0
100101,PISAC,1996,1,117.6,-999.0,-999.0
100101,PISAC,1996,2,69.3,-999.0,-999.0
100101,PISAC,1996,3,44.4,-999.0,-999.0
100101,PISAC,1996,4,69.3,-999.0,-999.0
100101,PISAC,1996,5,12.1,-999.0,-999.0
100101,PISAC,1996,6,0.0,-999.0,-999.0
100101,PISAC,1996,7,0.0,-999.0,-999.0
100101,PISAC,1996,8,21.6,-999.0,-999.0
100101,PISAC,1996,9,-999.0,-999.0,-999.0
100101,PISAC,1996,10,46.5,-999.0,-999.0
100101,PISAC,1996,11,-999.0,-999.0,-999.0
100101,PISAC,1996,12,-999.0,-999.0,-999.0
100101,PISAC,1997,1,-999.0,-999.0,-999.0
100101,PISAC,1997,2,-999.0,-999.0,-999.0
100101,PISAC,1997,3,99.5,21.63,9.05
100101,PISAC,1997,4,4.1,22.86,6.73
100101,PISAC,1997,5,2.9,22.97,6.15
100101,PISAC,1997,6,0.0,24.12,3.67
100101,PISAC,1997,7,0.0,23.77,3.81
100101,PISAC,1997,8,20.1,21.69,5.74
100101,PISAC,1997,9,18.1,23.44,7.49
100101,PISAC,1997,10,13.5,24.8,8.81
100101,PISAC,1997,11,108.9,24.54,9.97
100101,PISAC,1997,12,97.8,24.24,10.17
100101,PISAC,1998,1,129.8,23.29,11.07
100101,PISAC,1998,2,98.7,23.7,11.11
100101,PISAC,1998,3,38.2,24.38,10.49
100101,PISAC,1998,4,21.6,25.8,9.11
100101,PISAC,1998,5,4.2,25.75,5.4
100101,PISAC,1998,6,3.0,23.23,4.97
100101,PISAC,1998,7,0.0,24.3,3.78
100101,PISAC,1998,8,0.8,24.24,6.88
100101,PISAC,1998,9,13.5,25.72,7.08
100101,PISAC,1998,10,64.0,23.89,9.34
100101,PISAC,1998,11,50.9,23.63,9.93
100101,PISAC,1998,12,51.3,22.85,9.98
100101,PISAC,1999,1,93.2,22.7,10.05
100101,PISAC,1999,2,122.3,20.78,9.44
100101,PISAC,1999,3,51.5,20.25,9.48
100101,PISAC,1999,4,28.3,21.26,8.54
100101,PISAC,1999,5,4.9,22.88,6.85
100101,PISAC,1999,6,-999.0,-999.0,-999.0
100101,PISAC,1999,7,2.6,21.65,2.92
100101,PISAC,1999,8,0.0,23.42,4.1
100101,PISAC,1999,9,30.0,22.38,7.59
100101,PISAC,1999,10,17.7,22.4,8.05
100101,PISAC,1999,11,40.2,24.19,9.43
100101,PISAC,1999,12,105.9,21.5,9.52
100101,PISAC,2000,1,159.8,20.26,9.24
100101,PISAC,2000,2,105.4,20.1,9.52
100101,PISAC,2000,3,58.7,19.98,8.77
100101,PISAC,2000,4,2.2,22.38,7.8
100101,PISAC,2000,5,9.1,22.48,5.72
100101,PISAC,2000,6,3.7,22.23,4.48
100101,PISAC,2000,7,0.0,21.94,4.27
100101,PISAC,2000,8,2.0,22.44,5.85
100101,PISAC,2000,9,4.4,24.14,7.28
100101,PISAC,2000,10,41.6,22.19,8.82
100101,PISAC,2000,11,11.0,24.78,9.86
100101,PISAC,2000,12,70.6,22.69,9.47
100101,PISAC,2001,1,211.2,19.34,9.55
100101,PISAC,2001,2,136.4,19.61,9.6
100101,PISAC,2001,3,152.2,20.24,9.18
100101,PISAC,2001,4,19.9,21.33,7.35
100101,PISAC,2001,5,12.1,21.55,6.33
100101,PISAC,2001,6,0.0,21.74,4.2
100101,PISAC,2001,7,19.4,21.28,4.67
100101,PISAC,2001,8,5.6,22.19,3.72
100101,PISAC,2001,9,8.0,22.8,7.52
100101,PISAC,2001,10,50.0,23.06,9.45
100101,PISAC,2001,11,77.4,23.03,10.23
100101,PISAC,2001,12,102.0,22.81,9.66
100101,PISAC,2002,1,90.6,22.35,9.76
100101,PISAC,2002,2,161.4,19.76,10.18
100101,PISAC,2002,3,106.1,21.52,9.67
100101,PISAC,2002,4,35.8,21.94,9.5
100101,PISAC,2002,5,6.6,22.44,5.61
100101,PISAC,2002,6,4.3,-999.0,5.37
100101,PISAC,2002,7,46.6,20.6,4.81
100101,PISAC,2002,8,3.3,21.74,5.23
100101,PISAC,2002,9,10.9,22.83,7.97
100101,PISAC,2002,10,39.4,22.77,9.45
100101,PISAC,2002,11,91.6,22.64,9.47
100101,PISAC,2002,12,127.9,21.23,10.15
100101,PISAC,2003,1,114.4,21.75,10.15
100101,PISAC,2003,2,108.7,22.07,10.51
100101,PISAC,2003,3,110.7,20.99,10.17
100101,PISAC,2003,4,15.8,22.39,8.13
100101,PISAC,2003,5,4.4,-999.0,6.58
100101,PISAC,2003,6,6.8,22.9,4.75
100101,PISAC,2003,7,0.0,23.25,4.45
100101,PISAC,2003,8,23.6,22.32,5.75
100101,PISAC,2003,9,4.0,22.79,7.53
100101,PISAC,2003,10,31.7,24.2,9.13
100101,PISAC,2003,11,18.3,24.33,10.05
100101,PISAC,2003,12,120.9,23.09,10.61
100101,PISAC,2004,1,149.9,20.7,10.55
100101,PISAC,2004,2,109.2,21.28,9.82
100101,PISAC,2004,3,95.6,22.06,9.6
100101,PISAC,2004,4,15.8,22.86,8.46
100101,PISAC,2004,5,2.0,24.5,6.74
100101,PISAC,2004,6,16.4,21.36,4.2
100101,PISAC,2004,7,10.3,21.0,4.62
100101,PISAC,2004,8,6.9,20.51,5.24
100101,PISAC,2004,9,32.5,21.95,8.41
100101,PISAC,2004,10,25.9,23.69,10.08
100101,PISAC,2004,11,43.0,23.87,10.57
100101,PISAC,2004,12,94.3,23.29,10.37
100101,PISAC,2005,1,127.0,22.27,10.66
100101,PISAC,2005,2,76.9,21.37,10.15
100101,PISAC,2005,3,69.1,22.41,9.85
100101,PISAC,2005,4,29.6,23.96,8.29
100101,PISAC,2005,5,0.0,24.9,5.48
100101,PISAC,2005,6,0.0,23.53,4.64
100101,PISAC,2005,7,1.5,23.96,4.13
100101,PISAC,2005,8,3.7,24.27,5.98
100101,PISAC,2005,9,4.1,23.4,7.9
100101,PISAC,2005,10,18.0,23.03,10.28
100101,PISAC,2005,11,50.5,24.32,10.19
100101,PISAC,2005,12,58.6,23.37,10.83
100101,PISAC,2006,1,170.7,20.85,10.13
100101,PISAC,2006,2,82.2,22.18,10.32
100101,PISAC,2006,3,125.0,21.64,10.15
100101,PISAC,2006,4,34.5,22.68,8.41
100101,PISAC,2006,5,0.0,23.84,5.24
100101,PISAC,2006,6,30.0,22.73,4.77
100101,PISAC,2006,7,0.0,22.94,3.41
100101,PISAC,2006,8,14.3,23.38,6.72
100101,PISAC,2006,9,5.2,24.04,8.39
100101,PISAC,2006,10,42.7,23.15,9.86
100101,PISAC,2006,11,69.7,22.14,9.71
100101,PISAC,2006,12,117.1,21.32,9.76
100101,PISAC,2007,1,102.7,22.23,11.06
100101,PISAC,2007,2,52.6,21.64,10.55
100101,PISAC,2007,3,135.8,21.21,10.14
100101,PISAC,2007,4,42.1,21.57,8.39
100101,PISAC,2007,5,7.6,22.85,7.07
100101,PISAC,2007,6,0.0,23.22,4.09
100101,PISAC,2007,7,1.7,22.36,5.07
100101,PISAC,2007,8,0.0,23.87,6.11
100101,PISAC,2007,9,4.9,21.28,7.25
100101,PISAC,2007,10,32.7,23.2,9.1
100101,PISAC,2007,11,66.9,24.17,9.84
100101,PISAC,2007,12,83.3,22.28,9.92
100101,PISAC,2008,1,154.3,19.98,10.33
100101,PISAC,2008,2,151.5,21.74,9.51
100101,PISAC,2008,3,61.5,20.92,9.34
100101,PISAC,2008,4,8.5,22.18,8.26
100101,PISAC,2008,5,5.9,22.45,5.78
100101,PISAC,2008,6,3.6,22.62,4.83
100101,PISAC,2008,7,0.7,23.01,4.5
100101,PISAC,2008,8,3.2,24.03,6.55
100101,PISAC,2008,9,9.8,23.78,8.09
100101,PISAC,2008,10,46.8,22.79,10.1
100101,PISAC,2008,11,64.1,24.27,10.13
100101,PISAC,2008,12,133.9,21.89,10.58
100101,PISAC,2009,1,89.9,21.13,10.28
100101,PISAC,2009,2,89.4,21.6,10.21
100101,PISAC,2009,3,66.2,21.67,9.86
100101,PISAC,2009,4,14.1,22.99,9.63
100101,PISAC,2009,5,0.2,23.44,6.06
100101,PISAC,2009,6,0.0,24.05,4.83
100101,PISAC,2009,7,3.1,22.88,5.47
100101,PISAC,2009,8,0.8,24.55,6.45
100101,PISAC,2009,9,20.4,24.33,8.47
100101,PISAC,2009,10,8.2,25.84,9.58
100101,PISAC,2009,11,118.1,24.41,11.39
100101,PISAC,2009,12,115.3,22.37,10.64
100101,PISAC,2010,1,-999.0,21.24,10.59
100101,PISAC,2010,2,145.1,21.95,10.61
100101,PISAC,2010,3,155.8,22.52,10.65
100101,PISAC,2010,4,6.0,23.65,8.65
100101,PISAC,2010,5,6.5,24.25,7.47
100101,PISAC,2010,6,1.1,24.06,5.37
100101,PISAC,2010,7,1.4,24.9,5.27
100101,PISAC,2010,8,11.4,24.49,5.24
100101,PISAC,2010,9,1.8,24.52,8.68
100101,PISAC,2010,10,72.7,24.24,9.83
100101,PISAC,2010,11,26.3,24.31,10.32
100101,PISAC,2010,12,204.2,22.75,10.25
100101,PISAC,2011,1,100.7,22.34,10.54
100101,PISAC,2011,2,170.6,20.21,10.33
100101,PISAC,2011,3,109.2,20.99,10.3
100101,PISAC,2011,4,32.9,22.56,8.06
100101,PISAC,2011,5,6.8,23.25,5.64
100101,PISAC,2011,6,7.0,24.23,4.69
100101,PISAC,2011,7,8.6,22.21,4.58
100101,PISAC,2011,8,0.6,23.81,6.01
100101,PISAC,2011,9,27.9,22.57,8.55
100101,PISAC,2011,10,26.2,23.88,9.81
100101,PISAC,2011,11,48.0,25.04,9.87
100101,PISAC,2011,12,139.5,21.06,9.84
100101,PISAC,2012,1,67.0,21.8,10.05
100101,PISAC,2012,2,157.0,20.82,10.12
100101,PISAC,2012,3,54.2,21.46,9.46
100101,PISAC,2012,4,30.1,22.1,8.47
100101,PISAC,2012,5,5.5,23.8,-999.0
100101,PISAC,2012,6,0.0,23.6,4.85
100101,PISAC,2012,7,0.8,24.17,4.03
100101,PISAC,2012,8,0.5,24.25,5.23
100101,PISAC,2012,9,24.1,23.19,7.29
100101,PISAC,2012,10,8.6,24.81,9.45
100101,PISAC,2012,11,127.0,25.01,10.67
100101,PISAC,2012,12,146.8,21.01,10.74
100101,PISAC,2013,1,104.8,21.3,9.61
100101,PISAC,2013,2,153.5,21.32,10.41
100101,PISAC,2013,3,68.1,22.83,10.54
100101,PISAC,2013,4,23.3,23.69,7.1
100101,PISAC,2013,5,10.7,22.92,6.08
100101,PISAC,2013,6,5.4,21.91,4.59
100101,PISAC,2013,7,4.1,21.73,3.72
100101,PISAC,2013,8,15.8,23.38,5.45
100101,PISAC,2013,9,5.6,24.86,7.09
100101,PISAC,2013,10,132.0,23.78,9.68
100101,PISAC,2013,11,52.9,23.73,9.53
100101,PISAC,2013,12,170.1,22.05,10.04
100101,PISAC,2014,1,143.8,21.69,10.23
100101,PISAC,2014,2,82.6,22.28,9.8
100101,PISAC,2014,3,68.7,23.17,9.15
100101,PISAC,2014,4,50.0,22.77,7.51
100101,PISAC,2014,5,12.8,23.18,6.31
100101,PISAC,2014,6,0.0,24.49,4.43
100101,PISAC,2014,7,1.3,23.58,3.99
100101,PISAC,2014,8,1.5,23.21,4.89
100101,PISAC,2014,9,22.9,22.61,7.66
100101,PISAC,2014,10,28.2,-999.0,9.01
100101,PISAC,2014,11,12.5,-999.0,9.52
100101,PISAC,2014,12,105.8,-999.0,9.96
100101,PISAC,2015,1,78.0,-999.0,9.68
100101,PISAC,2015,2,49.8,-999.0,9.39
100101,PISAC,2015,3,28.3,-999.0,9.16
100101,PISAC,2015,4,35.5,-999.0,8.75
100101,PISAC,2015,5,12.5,-999.0,7.33
100101,PISAC,2015,6,0.0,-999.0,5.41
100101,PISAC,2015,7,26.8,-999.0,3.73
100101,PISAC,2015,8,3.6,-999.0,4.85
100101,PISAC,2015,9,13.1,-999.0,6.19
100101,PISAC,2015,10,7.4,-999.0,6.97
100101,PISAC,2015,11,20.6,-999.0,8.88
100101,PISAC,2015,12,51.8,-999.0,9.33
100101,PISAC,2016,1,51.8,-999.0,9.22
100101,PISAC,2016,2,84.5,-999.0,10.1
100101,PISAC,2016,3,19.7,-999.0,8.91
100101,PISAC,2016,4,10.0,-999.0,7.79
100101,PISAC,2016,5,22.5,-999.0,5.99
100101,PISAC,2016,6,1.2,-999.0,5.28
100101,PISAC,2016,7,7.3,-999.0,3.33
100101,PISAC,2016,8,0.0,-999.0,4.2
100101,PISAC,2016,9,14.1,-999.0,5.3
100101,PISAC,2016,10,72.9,-999.0,8.41
100101,PISAC,2016,11,27.1,27.29,8.57
100101,PISAC,2016,12,98.2,22.84,9.02
100101,PISAC,2017,1,66.4,21.54,9.81
100101,PISAC,2017,2,52.5,22.52,9.77
100101,PISAC,2017,3,116.2,21.43,9.46
100101,PISAC,2017,4,54.8,21.56,9.11
100101,PISAC,2017,5,12.9,21.73,7.51
100101,PISAC,2017,6,3.2,24.0,5.15
100101,PISAC,2017,7,0.8,24.91,4.42
100101,PISAC,2017,8,5.5,24.98,5.33
100101,PISAC,2017,9,9.0,23.33,8.1
100101,PISAC,2017,10,24.6,25.25,9.46
100101,PISAC,2017,11,40.8,26.13,10.23
100101,PISAC,2017,12,61.9,24.54,10.47
100101,PISAC,2018,1,124.3,22.95,10.06
100101,PISAC,2018,2,121.1,22.52,10.03
100101,PISAC,2018,3,107.0,21.96,9.39
100101,PISAC,2018,4,32.6,22.62,7.81
100101,PISAC,2018,5,3.9,23.44,5.28
100101,PISAC,2018,6,14.2,21.46,3.77
100101,PISAC,2018,7,13.6,20.79,3.18
100101,PISAC,2018,8,15.0,20.85,4.86
100101,PISAC,2018,9,11.8,22.98,6.6
100101,PISAC,2018,10,85.7,21.31,8.96
100101,PISAC,2018,11,92.6,22.84,9.74
100101,PISAC,2018,12,69.4,22.75,8.41
100101,PISAC,2019,1,115.3,21.85,9.27
100101,PISAC,2019,2,77.7,20.69,9.89
