CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
100110,PUNO,1990,1,167.2,14.71,5.24
100110,PUNO,1990,2,22.4,15.32,4.0
100110,PUNO,1990,3,59.9,15.17,3.92
100110,PUNO,1990,4,43.0,14.96,2.94
100110,PUNO,1990,5,12.1,14.81,1.2
100110,PUNO,1990,6,54.7,11.92,-0.31
100110,PUNO,1990,7,0.0,13.09,-1.4
100110,PUNO,1990,8,11.8,13.46,-0.28
100110,PUNO,1990,9,10.1,14.82,0.77
100110,PUNO,1990,10,107.9,15.25,4.15
100110,PUNO,1990,11,94.5,15.08,4.59
100110,PUNO,1990,12,63.2,14.99,5.87
100110,PUNO,1991,1,124.1,14.94,5.35
100110,PUNO,1991,2,67.7,15.44,5.51
100110,PUNO,1991,3,185.8,14.7,5.19
100110,PUNO,1991,4,46.2,14.49,3.48
100110,PUNO,1991,5,6.8,14.11,0.08
100110,PUNO,1991,6,33.6,12.78,-1.67
100110,PUNO,1991,7,0.0,13.12,-1.99
100110,PUNO,1991,8,3.0,14.26,-0.93
100110,PUNO,1991,9,14.7,14.27,1.37
100110,PUNO,1991,10,20.4,15.76,3.19
100110,PUNO,1991,11,44.2,15.56,3.51
100110,PUNO,1991,12,50.3,16.1,4.25
100110,PUNO,1992,1,66.0,14.72,4.91
100110,PUNO,1992,2,89.7,15.07,4.47
100110,PUNO,1992,3,15.7,15.87,3.7
100110,PUNO,1992,4,38.8,16.47,2.5
100110,PUNO,1992,5,0.0,15.87,0.61
100110,PUNO,1992,6,0.0,13.29,-0.36
100110,PUNO,1992,7,2.3,13.28,-1.74
100110,PUNO,1992,8,42.2,13.01,-0.87
100110,PUNO,1992,9,0.0,16.07,1.04
100110,PUNO,1992,10,34.4,15.83,2.53
100110,PUNO,1992,11,29.4,16.19,3.19
100110,PUNO,1992,12,55.1,16.31,4.67
100110,PUNO,1993,1,175.6,14.35,4.85
100110,PUNO,1993,2,100.7,14.86,4.19
100110,PUNO,1993,3,107.0,14.06,5.01
100110,PUNO,1993,4,52.5,15.01,4.14
100110,PUNO,1993,5,6.6,14.69,1.33
100110,PUNO,1993,6,1.1,13.75,-1.97
100110,PUNO,1993,7,0.0,15.46,-1.09
100110,PUNO,1993,8,37.9,14.95,-0.31
100110,PUNO,1993,9,18.0,16.72,1.28
100110,PUNO,1993,10,69.1,16.48,3.53
100110,PUNO,1993,11,79.2,16.65,5.0
100110,PUNO,1993,12,111.5,17.16,6.01
100110,PUNO,1994,1,180.0,16.11,5.66
100110,PUNO,1994,2,183.1,15.38,5.26
100110,PUNO,1994,3,113.3,14.96,4.44
100110,PUNO,1994,4,116.2,14.85,4.09
100110,PUNO,1994,5,29.9,14.7,0.79
100110,PUNO,1994,6,0.4,13.77,-1.64
100110,PUNO,1994,7,0.0,14.7,-1.81
100110,PUNO,1994,8,0.0,15.43,-0.61
100110,PUNO,1994,9,18.3,16.25,1.97
100110,PUNO,1994,10,36.6,17.26,2.74
100110,PUNO,1994,11,52.6,17.21,4.65
100110,PUNO,1994,12,73.2,16.72,5.14
100110,PUNO,1995,1,122.7,16.66,5.52
100110,PUNO,1995,2,102.8,16.51,4.96
100110,PUNO,1995,3,124.0,14.92,4.93
100110,PUNO,1995,4,2.1,16.66,3.07
100110,PUNO,1995,5,4.1,15.85,0.28
100110,PUNO,1995,6,0.0,14.68,-1.69
100110,PUNO,1995,7,0.0,15.58,-1.45
100110,PUNO,1995,8,3.0,17.03,0.03
100110,PUNO,1995,9,21.9,16.79,2.33
100110,PUNO,1995,10,15.3,18.48,3.26
100110,PUNO,1995,11,51.4,17.74,4.47
100110,PUNO,1995,12,80.2,15.92,3.9
100110,PUNO,1996,1,252.7,15.97,4.63
100110,PUNO,1996,2,130.5,14.88,5.15
100110,PUNO,1996,3,60.8,15.81,4.59
100110,PUNO,1996,4,76.3,15.59,3.8
100110,PUNO,1996,5,0.0,15.41,0.83
100110,PUNO,1996,6,0.0,14.45,-1.63
100110,PUNO,1996,7,2.9,14.87,-1.2
100110,PUNO,1996,8,12.8,15.85,1.28
100110,PUNO,1996,9,0.8,17.3,1.51
100110,PUNO,1996,10,10.4,18.41,3.59
100110,PUNO,1996,11,88.3,15.93,3.44
100110,PUNO,1996,12,118.0,16.2,4.59
100110,PUNO,1997,1,239.6,14.59,4.86
100110,PUNO,1997,2,213.2,13.69,4.29
100110,PUNO,1997,3,98.6,13.81,3.9
100110,PUNO,1997,4,88.6,13.63,1.48
100110,PUNO,1997,5,1.0,14.19,-0.06
100110,PUNO,1997,6,0.0,14.24,-2.33
100110,PUNO,1997,7,0.0,15.36,-1.66
100110,PUNO,1997,8,21.9,14.33,-0.34
100110,PUNO,1997,9,108.3,15.93,1.83
100110,PUNO,1997,10,30.1,17.41,2.37
100110,PUNO,1997,11,62.9,17.35,3.85
100110,PUNO,1997,12,44.9,19.03,5.28
100110,PUNO,1998,1,196.4,17.95,6.7
100110,PUNO,1998,2,115.5,18.63,6.43
100110,PUNO,1998,3,135.3,17.84,5.48
100110,PUNO,1998,4,25.4,18.37,3.4
100110,PUNO,1998,5,0.0,17.39,-0.41
100110,PUNO,1998,6,4.9,15.91,0.04
100110,PUNO,1998,7,0.0,16.14,-1.77
100110,PUNO,1998,8,4.3,17.6,0.21
100110,PUNO,1998,9,4.5,18.71,1.03
100110,PUNO,1998,10,-999.0,18.99,3.38
100110,PUNO,1998,11,43.9,18.96,4.19
100110,PUNO,1998,12,56.0,19.11,5.58
100110,PUNO,1999,1,193.1,16.8,5.35
100110,PUNO,1999,2,244.8,15.03,-999.0
100110,PUNO,1999,3,202.0,15.28,5.35
100110,PUNO,1999,4,86.0,15.54,4.27
100110,PUNO,1999,5,7.5,15.28,1.09
100110,PUNO,1999,6,0.0,15.16,-1.71
100110,PUNO,1999,7,0.0,15.92,-0.02
100110,PUNO,1999,8,1.9,16.37,0.95
100110,PUNO,1999,9,16.1,17.21,2.15
100110,PUNO,1999,10,150.3,16.89,3.95
100110,PUNO,1999,11,32.0,18.39,3.9
100110,PUNO,1999,12,68.4,18.47,5.48
100110,PUNO,2000,1,167.1,15.51,5.86
100110,PUNO,2000,2,210.0,15.25,5.47
100110,PUNO,2000,3,105.1,15.59,5.21
100110,PUNO,2000,4,40.3,16.12,3.53
100110,PUNO,2000,5,0.4,16.37,1.35
100110,PUNO,2000,6,2.3,15.39,-0.71
100110,PUNO,2000,7,4.2,14.8,-1.88
100110,PUNO,2000,8,17.9,16.04,0.65
100110,PUNO,2000,9,14.6,18.28,1.69
100110,PUNO,2000,10,95.8,16.01,3.2
100110,PUNO,2000,11,13.9,18.48,2.99
100110,PUNO,2000,12,69.0,16.3,4.14
100110,PUNO,2001,1,250.8,14.34,5.16
100110,PUNO,2001,2,214.6,14.85,5.81
100110,PUNO,2001,3,224.1,14.72,5.1
100110,PUNO,2001,4,69.8,15.03,4.2
100110,PUNO,2001,5,12.2,14.7,1.34
100110,PUNO,2001,6,2.2,14.51,0.58
100110,PUNO,2001,7,0.0,13.54,-0.99
100110,PUNO,2001,8,12.5,14.28,0.0
100110,PUNO,2001,9,27.1,16.29,2.78
100110,PUNO,2001,10,68.4,16.63,3.89
100110,PUNO,2001,11,56.2,17.95,5.27
100110,PUNO,2001,12,81.0,16.7,4.95
100110,PUNO,2002,1,129.6,16.36,5.71
100110,PUNO,2002,2,180.0,15.31,6.34
100110,PUNO,2002,3,170.6,15.77,5.92
100110,PUNO,2002,4,105.3,15.06,4.77
100110,PUNO,2002,5,15.4,14.87,2.28
100110,PUNO,2002,6,21.1,14.39,0.69
100110,PUNO,2002,7,22.7,12.84,-0.61
100110,PUNO,2002,8,30.6,14.89,0.62
100110,PUNO,2002,9,11.6,15.84,2.73
100110,PUNO,2002,10,65.9,16.01,4.17
100110,PUNO,2002,11,-999.0,17.19,4.82
100110,PUNO,2002,12,139.2,16.73,5.7
100110,PUNO,2003,1,174.5,16.35,6.35
100110,PUNO,2003,2,114.4,16.45,6.42
100110,PUNO,2003,3,114.4,15.48,5.86
100110,PUNO,2003,4,46.1,15.79,3.53
100110,PUNO,2003,5,36.7,14.61,1.41
100110,PUNO,2003,6,4.8,13.83,-1.33
100110,PUNO,2003,7,0.2,14.52,-1.07
100110,PUNO,2003,8,9.6,14.95,-0.13
100110,PUNO,2003,9,42.9,15.1,1.12
100110,PUNO,2003,10,25.4,16.73,3.36
100110,PUNO,2003,11,8.6,18.13,4.37
100110,PUNO,2003,12,131.8,17.88,5.74
100110,PUNO,2004,1,208.9,14.9,6.37
