CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
100113,QUEBRADA SHUGAR,1990,1,33.9,-999.0,-999.0
100113,QUEBRADA SHUGAR,1990,2,-999.0,-999.0,-999.0
100113,QUEBRADA SHUGAR,1990,3,9.3,-999.0,-999.0
100113,QUEBRADA SHUGAR,1990,4,70.9,-999.0,-999.0
100113,QUEBRADA SHUGAR,1990,5,49.1,-999.0,-999.0
100113,QUEBRADA SHUGAR,1990,6,34.6,-999.0,-999.0
100113,QUEBRADA SHUGAR,1990,7,4.9,-999.0,-999.0
100113,QUEBRADA SHUGAR,1990,8,6.4,-999.0,-999.0
100113,QUEBRADA SHUGAR,1990,9,26.6,-999.0,-999.0
100113,QUEBRADA SHUGAR,1990,10,94.6,-999.0,-999.0
100113,QUEBRADA SHUGAR,1990,11,98.4,-999.0,-999.0
100113,QUEBRADA SHUGAR,1990,12,61.3,-999.0,-999.0
100113,QUEBRADA SHUGAR,1991,1,76.4,-999.0,-999.0
100113,QUEBRADA SHUGAR,1991,2,-999.0,-999.0,-999.0
100113,QUEBRADA SHUGAR,1991,3,54.1,-999.0,-999.0
100113,QUEBRADA SHUGAR,1991,4,109.3,-999.0,-999.0
100113,QUEBRADA SHUGAR,1991,5,17.6,-999.0,-999.0
100113,QUEBRADA SHUGAR,1991,6,7.4,-999.0,-999.0
100113,QUEBRADA SHUGAR,1991,7,21.6,-999.0,-999.0
100113,QUEBRADA SHUGAR,1991,8,0.0,-999.0,-999.0
100113,QUEBRADA SHUGAR,1991,9,36.4,-999.0,-999.0
100113,QUEBRADA SHUGAR,1991,10,31.5,-999.0,-999.0
100113,QUEBRADA SHUGAR,1991,11,55.0,-999.0,-999.0
100113,QUEBRADA SHUGAR,1991,12,120.2,-999.0,-999.0
100113,QUEBRADA SHUGAR,1992,1,57.0,-999.0,-999.0
100113,QUEBRADA SHUGAR,1992,2,61.3,-999.0,-999.0
100113,QUEBRADA SHUGAR,1992,3,108.1,-999.0,-999.0
100113,QUEBRADA SHUGAR,1992,4,81.1,-999.0,-999.0
100113,QUEBRADA SHUGAR,1992,5,22.6,-999.0,-999.0
100113,QUEBRADA SHUGAR,1992,6,62.2,-999.0,-999.0
100113,QUEBRADA SHUGAR,1992,7,15.3,-999.0,-999.0
100113,QUEBRADA SHUGAR,1992,8,33.2,-999.0,-999.0
100113,QUEBRADA SHUGAR,1992,9,91.8,-999.0,-999.0
100113,QUEBRADA SHUGAR,1992,10,88.5,-999.0,-999.0
100113,QUEBRADA SHUGAR,1992,11,53.7,-999.0,-999.0
100113,QUEBRADA SHUGAR,1992,12,70.6,-999.0,-999.0
