CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
100128,SAN RAMON,1990,1,366.2,30.22,21.12
100128,SAN RAMON,1990,2,220.7,-999.0,21.01
100128,SAN RAMON,1990,3,451.2,30.7,20.81
100128,SAN RAMON,1990,4,197.5,31.16,21.2
100128,SAN RAMON,1990,5,168.3,31.2,19.97
100128,SAN RAMON,1990,6,213.0,29.7,19.2
100128,SAN RAMON,1990,7,135.7,-999.0,18.12
100128,SAN RAMON,1990,8,114.2,-999.0,18.11
100128,SAN RAMON,1990,9,76.4,33.31,19.01
100128,SAN RAMON,1990,10,219.4,31.73,20.07
100128,SAN RAMON,1990,11,229.8,-999.0,20.94
100128,SAN RAMON,1990,12,355.8,30.65,20.94
100128,SAN RAMON,1991,1,-999.0,-999.0,-999.0
100128,SAN RAMON,1991,2,-999.0,-999.0,-999.0
100128,SAN RAMON,1991,3,-999.0,-999.0,-999.0
100128,SAN RAMON,1991,4,-999.0,-999.0,-999.0
100128,SAN RAMON,1991,5,-999.0,-999.0,-999.0
100128,SAN RAMON,1991,6,-999.0,-999.0,-999.0
100128,SAN RAMON,1991,7,38.9,29.94,20.1
100128,SAN RAMON,1991,8,79.3,30.95,20.12
100128,SAN RAMON,1991,9,202.7,31.6,21.31
100128,SAN RAMON,1991,10,185.7,31.25,21.48
100128,SAN RAMON,1991,11,172.5,-999.0,-999.0
100128,SAN RAMON,1991,12,74.4,31.52,22.55
100128,SAN RAMON,1992,1,135.0,-999.0,22.37
100128,SAN RAMON,1992,2,138.1,-999.0,-999.0
100128,SAN RAMON,1992,3,199.3,31.22,22.27
100128,SAN RAMON,1992,4,183.2,31.87,-999.0
100128,SAN RAMON,1992,5,69.3,32.51,22.54
100128,SAN RAMON,1992,6,73.4,31.83,21.75
100128,SAN RAMON,1992,7,23.4,30.62,18.79
100128,SAN RAMON,1992,8,88.0,31.63,19.3
100128,SAN RAMON,1992,9,78.8,-999.0,20.21
100128,SAN RAMON,1992,10,161.9,32.24,20.54
100128,SAN RAMON,1992,11,209.0,31.48,20.85
100128,SAN RAMON,1992,12,197.0,31.15,21.24
100128,SAN RAMON,1993,1,226.1,31.12,21.49
100128,SAN RAMON,1993,2,295.2,30.86,-999.0
100128,SAN RAMON,1993,3,338.3,30.86,-999.0
100128,SAN RAMON,1993,4,139.2,31.22,21.74
100128,SAN RAMON,1993,5,222.7,-999.0,21.15
100128,SAN RAMON,1993,6,125.1,30.95,19.57
100128,SAN RAMON,1993,7,118.4,31.27,19.43
100128,SAN RAMON,1993,8,105.8,30.1,19.47
100128,SAN RAMON,1993,9,176.5,31.38,21.05
100128,SAN RAMON,1993,10,175.1,-999.0,21.51
100128,SAN RAMON,1993,11,213.1,30.64,22.44
100128,SAN RAMON,1993,12,354.3,31.23,22.39
100128,SAN RAMON,1994,1,248.1,-999.0,-999.0
100128,SAN RAMON,1994,2,104.5,31.11,21.83
100128,SAN RAMON,1994,3,273.9,31.77,21.39
100128,SAN RAMON,1994,4,213.1,31.47,21.76
100128,SAN RAMON,1994,5,167.2,31.33,-999.0
100128,SAN RAMON,1994,6,152.3,31.28,20.09
100128,SAN RAMON,1994,7,202.6,31.64,19.53
100128,SAN RAMON,1994,8,73.8,32.31,19.78
100128,SAN RAMON,1994,9,272.0,32.77,21.35
100128,SAN RAMON,1994,10,154.4,31.91,21.28
100128,SAN RAMON,1994,11,214.5,31.61,21.29
100128,SAN RAMON,1994,12,313.8,31.48,22.49
100128,SAN RAMON,1995,1,48.2,32.37,22.06
100128,SAN RAMON,1995,2,220.5,32.25,22.07
100128,SAN RAMON,1995,3,357.0,31.85,22.03
100128,SAN RAMON,1995,4,144.6,31.53,22.28
100128,SAN RAMON,1995,5,143.2,31.38,21.32
100128,SAN RAMON,1995,6,114.5,31.14,21.24
100128,SAN RAMON,1995,7,111.8,31.62,20.78
100128,SAN RAMON,1995,8,81.6,32.62,20.48
100128,SAN RAMON,1995,9,111.7,31.79,-999.0
100128,SAN RAMON,1995,10,112.7,32.27,21.48
100128,SAN RAMON,1995,11,123.5,32.06,21.7
100128,SAN RAMON,1995,12,221.4,31.08,-999.0
100128,SAN RAMON,1996,1,204.4,30.51,21.75
100128,SAN RAMON,1996,2,331.6,-999.0,21.12
100128,SAN RAMON,1996,3,249.6,30.53,21.93
100128,SAN RAMON,1996,4,177.5,-999.0,21.6
100128,SAN RAMON,1996,5,139.1,31.5,21.22
100128,SAN RAMON,1996,6,60.3,31.07,19.95
100128,SAN RAMON,1996,7,92.8,-999.0,18.26
100128,SAN RAMON,1996,8,108.6,31.07,20.23
100128,SAN RAMON,1996,9,81.6,31.75,20.75
100128,SAN RAMON,1996,10,232.7,31.16,20.86
100128,SAN RAMON,1996,11,130.1,31.3,21.92
100128,SAN RAMON,1996,12,209.7,-999.0,21.23
100128,SAN RAMON,1997,1,89.2,31.91,22.05
100128,SAN RAMON,1997,2,242.8,30.1,21.12
100128,SAN RAMON,1997,3,224.9,30.86,21.56
100128,SAN RAMON,1997,4,181.9,31.15,21.7
100128,SAN RAMON,1997,5,153.1,30.9,21.18
100128,SAN RAMON,1997,6,53.0,31.82,21.11
100128,SAN RAMON,1997,7,26.9,32.63,19.89
100128,SAN RAMON,1997,8,40.3,31.52,20.31
100128,SAN RAMON,1997,9,146.9,32.6,20.98
100128,SAN RAMON,1997,10,168.8,-999.0,21.92
100128,SAN RAMON,1997,11,133.6,31.99,22.1
100128,SAN RAMON,1997,12,217.6,32.05,21.97
100128,SAN RAMON,1998,1,179.7,32.02,22.57
100128,SAN RAMON,1998,2,264.3,32.42,22.7
100128,SAN RAMON,1998,3,185.2,32.33,22.79
100128,SAN RAMON,1998,4,233.1,32.21,22.87
100128,SAN RAMON,1998,5,135.7,31.33,20.93
100128,SAN RAMON,1998,6,89.8,31.2,20.15
100128,SAN RAMON,1998,7,53.1,32.44,19.34
100128,SAN RAMON,1998,8,93.9,33.62,20.08
100128,SAN RAMON,1998,9,44.1,-999.0,20.91
100128,SAN RAMON,1998,10,141.3,33.32,21.95
100128,SAN RAMON,1998,11,464.2,31.62,21.49
100128,SAN RAMON,1998,12,356.8,31.51,21.27
100128,SAN RAMON,1999,1,304.1,29.95,21.78
100128,SAN RAMON,1999,2,306.8,30.24,21.05
100128,SAN RAMON,1999,3,187.1,31.51,21.05
100128,SAN RAMON,1999,4,165.3,30.58,20.72
100128,SAN RAMON,1999,5,327.3,30.11,21.06
100128,SAN RAMON,1999,6,141.9,30.57,20.41
100128,SAN RAMON,1999,7,85.6,30.97,19.17
100128,SAN RAMON,1999,8,86.6,31.39,18.15
100128,SAN RAMON,1999,9,121.9,32.29,20.68
100128,SAN RAMON,1999,10,142.6,-999.0,20.83
100128,SAN RAMON,1999,11,304.4,-999.0,20.8
100128,SAN RAMON,1999,12,220.3,31.09,20.86
100128,SAN RAMON,2000,1,215.4,30.18,20.9
100128,SAN RAMON,2000,2,227.3,30.17,20.54
100128,SAN RAMON,2000,3,255.0,30.27,20.84
100128,SAN RAMON,2000,4,347.8,29.46,20.44
100128,SAN RAMON,2000,5,82.3,30.33,20.52
100128,SAN RAMON,2000,6,105.1,30.57,20.83
100128,SAN RAMON,2000,7,64.6,-999.0,19.1
100128,SAN RAMON,2000,8,91.1,30.78,20.22
100128,SAN RAMON,2000,9,231.1,-999.0,20.95
100128,SAN RAMON,2000,10,201.1,-999.0,21.79
100128,SAN RAMON,2000,11,158.5,32.06,23.17
100128,SAN RAMON,2000,12,162.4,31.09,22.6
100128,SAN RAMON,2001,1,146.2,30.25,21.92
100128,SAN RAMON,2001,2,174.3,30.3,21.83
100128,SAN RAMON,2001,3,240.8,29.91,21.51
100128,SAN RAMON,2001,4,234.5,30.77,22.13
100128,SAN RAMON,2001,5,136.0,30.47,21.94
100128,SAN RAMON,2001,6,150.6,29.33,20.45
100128,SAN RAMON,2001,7,113.9,30.35,20.25
100128,SAN RAMON,2001,8,66.6,31.47,20.09
100128,SAN RAMON,2001,9,235.1,31.38,20.49
100128,SAN RAMON,2001,10,183.5,31.63,21.98
100128,SAN RAMON,2001,11,197.4,30.88,21.89
100128,SAN RAMON,2001,12,297.7,30.95,22.26
100128,SAN RAMON,2002,1,109.2,31.42,21.49
100128,SAN RAMON,2002,2,266.5,30.18,21.64
100128,SAN RAMON,2002,3,190.0,30.38,20.76
100128,SAN RAMON,2002,4,289.7,29.77,20.93
100128,SAN RAMON,2002,5,203.6,30.02,20.51
100128,SAN RAMON,2002,6,59.6,30.78,18.54
100128,SAN RAMON,2002,7,223.5,30.09,18.66
100128,SAN RAMON,2002,8,100.8,31.88,18.75
100128,SAN RAMON,2002,9,59.9,32.44,20.96
100128,SAN RAMON,2002,10,106.4,32.33,21.95
100128,SAN RAMON,2002,11,177.7,30.38,21.25
100128,SAN RAMON,2002,12,187.4,30.41,21.73
100128,SAN RAMON,2003,1,302.0,30.91,21.62
100128,SAN RAMON,2003,2,110.6,30.79,21.76
100128,SAN RAMON,2003,3,176.9,31.04,20.95
100128,SAN RAMON,2003,4,100.5,31.65,20.85
100128,SAN RAMON,2003,5,191.2,-999.0,20.05
100128,SAN RAMON,2003,6,333.8,30.36,19.74
100128,SAN RAMON,2003,7,68.3,31.21,18.62
100128,SAN RAMON,2003,8,148.1,-999.0,19.93
100128,SAN RAMON,2003,9,113.3,-999.0,20.18
