CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
102006,EL ESTRECHO,1990,1,32.0,32.19,21.86
102006,EL ESTRECHO,1990,2,3.6,31.61,21.85
102006,EL ESTRECHO,1990,3,2.2,31.72,21.65
102006,EL ESTRECHO,1990,4,21.6,32.09,22.38
102006,EL ESTRECHO,1990,5,24.9,31.21,22.25
102006,EL ESTRECHO,1990,6,61.4,32.2,22.98
102006,EL ESTRECHO,1990,7,101.8,31.68,21.31
102006,EL ESTRECHO,1990,8,21.0,31.87,21.39
102006,EL ESTRECHO,1990,9,36.3,30.73,20.95
102006,EL ESTRECHO,1990,10,6.2,31.66,20.86
102006,EL ESTRECHO,1990,11,16.0,31.51,20.82
102006,EL ESTRECHO,1990,12,26.2,32.09,20.95
102006,EL ESTRECHO,1991,1,59.4,-999.0,-999.0
102006,EL ESTRECHO,1991,2,83.1,-999.0,-999.0
102006,EL ESTRECHO,1991,3,27.9,-999.0,-999.0
102006,EL ESTRECHO,1991,4,109.9,-999.0,-999.0
102006,EL ESTRECHO,1991,5,54.0,-999.0,-999.0
102006,EL ESTRECHO,1991,6,43.4,-999.0,-999.0
102006,EL ESTRECHO,1991,7,83.9,-999.0,-999.0
102006,EL ESTRECHO,1991,8,78.0,-999.0,-999.0
102006,EL ESTRECHO,1991,9,152.3,-999.0,-999.0
102006,EL ESTRECHO,1991,10,196.7,-999.0,-999.0
102006,EL ESTRECHO,1991,11,168.1,-999.0,-999.0
102006,EL ESTRECHO,1991,12,142.9,-999.0,-999.0
102006,EL ESTRECHO,1992,1,-999.0,-999.0,-999.0
102006,EL ESTRECHO,1992,2,-999.0,-999.0,-999.0
102006,EL ESTRECHO,1992,3,-999.0,-999.0,-999.0
102006,EL ESTRECHO,1992,4,-999.0,-999.0,-999.0
102006,EL ESTRECHO,1992,5,-999.0,-999.0,-999.0
102006,EL ESTRECHO,1992,6,-999.0,-999.0,-999.0
102006,EL ESTRECHO,1992,7,-999.0,-999.0,-999.0
102006,EL ESTRECHO,1992,8,-999.0,-999.0,-999.0
102006,EL ESTRECHO,1992,9,-999.0,-999.0,-999.0
102006,EL ESTRECHO,1992,10,-999.0,-999.0,-999.0
102006,EL ESTRECHO,1992,11,-999.0,-999.0,-999.0
102006,EL ESTRECHO,1992,12,-999.0,-999.0,-999.0
102006,EL ESTRECHO,1993,1,-999.0,-999.0,-999.0
102006,EL ESTRECHO,1993,2,-999.0,-999.0,-999.0
