CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
103008,MATAPALO,1990,1,29.5,-999.0,-999.0
103008,MATAPALO,1990,2,117.8,-999.0,-999.0
103008,MATAPALO,1990,3,33.9,-999.0,-999.0
103008,MATAPALO,1990,4,30.5,-999.0,-999.0
103008,MATAPALO,1990,5,4.5,-999.0,-999.0
103008,MATAPALO,1990,6,4.8,-999.0,-999.0
103008,MATAPALO,1990,7,1.6,-999.0,-999.0
103008,MATAPALO,1990,8,1.4,-999.0,-999.0
103008,MATAPALO,1990,9,0.4,-999.0,-999.0
103008,MATAPALO,1990,10,7.8,-999.0,-999.0
103008,MATAPALO,1990,11,1.6,-999.0,-999.0
103008,MATAPALO,1990,12,11.5,-999.0,-999.0
103008,MATAPALO,1991,1,15.5,-999.0,-999.0
103008,MATAPALO,1991,2,197.2,-999.0,-999.0
103008,MATAPALO,1991,3,106.5,-999.0,-999.0
103008,MATAPALO,1991,4,30.9,-999.0,-999.0
103008,MATAPALO,1991,5,21.0,-999.0,-999.0
103008,MATAPALO,1991,6,-999.0,-999.0,-999.0
103008,MATAPALO,1991,7,-999.0,-999.0,-999.0
103008,MATAPALO,1991,8,-999.0,-999.0,-999.0
103008,MATAPALO,1991,9,-999.0,-999.0,-999.0
103008,MATAPALO,1991,10,-999.0,-999.0,-999.0
103008,MATAPALO,1991,11,-999.0,-999.0,-999.0
103008,MATAPALO,1991,12,-999.0,-999.0,-999.0
103008,MATAPALO,1992,1,-999.0,-999.0,-999.0
103008,MATAPALO,1992,2,-999.0,-999.0,-999.0
103008,MATAPALO,1992,3,-999.0,-999.0,-999.0
103008,MATAPALO,1992,4,-999.0,-999.0,-999.0
103008,MATAPALO,1992,5,-999.0,-999.0,-999.0
103008,MATAPALO,1992,6,-999.0,-999.0,-999.0
103008,MATAPALO,1992,7,-999.0,-999.0,-999.0
103008,MATAPALO,1992,8,-999.0,-999.0,-999.0
103008,MATAPALO,1992,9,-999.0,-999.0,-999.0
103008,MATAPALO,1992,10,-999.0,-999.0,-999.0
103008,MATAPALO,1992,11,-999.0,-999.0,-999.0
103008,MATAPALO,1992,12,-999.0,-999.0,-999.0
103008,MATAPALO,1993,1,-999.0,-999.0,-999.0
103008,MATAPALO,1993,2,-999.0,-999.0,-999.0
103008,MATAPALO,1993,3,-999.0,-999.0,-999.0
103008,MATAPALO,1993,4,-999.0,-999.0,-999.0
103008,MATAPALO,1993,5,74.0,-999.0,-999.0
103008,MATAPALO,1993,6,3.1,-999.0,-999.0
103008,MATAPALO,1993,7,8.9,-999.0,-999.0
103008,MATAPALO,1993,8,1.7,-999.0,-999.0
103008,MATAPALO,1993,9,3.1,-999.0,-999.0
103008,MATAPALO,1993,10,9.6,-999.0,-999.0
103008,MATAPALO,1993,11,2.8,-999.0,-999.0
103008,MATAPALO,1993,12,18.0,-999.0,-999.0
103008,MATAPALO,1994,1,214.3,-999.0,-999.0
103008,MATAPALO,1994,2,131.2,-999.0,-999.0
103008,MATAPALO,1994,3,122.7,-999.0,-999.0
103008,MATAPALO,1994,4,112.3,-999.0,-999.0
103008,MATAPALO,1994,5,9.6,-999.0,-999.0
103008,MATAPALO,1994,6,4.7,-999.0,-999.0
103008,MATAPALO,1994,7,1.5,-999.0,-999.0
103008,MATAPALO,1994,8,0.9,-999.0,-999.0
103008,MATAPALO,1994,9,3.7,-999.0,-999.0
103008,MATAPALO,1994,10,1.5,-999.0,-999.0
103008,MATAPALO,1994,11,3.1,-999.0,-999.0
103008,MATAPALO,1994,12,48.2,-999.0,-999.0
103008,MATAPALO,1995,1,121.6,-999.0,-999.0
103008,MATAPALO,1995,2,357.7,-999.0,-999.0
103008,MATAPALO,1995,3,59.9,-999.0,-999.0
103008,MATAPALO,1995,4,32.9,-999.0,-999.0
103008,MATAPALO,1995,5,9.3,-999.0,-999.0
103008,MATAPALO,1995,6,0.0,-999.0,-999.0
103008,MATAPALO,1995,7,4.0,-999.0,-999.0
103008,MATAPALO,1995,8,2.4,-999.0,-999.0
103008,MATAPALO,1995,9,0.9,-999.0,-999.0
103008,MATAPALO,1995,10,6.8,-999.0,-999.0
103008,MATAPALO,1995,11,41.6,-999.0,-999.0
103008,MATAPALO,1995,12,47.7,-999.0,-999.0
103008,MATAPALO,1996,1,81.2,-999.0,-999.0
103008,MATAPALO,1996,2,118.2,-999.0,-999.0
103008,MATAPALO,1996,3,51.0,-999.0,-999.0
103008,MATAPALO,1996,4,8.5,-999.0,-999.0
103008,MATAPALO,1996,5,1.0,-999.0,-999.0
103008,MATAPALO,1996,6,4.1,-999.0,-999.0
103008,MATAPALO,1996,7,1.0,-999.0,-999.0
103008,MATAPALO,1996,8,1.4,-999.0,-999.0
103008,MATAPALO,1996,9,1.6,-999.0,-999.0
103008,MATAPALO,1996,10,4.9,-999.0,-999.0
103008,MATAPALO,1996,11,1.9,-999.0,-999.0
103008,MATAPALO,1996,12,7.5,-999.0,-999.0
103008,MATAPALO,1997,1,22.5,-999.0,-999.0
103008,MATAPALO,1997,2,46.8,-999.0,-999.0
103008,MATAPALO,1997,3,167.7,-999.0,-999.0
103008,MATAPALO,1997,4,140.9,-999.0,-999.0
103008,MATAPALO,1997,5,52.4,-999.0,-999.0
103008,MATAPALO,1997,6,38.5,-999.0,-999.0
103008,MATAPALO,1997,7,4.6,-999.0,-999.0
103008,MATAPALO,1997,8,0.0,-999.0,-999.0
103008,MATAPALO,1997,9,13.2,-999.0,-999.0
103008,MATAPALO,1997,10,41.3,-999.0,-999.0
103008,MATAPALO,1997,11,140.2,-999.0,-999.0
103008,MATAPALO,1997,12,512.2,-999.0,-999.0
103008,MATAPALO,1998,1,705.1,-999.0,-999.0
103008,MATAPALO,1998,2,935.2,-999.0,-999.0
103008,MATAPALO,1998,3,543.8,-999.0,-999.0
103008,MATAPALO,1998,4,220.6,-999.0,-999.0
103008,MATAPALO,1998,5,129.4,-999.0,-999.0
103008,MATAPALO,1998,6,11.8,-999.0,-999.0
103008,MATAPALO,1998,7,21.9,-999.0,-999.0
103008,MATAPALO,1998,8,0.6,-999.0,-999.0
103008,MATAPALO,1998,9,1.4,-999.0,-999.0
103008,MATAPALO,1998,10,7.8,-999.0,-999.0
103008,MATAPALO,1998,11,4.2,-999.0,-999.0
103008,MATAPALO,1998,12,17.3,-999.0,-999.0
103008,MATAPALO,1999,1,27.7,-999.0,-999.0
103008,MATAPALO,1999,2,346.6,-999.0,-999.0
103008,MATAPALO,1999,3,147.3,-999.0,-999.0
103008,MATAPALO,1999,4,170.5,-999.0,-999.0
103008,MATAPALO,1999,5,34.4,-999.0,-999.0
103008,MATAPALO,1999,6,3.6,-999.0,-999.0
103008,MATAPALO,1999,7,1.9,-999.0,-999.0
103008,MATAPALO,1999,8,2.1,-999.0,-999.0
103008,MATAPALO,1999,9,3.0,-999.0,-999.0
103008,MATAPALO,1999,10,3.9,-999.0,-999.0
103008,MATAPALO,1999,11,2.3,-999.0,-999.0
103008,MATAPALO,1999,12,21.4,-999.0,-999.0
103008,MATAPALO,2000,1,14.1,-999.0,-999.0
103008,MATAPALO,2000,2,104.5,-999.0,-999.0
103008,MATAPALO,2000,3,279.9,-999.0,-999.0
103008,MATAPALO,2000,4,94.6,-999.0,-999.0
103008,MATAPALO,2000,5,154.6,-999.0,-999.0
103008,MATAPALO,2000,6,6.2,-999.0,-999.0
103008,MATAPALO,2000,7,2.4,-999.0,-999.0
103008,MATAPALO,2000,8,3.5,-999.0,-999.0
103008,MATAPALO,2000,9,2.8,-999.0,-999.0
103008,MATAPALO,2000,10,0.4,-999.0,-999.0
103008,MATAPALO,2000,11,0.1,-999.0,-999.0
103008,MATAPALO,2000,12,27.3,-999.0,-999.0
103008,MATAPALO,2001,1,81.3,-999.0,-999.0
103008,MATAPALO,2001,2,121.1,-999.0,-999.0
103008,MATAPALO,2001,3,298.9,-999.0,-999.0
103008,MATAPALO,2001,4,64.3,-999.0,-999.0
103008,MATAPALO,2001,5,13.1,-999.0,-999.0
103008,MATAPALO,2001,6,2.8,-999.0,-999.0
103008,MATAPALO,2001,7,2.2,-999.0,-999.0
103008,MATAPALO,2001,8,0.3,-999.0,-999.0
103008,MATAPALO,2001,9,0.4,-999.0,-999.0
