CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
103031,CABALLOCOCHA,1990,1,269.0,-999.0,21.63
103031,CABALLOCOCHA,1990,2,139.7,30.49,22.29
103031,CABALLOCOCHA,1990,3,160.8,30.85,22.23
103031,CABALLOCOCHA,1990,4,53.8,32.55,22.32
103031,CABALLOCOCHA,1990,5,217.7,31.46,21.92
103031,CABALLOCOCHA,1990,6,72.0,-999.0,21.73
103031,CABALLOCOCHA,1990,7,50.6,-999.0,20.92
103031,CABALLOCOCHA,1990,8,120.0,-999.0,22.05
103031,CABALLOCOCHA,1990,9,122.5,32.87,21.92
103031,CABALLOCOCHA,1990,10,251.0,-999.0,22.26
103031,CABALLOCOCHA,1990,11,198.2,-999.0,22.31
103031,CABALLOCOCHA,1990,12,136.8,-999.0,22.09
103031,CABALLOCOCHA,1991,1,210.1,-999.0,21.45
103031,CABALLOCOCHA,1991,2,130.6,-999.0,21.19
103031,CABALLOCOCHA,1991,3,285.3,-999.0,21.66
103031,CABALLOCOCHA,1991,4,297.6,-999.0,22.11
103031,CABALLOCOCHA,1991,5,211.6,-999.0,22.37
103031,CABALLOCOCHA,1991,6,113.4,-999.0,21.73
103031,CABALLOCOCHA,1991,7,51.1,-999.0,20.69
103031,CABALLOCOCHA,1991,8,50.6,-999.0,21.91
103031,CABALLOCOCHA,1991,9,74.9,33.3,21.92
103031,CABALLOCOCHA,1991,10,23.3,-999.0,21.92
103031,CABALLOCOCHA,1991,11,114.9,32.98,22.63
103031,CABALLOCOCHA,1991,12,188.6,-999.0,22.63
103031,CABALLOCOCHA,1992,1,210.3,-999.0,21.61
103031,CABALLOCOCHA,1992,2,266.4,-999.0,-999.0
103031,CABALLOCOCHA,1992,3,65.6,-999.0,21.66
103031,CABALLOCOCHA,1992,4,297.8,-999.0,-999.0
103031,CABALLOCOCHA,1992,5,211.6,-999.0,-999.0
103031,CABALLOCOCHA,1992,6,32.8,32.26,22.32
103031,CABALLOCOCHA,1992,7,37.2,31.35,21.75
103031,CABALLOCOCHA,1992,8,24.6,31.17,21.71
103031,CABALLOCOCHA,1992,9,179.8,32.66,21.94
103031,CABALLOCOCHA,1992,10,143.1,32.32,22.14
103031,CABALLOCOCHA,1992,11,95.5,33.0,22.35
103031,CABALLOCOCHA,1992,12,382.4,-999.0,22.33
103031,CABALLOCOCHA,1993,1,136.6,-999.0,22.08
103031,CABALLOCOCHA,1993,2,288.4,-999.0,-999.0
103031,CABALLOCOCHA,1993,3,177.2,-999.0,21.93
103031,CABALLOCOCHA,1993,4,1137.1,-999.0,21.33
103031,CABALLOCOCHA,1993,5,108.6,-999.0,22.19
103031,CABALLOCOCHA,1993,6,164.2,-999.0,21.67
103031,CABALLOCOCHA,1993,7,32.0,32.85,21.89
103031,CABALLOCOCHA,1993,8,66.8,32.51,21.01
103031,CABALLOCOCHA,1993,9,36.2,32.74,21.71
103031,CABALLOCOCHA,1993,10,156.4,32.07,21.32
103031,CABALLOCOCHA,1993,11,342.2,-999.0,22.69
103031,CABALLOCOCHA,1993,12,133.6,32.21,22.72
103031,CABALLOCOCHA,1994,1,449.1,31.76,23.4
103031,CABALLOCOCHA,1994,2,421.0,-999.0,22.96
103031,CABALLOCOCHA,1994,3,402.6,-999.0,-999.0
103031,CABALLOCOCHA,1994,4,237.5,31.59,24.6
103031,CABALLOCOCHA,1994,5,321.1,32.48,24.45
103031,CABALLOCOCHA,1994,6,363.3,31.69,-999.0
103031,CABALLOCOCHA,1994,7,87.0,31.83,22.49
103031,CABALLOCOCHA,1994,8,112.0,32.25,22.77
103031,CABALLOCOCHA,1994,9,276.6,31.26,22.91
103031,CABALLOCOCHA,1994,10,136.0,-999.0,24.1
103031,CABALLOCOCHA,1994,11,188.0,32.65,23.78
103031,CABALLOCOCHA,1994,12,261.9,-999.0,-999.0
103031,CABALLOCOCHA,1995,1,343.6,31.56,22.85
103031,CABALLOCOCHA,1995,2,223.0,-999.0,23.25
103031,CABALLOCOCHA,1995,3,407.0,31.37,22.7
103031,CABALLOCOCHA,1995,4,314.7,-999.0,22.77
103031,CABALLOCOCHA,1995,5,287.5,-999.0,22.6
103031,CABALLOCOCHA,1995,6,200.5,30.9,22.19
103031,CABALLOCOCHA,1995,7,106.5,31.89,21.87
103031,CABALLOCOCHA,1995,8,58.0,33.84,-999.0
103031,CABALLOCOCHA,1995,9,167.7,-999.0,22.84
103031,CABALLOCOCHA,1995,10,242.5,32.34,22.19
103031,CABALLOCOCHA,1995,11,375.8,32.02,23.77
103031,CABALLOCOCHA,1995,12,321.1,-999.0,22.96
103031,CABALLOCOCHA,1996,1,304.0,31.24,22.6
103031,CABALLOCOCHA,1996,2,284.0,31.5,22.55
103031,CABALLOCOCHA,1996,3,229.2,31.67,22.89
103031,CABALLOCOCHA,1996,4,240.5,30.83,23.11
103031,CABALLOCOCHA,1996,5,320.0,31.58,23.12
103031,CABALLOCOCHA,1996,6,245.5,29.93,22.17
103031,CABALLOCOCHA,1996,7,175.5,30.73,21.7
