CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
103036,RICA PLAYA,1990,1,11.3,34.73,-999.0
103036,RICA PLAYA,1990,2,26.6,34.41,-999.0
103036,RICA PLAYA,1990,3,27.5,34.77,-999.0
103036,RICA PLAYA,1990,4,11.3,34.32,-999.0
103036,RICA PLAYA,1990,5,0.4,34.03,-999.0
103036,RICA PLAYA,1990,6,1.8,33.3,-999.0
103036,RICA PLAYA,1990,7,0.4,31.55,-999.0
103036,RICA PLAYA,1990,8,0.0,30.72,-999.0
103036,RICA PLAYA,1990,9,-999.0,30.49,-999.0
103036,RICA PLAYA,1990,10,1.2,31.08,-999.0
103036,RICA PLAYA,1990,11,2.6,31.96,-999.0
103036,RICA PLAYA,1990,12,1.4,34.04,-999.0
103036,RICA PLAYA,1991,1,0.4,35.37,-999.0
103036,RICA PLAYA,1991,2,71.4,35.08,-999.0
103036,RICA PLAYA,1991,3,-999.0,-999.0,-999.0
103036,RICA PLAYA,1991,4,2.6,35.01,-999.0
103036,RICA PLAYA,1991,5,19.7,34.55,-999.0
103036,RICA PLAYA,1991,6,-999.0,-999.0,-999.0
103036,RICA PLAYA,1991,7,0.0,33.05,-999.0
103036,RICA PLAYA,1991,8,0.0,31.93,-999.0
103036,RICA PLAYA,1991,9,0.0,-999.0,-999.0
103036,RICA PLAYA,1991,10,1.3,-999.0,-999.0
103036,RICA PLAYA,1991,11,1.5,-999.0,-999.0
103036,RICA PLAYA,1991,12,12.6,-999.0,-999.0
103036,RICA PLAYA,1992,1,-999.0,-999.0,-999.0
103036,RICA PLAYA,1992,2,-999.0,-999.0,-999.0
103036,RICA PLAYA,1992,3,-999.0,-999.0,-999.0
103036,RICA PLAYA,1992,4,287.2,-999.0,-999.0
103036,RICA PLAYA,1992,5,205.1,32.95,-999.0
103036,RICA PLAYA,1992,6,2.6,32.07,-999.0
103036,RICA PLAYA,1992,7,0.3,31.49,-999.0
103036,RICA PLAYA,1992,8,0.0,30.12,19.04
103036,RICA PLAYA,1992,9,0.5,30.27,19.11
103036,RICA PLAYA,1992,10,0.9,30.79,19.52
103036,RICA PLAYA,1992,11,8.3,31.22,20.36
103036,RICA PLAYA,1992,12,5.8,32.21,20.72
103036,RICA PLAYA,1993,1,18.0,32.86,22.83
103036,RICA PLAYA,1993,2,214.7,31.49,22.41
103036,RICA PLAYA,1993,3,131.8,32.14,22.49
103036,RICA PLAYA,1993,4,76.8,32.69,22.74
103036,RICA PLAYA,1993,5,39.0,31.62,21.73
103036,RICA PLAYA,1993,6,1.3,31.94,21.27
103036,RICA PLAYA,1993,7,-999.0,31.4,20.12
103036,RICA PLAYA,1993,8,-999.0,30.51,18.95
103036,RICA PLAYA,1993,9,0.0,30.63,20.04
103036,RICA PLAYA,1993,10,12.4,31.14,20.19
103036,RICA PLAYA,1993,11,0.0,31.6,20.17
103036,RICA PLAYA,1993,12,1.1,32.62,22.69
103036,RICA PLAYA,1994,1,116.1,32.38,23.12
103036,RICA PLAYA,1994,2,155.2,31.62,-999.0
103036,RICA PLAYA,1994,3,69.2,32.1,22.23
103036,RICA PLAYA,1994,4,-999.0,31.68,22.34
103036,RICA PLAYA,1994,5,-999.0,32.17,21.94
103036,RICA PLAYA,1994,6,1.7,31.31,20.2
103036,RICA PLAYA,1994,7,-999.0,-999.0,-999.0
103036,RICA PLAYA,1994,8,0.0,29.54,18.55
103036,RICA PLAYA,1994,9,0.0,30.26,19.32
103036,RICA PLAYA,1994,10,1.7,31.44,20.26
103036,RICA PLAYA,1994,11,0.0,32.02,21.47
103036,RICA PLAYA,1994,12,21.3,32.46,23.05
103036,RICA PLAYA,1995,1,46.1,32.13,22.93
103036,RICA PLAYA,1995,2,96.5,31.47,23.03
103036,RICA PLAYA,1995,3,-999.0,33.64,22.94
103036,RICA PLAYA,1995,4,3.8,34.18,22.89
103036,RICA PLAYA,1995,5,21.5,33.34,22.65
103036,RICA PLAYA,1995,6,0.0,32.43,20.77
103036,RICA PLAYA,1995,7,1.8,31.31,20.58
103036,RICA PLAYA,1995,8,0.0,31.03,19.65
103036,RICA PLAYA,1995,9,0.0,31.4,20.17
103036,RICA PLAYA,1995,10,0.5,31.13,20.82
103036,RICA PLAYA,1995,11,5.9,31.39,21.48
103036,RICA PLAYA,1995,12,22.2,32.31,21.96
103036,RICA PLAYA,1996,1,41.6,32.61,22.98
103036,RICA PLAYA,1996,2,25.4,33.62,22.53
103036,RICA PLAYA,1996,3,33.1,32.75,22.9
103036,RICA PLAYA,1996,4,23.9,33.88,22.89
103036,RICA PLAYA,1996,5,1.1,32.87,22.24
103036,RICA PLAYA,1996,6,0.3,30.54,20.41
103036,RICA PLAYA,1996,7,0.0,30.04,19.14
103036,RICA PLAYA,1996,8,0.0,30.02,19.07
103036,RICA PLAYA,1996,9,0.0,30.24,19.82
103036,RICA PLAYA,1996,10,0.4,30.05,20.1
103036,RICA PLAYA,1996,11,0.1,30.92,20.39
103036,RICA PLAYA,1996,12,3.1,32.33,22.07
103036,RICA PLAYA,1997,1,11.5,32.98,23.3
103036,RICA PLAYA,1997,2,60.6,33.83,23.92
103036,RICA PLAYA,1997,3,118.6,33.55,23.98
103036,RICA PLAYA,1997,4,101.5,33.37,23.27
103036,RICA PLAYA,1997,5,52.0,34.19,24.04
103036,RICA PLAYA,1997,6,19.2,32.88,23.93
103036,RICA PLAYA,1997,7,7.0,33.88,23.65
103036,RICA PLAYA,1997,8,0.7,-999.0,23.54
103036,RICA PLAYA,1997,9,43.0,-999.0,24.04
103036,RICA PLAYA,1997,10,6.2,34.14,24.02
103036,RICA PLAYA,1997,11,110.3,33.21,24.55
103036,RICA PLAYA,1997,12,611.7,33.0,24.61
