CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
103041,EL SALTO,1990,1,0.5,29.53,22.55
103041,EL SALTO,1990,2,4.5,30.09,22.62
103041,EL SALTO,1990,3,2.0,30.35,23.05
103041,EL SALTO,1990,4,0.8,29.89,22.73
103041,EL SALTO,1990,5,0.0,28.94,21.76
103041,EL SALTO,1990,6,0.0,27.45,20.94
103041,EL SALTO,1990,7,0.0,25.69,19.03
103041,EL SALTO,1990,8,0.8,24.35,19.08
103041,EL SALTO,1990,9,-999.0,-999.0,-999.0
103041,EL SALTO,1990,10,0.6,25.2,20.12
103041,EL SALTO,1990,11,2.0,25.67,20.42
103041,EL SALTO,1990,12,1.0,27.98,21.79
103041,EL SALTO,1991,1,-999.0,29.49,22.83
103041,EL SALTO,1991,2,-999.0,-999.0,-999.0
103041,EL SALTO,1991,3,-999.0,31.23,23.68
103041,EL SALTO,1991,4,2.5,31.1,23.05
103041,EL SALTO,1991,5,-999.0,-999.0,-999.0
103041,EL SALTO,1991,6,0.2,28.31,21.29
103041,EL SALTO,1991,7,0.0,26.67,20.23
103041,EL SALTO,1991,8,0.0,26.42,20.12
103041,EL SALTO,1991,9,0.0,25.33,19.77
103041,EL SALTO,1991,10,0.2,27.14,20.59
103041,EL SALTO,1991,11,0.0,28.24,21.54
103041,EL SALTO,1991,12,1.0,30.06,-999.0
103041,EL SALTO,1992,1,41.7,30.51,22.86
103041,EL SALTO,1992,2,238.0,31.07,-999.0
103041,EL SALTO,1992,3,353.6,31.03,23.3
103041,EL SALTO,1992,4,56.7,31.9,-999.0
103041,EL SALTO,1992,5,75.0,31.13,23.0
103041,EL SALTO,1992,6,0.0,29.1,21.47
103041,EL SALTO,1992,7,0.0,27.9,19.73
103041,EL SALTO,1992,8,1.0,26.12,-999.0
103041,EL SALTO,1992,9,0.0,26.09,-999.0
103041,EL SALTO,1992,10,3.5,26.52,-999.0
103041,EL SALTO,1992,11,2.0,26.98,21.49
103041,EL SALTO,1992,12,0.0,28.59,21.96
103041,EL SALTO,1993,1,19.0,30.03,23.04
103041,EL SALTO,1993,2,251.2,30.39,23.28
103041,EL SALTO,1993,3,224.0,30.33,23.25
103041,EL SALTO,1993,4,89.5,30.14,23.83
103041,EL SALTO,1993,5,13.4,29.93,23.57
103041,EL SALTO,1993,6,-999.0,28.71,22.77
103041,EL SALTO,1993,7,-999.0,27.24,21.64
103041,EL SALTO,1993,8,-999.0,25.93,-999.0
103041,EL SALTO,1993,9,0.1,25.56,20.34
103041,EL SALTO,1993,10,0.0,26.08,21.4
103041,EL SALTO,1993,11,0.0,26.53,21.25
103041,EL SALTO,1993,12,0.0,28.12,22.6
103041,EL SALTO,1994,1,42.5,29.76,23.41
103041,EL SALTO,1994,2,95.5,29.98,23.29
103041,EL SALTO,1994,3,30.0,29.29,22.85
103041,EL SALTO,1994,4,9.0,29.26,23.21
103041,EL SALTO,1994,5,1.0,28.46,22.48
103041,EL SALTO,1994,6,0.0,27.1,21.33
103041,EL SALTO,1994,7,0.0,24.65,19.65
103041,EL SALTO,1994,8,0.0,23.74,19.49
103041,EL SALTO,1994,9,0.0,23.95,-999.0
103041,EL SALTO,1994,10,0.0,26.63,21.41
