CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
103042,CAÑAVERAL,1990,1,-999.0,-999.0,-999.0
103042,CAÑAVERAL,1990,2,-999.0,-999.0,-999.0
103042,CAÑAVERAL,1990,3,-999.0,-999.0,-999.0
103042,CAÑAVERAL,1990,4,-999.0,-999.0,-999.0
103042,CAÑAVERAL,1990,5,-999.0,-999.0,-999.0
103042,CAÑAVERAL,1990,6,-999.0,-999.0,-999.0
103042,CAÑAVERAL,1990,7,-999.0,-999.0,-999.0
103042,CAÑAVERAL,1990,8,-999.0,-999.0,-999.0
103042,CAÑAVERAL,1990,9,-999.0,-999.0,-999.0
103042,CAÑAVERAL,1990,10,-999.0,-999.0,-999.0
103042,CAÑAVERAL,1990,11,-999.0,-999.0,-999.0
103042,CAÑAVERAL,1990,12,-999.0,-999.0,-999.0
103042,CAÑAVERAL,1991,1,-999.0,-999.0,-999.0
103042,CAÑAVERAL,1991,2,-999.0,-999.0,-999.0
103042,CAÑAVERAL,1991,3,-999.0,-999.0,-999.0
103042,CAÑAVERAL,1991,4,-999.0,-999.0,-999.0
103042,CAÑAVERAL,1991,5,-999.0,-999.0,-999.0
103042,CAÑAVERAL,1991,6,-999.0,-999.0,-999.0
103042,CAÑAVERAL,1991,7,-999.0,-999.0,-999.0
103042,CAÑAVERAL,1991,8,0.0,30.27,17.87
103042,CAÑAVERAL,1991,9,0.0,30.36,18.28
103042,CAÑAVERAL,1991,10,-999.0,-999.0,-999.0
103042,CAÑAVERAL,1991,11,-999.0,-999.0,-999.0
103042,CAÑAVERAL,1991,12,0.2,-999.0,22.75
103042,CAÑAVERAL,1992,1,44.8,-999.0,23.25
103042,CAÑAVERAL,1992,2,221.4,-999.0,23.28
103042,CAÑAVERAL,1992,3,715.9,-999.0,23.43
103042,CAÑAVERAL,1992,4,230.4,31.37,23.36
103042,CAÑAVERAL,1992,5,107.9,31.48,22.34
103042,CAÑAVERAL,1992,6,1.2,30.8,-999.0
103042,CAÑAVERAL,1992,7,0.0,30.78,17.85
103042,CAÑAVERAL,1992,8,0.0,30.55,17.56
103042,CAÑAVERAL,1992,9,0.0,30.51,18.22
103042,CAÑAVERAL,1992,10,0.0,30.81,18.83
103042,CAÑAVERAL,1992,11,0.0,30.89,19.09
103042,CAÑAVERAL,1992,12,1.2,31.71,20.34
103042,CAÑAVERAL,1993,1,6.8,32.01,22.51
103042,CAÑAVERAL,1993,2,152.4,31.11,22.69
103042,CAÑAVERAL,1993,3,72.8,31.38,22.54
103042,CAÑAVERAL,1993,4,74.1,32.33,22.5
103042,CAÑAVERAL,1993,5,11.1,32.14,21.69
103042,CAÑAVERAL,1993,6,3.5,31.65,21.05
103042,CAÑAVERAL,1993,7,0.0,31.11,19.95
103042,CAÑAVERAL,1993,8,0.0,30.41,18.31
103042,CAÑAVERAL,1993,9,0.0,30.47,19.95
103042,CAÑAVERAL,1993,10,1.0,30.95,20.24
103042,CAÑAVERAL,1993,11,0.0,31.05,19.77
103042,CAÑAVERAL,1993,12,0.0,31.81,22.7
103042,CAÑAVERAL,1994,1,104.5,31.73,23.01
103042,CAÑAVERAL,1994,2,95.8,30.99,22.56
103042,CAÑAVERAL,1994,3,50.4,31.63,22.09
103042,CAÑAVERAL,1994,4,11.5,31.84,-999.0
103042,CAÑAVERAL,1994,5,3.6,32.25,21.5
103042,CAÑAVERAL,1994,6,0.0,31.27,19.58
103042,CAÑAVERAL,1994,7,0.2,29.63,17.64
103042,CAÑAVERAL,1994,8,0.0,29.64,17.81
103042,CAÑAVERAL,1994,9,0.0,30.44,18.85
103042,CAÑAVERAL,1994,10,0.0,30.96,19.77
103042,CAÑAVERAL,1994,11,0.5,31.31,21.32
103042,CAÑAVERAL,1994,12,17.2,32.15,22.7
103042,CAÑAVERAL,1995,1,2.8,32.22,23.35
103042,CAÑAVERAL,1995,2,77.7,31.08,22.63
103042,CAÑAVERAL,1995,3,15.5,32.88,22.86
103042,CAÑAVERAL,1995,4,16.4,33.36,22.49
103042,CAÑAVERAL,1995,5,1.9,32.7,22.6
103042,CAÑAVERAL,1995,6,0.0,31.86,20.64
103042,CAÑAVERAL,1995,7,0.7,30.74,20.14
103042,CAÑAVERAL,1995,8,0.0,-999.0,18.91
103042,CAÑAVERAL,1995,9,0.0,30.2,19.08
103042,CAÑAVERAL,1995,10,0.0,29.72,-999.0
103042,CAÑAVERAL,1995,11,0.0,30.56,20.7
103042,CAÑAVERAL,1995,12,14.6,31.29,21.3
103042,CAÑAVERAL,1996,1,2.7,32.14,23.02
103042,CAÑAVERAL,1996,2,24.2,33.01,22.9
103042,CAÑAVERAL,1996,3,32.1,32.66,22.98
103042,CAÑAVERAL,1996,4,2.0,33.1,22.98
103042,CAÑAVERAL,1996,5,0.5,32.08,21.68
103042,CAÑAVERAL,1996,6,0.0,29.91,19.42
103042,CAÑAVERAL,1996,7,0.0,29.15,17.88
103042,CAÑAVERAL,1996,8,0.0,29.33,18.06
103042,CAÑAVERAL,1996,9,0.0,29.46,18.92
103042,CAÑAVERAL,1996,10,0.0,29.78,19.79
103042,CAÑAVERAL,1996,11,0.0,29.83,18.85
103042,CAÑAVERAL,1996,12,0.0,31.06,21.71
103042,CAÑAVERAL,1997,1,-999.0,-999.0,-999.0
103042,CAÑAVERAL,1997,2,23.4,-999.0,23.37
103042,CAÑAVERAL,1997,3,97.1,32.5,-999.0
103042,CAÑAVERAL,1997,4,59.0,32.57,-999.0
103042,CAÑAVERAL,1997,5,10.8,33.15,23.47
103042,CAÑAVERAL,1997,6,22.2,32.34,22.73
103042,CAÑAVERAL,1997,7,0.4,32.81,22.56
103042,CAÑAVERAL,1997,8,0.0,32.94,22.71
103042,CAÑAVERAL,1997,9,12.7,32.62,23.61
103042,CAÑAVERAL,1997,10,3.8,33.39,23.2
103042,CAÑAVERAL,1997,11,67.3,32.58,-999.0
103042,CAÑAVERAL,1997,12,414.2,31.74,23.92
103042,CAÑAVERAL,1998,1,502.3,31.2,23.95
103042,CAÑAVERAL,1998,2,729.2,31.15,24.22
103042,CAÑAVERAL,1998,3,447.6,-999.0,-999.0
103042,CAÑAVERAL,1998,4,427.4,31.84,-999.0
103042,CAÑAVERAL,1998,5,79.3,31.35,22.74
103042,CAÑAVERAL,1998,6,7.7,31.6,21.16
103042,CAÑAVERAL,1998,7,0.0,31.31,-999.0
103042,CAÑAVERAL,1998,8,0.0,31.48,19.15
103042,CAÑAVERAL,1998,9,1.7,31.74,19.32
103042,CAÑAVERAL,1998,10,0.5,31.18,19.44
103042,CAÑAVERAL,1998,11,0.0,31.88,20.34
103042,CAÑAVERAL,1998,12,3.6,31.65,20.12
103042,CAÑAVERAL,1999,1,23.9,32.64,21.26
103042,CAÑAVERAL,1999,2,150.0,30.81,22.53
103042,CAÑAVERAL,1999,3,116.4,31.68,-999.0
103042,CAÑAVERAL,1999,4,117.3,31.69,21.64
103042,CAÑAVERAL,1999,5,40.6,30.75,20.46
103042,CAÑAVERAL,1999,6,0.0,30.78,19.45
103042,CAÑAVERAL,1999,7,0.0,30.56,18.23
103042,CAÑAVERAL,1999,8,0.0,30.39,16.78
103042,CAÑAVERAL,1999,9,0.0,31.13,-999.0
103042,CAÑAVERAL,1999,10,0.0,31.76,19.1
103042,CAÑAVERAL,1999,11,0.0,31.91,19.92
103042,CAÑAVERAL,1999,12,0.0,32.17,21.92
103042,CAÑAVERAL,2000,1,1.0,32.28,21.62
103042,CAÑAVERAL,2000,2,70.1,32.34,-999.0
103042,CAÑAVERAL,2000,3,60.8,32.43,-999.0
103042,CAÑAVERAL,2000,4,100.1,32.19,22.32
103042,CAÑAVERAL,2000,5,30.8,32.04,21.07
103042,CAÑAVERAL,2000,6,3.9,31.05,19.59
103042,CAÑAVERAL,2000,7,0.0,30.37,17.7
103042,CAÑAVERAL,2000,8,0.0,30.72,18.0
103042,CAÑAVERAL,2000,9,0.0,30.7,19.63
103042,CAÑAVERAL,2000,10,0.0,31.33,19.22
