CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
103043,CABO INGA,1990,1,-999.0,-999.0,-999.0
103043,CABO INGA,1990,2,-999.0,-999.0,-999.0
103043,CABO INGA,1990,3,-999.0,-999.0,-999.0
103043,CABO INGA,1990,4,-999.0,-999.0,-999.0
103043,CABO INGA,1990,5,-999.0,-999.0,-999.0
103043,CABO INGA,1990,6,-999.0,-999.0,-999.0
103043,CABO INGA,1990,7,-999.0,-999.0,-999.0
103043,CABO INGA,1990,8,-999.0,-999.0,-999.0
103043,CABO INGA,1990,9,-999.0,-999.0,-999.0
103043,CABO INGA,1990,10,-999.0,-999.0,-999.0
103043,CABO INGA,1990,11,-999.0,-999.0,-999.0
103043,CABO INGA,1990,12,-999.0,-999.0,-999.0
103043,CABO INGA,1991,1,-999.0,-999.0,-999.0
103043,CABO INGA,1991,2,-999.0,-999.0,-999.0
103043,CABO INGA,1991,3,-999.0,-999.0,-999.0
103043,CABO INGA,1991,4,-999.0,-999.0,-999.0
103043,CABO INGA,1991,5,-999.0,-999.0,-999.0
103043,CABO INGA,1991,6,-999.0,-999.0,-999.0
103043,CABO INGA,1991,7,-999.0,-999.0,-999.0
103043,CABO INGA,1991,8,-999.0,-999.0,-999.0
103043,CABO INGA,1991,9,-999.0,-999.0,-999.0
103043,CABO INGA,1991,10,-999.0,-999.0,-999.0
103043,CABO INGA,1991,11,-999.0,-999.0,-999.0
103043,CABO INGA,1991,12,-999.0,-999.0,-999.0
103043,CABO INGA,1992,1,-999.0,-999.0,-999.0
103043,CABO INGA,1992,2,-999.0,-999.0,-999.0
103043,CABO INGA,1992,3,-999.0,-999.0,-999.0
103043,CABO INGA,1992,4,-999.0,-999.0,-999.0
103043,CABO INGA,1992,5,-999.0,-999.0,-999.0
103043,CABO INGA,1992,6,-999.0,-999.0,-999.0
103043,CABO INGA,1992,7,-999.0,-999.0,-999.0
103043,CABO INGA,1992,8,-999.0,-999.0,-999.0
103043,CABO INGA,1992,9,-999.0,-999.0,-999.0
103043,CABO INGA,1992,10,-999.0,-999.0,-999.0
103043,CABO INGA,1992,11,-999.0,-999.0,-999.0
103043,CABO INGA,1992,12,-999.0,-999.0,-999.0
103043,CABO INGA,1993,1,54.5,32.93,20.58
103043,CABO INGA,1993,2,277.5,31.23,19.84
103043,CABO INGA,1993,3,242.7,30.92,19.59
103043,CABO INGA,1993,4,286.8,31.2,19.14
103043,CABO INGA,1993,5,93.9,28.91,18.28
103043,CABO INGA,1993,6,1.8,30.2,17.35
103043,CABO INGA,1993,7,1.0,31.15,16.27
103043,CABO INGA,1993,8,0.0,31.93,15.31
103043,CABO INGA,1993,9,0.4,32.5,19.01
103043,CABO INGA,1993,10,11.5,33.5,19.37
103043,CABO INGA,1993,11,0.0,33.69,18.85
103043,CABO INGA,1993,12,16.9,33.56,21.14
103043,CABO INGA,1994,1,122.9,32.26,21.81
103043,CABO INGA,1994,2,298.8,30.85,21.54
103043,CABO INGA,1994,3,119.2,30.85,20.74
103043,CABO INGA,1994,4,203.4,30.72,20.78
103043,CABO INGA,1994,5,35.9,30.45,19.86
103043,CABO INGA,1994,6,0.0,30.91,18.36
103043,CABO INGA,1994,7,0.0,31.47,17.39
103043,CABO INGA,1994,8,0.0,32.22,16.83
103043,CABO INGA,1994,9,0.0,33.04,18.41
103043,CABO INGA,1994,10,0.9,33.3,19.22
103043,CABO INGA,1994,11,5.9,33.57,20.09
103043,CABO INGA,1994,12,147.3,32.86,21.22
103043,CABO INGA,1995,1,26.7,31.74,21.66
103043,CABO INGA,1995,2,242.3,30.65,21.38
103043,CABO INGA,1995,3,52.5,32.54,21.1
103043,CABO INGA,1995,4,18.6,33.21,20.03
103043,CABO INGA,1995,5,28.5,33.04,19.94
103043,CABO INGA,1995,6,0.0,33.28,18.98
103043,CABO INGA,1995,7,5.2,32.23,18.59
103043,CABO INGA,1995,8,0.0,32.84,17.62
103043,CABO INGA,1995,9,0.2,33.32,18.26
103043,CABO INGA,1995,10,1.6,33.34,18.88
103043,CABO INGA,1995,11,8.2,33.66,19.2
103043,CABO INGA,1995,12,11.5,34.25,-999.0
103043,CABO INGA,1996,1,46.8,32.7,21.34
103043,CABO INGA,1996,2,33.1,33.56,21.73
