CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
103049,TAMSHIYACU,1990,1,404.0,31.85,-999.0
103049,TAMSHIYACU,1990,2,229.0,-999.0,-999.0
103049,TAMSHIYACU,1990,3,206.0,32.68,-999.0
103049,TAMSHIYACU,1990,4,302.0,32.04,-999.0
103049,TAMSHIYACU,1990,5,165.0,31.56,-999.0
103049,TAMSHIYACU,1990,6,329.0,30.8,-999.0
103049,TAMSHIYACU,1990,7,99.4,31.24,-999.0
103049,TAMSHIYACU,1990,8,290.0,32.15,-999.0
103049,TAMSHIYACU,1990,9,127.0,33.08,-999.0
103049,TAMSHIYACU,1990,10,136.0,33.95,-999.0
103049,TAMSHIYACU,1990,11,154.0,32.52,-999.0
103049,TAMSHIYACU,1990,12,365.0,32.54,-999.0
103049,TAMSHIYACU,1991,1,180.0,33.28,-999.0
103049,TAMSHIYACU,1991,2,255.0,32.71,-999.0
103049,TAMSHIYACU,1991,3,194.0,32.77,-999.0
103049,TAMSHIYACU,1991,4,376.9,32.67,-999.0
103049,TAMSHIYACU,1991,5,382.0,32.24,-999.0
103049,TAMSHIYACU,1991,6,202.0,31.13,-999.0
103049,TAMSHIYACU,1991,7,71.0,31.36,-999.0
103049,TAMSHIYACU,1991,8,114.0,31.04,-999.0
103049,TAMSHIYACU,1991,9,98.0,32.77,-999.0
103049,TAMSHIYACU,1991,10,328.0,32.55,-999.0
103049,TAMSHIYACU,1991,11,198.0,33.37,-999.0
103049,TAMSHIYACU,1991,12,152.0,33.63,-999.0
103049,TAMSHIYACU,1992,1,239.0,33.77,-999.0
103049,TAMSHIYACU,1992,2,246.0,32.9,-999.0
103049,TAMSHIYACU,1992,3,238.0,31.95,-999.0
103049,TAMSHIYACU,1992,4,326.0,31.77,-999.0
103049,TAMSHIYACU,1992,5,113.0,32.65,-999.0
103049,TAMSHIYACU,1992,6,132.0,31.47,-999.0
103049,TAMSHIYACU,1992,7,153.0,30.49,-999.0
103049,TAMSHIYACU,1992,8,192.0,31.62,-999.0
103049,TAMSHIYACU,1992,9,157.0,32.27,-999.0
103049,TAMSHIYACU,1992,10,295.0,33.15,-999.0
103049,TAMSHIYACU,1992,11,184.0,33.09,-999.0
103049,TAMSHIYACU,1992,12,192.7,32.34,-999.0
103049,TAMSHIYACU,1993,1,296.0,32.26,-999.0
103049,TAMSHIYACU,1993,2,301.6,31.59,-999.0
103049,TAMSHIYACU,1993,3,391.0,31.62,-999.0
103049,TAMSHIYACU,1993,4,261.0,30.65,-999.0
103049,TAMSHIYACU,1993,5,194.0,31.17,-999.0
103049,TAMSHIYACU,1993,6,42.6,31.11,-999.0
103049,TAMSHIYACU,1993,7,126.2,30.83,-999.0
103049,TAMSHIYACU,1993,8,149.0,31.06,-999.0
103049,TAMSHIYACU,1993,9,180.0,32.25,-999.0
103049,TAMSHIYACU,1993,10,147.0,32.65,-999.0
103049,TAMSHIYACU,1993,11,338.0,32.72,-999.0
103049,TAMSHIYACU,1993,12,143.0,32.18,-999.0
103049,TAMSHIYACU,1994,1,163.0,32.51,-999.0
103049,TAMSHIYACU,1994,2,154.4,32.39,-999.0
103049,TAMSHIYACU,1994,3,251.0,32.81,-999.0
103049,TAMSHIYACU,1994,4,363.6,31.97,-999.0
103049,TAMSHIYACU,1994,5,234.0,31.49,-999.0
103049,TAMSHIYACU,1994,6,189.0,31.23,-999.0
103049,TAMSHIYACU,1994,7,158.0,30.81,-999.0
103049,TAMSHIYACU,1994,8,170.0,31.74,-999.0
103049,TAMSHIYACU,1994,9,192.0,32.41,-999.0
103049,TAMSHIYACU,1994,10,141.2,32.85,-999.0
103049,TAMSHIYACU,1994,11,160.0,32.29,-999.0
103049,TAMSHIYACU,1994,12,221.0,32.04,-999.0
103049,TAMSHIYACU,1995,1,227.0,33.14,-999.0
103049,TAMSHIYACU,1995,2,100.0,33.26,-999.0
103049,TAMSHIYACU,1995,3,203.0,31.86,-999.0
103049,TAMSHIYACU,1995,4,176.0,31.89,-999.0
103049,TAMSHIYACU,1995,5,271.0,31.32,-999.0
103049,TAMSHIYACU,1995,6,109.0,31.78,-999.0
103049,TAMSHIYACU,1995,7,97.0,32.8,-999.0
103049,TAMSHIYACU,1995,8,62.0,33.28,-999.0
103049,TAMSHIYACU,1995,9,-999.0,-999.0,-999.0
103049,TAMSHIYACU,1995,10,361.0,34.04,22.77
103049,TAMSHIYACU,1995,11,166.0,33.25,23.07
103049,TAMSHIYACU,1995,12,261.0,31.97,22.62
103049,TAMSHIYACU,1996,1,92.0,32.18,22.76
103049,TAMSHIYACU,1996,2,336.0,31.87,22.35
103049,TAMSHIYACU,1996,3,187.0,31.3,-999.0
103049,TAMSHIYACU,1996,4,270.0,31.23,21.98
103049,TAMSHIYACU,1996,5,264.0,30.44,22.5
103049,TAMSHIYACU,1996,6,152.0,29.38,21.28
103049,TAMSHIYACU,1996,7,51.0,30.37,20.38
103049,TAMSHIYACU,1996,8,245.0,31.5,21.28
103049,TAMSHIYACU,1996,9,314.0,32.06,21.47
103049,TAMSHIYACU,1996,10,221.9,31.92,21.83
103049,TAMSHIYACU,1996,11,168.5,32.26,22.09
103049,TAMSHIYACU,1996,12,259.5,31.79,21.53
103049,TAMSHIYACU,1997,1,86.9,32.36,22.32
103049,TAMSHIYACU,1997,2,292.4,30.79,21.72
103049,TAMSHIYACU,1997,3,93.1,31.88,22.28
103049,TAMSHIYACU,1997,4,251.3,31.73,21.66
103049,TAMSHIYACU,1997,5,346.5,29.86,20.81
103049,TAMSHIYACU,1997,6,232.2,31.33,21.61
103049,TAMSHIYACU,1997,7,115.6,31.75,21.57
103049,TAMSHIYACU,1997,8,218.9,30.9,21.34
103049,TAMSHIYACU,1997,9,196.2,32.55,22.61
103049,TAMSHIYACU,1997,10,200.2,33.76,22.82
103049,TAMSHIYACU,1997,11,234.0,31.63,22.95
103049,TAMSHIYACU,1997,12,391.6,31.19,22.99
103049,TAMSHIYACU,1998,1,449.6,31.15,22.92
103049,TAMSHIYACU,1998,2,235.3,32.19,23.31
103049,TAMSHIYACU,1998,3,422.9,32.15,22.88
103049,TAMSHIYACU,1998,4,521.8,32.33,22.25
103049,TAMSHIYACU,1998,5,300.6,30.08,21.97
103049,TAMSHIYACU,1998,6,156.2,30.41,20.85
103049,TAMSHIYACU,1998,7,167.9,31.13,-999.0
103049,TAMSHIYACU,1998,8,74.0,32.83,22.16
103049,TAMSHIYACU,1998,9,69.4,31.87,21.43
103049,TAMSHIYACU,1998,10,185.7,32.12,22.23
103049,TAMSHIYACU,1998,11,152.1,31.49,22.0
103049,TAMSHIYACU,1998,12,117.3,32.88,22.98
103049,TAMSHIYACU,1999,1,340.5,30.92,20.46
103049,TAMSHIYACU,1999,2,233.7,30.85,21.01
103049,TAMSHIYACU,1999,3,302.8,32.3,20.81
103049,TAMSHIYACU,1999,4,362.9,30.52,20.84
103049,TAMSHIYACU,1999,5,277.3,30.94,20.96
103049,TAMSHIYACU,1999,6,207.5,30.83,21.03
103049,TAMSHIYACU,1999,7,139.7,29.86,19.76
103049,TAMSHIYACU,1999,8,99.6,-999.0,20.06
103049,TAMSHIYACU,1999,9,96.9,-999.0,21.29
103049,TAMSHIYACU,1999,10,247.0,-999.0,21.05
103049,TAMSHIYACU,1999,11,102.0,-999.0,20.49
103049,TAMSHIYACU,1999,12,227.4,-999.0,21.31
103049,TAMSHIYACU,2000,1,178.8,-999.0,21.5
103049,TAMSHIYACU,2000,2,239.1,-999.0,21.41
103049,TAMSHIYACU,2000,3,459.1,-999.0,21.28
103049,TAMSHIYACU,2000,4,389.6,28.12,21.3
103049,TAMSHIYACU,2000,5,356.4,29.86,21.48
103049,TAMSHIYACU,2000,6,251.3,30.33,21.58
103049,TAMSHIYACU,2000,7,98.6,28.95,19.68
103049,TAMSHIYACU,2000,8,222.5,31.39,20.84
103049,TAMSHIYACU,2000,9,231.5,31.61,21.27
103049,TAMSHIYACU,2000,10,95.1,32.23,21.05
103049,TAMSHIYACU,2000,11,134.4,32.68,21.49
103049,TAMSHIYACU,2000,12,238.9,32.32,20.48
103049,TAMSHIYACU,2001,1,341.1,30.64,19.82
103049,TAMSHIYACU,2001,2,219.4,30.31,20.23
103049,TAMSHIYACU,2001,3,229.7,30.68,20.37
103049,TAMSHIYACU,2001,4,370.2,31.31,20.76
103049,TAMSHIYACU,2001,5,256.8,30.86,20.85
103049,TAMSHIYACU,2001,6,168.6,29.26,19.0
103049,TAMSHIYACU,2001,7,181.3,29.88,19.21
103049,TAMSHIYACU,2001,8,112.2,31.48,20.45
103049,TAMSHIYACU,2001,9,149.8,31.77,21.19
103049,TAMSHIYACU,2001,10,258.2,31.84,22.05
103049,TAMSHIYACU,2001,11,129.4,32.62,22.61
103049,TAMSHIYACU,2001,12,485.0,31.89,22.17
103049,TAMSHIYACU,2002,1,235.8,31.94,22.54
103049,TAMSHIYACU,2002,2,373.2,31.51,22.1
103049,TAMSHIYACU,2002,3,382.5,31.16,21.47
103049,TAMSHIYACU,2002,4,191.3,31.25,21.41
103049,TAMSHIYACU,2002,5,368.4,30.93,20.8
103049,TAMSHIYACU,2002,6,113.8,30.79,20.41
103049,TAMSHIYACU,2002,7,251.0,30.01,21.15
103049,TAMSHIYACU,2002,8,212.1,31.69,21.21
103049,TAMSHIYACU,2002,9,299.4,32.55,21.83
103049,TAMSHIYACU,2002,10,176.7,31.86,22.44
103049,TAMSHIYACU,2002,11,405.2,30.65,21.26
103049,TAMSHIYACU,2002,12,316.7,30.87,21.98
103049,TAMSHIYACU,2003,1,261.7,31.25,21.68
103049,TAMSHIYACU,2003,2,156.5,31.27,21.89
103049,TAMSHIYACU,2003,3,241.2,31.17,22.15
103049,TAMSHIYACU,2003,4,284.0,30.49,22.08
103049,TAMSHIYACU,2003,5,328.6,30.15,21.76
103049,TAMSHIYACU,2003,6,269.3,30.55,21.85
103049,TAMSHIYACU,2003,7,161.7,30.29,20.44
103049,TAMSHIYACU,2003,8,151.1,30.96,19.43
103049,TAMSHIYACU,2003,9,146.5,31.77,20.85
103049,TAMSHIYACU,2003,10,258.2,32.29,22.01
103049,TAMSHIYACU,2003,11,377.2,32.33,21.77
103049,TAMSHIYACU,2003,12,343.1,31.89,21.58
103049,TAMSHIYACU,2004,1,150.0,32.58,21.97
103049,TAMSHIYACU,2004,2,435.7,31.11,21.42
103049,TAMSHIYACU,2004,3,326.9,30.88,21.5
103049,TAMSHIYACU,2004,4,284.1,31.34,21.59
103049,TAMSHIYACU,2004,5,351.3,29.53,20.3
103049,TAMSHIYACU,2004,6,263.7,28.42,19.58
103049,TAMSHIYACU,2004,7,203.5,29.44,19.32
103049,TAMSHIYACU,2004,8,239.2,30.55,19.52
103049,TAMSHIYACU,2004,9,195.0,-999.0,-999.0
103049,TAMSHIYACU,2004,10,189.4,-999.0,-999.0
103049,TAMSHIYACU,2004,11,387.4,30.87,-999.0
103049,TAMSHIYACU,2004,12,214.9,30.68,-999.0
103049,TAMSHIYACU,2005,1,214.8,31.82,-999.0
103049,TAMSHIYACU,2005,2,249.9,-999.0,-999.0
103049,TAMSHIYACU,2005,3,269.0,-999.0,-999.0
103049,TAMSHIYACU,2005,4,223.4,29.48,-999.0
103049,TAMSHIYACU,2005,5,161.3,31.14,-999.0
103049,TAMSHIYACU,2005,6,197.1,29.72,-999.0
103049,TAMSHIYACU,2005,7,97.3,29.24,-999.0
103049,TAMSHIYACU,2005,8,113.0,30.19,-999.0
103049,TAMSHIYACU,2005,9,135.6,30.61,-999.0
103049,TAMSHIYACU,2005,10,416.3,30.49,-999.0
103049,TAMSHIYACU,2005,11,91.8,30.47,-999.0
103049,TAMSHIYACU,2005,12,393.7,29.91,-999.0
103049,TAMSHIYACU,2006,1,239.5,29.32,-999.0
103049,TAMSHIYACU,2006,2,152.0,29.71,-999.0
103049,TAMSHIYACU,2006,3,386.5,28.94,-999.0
103049,TAMSHIYACU,2006,4,166.1,28.75,-999.0
103049,TAMSHIYACU,2006,5,363.0,27.61,-999.0
103049,TAMSHIYACU,2006,6,268.4,28.63,-999.0
103049,TAMSHIYACU,2006,7,104.7,29.5,-999.0
103049,TAMSHIYACU,2006,8,192.9,31.23,-999.0
103049,TAMSHIYACU,2006,9,123.2,31.49,-999.0
103049,TAMSHIYACU,2006,10,266.2,31.49,-999.0
103049,TAMSHIYACU,2006,11,367.5,30.5,-999.0
103049,TAMSHIYACU,2006,12,333.2,30.39,-999.0
103049,TAMSHIYACU,2007,1,329.7,29.89,-999.0
103049,TAMSHIYACU,2007,2,160.5,32.44,-999.0
103049,TAMSHIYACU,2007,3,233.5,30.18,-999.0
103049,TAMSHIYACU,2007,4,286.6,29.73,-999.0
103049,TAMSHIYACU,2007,5,162.6,29.4,-999.0
103049,TAMSHIYACU,2007,6,128.1,29.54,-999.0
103049,TAMSHIYACU,2007,7,162.0,30.43,-999.0
103049,TAMSHIYACU,2007,8,121.3,30.86,-999.0
