CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
103052,SAN ROQUE,1990,1,352.0,31.25,21.02
103052,SAN ROQUE,1990,2,106.5,31.89,19.24
103052,SAN ROQUE,1990,3,260.0,31.41,21.25
103052,SAN ROQUE,1990,4,201.0,31.53,22.03
103052,SAN ROQUE,1990,5,184.0,31.74,21.26
103052,SAN ROQUE,1990,6,373.0,30.08,21.98
103052,SAN ROQUE,1990,7,181.0,30.23,20.75
103052,SAN ROQUE,1990,8,202.1,31.23,21.15
103052,SAN ROQUE,1990,9,85.4,33.7,21.52
103052,SAN ROQUE,1990,10,105.0,33.74,22.15
103052,SAN ROQUE,1990,11,220.0,32.98,22.61
103052,SAN ROQUE,1990,12,456.0,34.18,22.12
103052,SAN ROQUE,1991,1,382.9,32.94,22.73
103052,SAN ROQUE,1991,2,345.0,33.8,22.7
103052,SAN ROQUE,1991,3,112.0,32.99,22.79
103052,SAN ROQUE,1991,4,375.0,32.52,22.77
103052,SAN ROQUE,1991,5,364.0,32.57,23.09
103052,SAN ROQUE,1991,6,229.8,31.83,22.4
103052,SAN ROQUE,1991,7,191.0,31.8,21.44
103052,SAN ROQUE,1991,8,198.1,31.39,20.65
103052,SAN ROQUE,1991,9,245.0,32.54,21.84
103052,SAN ROQUE,1991,10,324.0,33.22,21.67
103052,SAN ROQUE,1991,11,229.0,33.19,22.41
103052,SAN ROQUE,1991,12,301.0,33.43,22.81
103052,SAN ROQUE,1992,1,242.1,32.93,22.5
103052,SAN ROQUE,1992,2,233.0,32.27,23.47
103052,SAN ROQUE,1992,3,275.0,31.16,22.83
103052,SAN ROQUE,1992,4,295.0,31.42,22.96
103052,SAN ROQUE,1992,5,189.0,32.01,22.87
103052,SAN ROQUE,1992,6,211.0,30.95,21.95
103052,SAN ROQUE,1992,7,144.0,29.53,20.92
103052,SAN ROQUE,1992,8,432.0,30.73,-999.0
103052,SAN ROQUE,1992,9,224.0,30.96,-999.0
103052,SAN ROQUE,1992,10,283.0,32.03,21.93
103052,SAN ROQUE,1992,11,201.0,31.64,22.26
103052,SAN ROQUE,1992,12,198.0,31.19,22.44
103052,SAN ROQUE,1993,1,485.1,32.41,20.21
103052,SAN ROQUE,1993,2,167.5,33.71,19.07
103052,SAN ROQUE,1993,3,292.5,33.71,19.77
103052,SAN ROQUE,1993,4,261.5,33.29,20.7
103052,SAN ROQUE,1993,5,167.5,34.15,22.03
103052,SAN ROQUE,1993,6,102.0,33.18,20.98
103052,SAN ROQUE,1993,7,141.0,32.3,19.41
103052,SAN ROQUE,1993,8,215.5,31.69,20.0
103052,SAN ROQUE,1993,9,123.0,32.15,21.45
103052,SAN ROQUE,1993,10,293.5,32.41,21.79
103052,SAN ROQUE,1993,11,335.5,32.17,21.93
103052,SAN ROQUE,1993,12,206.5,32.28,22.6
103052,SAN ROQUE,1994,1,223.5,32.18,22.82
103052,SAN ROQUE,1994,2,171.5,31.55,21.81
103052,SAN ROQUE,1994,3,259.5,31.45,22.08
103052,SAN ROQUE,1994,4,340.0,31.23,22.01
103052,SAN ROQUE,1994,5,292.3,31.53,22.35
103052,SAN ROQUE,1994,6,331.5,30.78,21.19
103052,SAN ROQUE,1994,7,157.0,31.01,20.67
103052,SAN ROQUE,1994,8,194.0,31.7,20.92
103052,SAN ROQUE,1994,9,201.5,31.88,21.55
103052,SAN ROQUE,1994,10,136.5,32.94,22.08
103052,SAN ROQUE,1994,11,145.0,32.26,22.12
103052,SAN ROQUE,1994,12,267.0,31.6,22.14
103052,SAN ROQUE,1995,1,513.5,32.44,21.97
103052,SAN ROQUE,1995,2,165.5,32.97,22.52
103052,SAN ROQUE,1995,3,309.5,31.88,22.02
103052,SAN ROQUE,1995,4,194.5,31.3,22.56
103052,SAN ROQUE,1995,5,385.0,31.15,22.05
103052,SAN ROQUE,1995,6,235.5,-999.0,21.45
103052,SAN ROQUE,1995,7,190.0,33.08,21.33
103052,SAN ROQUE,1995,8,124.0,34.34,21.71
103052,SAN ROQUE,1995,9,260.0,33.44,-999.0
103052,SAN ROQUE,1995,10,241.0,33.15,22.15
103052,SAN ROQUE,1995,11,353.0,32.08,21.69
103052,SAN ROQUE,1995,12,336.0,31.54,22.37
103052,SAN ROQUE,1996,1,190.0,32.06,22.56
103052,SAN ROQUE,1996,2,374.0,31.92,22.16
103052,SAN ROQUE,1996,3,352.0,31.07,21.97
103052,SAN ROQUE,1996,4,402.0,31.15,21.89
103052,SAN ROQUE,1996,5,379.5,31.38,23.08
103052,SAN ROQUE,1996,6,205.0,29.51,21.9
103052,SAN ROQUE,1996,7,74.0,30.68,20.96
103052,SAN ROQUE,1996,8,224.4,31.8,20.48
103052,SAN ROQUE,1996,9,271.0,32.21,20.2
103052,SAN ROQUE,1996,10,144.0,31.65,20.33
103052,SAN ROQUE,1996,11,141.0,32.67,21.45
103052,SAN ROQUE,1996,12,190.0,31.61,21.0
103052,SAN ROQUE,1997,1,63.0,33.44,21.07
103052,SAN ROQUE,1997,2,392.0,31.6,19.89
103052,SAN ROQUE,1997,3,219.0,32.29,-999.0
103052,SAN ROQUE,1997,4,171.0,32.27,-999.0
103052,SAN ROQUE,1997,5,376.0,30.89,-999.0
103052,SAN ROQUE,1997,6,164.0,31.77,-999.0
103052,SAN ROQUE,1997,7,91.0,-999.0,-999.0
103052,SAN ROQUE,1997,8,152.0,-999.0,-999.0
103052,SAN ROQUE,1997,9,209.0,33.1,22.55
103052,SAN ROQUE,1997,10,144.0,33.79,23.33
103052,SAN ROQUE,1997,11,299.0,-999.0,23.45
103052,SAN ROQUE,1997,12,345.7,-999.0,23.31
103052,SAN ROQUE,1998,1,220.0,-999.0,23.74
103052,SAN ROQUE,1998,2,219.0,33.06,24.17
103052,SAN ROQUE,1998,3,298.5,32.6,24.2
103052,SAN ROQUE,1998,4,415.0,32.59,23.84
103052,SAN ROQUE,1998,5,299.0,31.89,23.28
103052,SAN ROQUE,1998,6,110.0,31.3,22.27
103052,SAN ROQUE,1998,7,163.3,31.68,22.12
103052,SAN ROQUE,1998,8,276.7,33.02,22.01
103052,SAN ROQUE,1998,9,114.4,32.79,22.22
103052,SAN ROQUE,1998,10,186.2,33.95,23.18
103052,SAN ROQUE,1998,11,147.6,32.29,23.07
103052,SAN ROQUE,1998,12,219.9,33.19,22.7
103052,SAN ROQUE,1999,1,459.0,31.72,22.65
103052,SAN ROQUE,1999,2,400.8,30.96,22.48
103052,SAN ROQUE,1999,3,221.0,32.8,22.7
103052,SAN ROQUE,1999,4,369.5,30.15,22.44
103052,SAN ROQUE,1999,5,314.4,30.32,22.35
103052,SAN ROQUE,1999,6,137.0,30.53,-999.0
103052,SAN ROQUE,1999,7,166.6,30.4,21.02
103052,SAN ROQUE,1999,8,155.8,31.3,21.09
103052,SAN ROQUE,1999,9,245.2,32.85,22.31
103052,SAN ROQUE,1999,10,177.4,32.66,22.27
103052,SAN ROQUE,1999,11,206.5,32.44,22.06
103052,SAN ROQUE,1999,12,181.7,32.19,23.09
103052,SAN ROQUE,2000,1,247.2,32.12,23.05
103052,SAN ROQUE,2000,2,213.6,32.02,22.74
103052,SAN ROQUE,2000,3,310.6,31.35,22.61
103052,SAN ROQUE,2000,4,489.1,30.95,22.66
103052,SAN ROQUE,2000,5,329.4,30.34,22.9
103052,SAN ROQUE,2000,6,207.0,30.78,22.7
103052,SAN ROQUE,2000,7,102.4,29.72,20.8
103052,SAN ROQUE,2000,8,297.3,32.23,22.13
103052,SAN ROQUE,2000,9,153.5,32.07,22.27
103052,SAN ROQUE,2000,10,163.4,32.9,22.7
103052,SAN ROQUE,2000,11,68.0,32.96,23.31
103052,SAN ROQUE,2000,12,314.2,31.99,22.75
103052,SAN ROQUE,2001,1,325.4,30.92,22.26
103052,SAN ROQUE,2001,2,218.4,31.07,22.54
103052,SAN ROQUE,2001,3,336.6,31.33,22.66
103052,SAN ROQUE,2001,4,275.1,31.83,22.81
103052,SAN ROQUE,2001,5,288.0,31.51,22.67
103052,SAN ROQUE,2001,6,133.1,30.17,21.23
103052,SAN ROQUE,2001,7,120.7,30.84,21.79
103052,SAN ROQUE,2001,8,116.5,32.09,21.7
103052,SAN ROQUE,2001,9,146.3,32.66,22.08
103052,SAN ROQUE,2001,10,291.4,32.99,22.95
103052,SAN ROQUE,2001,11,104.0,32.99,23.18
103052,SAN ROQUE,2001,12,514.5,32.11,23.37
103052,SAN ROQUE,2002,1,229.8,32.61,23.3
103052,SAN ROQUE,2002,2,185.7,31.62,23.39
103052,SAN ROQUE,2002,3,278.6,31.63,23.02
103052,SAN ROQUE,2002,4,300.5,31.12,22.59
103052,SAN ROQUE,2002,5,285.5,31.43,-999.0
103052,SAN ROQUE,2002,6,84.7,30.97,22.17
103052,SAN ROQUE,2002,7,131.4,31.29,22.09
103052,SAN ROQUE,2002,8,182.5,32.35,22.17
103052,SAN ROQUE,2002,9,107.0,33.44,22.19
103052,SAN ROQUE,2002,10,347.9,-999.0,22.69
103052,SAN ROQUE,2002,11,297.9,31.94,-999.0
103052,SAN ROQUE,2002,12,294.2,31.54,-999.0
103052,SAN ROQUE,2003,1,190.3,32.36,-999.0
103052,SAN ROQUE,2003,2,179.2,32.07,23.44
103052,SAN ROQUE,2003,3,184.2,31.85,22.94
103052,SAN ROQUE,2003,4,214.0,32.34,-999.0
103052,SAN ROQUE,2003,5,355.7,31.36,22.56
103052,SAN ROQUE,2003,6,171.7,31.15,22.45
103052,SAN ROQUE,2003,7,239.3,30.46,21.33
103052,SAN ROQUE,2003,8,129.1,31.78,21.67
103052,SAN ROQUE,2003,9,146.4,31.7,22.04
103052,SAN ROQUE,2003,10,132.3,32.72,22.85
103052,SAN ROQUE,2003,11,299.2,32.32,22.52
103052,SAN ROQUE,2003,12,184.7,32.04,22.92
103052,SAN ROQUE,2004,1,103.2,33.72,-999.0
103052,SAN ROQUE,2004,2,151.5,32.94,22.75
103052,SAN ROQUE,2004,3,353.2,32.61,23.16
103052,SAN ROQUE,2004,4,156.9,32.13,23.23
103052,SAN ROQUE,2004,5,282.6,31.23,22.58
103052,SAN ROQUE,2004,6,247.2,-999.0,21.96
103052,SAN ROQUE,2004,7,161.6,31.02,21.88
103052,SAN ROQUE,2004,8,178.8,32.56,21.84
103052,SAN ROQUE,2004,9,101.4,33.08,22.26
103052,SAN ROQUE,2004,10,139.2,33.21,23.01
103052,SAN ROQUE,2004,11,218.5,32.52,22.86
103052,SAN ROQUE,2004,12,247.6,32.23,23.23
103052,SAN ROQUE,2005,1,123.2,33.52,23.35
103052,SAN ROQUE,2005,2,254.4,32.32,-999.0
103052,SAN ROQUE,2005,3,358.5,31.8,23.27
103052,SAN ROQUE,2005,4,130.0,31.27,23.37
103052,SAN ROQUE,2005,5,149.5,32.14,23.09
103052,SAN ROQUE,2005,6,128.1,31.86,22.82
103052,SAN ROQUE,2005,7,150.2,32.07,21.71
103052,SAN ROQUE,2005,8,144.2,32.49,21.92
103052,SAN ROQUE,2005,9,86.7,33.16,21.89
103052,SAN ROQUE,2005,10,343.3,33.14,22.84
103052,SAN ROQUE,2005,11,138.4,33.32,22.77
103052,SAN ROQUE,2005,12,198.4,32.85,22.68
103052,SAN ROQUE,2006,1,319.5,31.96,22.63
103052,SAN ROQUE,2006,2,133.8,32.55,23.03
103052,SAN ROQUE,2006,3,409.7,31.66,-999.0
103052,SAN ROQUE,2006,4,130.8,31.95,22.56
