CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
103054,PEBAS,1990,1,676.4,31.12,21.78
103054,PEBAS,1990,2,279.0,31.62,21.82
103054,PEBAS,1990,3,263.2,-999.0,21.76
103054,PEBAS,1990,4,389.0,31.12,21.41
103054,PEBAS,1990,5,183.0,30.64,20.39
103054,PEBAS,1990,6,331.0,29.89,20.15
103054,PEBAS,1990,7,174.0,30.03,21.09
103054,PEBAS,1990,8,227.5,29.37,-999.0
103054,PEBAS,1990,9,127.0,-999.0,20.02
103054,PEBAS,1990,10,254.5,31.68,20.89
103054,PEBAS,1990,11,340.8,31.25,21.08
103054,PEBAS,1990,12,546.5,31.81,21.67
103054,PEBAS,1991,1,419.0,31.01,21.75
103054,PEBAS,1991,2,348.0,32.29,21.74
103054,PEBAS,1991,3,328.0,31.82,21.65
103054,PEBAS,1991,4,297.0,31.97,21.69
103054,PEBAS,1991,5,269.0,32.04,21.13
103054,PEBAS,1991,6,275.0,31.43,21.55
103054,PEBAS,1991,7,12.0,32.09,21.63
103054,PEBAS,1991,8,157.0,32.85,21.54
103054,PEBAS,1991,9,169.0,32.01,22.69
103054,PEBAS,1991,10,267.0,32.9,21.88
103054,PEBAS,1991,11,435.0,31.72,21.16
103054,PEBAS,1991,12,720.0,32.95,-999.0
103054,PEBAS,1992,1,402.0,33.55,-999.0
103054,PEBAS,1992,2,199.0,33.28,-999.0
103054,PEBAS,1992,3,732.0,32.57,-999.0
103054,PEBAS,1992,4,360.0,-999.0,-999.0
103054,PEBAS,1992,5,221.0,32.93,-999.0
103054,PEBAS,1992,6,479.5,32.25,-999.0
103054,PEBAS,1992,7,190.0,29.87,-999.0
103054,PEBAS,1992,8,170.0,30.51,-999.0
103054,PEBAS,1992,9,225.0,31.44,-999.0
103054,PEBAS,1992,10,367.0,32.22,-999.0
103054,PEBAS,1992,11,173.0,31.98,-999.0
103054,PEBAS,1992,12,329.0,31.21,-999.0
103054,PEBAS,1993,1,378.0,31.46,-999.0
103054,PEBAS,1993,2,29.3,30.67,-999.0
103054,PEBAS,1993,3,23.0,30.5,-999.0
103054,PEBAS,1993,4,42.6,30.35,-999.0
103054,PEBAS,1993,5,21.1,30.95,-999.0
103054,PEBAS,1993,6,32.6,30.29,-999.0
103054,PEBAS,1993,7,185.0,29.93,-999.0
103054,PEBAS,1993,8,181.0,30.37,-999.0
103054,PEBAS,1993,9,245.0,31.29,-999.0
103054,PEBAS,1993,10,390.0,30.84,-999.0
103054,PEBAS,1993,11,287.0,31.39,-999.0
103054,PEBAS,1993,12,406.0,31.2,-999.0
103054,PEBAS,1994,1,295.0,31.51,-999.0
103054,PEBAS,1994,2,528.0,30.59,-999.0
103054,PEBAS,1994,3,291.0,30.57,-999.0
103054,PEBAS,1994,4,603.0,30.65,-999.0
103054,PEBAS,1994,5,201.0,30.62,-999.0
103054,PEBAS,1994,6,352.0,30.02,-999.0
103054,PEBAS,1994,7,124.0,31.18,-999.0
103054,PEBAS,1994,8,301.3,31.19,-999.0
103054,PEBAS,1994,9,292.0,32.26,-999.0
103054,PEBAS,1994,10,166.0,32.3,21.0
103054,PEBAS,1994,11,330.0,32.13,21.3
103054,PEBAS,1994,12,231.0,31.77,22.06
103054,PEBAS,1995,1,524.0,32.9,21.7
103054,PEBAS,1995,2,182.0,-999.0,-999.0
103054,PEBAS,1995,3,273.0,-999.0,-999.0
103054,PEBAS,1995,4,218.0,-999.0,-999.0
103054,PEBAS,1995,5,382.0,30.45,21.88
103054,PEBAS,1995,6,216.0,30.03,20.83
103054,PEBAS,1995,7,219.0,31.88,20.91
103054,PEBAS,1995,8,51.0,32.83,20.63
103054,PEBAS,1995,9,282.0,32.13,21.01
103054,PEBAS,1995,10,269.0,32.16,21.31
103054,PEBAS,1995,11,357.0,32.25,21.2
103054,PEBAS,1995,12,321.0,31.51,-999.0
103054,PEBAS,1996,1,324.0,31.7,-999.0
103054,PEBAS,1996,2,332.0,31.57,20.41
103054,PEBAS,1996,3,401.0,31.17,20.73
103054,PEBAS,1996,4,240.0,31.01,18.65
103054,PEBAS,1996,5,363.0,30.55,22.22
103054,PEBAS,1996,6,361.0,29.1,21.31
103054,PEBAS,1996,7,132.5,30.08,20.18
103054,PEBAS,1996,8,124.0,31.76,21.55
103054,PEBAS,1996,9,335.0,31.47,21.65
103054,PEBAS,1996,10,138.0,31.97,22.09
103054,PEBAS,1996,11,138.5,32.63,22.86
103054,PEBAS,1996,12,302.0,32.0,22.37
103054,PEBAS,1997,1,178.5,32.59,22.75
103054,PEBAS,1997,2,382.0,30.46,22.55
103054,PEBAS,1997,3,273.0,31.83,22.67
103054,PEBAS,1997,4,322.0,31.03,22.35
103054,PEBAS,1997,5,341.3,30.15,22.54
103054,PEBAS,1997,6,300.0,30.79,21.82
103054,PEBAS,1997,7,139.0,31.45,21.63
103054,PEBAS,1997,8,138.0,31.69,21.16
103054,PEBAS,1997,9,260.0,32.97,22.32
103054,PEBAS,1997,10,199.0,33.42,22.97
103054,PEBAS,1997,11,318.0,32.22,22.99
103054,PEBAS,1997,12,347.0,31.82,-999.0
103054,PEBAS,1998,1,462.5,32.17,23.45
103054,PEBAS,1998,2,287.0,32.25,23.74
103054,PEBAS,1998,3,372.0,32.41,24.35
103054,PEBAS,1998,4,377.0,32.21,23.74
103054,PEBAS,1998,5,225.0,31.08,23.09
103054,PEBAS,1998,6,156.0,30.22,22.09
103054,PEBAS,1998,7,255.5,31.64,21.78
103054,PEBAS,1998,8,206.0,32.88,21.87
103054,PEBAS,1998,9,150.0,33.36,22.35
103054,PEBAS,1998,10,257.0,33.06,23.65
103054,PEBAS,1998,11,301.0,31.98,23.03
103054,PEBAS,1998,12,149.0,32.7,22.85
103054,PEBAS,1999,1,523.0,31.3,22.59
103054,PEBAS,1999,2,216.0,30.91,22.61
103054,PEBAS,1999,3,298.3,32.18,22.72
103054,PEBAS,1999,4,484.0,30.73,22.15
103054,PEBAS,1999,5,401.0,30.26,22.15
103054,PEBAS,1999,6,235.0,30.35,22.25
103054,PEBAS,1999,7,187.2,30.88,20.79
103054,PEBAS,1999,8,177.0,32.07,20.71
103054,PEBAS,1999,9,195.0,33.7,21.96
103054,PEBAS,1999,10,115.0,33.19,22.08
103054,PEBAS,1999,11,164.0,33.05,21.86
103054,PEBAS,1999,12,251.0,32.85,22.98
103054,PEBAS,2000,1,176.0,32.92,23.02
103054,PEBAS,2000,2,198.0,31.96,22.68
103054,PEBAS,2000,3,257.0,31.68,22.46
103054,PEBAS,2000,4,377.0,30.68,22.49
103054,PEBAS,2000,5,254.0,30.34,-999.0
103054,PEBAS,2000,6,275.0,30.73,22.21
