CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
104010,SANTA ROSA,1990,1,-999.0,-999.0,-999.0
104010,SANTA ROSA,1990,2,-999.0,-999.0,-999.0
104010,SANTA ROSA,1990,3,-999.0,-999.0,-999.0
104010,SANTA ROSA,1990,4,-999.0,-999.0,-999.0
104010,SANTA ROSA,1990,5,-999.0,-999.0,-999.0
104010,SANTA ROSA,1990,6,-999.0,-999.0,-999.0
104010,SANTA ROSA,1990,7,-999.0,-999.0,-999.0
104010,SANTA ROSA,1990,8,-999.0,-999.0,-999.0
104010,SANTA ROSA,1990,9,-999.0,-999.0,-999.0
104010,SANTA ROSA,1990,10,-999.0,-999.0,-999.0
104010,SANTA ROSA,1990,11,-999.0,-999.0,-999.0
104010,SANTA ROSA,1990,12,-999.0,-999.0,-999.0
104010,SANTA ROSA,1991,1,-999.0,-999.0,-999.0
104010,SANTA ROSA,1991,2,-999.0,-999.0,-999.0
104010,SANTA ROSA,1991,3,-999.0,-999.0,-999.0
104010,SANTA ROSA,1991,4,-999.0,-999.0,-999.0
104010,SANTA ROSA,1991,5,-999.0,-999.0,-999.0
104010,SANTA ROSA,1991,6,-999.0,-999.0,-999.0
104010,SANTA ROSA,1991,7,-999.0,-999.0,-999.0
104010,SANTA ROSA,1991,8,-999.0,-999.0,-999.0
104010,SANTA ROSA,1991,9,-999.0,-999.0,-999.0
104010,SANTA ROSA,1991,10,-999.0,-999.0,-999.0
104010,SANTA ROSA,1991,11,-999.0,-999.0,-999.0
104010,SANTA ROSA,1991,12,-999.0,-999.0,-999.0
104010,SANTA ROSA,1992,1,-999.0,-999.0,-999.0
104010,SANTA ROSA,1992,2,312.0,-999.0,-999.0
104010,SANTA ROSA,1992,3,436.0,-999.0,-999.0
104010,SANTA ROSA,1992,4,266.0,-999.0,-999.0
104010,SANTA ROSA,1992,5,170.0,-999.0,-999.0
104010,SANTA ROSA,1992,6,139.0,-999.0,-999.0
104010,SANTA ROSA,1992,7,48.0,-999.0,-999.0
104010,SANTA ROSA,1992,8,140.0,-999.0,-999.0
104010,SANTA ROSA,1992,9,242.0,-999.0,-999.0
104010,SANTA ROSA,1992,10,147.0,-999.0,-999.0
104010,SANTA ROSA,1992,11,322.0,-999.0,-999.0
104010,SANTA ROSA,1992,12,243.0,-999.0,-999.0
104010,SANTA ROSA,1993,1,99.0,-999.0,-999.0
104010,SANTA ROSA,1993,2,221.0,-999.0,-999.0
104010,SANTA ROSA,1993,3,442.0,-999.0,-999.0
104010,SANTA ROSA,1993,4,253.0,-999.0,-999.0
104010,SANTA ROSA,1993,5,138.0,-999.0,-999.0
104010,SANTA ROSA,1993,6,198.0,-999.0,-999.0
104010,SANTA ROSA,1993,7,119.0,-999.0,-999.0
104010,SANTA ROSA,1993,8,141.0,-999.0,-999.0
104010,SANTA ROSA,1993,9,193.0,-999.0,-999.0
104010,SANTA ROSA,1993,10,214.0,-999.0,-999.0
104010,SANTA ROSA,1993,11,235.0,-999.0,-999.0
104010,SANTA ROSA,1993,12,212.0,-999.0,-999.0
104010,SANTA ROSA,1994,1,241.0,-999.0,-999.0
104010,SANTA ROSA,1994,2,270.0,-999.0,-999.0
104010,SANTA ROSA,1994,3,209.0,-999.0,-999.0
104010,SANTA ROSA,1994,4,137.0,-999.0,-999.0
104010,SANTA ROSA,1994,5,155.0,-999.0,-999.0
104010,SANTA ROSA,1994,6,168.0,-999.0,-999.0
104010,SANTA ROSA,1994,7,118.0,-999.0,-999.0
104010,SANTA ROSA,1994,8,117.0,-999.0,-999.0
104010,SANTA ROSA,1994,9,222.0,-999.0,-999.0
104010,SANTA ROSA,1994,10,146.0,-999.0,-999.0
104010,SANTA ROSA,1994,11,259.0,-999.0,-999.0
104010,SANTA ROSA,1994,12,220.0,-999.0,-999.0
104010,SANTA ROSA,1995,1,254.0,-999.0,-999.0
104010,SANTA ROSA,1995,2,195.0,-999.0,-999.0
104010,SANTA ROSA,1995,3,336.0,-999.0,-999.0
104010,SANTA ROSA,1995,4,273.0,-999.0,-999.0
104010,SANTA ROSA,1995,5,112.0,-999.0,-999.0
104010,SANTA ROSA,1995,6,148.0,-999.0,-999.0
104010,SANTA ROSA,1995,7,43.0,-999.0,-999.0
104010,SANTA ROSA,1995,8,96.0,-999.0,-999.0
104010,SANTA ROSA,1995,9,168.0,-999.0,-999.0
104010,SANTA ROSA,1995,10,173.0,-999.0,-999.0
104010,SANTA ROSA,1995,11,308.0,-999.0,-999.0
104010,SANTA ROSA,1995,12,263.0,-999.0,-999.0
104010,SANTA ROSA,1996,1,263.0,-999.0,-999.0
104010,SANTA ROSA,1996,2,299.0,-999.0,-999.0
104010,SANTA ROSA,1996,3,285.0,-999.0,-999.0
104010,SANTA ROSA,1996,4,165.0,-999.0,-999.0
104010,SANTA ROSA,1996,5,221.0,-999.0,-999.0
104010,SANTA ROSA,1996,6,169.0,-999.0,-999.0
104010,SANTA ROSA,1996,7,108.0,-999.0,-999.0
104010,SANTA ROSA,1996,8,156.0,-999.0,-999.0
104010,SANTA ROSA,1996,9,194.0,-999.0,-999.0
104010,SANTA ROSA,1996,10,212.0,-999.0,-999.0
104010,SANTA ROSA,1996,11,128.0,-999.0,-999.0
104010,SANTA ROSA,1996,12,152.0,-999.0,-999.0
104010,SANTA ROSA,1997,1,296.2,-999.0,-999.0
104010,SANTA ROSA,1997,2,451.8,-999.0,-999.0
104010,SANTA ROSA,1997,3,434.9,-999.0,-999.0
104010,SANTA ROSA,1997,4,239.0,-999.0,-999.0
104010,SANTA ROSA,1997,5,303.0,-999.0,-999.0
104010,SANTA ROSA,1997,6,92.9,-999.0,-999.0
104010,SANTA ROSA,1997,7,128.5,-999.0,-999.0
104010,SANTA ROSA,1997,8,107.0,-999.0,-999.0
104010,SANTA ROSA,1997,9,304.1,-999.0,-999.0
104010,SANTA ROSA,1997,10,82.9,-999.0,-999.0
104010,SANTA ROSA,1997,11,185.3,-999.0,-999.0
104010,SANTA ROSA,1997,12,421.5,-999.0,-999.0
104010,SANTA ROSA,1998,1,391.9,-999.0,-999.0
104010,SANTA ROSA,1998,2,228.6,-999.0,-999.0
104010,SANTA ROSA,1998,3,360.2,-999.0,-999.0
104010,SANTA ROSA,1998,4,443.3,-999.0,-999.0
104010,SANTA ROSA,1998,5,292.5,-999.0,-999.0
104010,SANTA ROSA,1998,6,143.4,-999.0,-999.0
104010,SANTA ROSA,1998,7,108.3,-999.0,-999.0
104010,SANTA ROSA,1998,8,116.9,-999.0,-999.0
104010,SANTA ROSA,1998,9,124.5,-999.0,-999.0
104010,SANTA ROSA,1998,10,261.6,-999.0,-999.0
104010,SANTA ROSA,1998,11,272.3,-999.0,-999.0
104010,SANTA ROSA,1998,12,132.1,-999.0,-999.0
104010,SANTA ROSA,1999,1,370.3,-999.0,-999.0
104010,SANTA ROSA,1999,2,264.2,-999.0,-999.0
104010,SANTA ROSA,1999,3,159.9,-999.0,-999.0
104010,SANTA ROSA,1999,4,229.6,-999.0,-999.0
104010,SANTA ROSA,1999,5,475.6,-999.0,-999.0
104010,SANTA ROSA,1999,6,161.2,-999.0,-999.0
104010,SANTA ROSA,1999,7,151.0,-999.0,-999.0
104010,SANTA ROSA,1999,8,163.2,-999.0,-999.0
104010,SANTA ROSA,1999,9,171.7,-999.0,-999.0
104010,SANTA ROSA,1999,10,239.7,-999.0,-999.0
104010,SANTA ROSA,1999,11,309.6,-999.0,-999.0
104010,SANTA ROSA,1999,12,275.4,-999.0,-999.0
104010,SANTA ROSA,2000,1,161.5,-999.0,-999.0
104010,SANTA ROSA,2000,2,275.1,-999.0,-999.0
104010,SANTA ROSA,2000,3,223.9,-999.0,-999.0
104010,SANTA ROSA,2000,4,324.5,-999.0,-999.0
104010,SANTA ROSA,2000,5,621.2,-999.0,-999.0
104010,SANTA ROSA,2000,6,139.7,-999.0,-999.0
104010,SANTA ROSA,2000,7,190.6,-999.0,-999.0
104010,SANTA ROSA,2000,8,128.3,-999.0,-999.0
104010,SANTA ROSA,2000,9,261.3,-999.0,-999.0
104010,SANTA ROSA,2000,10,187.7,-999.0,-999.0
104010,SANTA ROSA,2000,11,432.2,-999.0,-999.0
104010,SANTA ROSA,2000,12,222.9,-999.0,-999.0
104010,SANTA ROSA,2001,1,533.5,-999.0,-999.0
104010,SANTA ROSA,2001,2,408.3,-999.0,-999.0
104010,SANTA ROSA,2001,3,257.1,-999.0,-999.0
104010,SANTA ROSA,2001,4,337.4,-999.0,-999.0
104010,SANTA ROSA,2001,5,417.1,-999.0,-999.0
104010,SANTA ROSA,2001,6,158.0,-999.0,-999.0
104010,SANTA ROSA,2001,7,210.8,-999.0,-999.0
104010,SANTA ROSA,2001,8,37.2,-999.0,-999.0
104010,SANTA ROSA,2001,9,129.0,-999.0,-999.0
104010,SANTA ROSA,2001,10,143.0,-999.0,-999.0
104010,SANTA ROSA,2001,11,91.4,-999.0,-999.0
104010,SANTA ROSA,2001,12,226.7,-999.0,-999.0
104010,SANTA ROSA,2002,1,342.6,-999.0,-999.0
104010,SANTA ROSA,2002,2,323.6,-999.0,-999.0
104010,SANTA ROSA,2002,3,296.7,-999.0,-999.0
104010,SANTA ROSA,2002,4,448.6,-999.0,-999.0
104010,SANTA ROSA,2002,5,174.6,-999.0,-999.0
104010,SANTA ROSA,2002,6,163.4,-999.0,-999.0
104010,SANTA ROSA,2002,7,274.7,-999.0,-999.0
104010,SANTA ROSA,2002,8,106.0,-999.0,-999.0
104010,SANTA ROSA,2002,9,79.3,-999.0,-999.0
104010,SANTA ROSA,2002,10,328.2,-999.0,-999.0
104010,SANTA ROSA,2002,11,405.2,-999.0,-999.0
