CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
104014,PANANGA,1990,1,0.0,-999.0,-999.0
104014,PANANGA,1990,2,5.7,-999.0,-999.0
104014,PANANGA,1990,3,2.3,-999.0,-999.0
104014,PANANGA,1990,4,0.0,-999.0,-999.0
104014,PANANGA,1990,5,2.4,-999.0,-999.0
104014,PANANGA,1990,6,0.0,-999.0,-999.0
104014,PANANGA,1990,7,0.0,-999.0,-999.0
104014,PANANGA,1990,8,0.0,-999.0,-999.0
104014,PANANGA,1990,9,0.0,-999.0,-999.0
104014,PANANGA,1990,10,4.3,-999.0,-999.0
104014,PANANGA,1990,11,3.2,-999.0,-999.0
104014,PANANGA,1990,12,0.0,-999.0,-999.0
104014,PANANGA,1991,1,31.9,-999.0,-999.0
104014,PANANGA,1991,2,0.0,-999.0,-999.0
104014,PANANGA,1991,3,0.0,-999.0,-999.0
104014,PANANGA,1991,4,0.0,-999.0,-999.0
104014,PANANGA,1991,5,0.0,-999.0,-999.0
104014,PANANGA,1991,6,0.0,-999.0,-999.0
104014,PANANGA,1991,7,0.0,-999.0,-999.0
104014,PANANGA,1991,8,0.0,-999.0,-999.0
104014,PANANGA,1991,9,0.0,-999.0,-999.0
104014,PANANGA,1991,10,0.0,-999.0,-999.0
104014,PANANGA,1991,11,0.0,-999.0,-999.0
104014,PANANGA,1991,12,0.0,-999.0,-999.0
104014,PANANGA,1992,1,-999.0,-999.0,-999.0
104014,PANANGA,1992,2,-999.0,-999.0,-999.0
104014,PANANGA,1992,3,-999.0,-999.0,-999.0
104014,PANANGA,1992,4,-999.0,-999.0,-999.0
104014,PANANGA,1992,5,3.2,-999.0,-999.0
104014,PANANGA,1992,6,0.0,-999.0,-999.0
104014,PANANGA,1992,7,0.0,-999.0,-999.0
104014,PANANGA,1992,8,0.0,-999.0,-999.0
104014,PANANGA,1992,9,0.0,-999.0,-999.0
104014,PANANGA,1992,10,0.0,-999.0,-999.0
104014,PANANGA,1992,11,0.0,-999.0,-999.0
104014,PANANGA,1992,12,0.0,-999.0,-999.0
104014,PANANGA,1993,1,0.0,-999.0,-999.0
104014,PANANGA,1993,2,148.0,-999.0,-999.0
104014,PANANGA,1993,3,38.5,-999.0,-999.0
104014,PANANGA,1993,4,0.0,-999.0,-999.0
104014,PANANGA,1993,5,0.0,-999.0,-999.0
104014,PANANGA,1993,6,0.0,-999.0,-999.0
104014,PANANGA,1993,7,0.0,-999.0,-999.0
104014,PANANGA,1993,8,0.0,-999.0,-999.0
104014,PANANGA,1993,9,0.0,-999.0,-999.0
104014,PANANGA,1993,10,0.0,-999.0,-999.0
104014,PANANGA,1993,11,0.0,-999.0,-999.0
104014,PANANGA,1993,12,0.0,-999.0,-999.0
104014,PANANGA,1994,1,0.0,-999.0,-999.0
104014,PANANGA,1994,2,39.0,-999.0,-999.0
104014,PANANGA,1994,3,22.3,-999.0,-999.0
104014,PANANGA,1994,4,4.6,-999.0,-999.0
104014,PANANGA,1994,5,5.4,-999.0,-999.0
104014,PANANGA,1994,6,0.0,-999.0,-999.0
104014,PANANGA,1994,7,0.0,-999.0,-999.0
104014,PANANGA,1994,8,0.0,-999.0,-999.0
104014,PANANGA,1994,9,0.0,-999.0,-999.0
104014,PANANGA,1994,10,0.0,-999.0,-999.0
104014,PANANGA,1994,11,0.0,-999.0,-999.0
104014,PANANGA,1994,12,9.5,-999.0,-999.0
104014,PANANGA,1995,1,2.3,-999.0,-999.0
104014,PANANGA,1995,2,36.8,-999.0,-999.0
104014,PANANGA,1995,3,16.2,-999.0,-999.0
104014,PANANGA,1995,4,6.9,-999.0,-999.0
104014,PANANGA,1995,5,0.0,-999.0,-999.0
104014,PANANGA,1995,6,0.0,-999.0,-999.0
104014,PANANGA,1995,7,0.0,-999.0,-999.0
104014,PANANGA,1995,8,0.0,-999.0,-999.0
104014,PANANGA,1995,9,0.0,-999.0,-999.0
104014,PANANGA,1995,10,0.0,-999.0,-999.0
104014,PANANGA,1995,11,3.5,-999.0,-999.0
104014,PANANGA,1995,12,4.3,-999.0,-999.0
104014,PANANGA,1996,1,6.1,-999.0,-999.0
104014,PANANGA,1996,2,2.3,-999.0,-999.0
104014,PANANGA,1996,3,-999.0,-999.0,-999.0
104014,PANANGA,1996,4,0.0,-999.0,-999.0
104014,PANANGA,1996,5,2.5,-999.0,-999.0
104014,PANANGA,1996,6,0.0,-999.0,-999.0
104014,PANANGA,1996,7,0.0,-999.0,-999.0
104014,PANANGA,1996,8,0.0,-999.0,-999.0
104014,PANANGA,1996,9,0.0,-999.0,-999.0
104014,PANANGA,1996,10,-999.0,-999.0,-999.0
104014,PANANGA,1996,11,0.0,-999.0,-999.0
104014,PANANGA,1996,12,0.0,-999.0,-999.0
104014,PANANGA,1997,1,1.0,-999.0,-999.0
104014,PANANGA,1997,2,30.0,-999.0,-999.0
104014,PANANGA,1997,3,105.0,-999.0,-999.0
104014,PANANGA,1997,4,38.5,-999.0,-999.0
104014,PANANGA,1997,5,21.4,-999.0,-999.0
104014,PANANGA,1997,6,0.0,-999.0,-999.0
104014,PANANGA,1997,7,0.0,-999.0,-999.0
104014,PANANGA,1997,8,0.0,-999.0,-999.0
104014,PANANGA,1997,9,3.6,-999.0,-999.0
104014,PANANGA,1997,10,5.4,-999.0,-999.0
104014,PANANGA,1997,11,26.2,-999.0,-999.0
104014,PANANGA,1997,12,395.3,-999.0,-999.0
104014,PANANGA,1998,1,824.5,-999.0,-999.0
104014,PANANGA,1998,2,545.2,-999.0,-999.0
104014,PANANGA,1998,3,816.9,-999.0,-999.0
104014,PANANGA,1998,4,364.2,-999.0,-999.0
104014,PANANGA,1998,5,78.4,-999.0,-999.0
104014,PANANGA,1998,6,0.0,-999.0,-999.0
104014,PANANGA,1998,7,0.0,-999.0,-999.0
104014,PANANGA,1998,8,0.0,-999.0,-999.0
104014,PANANGA,1998,9,0.0,-999.0,-999.0
104014,PANANGA,1998,10,0.0,-999.0,-999.0
104014,PANANGA,1998,11,0.0,-999.0,-999.0
104014,PANANGA,1998,12,0.0,-999.0,-999.0
104014,PANANGA,1999,1,8.8,-999.0,-999.0
104014,PANANGA,1999,2,171.4,-999.0,-999.0
104014,PANANGA,1999,3,54.2,-999.0,-999.0
104014,PANANGA,1999,4,55.3,-999.0,-999.0
104014,PANANGA,1999,5,10.6,-999.0,-999.0
104014,PANANGA,1999,6,1.6,-999.0,-999.0
104014,PANANGA,1999,7,0.0,-999.0,-999.0
104014,PANANGA,1999,8,0.0,-999.0,-999.0
104014,PANANGA,1999,9,0.0,-999.0,-999.0
104014,PANANGA,1999,10,1.0,-999.0,-999.0
104014,PANANGA,1999,11,0.0,-999.0,-999.0
104014,PANANGA,1999,12,4.4,-999.0,-999.0
104014,PANANGA,2000,1,0.0,-999.0,-999.0
104014,PANANGA,2000,2,16.5,-999.0,-999.0
104014,PANANGA,2000,3,27.5,-999.0,-999.0
104014,PANANGA,2000,4,87.8,-999.0,-999.0
104014,PANANGA,2000,5,8.6,-999.0,-999.0
104014,PANANGA,2000,6,0.0,-999.0,-999.0
104014,PANANGA,2000,7,0.0,-999.0,-999.0
104014,PANANGA,2000,8,0.0,-999.0,-999.0
104014,PANANGA,2000,9,0.0,-999.0,-999.0
104014,PANANGA,2000,10,0.0,-999.0,-999.0
104014,PANANGA,2000,11,0.0,-999.0,-999.0
104014,PANANGA,2000,12,-999.0,-999.0,-999.0
104014,PANANGA,2001,1,49.0,-999.0,-999.0
104014,PANANGA,2001,2,23.9,-999.0,-999.0
