CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
104058,AYABACA,1990,1,45.2,17.76,9.86
104058,AYABACA,1990,2,139.0,16.7,9.81
104058,AYABACA,1990,3,194.1,17.82,9.89
104058,AYABACA,1990,4,324.4,17.23,10.38
104058,AYABACA,1990,5,153.5,17.99,9.92
104058,AYABACA,1990,6,28.6,18.19,10.04
104058,AYABACA,1990,7,18.5,18.53,8.8
104058,AYABACA,1990,8,0.0,19.04,8.97
104058,AYABACA,1990,9,2.2,19.59,9.76
104058,AYABACA,1990,10,19.1,18.82,9.72
104058,AYABACA,1990,11,78.4,18.46,10.02
104058,AYABACA,1990,12,84.2,17.62,9.7
104058,AYABACA,1991,1,42.9,17.87,9.55
104058,AYABACA,1991,2,225.6,17.48,10.22
104058,AYABACA,1991,3,407.4,16.96,10.47
104058,AYABACA,1991,4,111.4,17.64,9.8
104058,AYABACA,1991,5,39.1,18.1,10.37
104058,AYABACA,1991,6,13.6,18.95,10.1
104058,AYABACA,1991,7,1.4,18.85,9.09
104058,AYABACA,1991,8,1.1,18.32,9.25
104058,AYABACA,1991,9,3.0,19.36,9.84
104058,AYABACA,1991,10,33.4,18.41,9.33
104058,AYABACA,1991,11,26.0,18.81,9.72
104058,AYABACA,1991,12,72.9,18.65,9.66
104058,AYABACA,1992,1,51.7,18.06,10.02
104058,AYABACA,1992,2,162.1,17.3,-999.0
104058,AYABACA,1992,3,210.6,17.95,10.69
104058,AYABACA,1992,4,312.8,17.43,-999.0
104058,AYABACA,1992,5,117.6,17.05,10.91
104058,AYABACA,1992,6,16.9,18.52,9.76
104058,AYABACA,1992,7,0.4,18.42,8.63
104058,AYABACA,1992,8,49.1,19.19,8.95
104058,AYABACA,1992,9,81.7,17.62,9.88
104058,AYABACA,1992,10,37.0,18.99,9.36
104058,AYABACA,1992,11,24.3,18.19,9.11
104058,AYABACA,1992,12,62.9,18.36,9.2
104058,AYABACA,1993,1,82.9,17.52,9.5
104058,AYABACA,1993,2,539.0,16.08,9.62
104058,AYABACA,1993,3,403.3,16.76,9.32
104058,AYABACA,1993,4,363.2,17.6,10.21
104058,AYABACA,1993,5,82.6,17.67,9.61
104058,AYABACA,1993,6,2.9,18.58,9.31
104058,AYABACA,1993,7,-999.0,-999.0,-999.0
104058,AYABACA,1993,8,-999.0,-999.0,-999.0
104058,AYABACA,1993,9,-999.0,-999.0,-999.0
104058,AYABACA,1993,10,-999.0,-999.0,-999.0
104058,AYABACA,1993,11,-999.0,18.31,-999.0
104058,AYABACA,1993,12,-999.0,17.13,-999.0
104058,AYABACA,1994,1,-999.0,16.16,-999.0
104058,AYABACA,1994,2,-999.0,16.37,-999.0
104058,AYABACA,1994,3,-999.0,16.51,-999.0
104058,AYABACA,1994,4,-999.0,17.2,-999.0
104058,AYABACA,1994,5,68.6,17.8,-999.0
104058,AYABACA,1994,6,14.0,17.76,-999.0
104058,AYABACA,1994,7,0.7,18.24,-999.0
104058,AYABACA,1994,8,1.1,18.25,-999.0
104058,AYABACA,1994,9,30.2,19.0,-999.0
104058,AYABACA,1994,10,1.1,19.56,-999.0
104058,AYABACA,1994,11,55.3,18.67,-999.0
104058,AYABACA,1994,12,45.0,18.05,-999.0
104058,AYABACA,1995,1,45.6,17.72,-999.0
104058,AYABACA,1995,2,205.3,17.05,-999.0
104058,AYABACA,1995,3,197.3,17.65,-999.0
104058,AYABACA,1995,4,203.5,17.9,-999.0
104058,AYABACA,1995,5,52.7,17.8,-999.0
104058,AYABACA,1995,6,2.6,18.86,-999.0
104058,AYABACA,1995,7,7.5,18.88,-999.0
104058,AYABACA,1995,8,2.1,19.8,-999.0
104058,AYABACA,1995,9,2.0,19.55,-999.0
104058,AYABACA,1995,10,19.1,18.91,-999.0
104058,AYABACA,1995,11,83.6,17.86,-999.0
104058,AYABACA,1995,12,138.5,17.15,-999.0
104058,AYABACA,1996,1,172.2,15.93,-999.0
104058,AYABACA,1996,2,198.9,16.39,-999.0
104058,AYABACA,1996,3,245.9,16.08,-999.0
104058,AYABACA,1996,4,82.8,16.91,-999.0
104058,AYABACA,1996,5,20.6,17.97,-999.0
104058,AYABACA,1996,6,19.6,18.4,-999.0
104058,AYABACA,1996,7,0.0,18.45,-999.0
104058,AYABACA,1996,8,0.3,18.97,-999.0
104058,AYABACA,1996,9,4.1,19.19,-999.0
104058,AYABACA,1996,10,44.6,17.34,-999.0
104058,AYABACA,1996,11,1.7,17.95,-999.0
104058,AYABACA,1996,12,26.0,18.16,-999.0
104058,AYABACA,1997,1,60.4,16.4,-999.0
104058,AYABACA,1997,2,166.0,17.27,-999.0
104058,AYABACA,1997,3,206.8,17.8,-999.0
104058,AYABACA,1997,4,195.9,17.74,-999.0
104058,AYABACA,1997,5,6.0,19.18,-999.0
104058,AYABACA,1997,6,4.3,18.77,-999.0
104058,AYABACA,1997,7,0.0,19.26,-999.0
104058,AYABACA,1997,8,0.0,19.8,-999.0
104058,AYABACA,1997,9,127.9,19.57,-999.0
104058,AYABACA,1997,10,56.8,19.34,-999.0
104058,AYABACA,1997,11,130.0,18.31,-999.0
104058,AYABACA,1997,12,268.9,18.12,-999.0
104058,AYABACA,1998,1,186.7,18.92,-999.0
104058,AYABACA,1998,2,412.8,18.74,-999.0
104058,AYABACA,1998,3,454.4,18.84,-999.0
104058,AYABACA,1998,4,402.2,18.68,-999.0
104058,AYABACA,1998,5,233.0,18.61,-999.0
104058,AYABACA,1998,6,18.8,18.07,-999.0
104058,AYABACA,1998,7,0.5,18.46,-999.0
104058,AYABACA,1998,8,13.3,18.82,-999.0
104058,AYABACA,1998,9,59.7,19.05,-999.0
104058,AYABACA,1998,10,82.6,19.06,-999.0
104058,AYABACA,1998,11,95.7,17.81,-999.0
104058,AYABACA,1998,12,30.3,18.52,-999.0
104058,AYABACA,1999,1,146.3,17.02,-999.0
104058,AYABACA,1999,2,685.1,15.67,-999.0
104058,AYABACA,1999,3,579.3,16.5,-999.0
104058,AYABACA,1999,4,174.6,16.76,-999.0
104058,AYABACA,1999,5,207.2,16.76,-999.0
104058,AYABACA,1999,6,103.7,17.32,-999.0
104058,AYABACA,1999,7,2.0,17.39,-999.0
104058,AYABACA,1999,8,0.2,18.35,-999.0
104058,AYABACA,1999,9,41.4,17.63,8.73
104058,AYABACA,1999,10,22.9,17.85,8.85
104058,AYABACA,1999,11,10.2,18.2,8.89
104058,AYABACA,1999,12,130.1,15.16,9.54
104058,AYABACA,2000,1,104.4,16.04,8.31
104058,AYABACA,2000,2,327.9,15.44,9.33
104058,AYABACA,2000,3,407.5,15.85,9.77
104058,AYABACA,2000,4,368.9,16.5,10.05
104058,AYABACA,2000,5,143.4,17.02,9.98
104058,AYABACA,2000,6,37.1,17.38,9.34
104058,AYABACA,2000,7,2.1,17.88,8.19
104058,AYABACA,2000,8,0.0,18.6,8.62
104058,AYABACA,2000,9,76.6,17.94,8.86
104058,AYABACA,2000,10,0.6,19.21,8.62
104058,AYABACA,2000,11,12.1,19.21,8.07
104058,AYABACA,2000,12,104.8,17.56,9.41
104058,AYABACA,2001,1,287.7,15.87,9.17
104058,AYABACA,2001,2,247.3,16.35,9.78
104058,AYABACA,2001,3,478.3,16.85,9.9
104058,AYABACA,2001,4,132.5,17.12,10.12
104058,AYABACA,2001,5,86.9,17.43,10.07
104058,AYABACA,2001,6,9.6,17.32,9.06
104058,AYABACA,2001,7,10.5,18.03,9.55
104058,AYABACA,2001,8,0.5,19.16,9.86
104058,AYABACA,2001,9,6.9,18.87,9.74
104058,AYABACA,2001,10,16.8,19.96,10.11
104058,AYABACA,2001,11,91.6,18.13,10.15
104058,AYABACA,2001,12,83.9,17.74,10.69
104058,AYABACA,2002,1,68.0,17.19,10.06
104058,AYABACA,2002,2,287.2,16.38,10.75
104058,AYABACA,2002,3,432.3,17.22,10.84
104058,AYABACA,2002,4,306.6,16.43,10.47
104058,AYABACA,2002,5,133.7,17.72,10.77
104058,AYABACA,2002,6,0.5,17.84,10.33
104058,AYABACA,2002,7,17.0,18.14,10.23
104058,AYABACA,2002,8,0.2,19.03,10.01
104058,AYABACA,2002,9,1.5,19.49,10.26
104058,AYABACA,2002,10,71.1,18.73,10.45
104058,AYABACA,2002,11,107.2,17.63,10.62
104058,AYABACA,2002,12,178.8,17.26,11.11
104058,AYABACA,2003,1,67.4,17.05,10.78
104058,AYABACA,2003,2,150.3,17.02,11.07
104058,AYABACA,2003,3,344.2,16.61,10.63
104058,AYABACA,2003,4,194.2,17.15,10.91
104058,AYABACA,2003,5,88.4,17.63,10.69
104058,AYABACA,2003,6,41.7,17.53,10.12
104058,AYABACA,2003,7,9.6,18.06,9.37
104058,AYABACA,2003,8,0.1,19.42,9.73
104058,AYABACA,2003,9,2.3,19.5,10.36
104058,AYABACA,2003,10,39.3,19.03,10.48
104058,AYABACA,2003,11,29.6,18.87,10.44
104058,AYABACA,2003,12,73.8,17.52,10.33
104058,AYABACA,2004,1,131.4,17.25,9.45
104058,AYABACA,2004,2,124.9,17.02,10.75
104058,AYABACA,2004,3,116.9,17.47,11.17
104058,AYABACA,2004,4,141.5,17.23,10.86
104058,AYABACA,2004,5,72.5,17.9,11.01
104058,AYABACA,2004,6,5.8,17.73,10.36
104058,AYABACA,2004,7,12.3,17.92,9.95
104058,AYABACA,2004,8,0.0,19.02,9.8
104058,AYABACA,2004,9,47.7,18.51,10.07
104058,AYABACA,2004,10,32.0,17.96,10.49
104058,AYABACA,2004,11,57.4,17.9,10.38
104058,AYABACA,2004,12,89.2,17.48,10.26
104058,AYABACA,2005,1,96.4,17.3,9.8
104058,AYABACA,2005,2,202.1,16.52,11.18
104058,AYABACA,2005,3,501.4,16.74,11.2
104058,AYABACA,2005,4,109.2,17.91,11.18
104058,AYABACA,2005,5,53.6,18.05,10.68
104058,AYABACA,2005,6,19.7,18.62,10.69
104058,AYABACA,2005,7,1.1,19.03,10.08
104058,AYABACA,2005,8,0.0,19.51,10.37
104058,AYABACA,2005,9,4.3,19.82,10.29
104058,AYABACA,2005,10,43.2,18.35,10.5
104058,AYABACA,2005,11,24.6,18.39,9.33
104058,AYABACA,2005,12,161.0,16.89,9.83
104058,AYABACA,2006,1,190.9,16.73,10.27
104058,AYABACA,2006,2,379.2,16.31,11.11
104058,AYABACA,2006,3,453.8,16.83,10.96
104058,AYABACA,2006,4,196.8,17.18,10.52
104058,AYABACA,2006,5,15.1,18.22,10.33
104058,AYABACA,2006,6,69.0,17.58,10.21
104058,AYABACA,2006,7,14.3,18.63,10.03
104058,AYABACA,2006,8,0.0,19.53,10.48
104058,AYABACA,2006,9,20.5,19.55,10.46
104058,AYABACA,2006,10,13.1,19.72,10.23
104058,AYABACA,2006,11,98.1,18.38,10.36
104058,AYABACA,2006,12,218.4,17.33,10.96
104058,AYABACA,2007,1,152.9,17.75,11.6
104058,AYABACA,2007,2,76.2,17.07,10.3
104058,AYABACA,2007,3,430.1,17.05,10.94
104058,AYABACA,2007,4,214.6,17.3,11.2
104058,AYABACA,2007,5,87.6,17.52,10.87
104058,AYABACA,2007,6,3.4,17.5,10.08
104058,AYABACA,2007,7,11.6,18.37,9.93
104058,AYABACA,2007,8,1.5,18.6,9.97
104058,AYABACA,2007,9,4.1,19.37,10.12
104058,AYABACA,2007,10,20.5,18.03,9.97
104058,AYABACA,2007,11,84.6,17.42,10.49
104058,AYABACA,2007,12,56.8,16.51,9.41
104058,AYABACA,2008,1,201.8,15.83,10.35
104058,AYABACA,2008,2,473.3,15.37,10.11
104058,AYABACA,2008,3,333.4,16.07,10.1
104058,AYABACA,2008,4,417.0,15.9,10.48
104058,AYABACA,2008,5,85.8,16.6,10.4
104058,AYABACA,2008,6,16.2,17.19,10.06
104058,AYABACA,2008,7,0.6,17.17,9.69
104058,AYABACA,2008,8,17.7,18.08,9.81
104058,AYABACA,2008,9,20.7,18.7,10.2
104058,AYABACA,2008,10,129.0,17.79,10.22
