CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
104065,SANTA RITA DE CASTILLA,1990,1,520.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1990,2,207.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1990,3,362.5,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1990,4,300.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1990,5,155.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1990,6,387.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1990,7,94.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1990,8,187.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1990,9,212.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1990,10,356.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1990,11,492.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1990,12,142.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1991,1,197.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1991,2,138.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1991,3,469.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1991,4,257.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1991,5,65.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1991,6,91.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1991,7,124.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1991,8,57.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1991,9,132.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1991,10,554.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1991,11,494.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1991,12,172.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1992,1,96.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1992,2,73.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1992,3,247.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1992,4,163.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1992,5,116.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1992,6,102.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1992,7,59.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1992,8,177.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1992,9,127.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1992,10,136.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1992,11,121.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1992,12,203.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1993,1,370.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1993,2,144.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1993,3,507.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1993,4,315.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1993,5,278.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1993,6,60.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1993,7,82.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1993,8,74.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1993,9,83.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1993,10,176.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1993,11,110.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1993,12,120.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1994,1,56.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1994,2,102.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1994,3,70.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1994,4,567.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1994,5,374.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1994,6,174.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1994,7,97.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1994,8,143.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1994,9,93.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1994,10,171.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1994,11,100.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1994,12,168.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1995,1,166.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1995,2,283.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1995,3,479.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1995,4,448.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1995,5,306.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1995,6,184.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1995,7,68.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1995,8,52.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1995,9,47.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1995,10,85.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1995,11,210.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1995,12,317.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1996,1,232.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1996,2,214.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1996,3,242.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1996,4,279.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1996,5,221.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1996,6,146.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1996,7,115.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1996,8,260.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1996,9,231.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1996,10,212.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1996,11,144.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1996,12,147.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1997,1,197.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1997,2,452.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1997,3,264.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1997,4,143.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1997,5,244.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1997,6,117.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1997,7,33.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1997,8,120.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1997,9,294.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1997,10,209.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1997,11,284.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1997,12,367.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1998,1,343.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1998,2,325.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1998,3,271.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1998,4,245.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1998,5,199.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1998,6,60.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1998,7,68.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1998,8,131.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1998,9,83.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1998,10,159.0,-999.0,-999.0
104065,SANTA RITA DE CASTILLA,1998,11,535.0,-999.0,-999.0
