CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
104079,MALLARES,1990,1,0.1,33.41,20.91
104079,MALLARES,1990,2,0.9,33.65,22.15
104079,MALLARES,1990,3,1.4,34.57,22.09
104079,MALLARES,1990,4,1.1,33.17,21.09
104079,MALLARES,1990,5,0.0,31.01,20.43
104079,MALLARES,1990,6,0.1,28.92,18.54
104079,MALLARES,1990,7,0.0,26.28,17.15
104079,MALLARES,1990,8,0.0,27.16,16.57
104079,MALLARES,1990,9,0.0,28.85,16.86
104079,MALLARES,1990,10,1.3,29.85,17.43
104079,MALLARES,1990,11,0.0,30.92,17.77
104079,MALLARES,1990,12,4.3,31.81,18.58
104079,MALLARES,1991,1,3.3,33.62,20.54
104079,MALLARES,1991,2,5.9,34.79,22.69
104079,MALLARES,1991,3,26.9,34.79,23.01
104079,MALLARES,1991,4,-999.0,-999.0,-999.0
104079,MALLARES,1991,5,0.0,32.45,20.4
104079,MALLARES,1991,6,0.2,29.53,18.17
104079,MALLARES,1991,7,0.0,27.69,16.08
104079,MALLARES,1991,8,0.0,27.77,16.14
104079,MALLARES,1991,9,0.0,29.07,17.07
104079,MALLARES,1991,10,0.0,29.75,16.98
104079,MALLARES,1991,11,0.2,30.82,17.63
104079,MALLARES,1991,12,4.9,31.58,21.12
104079,MALLARES,1992,1,8.8,33.35,23.16
104079,MALLARES,1992,2,42.5,33.38,23.34
104079,MALLARES,1992,3,202.4,32.99,23.78
104079,MALLARES,1992,4,230.8,31.43,23.04
104079,MALLARES,1992,5,4.2,31.5,21.58
104079,MALLARES,1992,6,1.4,29.11,18.43
104079,MALLARES,1992,7,0.0,-999.0,16.17
104079,MALLARES,1992,8,0.0,28.46,16.39
104079,MALLARES,1992,9,0.0,29.05,16.98
104079,MALLARES,1992,10,-999.0,-999.0,-999.0
104079,MALLARES,1992,11,-999.0,-999.0,-999.0
104079,MALLARES,1992,12,0.3,32.19,17.62
104079,MALLARES,1993,1,-999.0,-999.0,-999.0
104079,MALLARES,1993,2,-999.0,-999.0,-999.0
104079,MALLARES,1993,3,-999.0,-999.0,-999.0
104079,MALLARES,1993,4,-999.0,-999.0,-999.0
104079,MALLARES,1993,5,-999.0,-999.0,-999.0
104079,MALLARES,1993,6,0.2,30.75,20.05
104079,MALLARES,1993,7,1.0,29.99,18.58
104079,MALLARES,1993,8,-999.0,-999.0,17.48
104079,MALLARES,1993,9,-999.0,-999.0,17.8
104079,MALLARES,1993,10,0.9,32.14,17.96
104079,MALLARES,1993,11,0.1,32.12,17.98
104079,MALLARES,1993,12,0.0,33.1,19.98
104079,MALLARES,1994,1,1.2,34.02,21.39
104079,MALLARES,1994,2,9.7,35.15,22.51
104079,MALLARES,1994,3,19.2,34.89,21.66
104079,MALLARES,1994,4,1.1,34.46,21.52
104079,MALLARES,1994,5,0.7,33.29,19.86
104079,MALLARES,1994,6,0.0,30.36,17.76
104079,MALLARES,1994,7,0.0,-999.0,16.56
104079,MALLARES,1994,8,0.0,29.95,16.22
104079,MALLARES,1994,9,0.3,31.15,17.35
104079,MALLARES,1994,10,0.0,31.25,17.51
104079,MALLARES,1994,11,0.0,31.75,18.64
104079,MALLARES,1994,12,6.6,32.85,20.86
104079,MALLARES,1995,1,0.0,34.57,23.02
104079,MALLARES,1995,2,2.1,34.46,22.7
104079,MALLARES,1995,3,1.8,34.85,21.64
104079,MALLARES,1995,4,0.0,34.09,19.95
104079,MALLARES,1995,5,0.0,32.11,18.94
104079,MALLARES,1995,6,0.0,30.8,18.14
104079,MALLARES,1995,7,0.0,29.09,17.46
104079,MALLARES,1995,8,0.0,28.7,16.5
104079,MALLARES,1995,9,0.0,30.11,16.69
104079,MALLARES,1995,10,0.0,30.51,17.33
104079,MALLARES,1995,11,1.2,31.7,18.42
104079,MALLARES,1995,12,0.0,32.66,18.38
104079,MALLARES,1996,1,-999.0,34.25,20.85
104079,MALLARES,1996,2,0.2,35.34,21.88
104079,MALLARES,1996,3,1.3,33.99,22.05
104079,MALLARES,1996,4,0.0,32.21,19.58
104079,MALLARES,1996,5,0.0,31.07,17.65
104079,MALLARES,1996,6,0.1,28.44,16.79
104079,MALLARES,1996,7,0.0,28.37,15.06
104079,MALLARES,1996,8,0.0,29.29,15.61
104079,MALLARES,1996,9,0.0,29.76,15.87
104079,MALLARES,1996,10,2.8,29.93,16.75
104079,MALLARES,1996,11,0.0,30.23,17.07
