CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
104090,LA ESPERANZA,1990,1,0.3,29.96,20.9
104090,LA ESPERANZA,1990,2,0.3,31.19,22.48
104090,LA ESPERANZA,1990,3,0.7,31.09,22.35
104090,LA ESPERANZA,1990,4,1.0,30.56,21.33
104090,LA ESPERANZA,1990,5,0.1,28.5,20.59
104090,LA ESPERANZA,1990,6,0.0,27.35,18.54
104090,LA ESPERANZA,1990,7,0.0,25.37,17.02
104090,LA ESPERANZA,1990,8,0.0,24.99,16.15
104090,LA ESPERANZA,1990,9,0.0,24.92,16.62
104090,LA ESPERANZA,1990,10,2.1,25.33,17.66
104090,LA ESPERANZA,1990,11,0.6,25.74,18.07
104090,LA ESPERANZA,1990,12,1.1,28.37,19.51
104090,LA ESPERANZA,1991,1,0.4,29.78,20.69
104090,LA ESPERANZA,1991,2,2.0,31.13,23.2
104090,LA ESPERANZA,1991,3,0.5,31.38,23.38
104090,LA ESPERANZA,1991,4,2.4,30.74,21.23
104090,LA ESPERANZA,1991,5,0.0,29.81,20.31
104090,LA ESPERANZA,1991,6,0.0,27.49,18.88
104090,LA ESPERANZA,1991,7,0.0,26.2,17.16
104090,LA ESPERANZA,1991,8,0.0,25.47,17.04
104090,LA ESPERANZA,1991,9,0.0,25.51,-999.0
104090,LA ESPERANZA,1991,10,0.0,26.17,18.32
104090,LA ESPERANZA,1991,11,1.0,26.67,18.83
104090,LA ESPERANZA,1991,12,2.4,28.85,21.36
104090,LA ESPERANZA,1992,1,0.0,30.09,23.16
104090,LA ESPERANZA,1992,2,13.4,31.8,23.97
104090,LA ESPERANZA,1992,3,77.8,32.0,24.87
104090,LA ESPERANZA,1992,4,73.6,31.59,24.12
104090,LA ESPERANZA,1992,5,0.0,31.27,22.92
104090,LA ESPERANZA,1992,6,0.2,28.74,19.84
104090,LA ESPERANZA,1992,7,0.0,26.29,17.21
104090,LA ESPERANZA,1992,8,-999.0,-999.0,-999.0
104090,LA ESPERANZA,1992,9,0.0,25.29,17.44
104090,LA ESPERANZA,1992,10,0.0,26.01,17.82
104090,LA ESPERANZA,1992,11,0.0,26.51,18.57
104090,LA ESPERANZA,1992,12,-999.0,-999.0,-999.0
104090,LA ESPERANZA,1993,1,0.0,30.32,21.82
104090,LA ESPERANZA,1993,2,-999.0,-999.0,-999.0
104090,LA ESPERANZA,1993,3,12.5,31.82,23.37
104090,LA ESPERANZA,1993,4,7.3,31.57,22.83
104090,LA ESPERANZA,1993,5,0.1,29.84,21.7
104090,LA ESPERANZA,1993,6,-999.0,-999.0,-999.0
104090,LA ESPERANZA,1993,7,-999.0,-999.0,-999.0
104090,LA ESPERANZA,1993,8,-999.0,-999.0,-999.0
104090,LA ESPERANZA,1993,9,-999.0,-999.0,-999.0
104090,LA ESPERANZA,1993,10,-999.0,-999.0,-999.0
104090,LA ESPERANZA,1993,11,-999.0,-999.0,-999.0
104090,LA ESPERANZA,1993,12,-999.0,29.18,20.55
104090,LA ESPERANZA,1994,1,-999.0,30.2,21.64
104090,LA ESPERANZA,1994,2,-999.0,31.47,23.08
