CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
105012,BERNAL,1990,1,0.0,-999.0,-999.0
105012,BERNAL,1990,2,4.5,-999.0,-999.0
105012,BERNAL,1990,3,0.0,-999.0,-999.0
105012,BERNAL,1990,4,0.0,-999.0,-999.0
105012,BERNAL,1990,5,0.0,-999.0,-999.0
105012,BERNAL,1990,6,0.2,-999.0,-999.0
105012,BERNAL,1990,7,0.0,-999.0,-999.0
105012,BERNAL,1990,8,0.0,-999.0,-999.0
105012,BERNAL,1990,9,0.0,-999.0,-999.0
105012,BERNAL,1990,10,0.0,-999.0,-999.0
105012,BERNAL,1990,11,0.0,-999.0,-999.0
105012,BERNAL,1990,12,0.0,-999.0,-999.0
105012,BERNAL,1991,1,0.0,-999.0,-999.0
105012,BERNAL,1991,2,3.2,-999.0,-999.0
105012,BERNAL,1991,3,2.6,-999.0,-999.0
105012,BERNAL,1991,4,0.0,-999.0,-999.0
105012,BERNAL,1991,5,0.0,-999.0,-999.0
105012,BERNAL,1991,6,0.0,-999.0,-999.0
105012,BERNAL,1991,7,3.5,-999.0,-999.0
105012,BERNAL,1991,8,0.0,-999.0,-999.0
105012,BERNAL,1991,9,0.0,-999.0,-999.0
105012,BERNAL,1991,10,0.0,-999.0,-999.0
105012,BERNAL,1991,11,2.5,-999.0,-999.0
105012,BERNAL,1991,12,1.5,-999.0,-999.0
105012,BERNAL,1992,1,0.0,-999.0,-999.0
105012,BERNAL,1992,2,7.5,-999.0,-999.0
105012,BERNAL,1992,3,77.3,-999.0,-999.0
105012,BERNAL,1992,4,8.3,-999.0,-999.0
105012,BERNAL,1992,5,0.4,-999.0,-999.0
105012,BERNAL,1992,6,0.0,-999.0,-999.0
105012,BERNAL,1992,7,0.0,-999.0,-999.0
105012,BERNAL,1992,8,0.0,-999.0,-999.0
105012,BERNAL,1992,9,0.0,-999.0,-999.0
105012,BERNAL,1992,10,0.0,-999.0,-999.0
105012,BERNAL,1992,11,0.1,-999.0,-999.0
105012,BERNAL,1992,12,0.0,-999.0,-999.0
105012,BERNAL,1993,1,2.3,-999.0,-999.0
105012,BERNAL,1993,2,14.2,-999.0,-999.0
105012,BERNAL,1993,3,-999.0,-999.0,-999.0
105012,BERNAL,1993,4,5.3,-999.0,-999.0
105012,BERNAL,1993,5,0.0,-999.0,-999.0
105012,BERNAL,1993,6,0.0,-999.0,-999.0
105012,BERNAL,1993,7,0.0,-999.0,-999.0
105012,BERNAL,1993,8,0.0,-999.0,-999.0
105012,BERNAL,1993,9,0.0,-999.0,-999.0
105012,BERNAL,1993,10,0.0,-999.0,-999.0
105012,BERNAL,1993,11,0.3,-999.0,-999.0
105012,BERNAL,1993,12,0.0,-999.0,-999.0
105012,BERNAL,1994,1,0.5,-999.0,-999.0
105012,BERNAL,1994,2,2.8,-999.0,-999.0
105012,BERNAL,1994,3,20.0,-999.0,-999.0
105012,BERNAL,1994,4,0.5,-999.0,-999.0
105012,BERNAL,1994,5,0.0,-999.0,-999.0
105012,BERNAL,1994,6,0.0,-999.0,-999.0
105012,BERNAL,1994,7,0.0,-999.0,-999.0
105012,BERNAL,1994,8,0.5,-999.0,-999.0
105012,BERNAL,1994,9,0.0,-999.0,-999.0
105012,BERNAL,1994,10,0.0,-999.0,-999.0
105012,BERNAL,1994,11,0.0,-999.0,-999.0
105012,BERNAL,1994,12,10.5,-999.0,-999.0
105012,BERNAL,1995,1,1.6,-999.0,-999.0
105012,BERNAL,1995,2,5.6,-999.0,-999.0
105012,BERNAL,1995,3,0.0,-999.0,-999.0
105012,BERNAL,1995,4,2.3,-999.0,-999.0
105012,BERNAL,1995,5,0.0,-999.0,-999.0
105012,BERNAL,1995,6,0.0,-999.0,-999.0
105012,BERNAL,1995,7,0.0,-999.0,-999.0
105012,BERNAL,1995,8,0.0,-999.0,-999.0
105012,BERNAL,1995,9,0.5,-999.0,-999.0
105012,BERNAL,1995,10,0.0,-999.0,-999.0
105012,BERNAL,1995,11,0.1,-999.0,-999.0
105012,BERNAL,1995,12,3.7,-999.0,-999.0
105012,BERNAL,1996,1,1.3,-999.0,-999.0
105012,BERNAL,1996,2,0.0,-999.0,-999.0
105012,BERNAL,1996,3,2.3,-999.0,-999.0
105012,BERNAL,1996,4,1.2,-999.0,-999.0
105012,BERNAL,1996,5,0.0,-999.0,-999.0
105012,BERNAL,1996,6,0.0,-999.0,-999.0
105012,BERNAL,1996,7,0.0,-999.0,-999.0
105012,BERNAL,1996,8,0.0,-999.0,-999.0
105012,BERNAL,1996,9,0.0,-999.0,-999.0
105012,BERNAL,1996,10,0.1,-999.0,-999.0
105012,BERNAL,1996,11,0.0,-999.0,-999.0
105012,BERNAL,1996,12,0.6,-999.0,-999.0
105012,BERNAL,1997,1,0.0,-999.0,-999.0
105012,BERNAL,1997,2,4.8,-999.0,-999.0
105012,BERNAL,1997,3,1.0,-999.0,-999.0
105012,BERNAL,1997,4,10.3,-999.0,-999.0
105012,BERNAL,1997,5,0.1,-999.0,-999.0
105012,BERNAL,1997,6,0.1,-999.0,-999.0
105012,BERNAL,1997,7,0.0,-999.0,-999.0
105012,BERNAL,1997,8,0.0,-999.0,-999.0
105012,BERNAL,1997,9,0.0,-999.0,-999.0
105012,BERNAL,1997,10,0.0,-999.0,-999.0
105012,BERNAL,1997,11,1.8,-999.0,-999.0
105012,BERNAL,1997,12,36.5,-999.0,-999.0
105012,BERNAL,1998,1,459.1,-999.0,-999.0
105012,BERNAL,1998,2,389.8,-999.0,-999.0
105012,BERNAL,1998,3,333.8,-999.0,-999.0
105012,BERNAL,1998,4,16.6,-999.0,-999.0
105012,BERNAL,1998,5,1.2,-999.0,-999.0
105012,BERNAL,1998,6,0.0,-999.0,-999.0
105012,BERNAL,1998,7,0.0,-999.0,-999.0
105012,BERNAL,1998,8,0.0,-999.0,-999.0
105012,BERNAL,1998,9,0.0,-999.0,-999.0
105012,BERNAL,1998,10,0.0,-999.0,-999.0
105012,BERNAL,1998,11,0.0,-999.0,-999.0
105012,BERNAL,1998,12,0.0,-999.0,-999.0
105012,BERNAL,1999,1,0.2,-999.0,-999.0
105012,BERNAL,1999,2,48.1,-999.0,-999.0
105012,BERNAL,1999,3,10.3,-999.0,-999.0
105012,BERNAL,1999,4,7.4,-999.0,-999.0
105012,BERNAL,1999,5,3.5,-999.0,-999.0
105012,BERNAL,1999,6,1.3,-999.0,-999.0
105012,BERNAL,1999,7,0.0,-999.0,-999.0
105012,BERNAL,1999,8,0.0,-999.0,-999.0
105012,BERNAL,1999,9,0.4,-999.0,-999.0
105012,BERNAL,1999,10,0.0,-999.0,-999.0
105012,BERNAL,1999,11,0.0,-999.0,-999.0
105012,BERNAL,1999,12,0.0,-999.0,-999.0
105012,BERNAL,2000,1,0.4,-999.0,-999.0
105012,BERNAL,2000,2,2.1,-999.0,-999.0
105012,BERNAL,2000,3,2.0,-999.0,-999.0
105012,BERNAL,2000,4,5.9,-999.0,-999.0
105012,BERNAL,2000,5,0.7,-999.0,-999.0
105012,BERNAL,2000,6,1.4,-999.0,-999.0
105012,BERNAL,2000,7,0.0,-999.0,-999.0
105012,BERNAL,2000,8,0.0,-999.0,-999.0
105012,BERNAL,2000,9,0.4,-999.0,-999.0
105012,BERNAL,2000,10,0.0,-999.0,-999.0
105012,BERNAL,2000,11,0.0,-999.0,-999.0
105012,BERNAL,2000,12,3.0,-999.0,-999.0
105012,BERNAL,2001,1,0.0,-999.0,-999.0
105012,BERNAL,2001,2,0.0,-999.0,-999.0
105012,BERNAL,2001,3,68.0,-999.0,-999.0
105012,BERNAL,2001,4,24.1,-999.0,-999.0
105012,BERNAL,2001,5,0.0,-999.0,-999.0
105012,BERNAL,2001,6,0.0,-999.0,-999.0
105012,BERNAL,2001,7,0.0,-999.0,-999.0
105012,BERNAL,2001,8,0.0,-999.0,-999.0
105012,BERNAL,2001,9,0.0,-999.0,-999.0
105012,BERNAL,2001,10,1.0,-999.0,-999.0
