CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
105015,HACIENDA BIGOTE,1990,1,9.8,-999.0,-999.0
105015,HACIENDA BIGOTE,1990,2,2.5,-999.0,-999.0
105015,HACIENDA BIGOTE,1990,3,-999.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1990,4,17.4,-999.0,-999.0
105015,HACIENDA BIGOTE,1990,5,0.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1990,6,0.5,-999.0,-999.0
105015,HACIENDA BIGOTE,1990,7,0.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1990,8,0.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1990,9,0.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1990,10,4.1,-999.0,-999.0
105015,HACIENDA BIGOTE,1990,11,0.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1990,12,0.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1991,1,0.5,-999.0,-999.0
105015,HACIENDA BIGOTE,1991,2,38.5,-999.0,-999.0
105015,HACIENDA BIGOTE,1991,3,67.7,-999.0,-999.0
105015,HACIENDA BIGOTE,1991,4,1.9,-999.0,-999.0
105015,HACIENDA BIGOTE,1991,5,0.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1991,6,0.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1991,7,0.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1991,8,-999.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1991,9,-999.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1991,10,-999.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1991,11,-999.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1991,12,2.3,-999.0,-999.0
105015,HACIENDA BIGOTE,1992,1,-999.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1992,2,-999.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1992,3,373.1,-999.0,-999.0
105015,HACIENDA BIGOTE,1992,4,-999.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1992,5,-999.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1992,6,-999.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1992,7,-999.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1992,8,-999.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1992,9,-999.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1992,10,-999.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1992,11,-999.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1992,12,-999.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1993,1,-999.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1993,2,-999.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1993,3,416.7,-999.0,-999.0
105015,HACIENDA BIGOTE,1993,4,-999.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1993,5,-999.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1993,6,0.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1993,7,0.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1993,8,0.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1993,9,0.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1993,10,3.1,-999.0,-999.0
105015,HACIENDA BIGOTE,1993,11,0.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1993,12,-999.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1994,1,-999.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1994,2,208.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1994,3,-999.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1994,4,-999.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1994,5,0.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1994,6,0.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1994,7,0.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1994,8,0.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1994,9,0.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1994,10,0.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1994,11,0.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1994,12,16.3,-999.0,-999.0
105015,HACIENDA BIGOTE,1995,1,60.8,-999.0,-999.0
105015,HACIENDA BIGOTE,1995,2,-999.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1995,3,-999.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1995,4,24.1,-999.0,-999.0
105015,HACIENDA BIGOTE,1995,5,-999.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1995,6,-999.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1995,7,-999.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1995,8,0.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1995,9,-999.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1995,10,-999.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1995,11,-999.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1995,12,9.8,-999.0,-999.0
105015,HACIENDA BIGOTE,1996,1,-999.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1996,2,-999.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1996,3,55.5,-999.0,-999.0
105015,HACIENDA BIGOTE,1996,4,1.1,-999.0,-999.0
105015,HACIENDA BIGOTE,1996,5,0.5,-999.0,-999.0
105015,HACIENDA BIGOTE,1996,6,0.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1996,7,0.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1996,8,0.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1996,9,0.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1996,10,0.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1996,11,0.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1996,12,0.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1997,1,107.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1997,2,25.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1997,3,77.9,-999.0,-999.0
105015,HACIENDA BIGOTE,1997,4,111.6,-999.0,-999.0
105015,HACIENDA BIGOTE,1997,5,0.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1997,6,0.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1997,7,0.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1997,8,0.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1997,9,3.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1997,10,2.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1997,11,2.5,-999.0,-999.0
105015,HACIENDA BIGOTE,1997,12,78.5,-999.0,-999.0
105015,HACIENDA BIGOTE,1998,1,438.7,-999.0,-999.0
105015,HACIENDA BIGOTE,1998,2,614.1,-999.0,-999.0
105015,HACIENDA BIGOTE,1998,3,737.3,-999.0,-999.0
105015,HACIENDA BIGOTE,1998,4,231.3,-999.0,-999.0
105015,HACIENDA BIGOTE,1998,5,77.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1998,6,0.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1998,7,0.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1998,8,0.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1998,9,2.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1998,10,0.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1998,11,0.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1998,12,7.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1999,1,25.5,-999.0,-999.0
105015,HACIENDA BIGOTE,1999,2,388.5,-999.0,-999.0
105015,HACIENDA BIGOTE,1999,3,255.4,-999.0,-999.0
105015,HACIENDA BIGOTE,1999,4,116.2,-999.0,-999.0
105015,HACIENDA BIGOTE,1999,5,42.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1999,6,0.5,-999.0,-999.0
105015,HACIENDA BIGOTE,1999,7,0.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1999,8,0.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1999,9,2.5,-999.0,-999.0
105015,HACIENDA BIGOTE,1999,10,0.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1999,11,0.0,-999.0,-999.0
105015,HACIENDA BIGOTE,1999,12,14.5,-999.0,-999.0
105015,HACIENDA BIGOTE,2000,1,46.7,-999.0,-999.0
105015,HACIENDA BIGOTE,2000,2,331.2,-999.0,-999.0
105015,HACIENDA BIGOTE,2000,3,267.7,-999.0,-999.0
105015,HACIENDA BIGOTE,2000,4,88.6,-999.0,-999.0
105015,HACIENDA BIGOTE,2000,5,11.6,-999.0,-999.0
105015,HACIENDA BIGOTE,2000,6,6.1,-999.0,-999.0
105015,HACIENDA BIGOTE,2000,7,0.0,-999.0,-999.0
105015,HACIENDA BIGOTE,2000,8,0.5,-999.0,-999.0
105015,HACIENDA BIGOTE,2000,9,14.0,-999.0,-999.0
105015,HACIENDA BIGOTE,2000,10,0.0,-999.0,-999.0
105015,HACIENDA BIGOTE,2000,11,0.0,-999.0,-999.0
105015,HACIENDA BIGOTE,2000,12,52.0,-999.0,-999.0
105015,HACIENDA BIGOTE,2001,1,128.5,-999.0,-999.0
105015,HACIENDA BIGOTE,2001,2,113.0,-999.0,-999.0
105015,HACIENDA BIGOTE,2001,3,374.0,-999.0,-999.0
105015,HACIENDA BIGOTE,2001,4,152.8,-999.0,-999.0
105015,HACIENDA BIGOTE,2001,5,1.4,-999.0,-999.0
105015,HACIENDA BIGOTE,2001,6,0.0,-999.0,-999.0
105015,HACIENDA BIGOTE,2001,7,0.0,-999.0,-999.0
105015,HACIENDA BIGOTE,2001,8,0.0,-999.0,-999.0
105015,HACIENDA BIGOTE,2001,9,0.8,-999.0,-999.0
105015,HACIENDA BIGOTE,2001,10,13.0,-999.0,-999.0
105015,HACIENDA BIGOTE,2001,11,6.7,-999.0,-999.0
105015,HACIENDA BIGOTE,2001,12,2.5,-999.0,-999.0
105015,HACIENDA BIGOTE,2002,1,0.0,-999.0,-999.0
105015,HACIENDA BIGOTE,2002,2,137.6,-999.0,-999.0
105015,HACIENDA BIGOTE,2002,3,289.9,-999.0,-999.0
105015,HACIENDA BIGOTE,2002,4,231.9,-999.0,-999.0
105015,HACIENDA BIGOTE,2002,5,2.0,-999.0,-999.0
105015,HACIENDA BIGOTE,2002,6,0.0,-999.0,-999.0
105015,HACIENDA BIGOTE,2002,7,0.0,-999.0,-999.0
105015,HACIENDA BIGOTE,2002,8,0.0,-999.0,-999.0
105015,HACIENDA BIGOTE,2002,9,0.0,-999.0,-999.0
105015,HACIENDA BIGOTE,2002,10,7.3,-999.0,-999.0
105015,HACIENDA BIGOTE,2002,11,3.8,-999.0,-999.0
105015,HACIENDA BIGOTE,2002,12,6.7,-999.0,-999.0
105015,HACIENDA BIGOTE,2003,1,31.5,-999.0,-999.0
105015,HACIENDA BIGOTE,2003,2,152.9,-999.0,-999.0
