CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
105055,HUANCABAMBA,1990,1,35.3,22.84,-999.0
105055,HUANCABAMBA,1990,2,35.1,25.18,-999.0
105055,HUANCABAMBA,1990,3,30.0,23.86,-999.0
105055,HUANCABAMBA,1990,4,44.6,24.31,-999.0
105055,HUANCABAMBA,1990,5,33.8,23.63,-999.0
105055,HUANCABAMBA,1990,6,20.4,21.63,-999.0
105055,HUANCABAMBA,1990,7,2.1,22.79,-999.0
105055,HUANCABAMBA,1990,8,3.6,23.15,-999.0
105055,HUANCABAMBA,1990,9,2.8,24.06,-999.0
105055,HUANCABAMBA,1990,10,51.7,25.74,-999.0
105055,HUANCABAMBA,1990,11,59.8,24.66,-999.0
105055,HUANCABAMBA,1990,12,40.3,24.99,-999.0
105055,HUANCABAMBA,1991,1,33.9,24.79,-999.0
105055,HUANCABAMBA,1991,2,33.3,24.53,-999.0
105055,HUANCABAMBA,1991,3,-999.0,-999.0,-999.0
105055,HUANCABAMBA,1991,4,-999.0,-999.0,-999.0
105055,HUANCABAMBA,1991,5,-999.0,-999.0,-999.0
105055,HUANCABAMBA,1991,6,-999.0,-999.0,-999.0
105055,HUANCABAMBA,1991,7,0.0,23.29,-999.0
105055,HUANCABAMBA,1991,8,7.8,21.88,-999.0
105055,HUANCABAMBA,1991,9,0.8,25.55,-999.0
105055,HUANCABAMBA,1991,10,14.5,24.29,-999.0
105055,HUANCABAMBA,1991,11,9.1,27.91,-999.0
105055,HUANCABAMBA,1991,12,31.5,27.34,-999.0
105055,HUANCABAMBA,1992,1,30.3,24.64,-999.0
105055,HUANCABAMBA,1992,2,44.0,24.49,-999.0
105055,HUANCABAMBA,1992,3,29.7,25.25,-999.0
105055,HUANCABAMBA,1992,4,28.3,24.73,-999.0
105055,HUANCABAMBA,1992,5,8.7,25.37,-999.0
105055,HUANCABAMBA,1992,6,7.3,22.71,-999.0
105055,HUANCABAMBA,1992,7,0.0,22.74,-999.0
105055,HUANCABAMBA,1992,8,3.3,23.68,-999.0
105055,HUANCABAMBA,1992,9,17.5,23.44,-999.0
105055,HUANCABAMBA,1992,10,20.3,24.92,-999.0
105055,HUANCABAMBA,1992,11,37.1,26.85,-999.0
105055,HUANCABAMBA,1992,12,-999.0,-999.0,-999.0
105055,HUANCABAMBA,1993,1,69.3,23.62,-999.0
105055,HUANCABAMBA,1993,2,110.8,23.01,-999.0
105055,HUANCABAMBA,1993,3,251.5,23.65,-999.0
105055,HUANCABAMBA,1993,4,67.2,23.65,-999.0
105055,HUANCABAMBA,1993,5,34.8,24.72,-999.0
105055,HUANCABAMBA,1993,6,1.2,23.43,-999.0
105055,HUANCABAMBA,1993,7,8.7,22.97,-999.0
105055,HUANCABAMBA,1993,8,2.4,23.85,-999.0
105055,HUANCABAMBA,1993,9,15.7,23.55,-999.0
105055,HUANCABAMBA,1993,10,66.8,24.78,-999.0
105055,HUANCABAMBA,1993,11,63.2,28.19,-999.0
105055,HUANCABAMBA,1993,12,147.0,25.99,-999.0
105055,HUANCABAMBA,1994,1,68.3,24.29,-999.0
105055,HUANCABAMBA,1994,2,105.7,23.97,-999.0
105055,HUANCABAMBA,1994,3,160.0,25.19,-999.0
105055,HUANCABAMBA,1994,4,99.1,25.05,-999.0
105055,HUANCABAMBA,1994,5,34.5,24.9,-999.0
105055,HUANCABAMBA,1994,6,9.1,23.23,-999.0
105055,HUANCABAMBA,1994,7,4.5,24.21,-999.0
105055,HUANCABAMBA,1994,8,34.4,22.76,-999.0
105055,HUANCABAMBA,1994,9,28.5,23.83,-999.0
105055,HUANCABAMBA,1994,10,8.3,26.12,-999.0
105055,HUANCABAMBA,1994,11,58.3,26.25,-999.0
105055,HUANCABAMBA,1994,12,42.7,25.34,-999.0
105055,HUANCABAMBA,1995,1,38.6,24.04,12.13
105055,HUANCABAMBA,1995,2,29.9,24.94,12.95
105055,HUANCABAMBA,1995,3,87.3,24.57,13.73
105055,HUANCABAMBA,1995,4,62.8,24.14,13.11
105055,HUANCABAMBA,1995,5,40.5,23.32,12.43
105055,HUANCABAMBA,1995,6,3.1,23.88,11.9
105055,HUANCABAMBA,1995,7,35.0,24.0,11.91
105055,HUANCABAMBA,1995,8,3.1,25.34,11.88
105055,HUANCABAMBA,1995,9,4.7,24.33,13.0
105055,HUANCABAMBA,1995,10,14.0,25.99,13.02
105055,HUANCABAMBA,1995,11,78.5,25.55,13.35
105055,HUANCABAMBA,1995,12,65.2,25.38,12.22
105055,HUANCABAMBA,1996,1,48.9,24.09,11.99
105055,HUANCABAMBA,1996,2,56.8,23.6,13.49
105055,HUANCABAMBA,1996,3,87.9,24.06,14.38
105055,HUANCABAMBA,1996,4,30.9,24.84,13.28
105055,HUANCABAMBA,1996,5,17.2,24.29,12.77
105055,HUANCABAMBA,1996,6,6.9,23.51,11.91
105055,HUANCABAMBA,1996,7,4.8,23.99,11.45
105055,HUANCABAMBA,1996,8,8.3,22.42,12.23
105055,HUANCABAMBA,1996,9,5.2,24.62,13.22
105055,HUANCABAMBA,1996,10,38.3,25.07,11.58
105055,HUANCABAMBA,1996,11,16.0,26.83,10.36
105055,HUANCABAMBA,1996,12,16.1,25.16,13.15
105055,HUANCABAMBA,1997,1,49.8,25.83,11.59
105055,HUANCABAMBA,1997,2,54.7,23.11,14.09
105055,HUANCABAMBA,1997,3,30.0,25.39,12.34
105055,HUANCABAMBA,1997,4,31.4,25.85,14.6
105055,HUANCABAMBA,1997,5,9.0,23.89,12.91
105055,HUANCABAMBA,1997,6,3.6,26.44,11.5
105055,HUANCABAMBA,1997,7,8.6,23.88,13.55
105055,HUANCABAMBA,1997,8,0.5,23.37,13.44
105055,HUANCABAMBA,1997,9,10.9,25.77,13.5
105055,HUANCABAMBA,1997,10,46.4,26.23,13.71
105055,HUANCABAMBA,1997,11,107.2,24.87,13.68
105055,HUANCABAMBA,1997,12,41.0,24.16,14.75
105055,HUANCABAMBA,1998,1,53.7,24.26,14.76
105055,HUANCABAMBA,1998,2,85.1,25.09,15.3
105055,HUANCABAMBA,1998,3,77.9,24.39,15.4
105055,HUANCABAMBA,1998,4,78.2,25.2,14.74
105055,HUANCABAMBA,1998,5,42.3,24.62,13.69
105055,HUANCABAMBA,1998,6,13.8,23.67,12.85
105055,HUANCABAMBA,1998,7,12.2,23.58,12.46
105055,HUANCABAMBA,1998,8,0.6,24.71,13.52
105055,HUANCABAMBA,1998,9,4.2,26.13,12.84
105055,HUANCABAMBA,1998,10,84.0,25.38,14.11
105055,HUANCABAMBA,1998,11,26.1,25.78,13.42
105055,HUANCABAMBA,1998,12,26.9,25.71,11.31
105055,HUANCABAMBA,1999,1,86.9,23.82,13.07
105055,HUANCABAMBA,1999,2,164.4,22.67,14.31
105055,HUANCABAMBA,1999,3,136.6,23.27,13.75
105055,HUANCABAMBA,1999,4,60.8,22.48,13.87
105055,HUANCABAMBA,1999,5,97.4,22.68,13.03
105055,HUANCABAMBA,1999,6,22.5,23.49,12.46
105055,HUANCABAMBA,1999,7,17.3,21.85,12.33
105055,HUANCABAMBA,1999,8,6.6,23.73,11.28
105055,HUANCABAMBA,1999,9,47.2,24.7,12.89
105055,HUANCABAMBA,1999,10,32.5,24.35,12.65
105055,HUANCABAMBA,1999,11,39.9,25.89,12.12
105055,HUANCABAMBA,1999,12,92.6,23.7,13.12
105055,HUANCABAMBA,2000,1,41.5,24.78,11.28
105055,HUANCABAMBA,2000,2,124.6,-999.0,12.67
105055,HUANCABAMBA,2000,3,133.1,22.85,14.09
105055,HUANCABAMBA,2000,4,78.7,22.86,13.79
105055,HUANCABAMBA,2000,5,72.4,23.79,13.01
105055,HUANCABAMBA,2000,6,23.6,23.28,13.08
105055,HUANCABAMBA,2000,7,1.5,23.67,12.42
105055,HUANCABAMBA,2000,8,10.5,23.03,12.83
105055,HUANCABAMBA,2000,9,67.4,24.35,12.7
105055,HUANCABAMBA,2000,10,1.4,24.97,12.35
105055,HUANCABAMBA,2000,11,2.0,26.31,10.38
105055,HUANCABAMBA,2000,12,65.7,23.84,13.06
105055,HUANCABAMBA,2001,1,63.2,22.74,13.45
105055,HUANCABAMBA,2001,2,59.2,22.46,13.84
105055,HUANCABAMBA,2001,3,85.0,23.51,13.27
105055,HUANCABAMBA,2001,4,57.5,23.33,13.72
105055,HUANCABAMBA,2001,5,19.8,23.71,12.98
105055,HUANCABAMBA,2001,6,63.7,21.94,12.34
105055,HUANCABAMBA,2001,7,38.6,22.16,12.92
105055,HUANCABAMBA,2001,8,10.0,22.91,13.01
105055,HUANCABAMBA,2001,9,23.7,24.1,12.71
105055,HUANCABAMBA,2001,10,26.6,25.53,13.65
105055,HUANCABAMBA,2001,11,70.7,24.98,13.55
105055,HUANCABAMBA,2001,12,55.2,25.06,13.76
105055,HUANCABAMBA,2002,1,27.4,24.77,13.23
105055,HUANCABAMBA,2002,2,101.0,23.76,14.41
105055,HUANCABAMBA,2002,3,84.4,24.02,13.54
105055,HUANCABAMBA,2002,4,119.5,24.44,13.88
105055,HUANCABAMBA,2002,5,24.2,23.84,13.31
105055,HUANCABAMBA,2002,6,1.4,23.43,13.12
105055,HUANCABAMBA,2002,7,22.6,22.7,13.57
105055,HUANCABAMBA,2002,8,0.0,23.61,13.37
105055,HUANCABAMBA,2002,9,5.0,25.02,13.37
105055,HUANCABAMBA,2002,10,80.7,24.53,13.77
105055,HUANCABAMBA,2002,11,26.8,24.07,13.79
105055,HUANCABAMBA,2002,12,37.5,24.67,14.46
105055,HUANCABAMBA,2003,1,35.9,24.37,13.78
105055,HUANCABAMBA,2003,2,49.7,24.35,14.77
105055,HUANCABAMBA,2003,3,58.5,23.99,13.61
105055,HUANCABAMBA,2003,4,51.8,23.68,14.28
105055,HUANCABAMBA,2003,5,24.2,23.33,13.84
105055,HUANCABAMBA,2003,6,35.4,23.81,13.47
105055,HUANCABAMBA,2003,7,6.1,23.39,13.08
105055,HUANCABAMBA,2003,8,0.9,24.13,13.9
105055,HUANCABAMBA,2003,9,3.5,25.43,12.64
105055,HUANCABAMBA,2003,10,19.0,25.66,13.03
105055,HUANCABAMBA,2003,11,54.7,26.39,12.48
105055,HUANCABAMBA,2003,12,34.6,25.17,13.35
