CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
105057,EL LIMON,1990,1,40.5,31.19,20.71
105057,EL LIMON,1990,2,24.8,34.44,21.13
105057,EL LIMON,1990,3,44.3,-999.0,20.99
105057,EL LIMON,1990,4,56.7,30.93,20.94
105057,EL LIMON,1990,5,19.4,30.21,20.65
105057,EL LIMON,1990,6,-999.0,28.61,20.6
105057,EL LIMON,1990,7,0.7,29.25,19.66
105057,EL LIMON,1990,8,0.0,30.62,-999.0
105057,EL LIMON,1990,9,0.0,31.74,21.55
105057,EL LIMON,1990,10,152.3,31.68,20.82
105057,EL LIMON,1990,11,99.1,30.95,20.16
105057,EL LIMON,1990,12,13.0,30.98,19.94
105057,EL LIMON,1991,1,6.4,31.34,20.39
105057,EL LIMON,1991,2,-999.0,31.74,21.42
105057,EL LIMON,1991,3,-999.0,31.23,21.1
105057,EL LIMON,1991,4,36.1,31.73,21.0
105057,EL LIMON,1991,5,4.1,32.26,21.79
105057,EL LIMON,1991,6,5.9,31.95,21.32
105057,EL LIMON,1991,7,0.0,30.84,20.26
105057,EL LIMON,1991,8,0.0,30.35,20.57
105057,EL LIMON,1991,9,8.2,32.58,21.53
105057,EL LIMON,1991,10,13.2,31.55,21.28
105057,EL LIMON,1991,11,8.2,34.28,21.07
105057,EL LIMON,1991,12,40.4,32.95,21.9
105057,EL LIMON,1992,1,5.3,32.34,21.5
105057,EL LIMON,1992,2,12.0,33.5,21.42
105057,EL LIMON,1992,3,17.4,33.47,21.75
105057,EL LIMON,1992,4,31.8,31.63,21.14
105057,EL LIMON,1992,5,21.0,32.91,21.91
105057,EL LIMON,1992,6,1.6,30.73,20.9
105057,EL LIMON,1992,7,0.2,30.57,20.33
105057,EL LIMON,1992,8,0.0,31.95,21.11
105057,EL LIMON,1992,9,9.2,31.14,20.89
105057,EL LIMON,1992,10,42.7,31.55,21.17
105057,EL LIMON,1992,11,26.1,33.82,21.25
105057,EL LIMON,1992,12,19.1,32.71,20.5
105057,EL LIMON,1993,1,13.1,31.63,20.97
105057,EL LIMON,1993,2,69.6,30.54,20.36
105057,EL LIMON,1993,3,165.4,28.95,19.63
105057,EL LIMON,1993,4,21.7,30.7,20.73
105057,EL LIMON,1993,5,37.0,31.71,20.68
105057,EL LIMON,1993,6,0.6,29.55,20.46
105057,EL LIMON,1993,7,0.8,29.19,20.41
105057,EL LIMON,1993,8,2.2,30.02,20.14
105057,EL LIMON,1993,9,49.0,30.66,21.3
105057,EL LIMON,1993,10,29.0,30.35,20.81
105057,EL LIMON,1993,11,18.4,32.53,19.83
105057,EL LIMON,1993,12,53.1,29.91,20.49
105057,EL LIMON,1994,1,21.0,30.2,20.61
105057,EL LIMON,1994,2,-999.0,28.34,19.94
105057,EL LIMON,1994,3,122.5,29.5,20.26
105057,EL LIMON,1994,4,170.0,29.07,19.95
105057,EL LIMON,1994,5,8.8,29.55,20.26
105057,EL LIMON,1994,6,0.8,29.9,19.74
105057,EL LIMON,1994,7,0.7,30.09,20.06
105057,EL LIMON,1994,8,0.0,31.34,20.21
105057,EL LIMON,1994,9,15.5,32.37,21.62
105057,EL LIMON,1994,10,1.3,32.63,20.63
105057,EL LIMON,1994,11,13.2,32.4,20.89
105057,EL LIMON,1994,12,6.8,31.43,20.92
105057,EL LIMON,1995,1,0.4,31.22,20.61
105057,EL LIMON,1995,2,27.7,30.72,21.03
105057,EL LIMON,1995,3,41.5,30.87,20.81
105057,EL LIMON,1995,4,39.8,-999.0,21.12
105057,EL LIMON,1995,5,2.1,30.96,21.23
105057,EL LIMON,1995,6,0.0,30.85,21.27
105057,EL LIMON,1995,7,8.4,30.59,21.3
105057,EL LIMON,1995,8,2.1,31.7,21.3
105057,EL LIMON,1995,9,2.0,31.44,21.65
105057,EL LIMON,1995,10,22.2,32.42,21.6
105057,EL LIMON,1995,11,23.1,31.69,20.75
105057,EL LIMON,1995,12,93.6,32.18,19.99
105057,EL LIMON,1996,1,4.8,29.37,19.89
105057,EL LIMON,1996,2,51.6,30.03,20.33
105057,EL LIMON,1996,3,-999.0,29.19,20.7
105057,EL LIMON,1996,4,62.5,30.45,20.48
105057,EL LIMON,1996,5,24.7,30.23,20.57
105057,EL LIMON,1996,6,0.0,29.98,20.77
105057,EL LIMON,1996,7,0.0,29.86,19.86
105057,EL LIMON,1996,8,0.4,29.83,20.76
105057,EL LIMON,1996,9,12.2,31.47,21.78
105057,EL LIMON,1996,10,-999.0,32.02,20.76
105057,EL LIMON,1996,11,8.0,32.64,20.18
105057,EL LIMON,1996,12,2.3,31.34,21.38
105057,EL LIMON,1997,1,8.4,31.81,20.25
105057,EL LIMON,1997,2,71.3,28.92,20.16
105057,EL LIMON,1997,3,10.2,31.55,20.72
105057,EL LIMON,1997,4,13.4,31.12,21.28
105057,EL LIMON,1997,5,1.7,30.56,21.3
105057,EL LIMON,1997,6,0.0,31.18,20.77
105057,EL LIMON,1997,7,5.1,29.62,21.19
105057,EL LIMON,1997,8,0.3,30.13,21.7
105057,EL LIMON,1997,9,1.8,31.95,22.78
105057,EL LIMON,1997,10,29.5,32.4,22.75
105057,EL LIMON,1997,11,24.2,31.91,21.23
105057,EL LIMON,1997,12,23.6,30.43,21.78
105057,EL LIMON,1998,1,46.0,30.64,21.66
105057,EL LIMON,1998,2,61.0,31.08,22.34
105057,EL LIMON,1998,3,159.0,30.32,21.41
105057,EL LIMON,1998,4,120.4,29.76,21.02
105057,EL LIMON,1998,5,36.7,29.69,20.76
105057,EL LIMON,1998,6,13.6,29.49,20.16
105057,EL LIMON,1998,7,0.0,30.34,21.03
105057,EL LIMON,1998,8,1.2,31.48,21.62
105057,EL LIMON,1998,9,19.0,32.38,21.23
105057,EL LIMON,1998,10,65.4,31.61,21.31
105057,EL LIMON,1998,11,15.5,32.07,20.66
105057,EL LIMON,1998,12,18.5,32.79,20.15
105057,EL LIMON,1999,1,58.9,30.83,20.45
105057,EL LIMON,1999,2,155.2,28.34,19.6
105057,EL LIMON,1999,3,31.0,29.26,19.99
105057,EL LIMON,1999,4,53.7,28.72,19.95
105057,EL LIMON,1999,5,40.8,28.57,19.6
105057,EL LIMON,1999,6,17.6,29.58,20.17
105057,EL LIMON,1999,7,3.0,28.58,19.56
105057,EL LIMON,1999,8,0.0,30.58,19.89
