CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
105058,SAN IGNACIO,1990,1,60.6,26.11,14.41
105058,SAN IGNACIO,1990,2,7.5,29.38,14.28
105058,SAN IGNACIO,1990,3,78.2,27.74,14.01
105058,SAN IGNACIO,1990,4,107.5,27.73,14.72
105058,SAN IGNACIO,1990,5,73.1,26.95,13.97
105058,SAN IGNACIO,1990,6,85.4,24.18,-999.0
105058,SAN IGNACIO,1990,7,25.0,25.67,-999.0
105058,SAN IGNACIO,1990,8,45.2,26.53,-999.0
105058,SAN IGNACIO,1990,9,42.5,28.0,-999.0
105058,SAN IGNACIO,1990,10,98.2,28.71,-999.0
105058,SAN IGNACIO,1990,11,149.4,27.19,-999.0
105058,SAN IGNACIO,1990,12,106.8,27.59,-999.0
105058,SAN IGNACIO,1991,1,116.0,27.07,-999.0
105058,SAN IGNACIO,1991,2,60.0,27.38,-999.0
105058,SAN IGNACIO,1991,3,93.7,26.33,-999.0
105058,SAN IGNACIO,1991,4,44.2,27.88,-999.0
105058,SAN IGNACIO,1991,5,25.4,28.02,-999.0
105058,SAN IGNACIO,1991,6,17.5,26.72,-999.0
105058,SAN IGNACIO,1991,7,20.4,26.84,-999.0
105058,SAN IGNACIO,1991,8,53.8,26.66,-999.0
105058,SAN IGNACIO,1991,9,23.2,27.71,-999.0
105058,SAN IGNACIO,1991,10,67.5,26.53,-999.0
105058,SAN IGNACIO,1991,11,23.9,27.71,-999.0
105058,SAN IGNACIO,1991,12,47.9,28.0,-999.0
105058,SAN IGNACIO,1992,1,10.4,27.46,-999.0
105058,SAN IGNACIO,1992,2,68.3,28.46,-999.0
105058,SAN IGNACIO,1992,3,61.3,28.65,-999.0
105058,SAN IGNACIO,1992,4,90.9,28.33,-999.0
105058,SAN IGNACIO,1992,5,24.0,29.11,-999.0
105058,SAN IGNACIO,1992,6,56.5,25.05,-999.0
105058,SAN IGNACIO,1992,7,56.1,25.25,-999.0
105058,SAN IGNACIO,1992,8,34.3,25.87,-999.0
105058,SAN IGNACIO,1992,9,81.4,26.35,-999.0
105058,SAN IGNACIO,1992,10,54.6,26.5,-999.0
105058,SAN IGNACIO,1992,11,65.3,28.13,-999.0
105058,SAN IGNACIO,1992,12,64.6,28.08,-999.0
105058,SAN IGNACIO,1993,1,94.4,26.31,-999.0
105058,SAN IGNACIO,1993,2,160.2,26.69,-999.0
105058,SAN IGNACIO,1993,3,196.3,25.84,-999.0
105058,SAN IGNACIO,1993,4,92.0,26.55,-999.0
105058,SAN IGNACIO,1993,5,58.5,27.04,-999.0
105058,SAN IGNACIO,1993,6,56.4,25.43,-999.0
105058,SAN IGNACIO,1993,7,35.8,25.51,-999.0
105058,SAN IGNACIO,1993,8,64.9,26.37,-999.0
105058,SAN IGNACIO,1993,9,43.8,27.09,-999.0
105058,SAN IGNACIO,1993,10,87.8,27.14,-999.0
105058,SAN IGNACIO,1993,11,48.4,28.5,-999.0
105058,SAN IGNACIO,1993,12,144.1,27.27,-999.0
105058,SAN IGNACIO,1994,1,132.9,26.19,-999.0
105058,SAN IGNACIO,1994,2,118.1,25.56,-999.0
105058,SAN IGNACIO,1994,3,138.3,25.97,-999.0
