CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
105063,SAN MIGUEL,1990,1,0.0,32.13,20.74
105063,SAN MIGUEL,1990,2,0.0,31.95,-999.0
105063,SAN MIGUEL,1990,3,4.1,-999.0,21.72
105063,SAN MIGUEL,1990,4,-999.0,-999.0,-999.0
105063,SAN MIGUEL,1990,5,0.0,29.47,19.91
105063,SAN MIGUEL,1990,6,0.0,27.89,17.9
105063,SAN MIGUEL,1990,7,0.0,26.54,16.26
105063,SAN MIGUEL,1990,8,0.0,26.93,16.17
105063,SAN MIGUEL,1990,9,0.0,27.59,16.18
105063,SAN MIGUEL,1990,10,1.7,28.03,16.83
105063,SAN MIGUEL,1990,11,0.0,29.48,17.9
105063,SAN MIGUEL,1990,12,4.0,31.26,19.2
105063,SAN MIGUEL,1991,1,0.0,32.96,20.67
105063,SAN MIGUEL,1991,2,4.3,33.24,22.49
105063,SAN MIGUEL,1991,3,0.0,32.99,22.99
105063,SAN MIGUEL,1991,4,0.0,31.65,20.63
105063,SAN MIGUEL,1991,5,0.0,-999.0,19.32
105063,SAN MIGUEL,1991,6,-999.0,28.45,17.31
105063,SAN MIGUEL,1991,7,0.0,26.67,16.39
105063,SAN MIGUEL,1991,8,0.0,26.93,16.45
105063,SAN MIGUEL,1991,9,0.0,28.02,16.98
105063,SAN MIGUEL,1991,10,0.0,28.39,17.6
105063,SAN MIGUEL,1991,11,0.0,-999.0,18.11
105063,SAN MIGUEL,1991,12,0.0,31.06,21.17
105063,SAN MIGUEL,1992,1,-999.0,32.47,22.62
105063,SAN MIGUEL,1992,2,-999.0,33.0,23.5
105063,SAN MIGUEL,1992,3,-999.0,33.38,24.47
105063,SAN MIGUEL,1992,4,114.8,32.09,-999.0
105063,SAN MIGUEL,1992,5,-999.0,31.6,21.92
105063,SAN MIGUEL,1992,6,0.0,28.0,18.86
105063,SAN MIGUEL,1992,7,-999.0,27.1,15.74
105063,SAN MIGUEL,1992,8,-999.0,-999.0,17.12
105063,SAN MIGUEL,1992,9,-999.0,28.24,16.23
105063,SAN MIGUEL,1992,10,0.0,30.03,17.87
105063,SAN MIGUEL,1992,11,-999.0,30.73,18.5
105063,SAN MIGUEL,1992,12,-999.0,32.07,18.53
105063,SAN MIGUEL,1993,1,0.0,33.34,21.25
105063,SAN MIGUEL,1993,2,12.5,33.94,-999.0
105063,SAN MIGUEL,1993,3,44.1,34.12,23.22
105063,SAN MIGUEL,1993,4,17.0,-999.0,22.06
105063,SAN MIGUEL,1993,5,1.0,29.29,20.96
105063,SAN MIGUEL,1993,6,-999.0,-999.0,-999.0
105063,SAN MIGUEL,1993,7,-999.0,-999.0,-999.0
105063,SAN MIGUEL,1993,8,-999.0,-999.0,-999.0
105063,SAN MIGUEL,1993,9,-999.0,-999.0,-999.0
105063,SAN MIGUEL,1993,10,-999.0,-999.0,-999.0
105063,SAN MIGUEL,1993,11,-999.0,-999.0,-999.0
105063,SAN MIGUEL,1993,12,0.0,31.31,19.73
105063,SAN MIGUEL,1994,1,0.0,32.62,-999.0
105063,SAN MIGUEL,1994,2,4.0,33.21,22.89
105063,SAN MIGUEL,1994,3,57.0,32.04,-999.0
105063,SAN MIGUEL,1994,4,10.0,30.7,-999.0
105063,SAN MIGUEL,1994,5,0.0,28.75,18.88
105063,SAN MIGUEL,1994,6,0.0,27.06,16.97
105063,SAN MIGUEL,1994,7,0.0,25.85,15.52
105063,SAN MIGUEL,1994,8,0.0,26.47,16.14
105063,SAN MIGUEL,1994,9,0.0,28.27,17.19
