CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
105064,HUARMACA,1990,1,36.2,18.52,12.21
105064,HUARMACA,1990,2,145.2,15.81,11.78
105064,HUARMACA,1990,3,107.1,18.88,12.64
105064,HUARMACA,1990,4,158.4,16.96,12.78
105064,HUARMACA,1990,5,20.8,18.82,12.87
105064,HUARMACA,1990,6,8.1,19.44,13.35
105064,HUARMACA,1990,7,4.3,20.99,12.24
105064,HUARMACA,1990,8,3.5,21.41,12.55
105064,HUARMACA,1990,9,0.2,20.94,12.35
105064,HUARMACA,1990,10,87.5,17.5,11.69
105064,HUARMACA,1990,11,90.2,18.49,11.84
105064,HUARMACA,1990,12,50.6,18.35,11.43
105064,HUARMACA,1991,1,25.4,18.48,11.88
105064,HUARMACA,1991,2,125.8,17.33,12.39
105064,HUARMACA,1991,3,277.1,16.49,12.71
105064,HUARMACA,1991,4,66.9,19.04,12.6
105064,HUARMACA,1991,5,30.2,19.13,12.72
105064,HUARMACA,1991,6,13.3,20.41,13.06
105064,HUARMACA,1991,7,0.0,21.38,12.59
105064,HUARMACA,1991,8,0.0,20.71,12.9
105064,HUARMACA,1991,9,0.0,19.77,12.37
105064,HUARMACA,1991,10,20.2,19.5,12.41
105064,HUARMACA,1991,11,10.6,18.56,11.47
105064,HUARMACA,1991,12,96.0,16.54,12.04
105064,HUARMACA,1992,1,113.6,18.02,12.42
105064,HUARMACA,1992,2,147.8,18.49,12.39
105064,HUARMACA,1992,3,250.2,20.32,13.4
105064,HUARMACA,1992,4,311.4,20.36,13.65
105064,HUARMACA,1992,5,160.5,18.87,12.62
105064,HUARMACA,1992,6,16.2,22.16,12.57
105064,HUARMACA,1992,7,0.7,22.49,11.76
105064,HUARMACA,1992,8,5.7,22.64,11.73
105064,HUARMACA,1992,9,4.5,20.7,11.36
105064,HUARMACA,1992,10,-999.0,20.68,11.17
105064,HUARMACA,1992,11,41.9,19.21,10.63
105064,HUARMACA,1992,12,66.1,18.38,10.55
105064,HUARMACA,1993,1,83.3,18.12,11.32
105064,HUARMACA,1993,2,316.5,16.32,11.76
