CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
105065,CHONTALI,1990,1,-999.0,-999.0,-999.0
105065,CHONTALI,1990,2,-999.0,-999.0,-999.0
105065,CHONTALI,1990,3,-999.0,-999.0,-999.0
105065,CHONTALI,1990,4,-999.0,-999.0,-999.0
105065,CHONTALI,1990,5,-999.0,-999.0,-999.0
105065,CHONTALI,1990,6,-999.0,-999.0,-999.0
105065,CHONTALI,1990,7,-999.0,-999.0,-999.0
105065,CHONTALI,1990,8,-999.0,-999.0,-999.0
105065,CHONTALI,1990,9,-999.0,-999.0,-999.0
105065,CHONTALI,1990,10,-999.0,-999.0,-999.0
105065,CHONTALI,1990,11,-999.0,-999.0,-999.0
105065,CHONTALI,1990,12,-999.0,-999.0,-999.0
105065,CHONTALI,1991,1,249.2,25.01,14.7
105065,CHONTALI,1991,2,54.4,24.61,14.65
105065,CHONTALI,1991,3,98.8,24.77,14.67
105065,CHONTALI,1991,4,96.6,25.15,13.58
105065,CHONTALI,1991,5,77.8,25.33,14.64
105065,CHONTALI,1991,6,15.0,25.21,13.05
105065,CHONTALI,1991,7,28.4,24.8,12.75
105065,CHONTALI,1991,8,34.6,24.07,13.0
105065,CHONTALI,1991,9,33.6,25.85,12.8
105065,CHONTALI,1991,10,10.4,25.57,13.41
105065,CHONTALI,1991,11,67.7,26.21,14.6
105065,CHONTALI,1991,12,105.4,26.5,14.96
105065,CHONTALI,1992,1,57.5,25.56,14.91
105065,CHONTALI,1992,2,123.0,26.71,14.71
105065,CHONTALI,1992,3,99.3,24.67,15.35
105065,CHONTALI,1992,4,199.8,24.46,15.31
105065,CHONTALI,1992,5,49.2,25.09,15.18
105065,CHONTALI,1992,6,31.8,23.22,13.89
105065,CHONTALI,1992,7,24.9,23.74,12.55
105065,CHONTALI,1992,8,27.7,24.67,12.1
105065,CHONTALI,1992,9,46.7,24.63,14.23
105065,CHONTALI,1992,10,129.2,24.65,13.79
105065,CHONTALI,1992,11,109.6,25.43,14.54
105065,CHONTALI,1992,12,83.0,25.6,14.04
105065,CHONTALI,1993,1,49.6,23.72,14.32
105065,CHONTALI,1993,2,132.0,24.8,14.82
105065,CHONTALI,1993,3,253.7,24.4,14.79
105065,CHONTALI,1993,4,116.5,24.76,14.85
105065,CHONTALI,1993,5,72.9,25.14,14.39
105065,CHONTALI,1993,6,63.4,24.57,13.2
105065,CHONTALI,1993,7,18.8,24.97,12.85
