CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
105067,JAEN,1990,1,79.7,30.71,20.14
105067,JAEN,1990,2,71.7,33.19,20.54
105067,JAEN,1990,3,83.5,32.04,20.45
105067,JAEN,1990,4,50.4,31.94,20.75
105067,JAEN,1990,5,79.2,31.05,19.88
105067,JAEN,1990,6,49.4,-999.0,19.19
105067,JAEN,1990,7,70.4,-999.0,17.8
105067,JAEN,1990,8,21.5,-999.0,18.47
105067,JAEN,1990,9,25.2,-999.0,19.11
105067,JAEN,1990,10,106.4,-999.0,20.08
105067,JAEN,1990,11,89.5,-999.0,20.0
105067,JAEN,1990,12,75.9,-999.0,19.15
105067,JAEN,1991,1,88.0,-999.0,19.72
105067,JAEN,1991,2,38.7,-999.0,19.78
105067,JAEN,1991,3,55.2,-999.0,20.09
105067,JAEN,1991,4,97.0,-999.0,19.61
105067,JAEN,1991,5,87.7,-999.0,19.49
105067,JAEN,1991,6,28.5,-999.0,19.13
105067,JAEN,1991,7,30.0,-999.0,18.01
105067,JAEN,1991,8,7.9,-999.0,17.59
105067,JAEN,1991,9,20.8,-999.0,19.11
105067,JAEN,1991,10,78.8,-999.0,17.76
105067,JAEN,1991,11,97.1,-999.0,19.74
105067,JAEN,1991,12,23.3,-999.0,19.29
105067,JAEN,1992,1,13.5,-999.0,19.44
105067,JAEN,1992,2,25.7,-999.0,19.84
105067,JAEN,1992,3,68.9,-999.0,19.35
105067,JAEN,1992,4,54.7,-999.0,19.59
105067,JAEN,1992,5,21.7,-999.0,19.85
105067,JAEN,1992,6,24.6,-999.0,18.02
105067,JAEN,1992,7,10.8,-999.0,17.27
105067,JAEN,1992,8,25.9,-999.0,18.23
105067,JAEN,1992,9,34.1,-999.0,18.38
105067,JAEN,1992,10,44.6,-999.0,18.86
105067,JAEN,1992,11,89.5,-999.0,19.02
105067,JAEN,1992,12,58.2,30.21,19.1
105067,JAEN,1993,1,26.0,30.8,18.59
105067,JAEN,1993,2,163.3,30.5,19.41
105067,JAEN,1993,3,214.9,29.73,19.97
105067,JAEN,1993,4,50.2,29.87,19.46
105067,JAEN,1993,5,41.4,30.58,20.14
105067,JAEN,1993,6,54.3,29.76,19.45
105067,JAEN,1993,7,37.3,29.24,18.27
105067,JAEN,1993,8,49.5,29.5,18.02
105067,JAEN,1993,9,50.7,30.81,20.06
105067,JAEN,1993,10,78.6,30.31,18.51
105067,JAEN,1993,11,102.4,31.56,20.08
105067,JAEN,1993,12,92.9,31.02,20.53
105067,JAEN,1994,1,19.3,30.79,20.49
105067,JAEN,1994,2,36.8,29.81,20.59
105067,JAEN,1994,3,110.7,30.37,21.08
105067,JAEN,1994,4,89.5,30.83,21.02
105067,JAEN,1994,5,42.7,31.15,20.99
105067,JAEN,1994,6,31.3,29.14,19.8
105067,JAEN,1994,7,20.3,29.36,19.42
