CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
105104,CHIRIACO,1990,1,-999.0,-999.0,-999.0
105104,CHIRIACO,1990,2,-999.0,-999.0,-999.0
105104,CHIRIACO,1990,3,-999.0,-999.0,-999.0
105104,CHIRIACO,1990,4,-999.0,-999.0,-999.0
105104,CHIRIACO,1990,5,-999.0,-999.0,-999.0
105104,CHIRIACO,1990,6,-999.0,-999.0,-999.0
105104,CHIRIACO,1990,7,-999.0,-999.0,-999.0
105104,CHIRIACO,1990,8,-999.0,-999.0,-999.0
105104,CHIRIACO,1990,9,-999.0,-999.0,-999.0
105104,CHIRIACO,1990,10,-999.0,-999.0,-999.0
105104,CHIRIACO,1990,11,-999.0,-999.0,-999.0
105104,CHIRIACO,1990,12,-999.0,-999.0,-999.0
105104,CHIRIACO,1991,1,-999.0,-999.0,-999.0
105104,CHIRIACO,1991,2,-999.0,-999.0,-999.0
105104,CHIRIACO,1991,3,-999.0,-999.0,-999.0
105104,CHIRIACO,1991,4,-999.0,-999.0,-999.0
105104,CHIRIACO,1991,5,-999.0,-999.0,-999.0
105104,CHIRIACO,1991,6,-999.0,-999.0,-999.0
105104,CHIRIACO,1991,7,-999.0,-999.0,-999.0
105104,CHIRIACO,1991,8,-999.0,-999.0,-999.0
105104,CHIRIACO,1991,9,-999.0,-999.0,-999.0
105104,CHIRIACO,1991,10,-999.0,-999.0,-999.0
105104,CHIRIACO,1991,11,-999.0,-999.0,-999.0
105104,CHIRIACO,1991,12,-999.0,-999.0,-999.0
105104,CHIRIACO,1992,1,-999.0,-999.0,-999.0
105104,CHIRIACO,1992,2,-999.0,-999.0,-999.0
105104,CHIRIACO,1992,3,-999.0,-999.0,-999.0
105104,CHIRIACO,1992,4,-999.0,-999.0,-999.0
105104,CHIRIACO,1992,5,-999.0,-999.0,-999.0
105104,CHIRIACO,1992,6,-999.0,-999.0,-999.0
105104,CHIRIACO,1992,7,-999.0,-999.0,-999.0
105104,CHIRIACO,1992,8,-999.0,-999.0,-999.0
105104,CHIRIACO,1992,9,-999.0,-999.0,-999.0
105104,CHIRIACO,1992,10,-999.0,-999.0,-999.0
105104,CHIRIACO,1992,11,-999.0,-999.0,-999.0
105104,CHIRIACO,1992,12,-999.0,-999.0,-999.0
105104,CHIRIACO,1993,1,-999.0,-999.0,-999.0
105104,CHIRIACO,1993,2,-999.0,-999.0,-999.0
105104,CHIRIACO,1993,3,-999.0,-999.0,-999.0
105104,CHIRIACO,1993,4,-999.0,-999.0,-999.0
105104,CHIRIACO,1993,5,-999.0,-999.0,-999.0
105104,CHIRIACO,1993,6,-999.0,-999.0,-999.0
105104,CHIRIACO,1993,7,-999.0,-999.0,-999.0
105104,CHIRIACO,1993,8,-999.0,-999.0,-999.0
105104,CHIRIACO,1993,9,-999.0,-999.0,-999.0
105104,CHIRIACO,1993,10,-999.0,27.97,20.39
105104,CHIRIACO,1993,11,-999.0,30.18,21.74
105104,CHIRIACO,1993,12,-999.0,29.33,21.59
105104,CHIRIACO,1994,1,-999.0,30.51,21.5
105104,CHIRIACO,1994,2,-999.0,30.81,21.63
105104,CHIRIACO,1994,3,-999.0,30.52,21.53
105104,CHIRIACO,1994,4,-999.0,30.5,21.23
105104,CHIRIACO,1994,5,-999.0,30.31,21.04
105104,CHIRIACO,1994,6,-999.0,30.19,20.91
105104,CHIRIACO,1994,7,-999.0,29.92,20.41
105104,CHIRIACO,1994,8,132.5,29.92,-999.0
105104,CHIRIACO,1994,9,157.3,30.22,-999.0
105104,CHIRIACO,1994,10,180.7,31.49,-999.0
105104,CHIRIACO,1994,11,285.4,30.76,-999.0
105104,CHIRIACO,1994,12,-999.0,-999.0,-999.0
105104,CHIRIACO,1995,1,171.4,29.64,-999.0
105104,CHIRIACO,1995,2,93.5,30.85,-999.0
105104,CHIRIACO,1995,3,246.6,31.1,-999.0
105104,CHIRIACO,1995,4,268.7,31.69,-999.0
105104,CHIRIACO,1995,5,190.8,29.62,-999.0
105104,CHIRIACO,1995,6,217.0,29.96,-999.0
105104,CHIRIACO,1995,7,78.0,30.03,21.17
105104,CHIRIACO,1995,8,153.9,31.69,-999.0
105104,CHIRIACO,1995,9,177.5,30.85,-999.0
105104,CHIRIACO,1995,10,120.9,31.52,-999.0
105104,CHIRIACO,1995,11,157.6,-999.0,20.89
105104,CHIRIACO,1995,12,126.2,31.67,21.36
105104,CHIRIACO,1996,1,164.9,31.81,21.3
105104,CHIRIACO,1996,2,258.1,-999.0,21.05
105104,CHIRIACO,1996,3,377.4,-999.0,21.7
105104,CHIRIACO,1996,4,268.8,30.19,-999.0
105104,CHIRIACO,1996,5,294.1,30.12,-999.0
105104,CHIRIACO,1996,6,150.0,29.51,-999.0
105104,CHIRIACO,1996,7,98.4,29.51,20.15
105104,CHIRIACO,1996,8,127.9,-999.0,-999.0
105104,CHIRIACO,1996,9,150.9,30.96,20.65
105104,CHIRIACO,1996,10,185.3,31.31,-999.0
105104,CHIRIACO,1996,11,235.9,-999.0,-999.0
105104,CHIRIACO,1996,12,268.4,30.36,-999.0
105104,CHIRIACO,1997,1,242.7,31.21,-999.0
105104,CHIRIACO,1997,2,383.2,28.81,-999.0
105104,CHIRIACO,1997,3,148.3,30.9,-999.0
105104,CHIRIACO,1997,4,373.9,30.37,-999.0
105104,CHIRIACO,1997,5,273.2,29.42,-999.0
105104,CHIRIACO,1997,6,155.2,30.24,-999.0
105104,CHIRIACO,1997,7,100.5,30.16,-999.0
105104,CHIRIACO,1997,8,173.4,29.79,-999.0
105104,CHIRIACO,1997,9,125.2,31.45,-999.0
105104,CHIRIACO,1997,10,126.1,32.07,-999.0
105104,CHIRIACO,1997,11,311.3,30.65,-999.0
105104,CHIRIACO,1997,12,266.5,29.0,-999.0
105104,CHIRIACO,1998,1,182.9,29.91,-999.0
105104,CHIRIACO,1998,2,293.2,31.53,-999.0
105104,CHIRIACO,1998,3,177.8,32.48,-999.0
105104,CHIRIACO,1998,4,250.0,31.31,-999.0
105104,CHIRIACO,1998,5,257.5,31.35,-999.0
105104,CHIRIACO,1998,6,198.5,31.1,-999.0
105104,CHIRIACO,1998,7,153.0,29.57,-999.0
105104,CHIRIACO,1998,8,56.6,31.59,-999.0
105104,CHIRIACO,1998,9,191.9,-999.0,-999.0
105104,CHIRIACO,1998,10,339.0,-999.0,-999.0
105104,CHIRIACO,1998,11,219.4,-999.0,-999.0
105104,CHIRIACO,1998,12,152.4,-999.0,-999.0
105104,CHIRIACO,1999,1,286.1,-999.0,-999.0
105104,CHIRIACO,1999,2,295.3,-999.0,-999.0
105104,CHIRIACO,1999,3,298.5,-999.0,-999.0
105104,CHIRIACO,1999,4,336.0,-999.0,-999.0
105104,CHIRIACO,1999,5,377.1,-999.0,-999.0
105104,CHIRIACO,1999,6,182.9,-999.0,-999.0
105104,CHIRIACO,1999,7,185.9,-999.0,-999.0
105104,CHIRIACO,1999,8,103.0,-999.0,-999.0
105104,CHIRIACO,1999,9,123.0,-999.0,-999.0
105104,CHIRIACO,1999,10,245.8,-999.0,-999.0
105104,CHIRIACO,1999,11,89.9,-999.0,-999.0
105104,CHIRIACO,1999,12,348.0,-999.0,-999.0
105104,CHIRIACO,2000,1,84.0,-999.0,-999.0
105104,CHIRIACO,2000,2,291.0,-999.0,-999.0
105104,CHIRIACO,2000,3,364.5,-999.0,-999.0
105104,CHIRIACO,2000,4,539.2,-999.0,-999.0
105104,CHIRIACO,2000,5,242.9,-999.0,-999.0
105104,CHIRIACO,2000,6,211.5,-999.0,-999.0
105104,CHIRIACO,2000,7,128.7,-999.0,-999.0
105104,CHIRIACO,2000,8,171.2,-999.0,-999.0
105104,CHIRIACO,2000,9,267.7,-999.0,-999.0
105104,CHIRIACO,2000,10,164.5,-999.0,-999.0
105104,CHIRIACO,2000,11,109.6,-999.0,-999.0
105104,CHIRIACO,2000,12,305.1,-999.0,-999.0
105104,CHIRIACO,2001,1,205.9,-999.0,-999.0
105104,CHIRIACO,2001,2,276.6,-999.0,-999.0
105104,CHIRIACO,2001,3,162.5,-999.0,-999.0
105104,CHIRIACO,2001,4,311.6,-999.0,-999.0
105104,CHIRIACO,2001,5,240.5,-999.0,-999.0
105104,CHIRIACO,2001,6,108.5,-999.0,-999.0
105104,CHIRIACO,2001,7,188.3,29.59,-999.0
105104,CHIRIACO,2001,8,151.7,30.3,-999.0
105104,CHIRIACO,2001,9,177.7,31.9,-999.0
105104,CHIRIACO,2001,10,178.9,32.22,21.23
105104,CHIRIACO,2001,11,232.0,31.21,-999.0
105104,CHIRIACO,2001,12,170.1,32.27,-999.0
105104,CHIRIACO,2002,1,201.4,29.74,-999.0
105104,CHIRIACO,2002,2,267.5,-999.0,21.87
105104,CHIRIACO,2002,3,253.0,-999.0,-999.0
105104,CHIRIACO,2002,4,221.9,-999.0,-999.0
105104,CHIRIACO,2002,5,278.2,-999.0,-999.0
105104,CHIRIACO,2002,6,104.0,30.16,20.6
105104,CHIRIACO,2002,7,255.2,28.93,-999.0
105104,CHIRIACO,2002,8,154.7,30.41,20.06
105104,CHIRIACO,2002,9,89.4,32.11,-999.0
105104,CHIRIACO,2002,10,238.4,32.16,-999.0
105104,CHIRIACO,2002,11,309.4,30.39,-999.0
105104,CHIRIACO,2002,12,195.8,29.8,-999.0
105104,CHIRIACO,2003,1,186.8,-999.0,-999.0
105104,CHIRIACO,2003,2,253.2,-999.0,-999.0
105104,CHIRIACO,2003,3,193.9,29.81,22.01
105104,CHIRIACO,2003,4,232.2,29.29,22.1
105104,CHIRIACO,2003,5,303.5,28.73,21.88
105104,CHIRIACO,2003,6,333.8,30.3,21.06
105104,CHIRIACO,2003,7,160.6,29.98,-999.0
105104,CHIRIACO,2003,8,174.8,30.1,21.04
105104,CHIRIACO,2003,9,178.7,31.21,21.14
105104,CHIRIACO,2003,10,304.4,32.13,22.08
105104,CHIRIACO,2003,11,141.3,-999.0,22.17
105104,CHIRIACO,2003,12,266.9,30.74,22.19
105104,CHIRIACO,2004,1,154.2,31.9,21.64
105104,CHIRIACO,2004,2,159.7,29.9,21.6
105104,CHIRIACO,2004,3,228.3,29.0,22.36
105104,CHIRIACO,2004,4,161.0,31.7,21.94
105104,CHIRIACO,2004,5,-999.0,-999.0,21.84
105104,CHIRIACO,2004,6,135.5,29.38,20.73
105104,CHIRIACO,2004,7,180.9,28.81,20.82
105104,CHIRIACO,2004,8,106.3,-999.0,19.96
105104,CHIRIACO,2004,9,174.0,30.43,-999.0
105104,CHIRIACO,2004,10,426.0,-999.0,-999.0
105104,CHIRIACO,2004,11,342.2,31.08,-999.0
105104,CHIRIACO,2004,12,304.9,30.85,-999.0
105104,CHIRIACO,2005,1,198.0,31.67,-999.0
105104,CHIRIACO,2005,2,334.8,28.98,19.56
105104,CHIRIACO,2005,3,298.2,30.44,20.39
105104,CHIRIACO,2005,4,312.3,30.05,22.1
105104,CHIRIACO,2005,5,207.5,30.16,21.59
105104,CHIRIACO,2005,6,140.8,29.74,-999.0
105104,CHIRIACO,2005,7,126.7,30.13,-999.0
105104,CHIRIACO,2005,8,81.1,31.28,20.28
105104,CHIRIACO,2005,9,164.0,30.85,-999.0
105104,CHIRIACO,2005,10,-999.0,30.91,-999.0
105104,CHIRIACO,2005,11,210.8,31.59,-999.0
105104,CHIRIACO,2005,12,189.1,30.31,-999.0
105104,CHIRIACO,2006,1,257.2,30.77,-999.0
105104,CHIRIACO,2006,2,305.5,28.98,-999.0
105104,CHIRIACO,2006,3,178.0,29.47,-999.0
105104,CHIRIACO,2006,4,216.6,30.28,-999.0
105104,CHIRIACO,2006,5,305.8,29.84,-999.0
105104,CHIRIACO,2006,6,239.1,29.66,21.48
105104,CHIRIACO,2006,7,105.5,29.64,-999.0
105104,CHIRIACO,2006,8,153.9,30.14,-999.0
105104,CHIRIACO,2006,9,110.7,31.51,21.04
105104,CHIRIACO,2006,10,179.8,31.82,21.49
105104,CHIRIACO,2006,11,243.2,31.18,22.32
105104,CHIRIACO,2006,12,320.3,30.35,22.15
105104,CHIRIACO,2007,1,264.7,28.95,-999.0
105104,CHIRIACO,2007,2,92.4,31.07,21.86
105104,CHIRIACO,2007,3,272.1,29.1,21.61
105104,CHIRIACO,2007,4,363.6,30.0,22.1
105104,CHIRIACO,2007,5,301.2,29.65,21.96
105104,CHIRIACO,2007,6,272.4,28.93,21.75
105104,CHIRIACO,2007,7,121.7,29.62,21.06
105104,CHIRIACO,2007,8,97.0,30.13,21.05
105104,CHIRIACO,2007,9,210.2,30.03,20.86
105104,CHIRIACO,2007,10,154.0,31.68,21.49
105104,CHIRIACO,2007,11,477.4,30.22,21.8
105104,CHIRIACO,2007,12,213.7,30.85,21.65
105104,CHIRIACO,2008,1,260.2,28.56,21.23
105104,CHIRIACO,2008,2,362.4,29.47,21.38
105104,CHIRIACO,2008,3,265.1,30.29,21.33
105104,CHIRIACO,2008,4,233.1,30.33,21.26
105104,CHIRIACO,2008,5,254.4,29.59,-999.0
105104,CHIRIACO,2008,6,224.8,29.25,-999.0
105104,CHIRIACO,2008,7,223.3,28.72,-999.0
105104,CHIRIACO,2008,8,180.8,30.67,-999.0
105104,CHIRIACO,2008,9,146.2,30.31,-999.0
105104,CHIRIACO,2008,10,210.5,30.78,-999.0
105104,CHIRIACO,2008,11,294.9,32.1,-999.0
105104,CHIRIACO,2008,12,108.2,31.44,-999.0
105104,CHIRIACO,2009,1,300.3,28.31,-999.0
105104,CHIRIACO,2009,2,309.6,28.8,-999.0
105104,CHIRIACO,2009,3,278.4,29.46,-999.0
105104,CHIRIACO,2009,4,294.1,30.12,-999.0
105104,CHIRIACO,2009,5,270.4,30.04,-999.0
105104,CHIRIACO,2009,6,140.6,29.35,-999.0
105104,CHIRIACO,2009,7,197.0,29.49,-999.0
105104,CHIRIACO,2009,8,229.4,30.54,-999.0
105104,CHIRIACO,2009,9,224.8,30.94,-999.0
105104,CHIRIACO,2009,10,261.7,31.58,-999.0
105104,CHIRIACO,2009,11,257.1,31.58,-999.0
105104,CHIRIACO,2009,12,217.6,30.57,-999.0
105104,CHIRIACO,2010,1,100.8,29.39,-999.0
105104,CHIRIACO,2010,2,176.8,31.2,-999.0
105104,CHIRIACO,2010,3,184.3,31.24,-999.0
105104,CHIRIACO,2010,4,223.6,31.63,-999.0
105104,CHIRIACO,2010,5,210.5,30.41,-999.0
105104,CHIRIACO,2010,6,174.0,29.87,-999.0
105104,CHIRIACO,2010,7,173.1,30.35,-999.0
105104,CHIRIACO,2010,8,170.9,31.37,-999.0
105104,CHIRIACO,2010,9,117.9,31.86,-999.0
105104,CHIRIACO,2010,10,117.9,32.86,-999.0
105104,CHIRIACO,2010,11,217.3,32.18,-999.0
105104,CHIRIACO,2010,12,323.9,31.41,-999.0
105104,CHIRIACO,2011,1,246.7,30.32,-999.0
