CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
106016,LAMAS,1990,1,129.0,27.06,20.09
106016,LAMAS,1990,2,220.5,25.76,20.0
106016,LAMAS,1990,3,312.9,26.13,19.99
106016,LAMAS,1990,4,204.3,27.02,19.96
106016,LAMAS,1990,5,183.1,26.42,19.64
106016,LAMAS,1990,6,115.3,26.55,19.63
106016,LAMAS,1990,7,106.3,25.62,18.23
106016,LAMAS,1990,8,67.9,26.77,19.73
106016,LAMAS,1990,9,76.6,26.58,19.02
106016,LAMAS,1990,10,140.7,26.26,-999.0
106016,LAMAS,1990,11,183.4,27.04,20.15
106016,LAMAS,1990,12,63.9,28.89,-999.0
106016,LAMAS,1991,1,38.4,28.32,-999.0
106016,LAMAS,1991,2,150.2,27.79,-999.0
106016,LAMAS,1991,3,89.8,26.82,-999.0
106016,LAMAS,1991,4,150.8,27.56,-999.0
106016,LAMAS,1991,5,61.1,-999.0,-999.0
106016,LAMAS,1991,6,11.7,29.21,-999.0
106016,LAMAS,1991,7,32.3,29.35,20.92
106016,LAMAS,1991,8,15.2,28.98,20.17
106016,LAMAS,1991,9,111.7,28.16,20.11
106016,LAMAS,1991,10,121.1,26.94,20.14
106016,LAMAS,1991,11,195.1,27.4,20.37
106016,LAMAS,1991,12,11.2,29.07,21.31
106016,LAMAS,1992,1,5.2,30.09,21.79
106016,LAMAS,1992,2,104.5,28.13,20.97
106016,LAMAS,1992,3,44.1,28.39,20.3
106016,LAMAS,1992,4,121.3,27.75,20.47
106016,LAMAS,1992,5,49.4,28.44,20.95
106016,LAMAS,1992,6,7.3,29.15,21.2
106016,LAMAS,1992,7,62.2,27.46,19.59
106016,LAMAS,1992,8,141.5,26.42,19.53
106016,LAMAS,1992,9,84.0,27.04,19.89
106016,LAMAS,1992,10,162.6,26.98,20.04
106016,LAMAS,1992,11,47.8,27.87,20.28
106016,LAMAS,1992,12,84.1,27.92,20.73
106016,LAMAS,1993,1,163.7,26.88,20.48
106016,LAMAS,1993,2,152.6,26.65,19.81
106016,LAMAS,1993,3,255.3,25.68,-999.0
106016,LAMAS,1993,4,64.7,26.54,19.8
106016,LAMAS,1993,5,195.4,26.85,20.05
106016,LAMAS,1993,6,101.0,25.68,18.75
106016,LAMAS,1993,7,83.5,26.22,18.8
106016,LAMAS,1993,8,72.7,26.79,19.27
106016,LAMAS,1993,9,24.4,27.39,20.08
106016,LAMAS,1993,10,127.6,27.44,20.21
106016,LAMAS,1993,11,65.4,27.48,20.55
106016,LAMAS,1993,12,30.8,27.43,20.76
106016,LAMAS,1994,1,104.8,27.45,20.77
106016,LAMAS,1994,2,49.9,27.63,20.81
106016,LAMAS,1994,3,169.9,28.07,19.94
106016,LAMAS,1994,4,146.2,26.66,20.34
106016,LAMAS,1994,5,81.1,27.08,20.18
106016,LAMAS,1994,6,205.0,26.34,19.09
106016,LAMAS,1994,7,143.4,26.45,18.85
106016,LAMAS,1994,8,36.0,27.66,19.64
106016,LAMAS,1994,9,123.6,27.92,19.96
106016,LAMAS,1994,10,252.3,27.75,19.68
106016,LAMAS,1994,11,63.2,27.73,20.24
106016,LAMAS,1994,12,198.9,28.21,20.78
106016,LAMAS,1995,1,77.2,28.07,20.89
106016,LAMAS,1995,2,55.7,28.07,20.52
106016,LAMAS,1995,3,277.6,26.63,20.18
106016,LAMAS,1995,4,60.6,27.68,-999.0
106016,LAMAS,1995,5,121.0,27.17,19.75
106016,LAMAS,1995,6,108.6,27.1,19.53
106016,LAMAS,1995,7,53.8,28.07,19.65
106016,LAMAS,1995,8,27.7,28.99,20.14
106016,LAMAS,1995,9,183.7,29.15,19.61
106016,LAMAS,1995,10,93.5,28.74,19.75
106016,LAMAS,1995,11,137.8,27.65,19.82
106016,LAMAS,1995,12,70.4,27.58,20.29
106016,LAMAS,1996,1,175.2,27.36,20.77
106016,LAMAS,1996,2,82.3,26.83,20.05
106016,LAMAS,1996,3,106.3,27.73,20.4
106016,LAMAS,1996,4,109.2,26.94,-999.0
106016,LAMAS,1996,5,36.0,27.31,20.39
106016,LAMAS,1996,6,52.9,26.78,-999.0
106016,LAMAS,1996,7,43.6,27.28,18.77
106016,LAMAS,1996,8,74.3,27.43,19.49
106016,LAMAS,1996,9,166.6,28.43,19.68
106016,LAMAS,1996,10,95.1,27.89,19.67
106016,LAMAS,1996,11,177.7,28.49,20.33
106016,LAMAS,1996,12,213.5,27.52,19.79
106016,LAMAS,1997,1,29.5,27.89,21.17
106016,LAMAS,1997,2,296.1,26.6,19.9
106016,LAMAS,1997,3,71.8,27.57,20.35
106016,LAMAS,1997,4,101.3,27.57,20.26
106016,LAMAS,1997,5,256.2,26.74,-999.0
106016,LAMAS,1997,6,9.5,27.89,19.91
106016,LAMAS,1997,7,29.1,28.77,19.81
106016,LAMAS,1997,8,102.1,27.31,19.64
106016,LAMAS,1997,9,173.6,29.08,20.79
106016,LAMAS,1997,10,57.5,29.47,20.92
106016,LAMAS,1997,11,117.9,28.46,21.14
106016,LAMAS,1997,12,120.3,28.26,21.54
106016,LAMAS,1998,1,130.0,28.46,21.12
106016,LAMAS,1998,2,148.8,29.11,21.26
106016,LAMAS,1998,3,161.8,28.08,21.58
106016,LAMAS,1998,4,148.2,27.75,21.45
106016,LAMAS,1998,5,154.4,26.95,20.35
106016,LAMAS,1998,6,124.3,26.51,19.38
106016,LAMAS,1998,7,38.2,27.05,19.78
106016,LAMAS,1998,8,28.0,29.15,20.73
106016,LAMAS,1998,9,110.6,29.07,20.29
106016,LAMAS,1998,10,189.0,27.99,20.87
106016,LAMAS,1998,11,50.2,28.78,21.33
106016,LAMAS,1998,12,88.9,28.86,21.73
106016,LAMAS,1999,1,115.1,27.01,20.83
106016,LAMAS,1999,2,210.3,27.34,20.26
106016,LAMAS,1999,3,164.3,27.65,20.96
106016,LAMAS,1999,4,126.6,26.4,19.71
106016,LAMAS,1999,5,218.4,26.29,19.8
106016,LAMAS,1999,6,125.9,27.02,19.66
106016,LAMAS,1999,7,69.9,26.95,18.89
106016,LAMAS,1999,8,36.7,28.36,19.12
106016,LAMAS,1999,9,58.4,29.69,20.62
