CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
106019,LLAPA,1990,1,87.9,-999.0,6.92
106019,LLAPA,1990,2,146.8,-999.0,6.68
106019,LLAPA,1990,3,84.1,-999.0,7.06
106019,LLAPA,1990,4,70.2,-999.0,7.03
106019,LLAPA,1990,5,32.2,-999.0,6.24
106019,LLAPA,1990,6,37.4,-999.0,6.14
106019,LLAPA,1990,7,0.0,-999.0,4.78
106019,LLAPA,1990,8,0.0,-999.0,4.77
106019,LLAPA,1990,9,27.9,-999.0,5.99
106019,LLAPA,1990,10,107.0,-999.0,7.35
106019,LLAPA,1990,11,123.8,-999.0,7.22
106019,LLAPA,1990,12,73.5,-999.0,5.95
106019,LLAPA,1991,1,33.5,-999.0,6.74
106019,LLAPA,1991,2,105.9,-999.0,7.44
106019,LLAPA,1991,3,221.4,-999.0,-999.0
106019,LLAPA,1991,4,110.5,-999.0,7.03
106019,LLAPA,1991,5,45.6,-999.0,-999.0
106019,LLAPA,1991,6,9.1,-999.0,6.19
106019,LLAPA,1991,7,0.0,-999.0,4.67
106019,LLAPA,1991,8,0.0,-999.0,5.75
106019,LLAPA,1991,9,5.4,-999.0,6.6
106019,LLAPA,1991,10,72.2,-999.0,6.51
106019,LLAPA,1991,11,56.9,-999.0,6.01
106019,LLAPA,1991,12,99.8,-999.0,6.72
106019,LLAPA,1992,1,122.5,-999.0,7.52
106019,LLAPA,1992,2,48.0,-999.0,7.5
106019,LLAPA,1992,3,152.6,-999.0,7.49
106019,LLAPA,1992,4,88.0,-999.0,7.47
106019,LLAPA,1992,5,38.4,-999.0,6.37
106019,LLAPA,1992,6,41.6,-999.0,5.89
106019,LLAPA,1992,7,0.0,-999.0,4.74
106019,LLAPA,1992,8,5.0,-999.0,5.4
106019,LLAPA,1992,9,75.6,-999.0,6.41
106019,LLAPA,1992,10,119.0,-999.0,7.35
106019,LLAPA,1992,11,22.0,-999.0,6.83
106019,LLAPA,1992,12,52.7,-999.0,6.52
106019,LLAPA,1993,1,110.8,-999.0,7.46
106019,LLAPA,1993,2,162.6,-999.0,6.8
106019,LLAPA,1993,3,278.6,-999.0,7.52
106019,LLAPA,1993,4,142.8,-999.0,7.76
106019,LLAPA,1993,5,73.7,-999.0,6.84
106019,LLAPA,1993,6,0.0,-999.0,5.25
106019,LLAPA,1993,7,8.0,-999.0,4.4
106019,LLAPA,1993,8,2.2,-999.0,4.79
106019,LLAPA,1993,9,72.6,-999.0,6.69
106019,LLAPA,1993,10,123.4,-999.0,-999.0
106019,LLAPA,1993,11,69.1,-999.0,6.75
106019,LLAPA,1993,12,172.2,-999.0,8.2
106019,LLAPA,1994,1,150.6,-999.0,8.01
106019,LLAPA,1994,2,177.0,-999.0,7.62
106019,LLAPA,1994,3,143.3,-999.0,7.28
106019,LLAPA,1994,4,163.8,-999.0,6.99
106019,LLAPA,1994,5,48.9,-999.0,6.63
106019,LLAPA,1994,6,10.1,-999.0,4.81
106019,LLAPA,1994,7,3.5,-999.0,4.79
106019,LLAPA,1994,8,0.0,-999.0,4.57
106019,LLAPA,1994,9,34.5,-999.0,6.59
106019,LLAPA,1994,10,16.6,-999.0,6.12
106019,LLAPA,1994,11,109.0,-999.0,6.87
106019,LLAPA,1994,12,103.8,-999.0,7.4
106019,LLAPA,1995,1,94.2,-999.0,6.77
106019,LLAPA,1995,2,134.9,-999.0,7.03
106019,LLAPA,1995,3,155.6,-999.0,7.36
106019,LLAPA,1995,4,91.3,-999.0,6.19
106019,LLAPA,1995,5,45.6,-999.0,5.79
106019,LLAPA,1995,6,12.8,-999.0,5.51
106019,LLAPA,1995,7,20.2,-999.0,5.14
106019,LLAPA,1995,8,25.2,-999.0,4.9
106019,LLAPA,1995,9,44.3,-999.0,4.89
106019,LLAPA,1995,10,65.3,-999.0,5.81
106019,LLAPA,1995,11,67.4,-999.0,6.04
106019,LLAPA,1995,12,112.3,-999.0,5.7
106019,LLAPA,1996,1,151.6,-999.0,5.85
106019,LLAPA,1996,2,224.3,-999.0,6.27
106019,LLAPA,1996,3,244.5,-999.0,6.9
106019,LLAPA,1996,4,62.8,-999.0,6.0
106019,LLAPA,1996,5,23.3,-999.0,5.6
