CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
106022,CHANCAY BAÑOS,1990,1,18.6,26.62,-999.0
106022,CHANCAY BAÑOS,1990,2,82.7,27.09,13.44
106022,CHANCAY BAÑOS,1990,3,-999.0,28.11,13.37
106022,CHANCAY BAÑOS,1990,4,69.9,28.32,14.15
106022,CHANCAY BAÑOS,1990,5,-999.0,28.42,14.31
106022,CHANCAY BAÑOS,1990,6,41.3,26.79,12.85
106022,CHANCAY BAÑOS,1990,7,1.0,27.19,10.18
106022,CHANCAY BAÑOS,1990,8,12.0,27.71,11.41
106022,CHANCAY BAÑOS,1990,9,7.2,28.62,12.02
106022,CHANCAY BAÑOS,1990,10,100.2,27.27,11.04
106022,CHANCAY BAÑOS,1990,11,81.4,27.44,11.16
106022,CHANCAY BAÑOS,1990,12,13.7,27.89,10.54
106022,CHANCAY BAÑOS,1991,1,2.3,27.92,10.47
106022,CHANCAY BAÑOS,1991,2,21.0,28.14,12.2
106022,CHANCAY BAÑOS,1991,3,85.9,27.91,13.08
106022,CHANCAY BAÑOS,1991,4,170.0,27.71,12.99
106022,CHANCAY BAÑOS,1991,5,27.5,27.61,12.57
106022,CHANCAY BAÑOS,1991,6,3.6,28.63,-999.0
106022,CHANCAY BAÑOS,1991,7,2.6,27.82,-999.0
106022,CHANCAY BAÑOS,1991,8,0.0,27.74,-999.0
106022,CHANCAY BAÑOS,1991,9,12.8,27.89,-999.0
106022,CHANCAY BAÑOS,1991,10,79.0,27.37,-999.0
106022,CHANCAY BAÑOS,1991,11,40.4,27.67,-999.0
106022,CHANCAY BAÑOS,1991,12,52.9,27.52,-999.0
106022,CHANCAY BAÑOS,1992,1,39.5,28.16,-999.0
106022,CHANCAY BAÑOS,1992,2,36.5,28.04,-999.0
106022,CHANCAY BAÑOS,1992,3,96.9,27.79,13.3
106022,CHANCAY BAÑOS,1992,4,105.0,27.0,12.9
106022,CHANCAY BAÑOS,1992,5,29.4,27.03,13.93
106022,CHANCAY BAÑOS,1992,6,21.9,27.27,13.55
106022,CHANCAY BAÑOS,1992,7,3.5,27.03,11.15
106022,CHANCAY BAÑOS,1992,8,4.0,27.98,11.65
106022,CHANCAY BAÑOS,1992,9,82.4,27.66,12.94
106022,CHANCAY BAÑOS,1992,10,64.2,28.23,13.11
106022,CHANCAY BAÑOS,1992,11,46.7,29.34,13.85
106022,CHANCAY BAÑOS,1992,12,13.3,29.35,13.49
106022,CHANCAY BAÑOS,1993,1,-999.0,27.32,13.97
106022,CHANCAY BAÑOS,1993,2,134.0,26.49,14.71
106022,CHANCAY BAÑOS,1993,3,201.0,25.27,14.18
106022,CHANCAY BAÑOS,1993,4,261.5,25.82,14.98
106022,CHANCAY BAÑOS,1993,5,84.4,26.99,12.93
106022,CHANCAY BAÑOS,1993,6,12.8,25.84,12.29
106022,CHANCAY BAÑOS,1993,7,22.8,26.68,12.29
106022,CHANCAY BAÑOS,1993,8,20.0,27.55,12.51
106022,CHANCAY BAÑOS,1993,9,72.8,28.37,13.05
106022,CHANCAY BAÑOS,1993,10,89.6,28.43,13.14
106022,CHANCAY BAÑOS,1993,11,49.3,28.03,11.95
106022,CHANCAY BAÑOS,1993,12,54.8,27.9,13.4
106022,CHANCAY BAÑOS,1994,1,88.0,26.86,14.66
106022,CHANCAY BAÑOS,1994,2,142.9,26.27,14.57
106022,CHANCAY BAÑOS,1994,3,-999.0,26.1,12.95
106022,CHANCAY BAÑOS,1994,4,95.7,26.22,12.47
106022,CHANCAY BAÑOS,1994,5,44.0,27.24,13.13
106022,CHANCAY BAÑOS,1994,6,19.2,27.68,11.66
106022,CHANCAY BAÑOS,1994,7,29.1,27.73,11.46
106022,CHANCAY BAÑOS,1994,8,0.0,28.86,11.02
106022,CHANCAY BAÑOS,1994,9,143.0,28.67,13.16
106022,CHANCAY BAÑOS,1994,10,66.9,29.35,12.37
106022,CHANCAY BAÑOS,1994,11,196.4,28.54,13.36
