CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
106034,CHOTA,1990,1,-999.0,-999.0,-999.0
106034,CHOTA,1990,2,-999.0,-999.0,-999.0
106034,CHOTA,1990,3,-999.0,-999.0,-999.0
106034,CHOTA,1990,4,-999.0,-999.0,-999.0
106034,CHOTA,1990,5,-999.0,-999.0,-999.0
106034,CHOTA,1990,6,-999.0,-999.0,-999.0
106034,CHOTA,1990,7,-999.0,-999.0,-999.0
106034,CHOTA,1990,8,-999.0,-999.0,-999.0
106034,CHOTA,1990,9,-999.0,-999.0,-999.0
106034,CHOTA,1990,10,-999.0,-999.0,-999.0
106034,CHOTA,1990,11,-999.0,-999.0,-999.0
106034,CHOTA,1990,12,-999.0,-999.0,-999.0
106034,CHOTA,1991,1,-999.0,-999.0,-999.0
106034,CHOTA,1991,2,-999.0,-999.0,-999.0
106034,CHOTA,1991,3,-999.0,-999.0,-999.0
106034,CHOTA,1991,4,-999.0,-999.0,-999.0
106034,CHOTA,1991,5,-999.0,-999.0,-999.0
106034,CHOTA,1991,6,-999.0,-999.0,-999.0
106034,CHOTA,1991,7,-999.0,-999.0,-999.0
106034,CHOTA,1991,8,-999.0,-999.0,-999.0
106034,CHOTA,1991,9,-999.0,-999.0,-999.0
106034,CHOTA,1991,10,-999.0,-999.0,-999.0
106034,CHOTA,1991,11,-999.0,-999.0,-999.0
106034,CHOTA,1991,12,-999.0,-999.0,-999.0
106034,CHOTA,1992,1,-999.0,-999.0,-999.0
106034,CHOTA,1992,2,-999.0,-999.0,-999.0
106034,CHOTA,1992,3,-999.0,-999.0,-999.0
106034,CHOTA,1992,4,-999.0,-999.0,-999.0
106034,CHOTA,1992,5,-999.0,-999.0,-999.0
106034,CHOTA,1992,6,-999.0,-999.0,-999.0
106034,CHOTA,1992,7,-999.0,-999.0,-999.0
106034,CHOTA,1992,8,-999.0,-999.0,-999.0
106034,CHOTA,1992,9,-999.0,-999.0,-999.0
106034,CHOTA,1992,10,-999.0,-999.0,-999.0
106034,CHOTA,1992,11,-999.0,-999.0,-999.0
106034,CHOTA,1992,12,-999.0,-999.0,-999.0
106034,CHOTA,1993,1,-999.0,-999.0,-999.0
106034,CHOTA,1993,2,-999.0,-999.0,-999.0
106034,CHOTA,1993,3,-999.0,-999.0,-999.0
106034,CHOTA,1993,4,-999.0,-999.0,-999.0
106034,CHOTA,1993,5,-999.0,-999.0,-999.0
106034,CHOTA,1993,6,0.0,-999.0,-999.0
106034,CHOTA,1993,7,13.2,-999.0,-999.0
106034,CHOTA,1993,8,19.6,-999.0,-999.0
106034,CHOTA,1993,9,77.8,20.86,-999.0
106034,CHOTA,1993,10,126.2,-999.0,-999.0
106034,CHOTA,1993,11,149.0,22.11,-999.0
106034,CHOTA,1993,12,110.0,20.93,-999.0
106034,CHOTA,1994,1,-999.0,-999.0,-999.0
106034,CHOTA,1994,2,-999.0,-999.0,-999.0
106034,CHOTA,1994,3,-999.0,-999.0,-999.0
106034,CHOTA,1994,4,-999.0,19.95,-999.0
106034,CHOTA,1994,5,-999.0,21.55,-999.0
106034,CHOTA,1994,6,25.7,21.29,-999.0
106034,CHOTA,1994,7,5.0,21.41,-999.0
106034,CHOTA,1994,8,0.0,22.03,-999.0
106034,CHOTA,1994,9,9.5,22.49,-999.0
106034,CHOTA,1994,10,40.1,22.53,-999.0
106034,CHOTA,1994,11,117.0,21.57,-999.0
106034,CHOTA,1994,12,99.2,21.01,-999.0
106034,CHOTA,1995,1,13.0,21.09,-999.0
106034,CHOTA,1995,2,63.7,21.19,-999.0
106034,CHOTA,1995,3,101.8,21.01,-999.0
106034,CHOTA,1995,4,66.7,21.91,-999.0
106034,CHOTA,1995,5,66.8,21.57,-999.0
106034,CHOTA,1995,6,11.7,21.66,-999.0
106034,CHOTA,1995,7,14.2,22.97,-999.0
106034,CHOTA,1995,8,27.8,23.17,-999.0
106034,CHOTA,1995,9,36.0,-999.0,-999.0
106034,CHOTA,1995,10,-999.0,20.69,-999.0
106034,CHOTA,1995,11,96.7,20.2,-999.0
106034,CHOTA,1995,12,200.0,20.42,-999.0
106034,CHOTA,1996,1,13.7,18.79,-999.0
106034,CHOTA,1996,2,101.6,19.08,-999.0
106034,CHOTA,1996,3,113.2,19.24,-999.0
106034,CHOTA,1996,4,100.2,19.52,-999.0
106034,CHOTA,1996,5,57.6,19.93,-999.0
106034,CHOTA,1996,6,57.8,19.66,-999.0
106034,CHOTA,1996,7,0.0,19.74,-999.0
106034,CHOTA,1996,8,43.4,19.87,-999.0
106034,CHOTA,1996,9,38.0,20.88,-999.0
106034,CHOTA,1996,10,163.8,19.76,-999.0
106034,CHOTA,1996,11,46.8,21.1,-999.0
106034,CHOTA,1996,12,33.7,19.74,-999.0
106034,CHOTA,1997,1,65.6,20.46,-999.0
106034,CHOTA,1997,2,143.8,19.08,-999.0
106034,CHOTA,1997,3,69.8,20.54,-999.0
106034,CHOTA,1997,4,90.4,20.23,-999.0
106034,CHOTA,1997,5,32.0,20.28,-999.0
106034,CHOTA,1997,6,17.8,20.38,-999.0
106034,CHOTA,1997,7,0.0,20.42,-999.0
106034,CHOTA,1997,8,0.0,20.94,-999.0
106034,CHOTA,1997,9,41.9,21.82,-999.0
106034,CHOTA,1997,10,49.6,21.73,-999.0
106034,CHOTA,1997,11,68.1,21.29,-999.0
106034,CHOTA,1997,12,119.6,19.76,-999.0
106034,CHOTA,1998,1,58.5,20.18,-999.0
106034,CHOTA,1998,2,199.6,20.93,-999.0
106034,CHOTA,1998,3,176.8,20.23,-999.0
106034,CHOTA,1998,4,161.3,20.96,-999.0
106034,CHOTA,1998,5,124.5,20.93,-999.0
106034,CHOTA,1998,6,3.1,20.69,-999.0
106034,CHOTA,1998,7,0.7,21.24,-999.0
106034,CHOTA,1998,8,16.7,21.75,-999.0
106034,CHOTA,1998,9,64.6,21.34,-999.0
106034,CHOTA,1998,10,165.2,20.92,-999.0
