CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
106037,INCAHUASI,1990,1,23.5,-999.0,-999.0
106037,INCAHUASI,1990,2,48.0,-999.0,-999.0
106037,INCAHUASI,1990,3,74.0,-999.0,-999.0
106037,INCAHUASI,1990,4,47.5,-999.0,-999.0
106037,INCAHUASI,1990,5,29.5,-999.0,-999.0
106037,INCAHUASI,1990,6,30.5,-999.0,-999.0
106037,INCAHUASI,1990,7,12.0,-999.0,-999.0
106037,INCAHUASI,1990,8,0.0,-999.0,-999.0
106037,INCAHUASI,1990,9,0.5,-999.0,-999.0
106037,INCAHUASI,1990,10,110.5,-999.0,-999.0
106037,INCAHUASI,1990,11,72.5,-999.0,-999.0
106037,INCAHUASI,1990,12,21.5,-999.0,-999.0
106037,INCAHUASI,1991,1,15.5,-999.0,-999.0
106037,INCAHUASI,1991,2,76.5,-999.0,-999.0
106037,INCAHUASI,1991,3,15.5,-999.0,-999.0
106037,INCAHUASI,1991,4,27.5,-999.0,-999.0
106037,INCAHUASI,1991,5,2.0,-999.0,-999.0
106037,INCAHUASI,1991,6,0.0,-999.0,-999.0
106037,INCAHUASI,1991,7,0.0,-999.0,-999.0
106037,INCAHUASI,1991,8,0.0,-999.0,-999.0
106037,INCAHUASI,1991,9,5.0,-999.0,-999.0
106037,INCAHUASI,1991,10,2.5,-999.0,-999.0
106037,INCAHUASI,1991,11,22.0,-999.0,-999.0
106037,INCAHUASI,1991,12,29.0,-999.0,-999.0
106037,INCAHUASI,1992,1,19.5,-999.0,-999.0
106037,INCAHUASI,1992,2,19.0,-999.0,-999.0
106037,INCAHUASI,1992,3,52.3,-999.0,-999.0
106037,INCAHUASI,1992,4,85.5,-999.0,-999.0
106037,INCAHUASI,1992,5,11.0,-999.0,-999.0
106037,INCAHUASI,1992,6,5.5,-999.0,-999.0
106037,INCAHUASI,1992,7,0.0,-999.0,-999.0
106037,INCAHUASI,1992,8,3.0,-999.0,-999.0
106037,INCAHUASI,1992,9,22.5,-999.0,-999.0
106037,INCAHUASI,1992,10,17.0,-999.0,-999.0
