CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
106042,CAYALTI,1990,1,1.0,32.91,19.39
106042,CAYALTI,1990,2,2.2,34.41,20.55
106042,CAYALTI,1990,3,8.1,35.29,20.5
106042,CAYALTI,1990,4,1.0,33.83,19.12
106042,CAYALTI,1990,5,2.1,30.23,17.58
106042,CAYALTI,1990,6,1.5,28.08,15.02
106042,CAYALTI,1990,7,0.0,26.73,13.61
106042,CAYALTI,1990,8,0.0,26.9,-999.0
106042,CAYALTI,1990,9,0.0,28.42,13.41
106042,CAYALTI,1990,10,1.3,29.02,14.45
106042,CAYALTI,1990,11,7.7,30.13,15.06
106042,CAYALTI,1990,12,0.0,31.81,16.05
106042,CAYALTI,1991,1,0.7,33.31,17.35
106042,CAYALTI,1991,2,9.0,34.19,19.77
106042,CAYALTI,1991,3,16.4,34.76,20.33
106042,CAYALTI,1991,4,7.4,33.44,19.37
106042,CAYALTI,1991,5,0.0,32.09,17.83
106042,CAYALTI,1991,6,0.0,29.3,15.86
106042,CAYALTI,1991,7,0.0,27.35,13.5
106042,CAYALTI,1991,8,0.0,27.27,13.05
106042,CAYALTI,1991,9,0.2,28.4,15.14
106042,CAYALTI,1991,10,2.4,29.61,15.5
106042,CAYALTI,1991,11,36.6,30.36,15.33
106042,CAYALTI,1991,12,0.2,30.92,19.04
106042,CAYALTI,1992,1,5.5,33.5,20.95
106042,CAYALTI,1992,2,9.1,34.14,22.16
106042,CAYALTI,1992,3,21.9,35.42,23.12
106042,CAYALTI,1992,4,20.0,34.7,22.66
106042,CAYALTI,1992,5,1.0,33.47,20.5
106042,CAYALTI,1992,6,0.0,29.71,16.92
106042,CAYALTI,1992,7,0.0,27.95,13.82
106042,CAYALTI,1992,8,0.0,28.07,14.64
106042,CAYALTI,1992,9,2.2,29.01,14.86
106042,CAYALTI,1992,10,1.0,29.79,15.63
106042,CAYALTI,1992,11,0.0,30.17,15.8
106042,CAYALTI,1992,12,0.8,31.25,15.81
106042,CAYALTI,1993,1,1.1,32.46,-999.0
106042,CAYALTI,1993,2,10.5,32.88,-999.0
106042,CAYALTI,1993,3,44.1,33.13,-999.0
106042,CAYALTI,1993,4,17.1,33.2,-999.0
106042,CAYALTI,1993,5,2.7,31.57,18.27
106042,CAYALTI,1993,6,0.0,29.81,-999.0
106042,CAYALTI,1993,7,3.0,29.28,-999.0
106042,CAYALTI,1993,8,0.1,28.81,16.1
106042,CAYALTI,1993,9,0.7,29.54,16.39
106042,CAYALTI,1993,10,0.8,29.31,15.56
106042,CAYALTI,1993,11,6.4,30.34,15.69
106042,CAYALTI,1993,12,3.7,32.03,17.87
106042,CAYALTI,1994,1,8.8,33.51,-999.0
106042,CAYALTI,1994,2,21.2,33.6,20.46
106042,CAYALTI,1994,3,25.4,32.89,21.4
106042,CAYALTI,1994,4,5.4,31.26,19.09
106042,CAYALTI,1994,5,0.0,30.44,16.92
106042,CAYALTI,1994,6,4.0,27.73,15.45
106042,CAYALTI,1994,7,0.0,24.49,13.57
106042,CAYALTI,1994,8,0.0,24.47,14.59
106042,CAYALTI,1994,9,0.0,24.28,16.01
106042,CAYALTI,1994,10,0.0,25.8,16.75
106042,CAYALTI,1994,11,0.4,31.51,18.56
106042,CAYALTI,1994,12,18.8,33.58,20.38
106042,CAYALTI,1995,1,6.4,35.4,19.26
106042,CAYALTI,1995,2,9.7,35.91,18.57
106042,CAYALTI,1995,3,1.6,35.94,-999.0
106042,CAYALTI,1995,4,16.6,34.37,-999.0
106042,CAYALTI,1995,5,4.2,32.45,-999.0
106042,CAYALTI,1995,6,0.0,31.3,-999.0
106042,CAYALTI,1995,7,4.5,27.59,-999.0
106042,CAYALTI,1995,8,0.0,27.62,10.54
106042,CAYALTI,1995,9,5.6,29.04,12.98
106042,CAYALTI,1995,10,3.9,29.61,-999.0
106042,CAYALTI,1995,11,3.6,31.22,-999.0
106042,CAYALTI,1995,12,4.0,31.28,-999.0
106042,CAYALTI,1996,1,3.2,32.86,-999.0
106042,CAYALTI,1996,2,11.8,33.08,-999.0
106042,CAYALTI,1996,3,8.5,33.33,20.67
106042,CAYALTI,1996,4,8.3,30.94,18.45
106042,CAYALTI,1996,5,3.1,28.53,16.11
106042,CAYALTI,1996,6,1.1,25.81,13.67
106042,CAYALTI,1996,7,0.0,25.53,12.52
106042,CAYALTI,1996,8,1.2,26.96,13.36
106042,CAYALTI,1996,9,1.4,27.41,13.6
106042,CAYALTI,1996,10,6.7,28.3,14.78
106042,CAYALTI,1996,11,0.2,29.1,14.74
106042,CAYALTI,1996,12,1.2,31.57,16.51
106042,CAYALTI,1997,1,0.0,33.13,18.19
106042,CAYALTI,1997,2,34.6,33.95,20.49
106042,CAYALTI,1997,3,1.5,33.84,20.73
106042,CAYALTI,1997,4,18.9,32.61,20.33
106042,CAYALTI,1997,5,0.7,32.92,19.62
106042,CAYALTI,1997,6,0.0,31.97,19.45
106042,CAYALTI,1997,7,0.0,31.13,18.56
106042,CAYALTI,1997,8,0.0,31.22,19.41
106042,CAYALTI,1997,9,2.1,31.94,19.59
106042,CAYALTI,1997,10,0.0,31.74,18.54
106042,CAYALTI,1997,11,-999.0,31.88,20.47
106042,CAYALTI,1997,12,40.6,32.67,22.94
106042,CAYALTI,1998,1,-999.0,34.43,24.17
106042,CAYALTI,1998,2,292.3,33.91,24.33
106042,CAYALTI,1998,3,-999.0,33.64,23.72
106042,CAYALTI,1998,4,-999.0,33.06,-999.0
106042,CAYALTI,1998,5,0.0,31.71,19.5
106042,CAYALTI,1998,6,2.1,30.79,16.56
106042,CAYALTI,1998,7,0.0,29.9,14.4
106042,CAYALTI,1998,8,0.0,29.5,13.54
106042,CAYALTI,1998,9,0.0,30.1,14.03
106042,CAYALTI,1998,10,4.5,30.32,15.83
106042,CAYALTI,1998,11,0.0,30.55,15.57
106042,CAYALTI,1998,12,0.0,31.15,15.9
106042,CAYALTI,1999,1,5.3,32.21,17.62
106042,CAYALTI,1999,2,-999.0,32.63,20.44
106042,CAYALTI,1999,3,0.4,33.46,-999.0
106042,CAYALTI,1999,4,11.6,31.47,18.02
106042,CAYALTI,1999,5,4.6,29.37,15.74
106042,CAYALTI,1999,6,1.0,27.29,13.75
106042,CAYALTI,1999,7,3.0,26.3,12.72
106042,CAYALTI,1999,8,0.0,27.34,12.15
106042,CAYALTI,1999,9,2.8,29.76,14.18
106042,CAYALTI,1999,10,2.9,30.8,14.58
106042,CAYALTI,1999,11,0.0,31.53,14.12
106042,CAYALTI,1999,12,5.5,32.31,16.41
106042,CAYALTI,2000,1,0.9,33.57,17.43
106042,CAYALTI,2000,2,0.5,34.52,19.34
106042,CAYALTI,2000,3,10.1,34.24,19.13
106042,CAYALTI,2000,4,-999.0,32.73,18.19
106042,CAYALTI,2000,5,7.0,30.07,15.72
106042,CAYALTI,2000,6,1.9,26.84,15.79
106042,CAYALTI,2000,7,0.0,25.66,14.64
106042,CAYALTI,2000,8,1.8,26.98,14.48
106042,CAYALTI,2000,9,5.3,28.23,13.88
106042,CAYALTI,2000,10,0.0,29.55,14.03
106042,CAYALTI,2000,11,0.9,30.11,-999.0
106042,CAYALTI,2000,12,8.4,31.63,17.11
106042,CAYALTI,2001,1,1.4,33.41,18.51
106042,CAYALTI,2001,2,1.0,35.01,19.86
106042,CAYALTI,2001,3,30.2,33.66,20.5
106042,CAYALTI,2001,4,15.0,32.06,18.39
106042,CAYALTI,2001,5,0.0,29.31,15.11
106042,CAYALTI,2001,6,0.0,24.93,14.48
106042,CAYALTI,2001,7,0.0,26.39,13.41
106042,CAYALTI,2001,8,0.0,26.3,13.02
106042,CAYALTI,2001,9,3.4,27.23,12.69
106042,CAYALTI,2001,10,0.0,27.75,13.16
106042,CAYALTI,2001,11,0.0,31.37,14.89
106042,CAYALTI,2001,12,1.0,32.28,15.84
106042,CAYALTI,2002,1,0.0,34.24,16.7
106042,CAYALTI,2002,2,12.5,34.69,19.64
106042,CAYALTI,2002,3,14.2,34.89,20.93
106042,CAYALTI,2002,4,8.8,33.61,18.82
106042,CAYALTI,2002,5,0.0,33.03,15.81
106042,CAYALTI,2002,6,0.0,29.48,-999.0
106042,CAYALTI,2002,7,0.0,28.03,-999.0
106042,CAYALTI,2002,8,0.0,27.63,-999.0
106042,CAYALTI,2002,9,0.0,28.67,-999.0
106042,CAYALTI,2002,10,0.6,30.06,-999.0
106042,CAYALTI,2002,11,5.6,30.95,-999.0
106042,CAYALTI,2002,12,5.3,32.23,16.79
106042,CAYALTI,2003,1,2.7,34.82,18.48
106042,CAYALTI,2003,2,10.5,35.36,19.34
106042,CAYALTI,2003,3,0.7,36.25,18.05
106042,CAYALTI,2003,4,1.3,33.73,16.09
106042,CAYALTI,2003,5,0.8,30.47,14.11
106042,CAYALTI,2003,6,1.1,28.49,12.64
106042,CAYALTI,2003,7,0.0,27.9,12.23
