CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
106053,LLAMA,1990,1,-999.0,21.14,-999.0
106053,LLAMA,1990,2,67.8,17.84,12.63
106053,LLAMA,1990,3,80.7,19.95,12.85
106053,LLAMA,1990,4,-999.0,18.55,11.9
106053,LLAMA,1990,5,4.0,21.03,12.11
106053,LLAMA,1990,6,4.0,22.73,12.96
106053,LLAMA,1990,7,0.0,22.23,12.48
106053,LLAMA,1990,8,0.0,22.16,13.28
106053,LLAMA,1990,9,1.6,21.71,12.6
106053,LLAMA,1990,10,68.2,19.3,11.98
106053,LLAMA,1990,11,34.8,20.0,12.38
106053,LLAMA,1990,12,2.2,18.78,11.18
106053,LLAMA,1991,1,2.7,19.89,11.83
106053,LLAMA,1991,2,18.6,18.31,12.33
106053,LLAMA,1991,3,-999.0,18.11,12.24
106053,LLAMA,1991,4,32.5,19.98,11.78
106053,LLAMA,1991,5,9.8,21.06,12.31
106053,LLAMA,1991,6,0.0,21.52,12.27
106053,LLAMA,1991,7,9.8,23.0,12.9
106053,LLAMA,1991,8,0.0,23.09,11.78
106053,LLAMA,1991,9,2.8,22.55,11.85
106053,LLAMA,1991,10,12.1,21.15,11.68
106053,LLAMA,1991,11,23.9,20.55,10.86
106053,LLAMA,1991,12,-999.0,18.98,10.58
106053,LLAMA,1992,1,95.3,18.92,11.91
106053,LLAMA,1992,2,75.4,19.25,11.54
106053,LLAMA,1992,3,-999.0,19.05,11.63
106053,LLAMA,1992,4,-999.0,19.67,12.12
106053,LLAMA,1992,5,-999.0,18.68,11.54
106053,LLAMA,1992,6,0.0,21.51,12.33
106053,LLAMA,1992,7,-999.0,21.81,12.17
106053,LLAMA,1992,8,-999.0,22.07,11.65
106053,LLAMA,1992,9,12.4,21.32,12.39
106053,LLAMA,1992,10,8.8,21.82,11.56
106053,LLAMA,1992,11,21.2,20.31,10.51
106053,LLAMA,1992,12,26.0,19.5,10.15
106053,LLAMA,1993,1,-999.0,19.15,10.78
106053,LLAMA,1993,2,183.7,18.01,9.92
106053,LLAMA,1993,3,427.9,18.92,11.36
106053,LLAMA,1993,4,-999.0,20.14,12.3
106053,LLAMA,1993,5,-999.0,19.73,10.88
106053,LLAMA,1993,6,6.0,22.33,12.77
106053,LLAMA,1993,7,0.0,22.7,12.23
106053,LLAMA,1993,8,7.2,21.81,11.65
106053,LLAMA,1993,9,19.2,21.5,11.97
106053,LLAMA,1993,10,46.5,20.96,12.13
106053,LLAMA,1993,11,33.1,19.79,10.99
106053,LLAMA,1993,12,-999.0,19.18,11.78
106053,LLAMA,1994,1,93.4,17.63,12.31
106053,LLAMA,1994,2,136.6,19.07,12.36
106053,LLAMA,1994,3,194.9,18.56,-999.0
106053,LLAMA,1994,4,-999.0,18.81,12.36
106053,LLAMA,1994,5,-999.0,19.86,12.15
106053,LLAMA,1994,6,0.0,21.51,12.73
106053,LLAMA,1994,7,0.0,21.81,12.79
106053,LLAMA,1994,8,0.0,22.41,12.79
106053,LLAMA,1994,9,14.9,22.11,11.57
106053,LLAMA,1994,10,30.0,20.76,11.27
