CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
106054,HUAMBOS,1990,1,8.8,19.0,11.97
106054,HUAMBOS,1990,2,56.7,20.88,-999.0
106054,HUAMBOS,1990,3,44.0,19.38,11.73
106054,HUAMBOS,1990,4,83.4,20.49,12.25
106054,HUAMBOS,1990,5,19.0,19.56,11.56
106054,HUAMBOS,1990,6,20.9,17.91,11.31
106054,HUAMBOS,1990,7,-999.0,17.87,10.55
106054,HUAMBOS,1990,8,-999.0,19.04,10.92
106054,HUAMBOS,1990,9,5.3,20.38,11.27
106054,HUAMBOS,1990,10,106.9,20.83,11.21
106054,HUAMBOS,1990,11,80.4,19.47,11.45
106054,HUAMBOS,1990,12,4.5,20.07,10.99
106054,HUAMBOS,1991,1,7.9,19.88,11.33
106054,HUAMBOS,1991,2,10.8,20.17,12.13
106054,HUAMBOS,1991,3,38.6,20.21,12.25
106054,HUAMBOS,1991,4,20.1,20.37,12.02
106054,HUAMBOS,1991,5,-999.0,19.9,12.13
106054,HUAMBOS,1991,6,-999.0,-999.0,-999.0
106054,HUAMBOS,1991,7,5.5,19.1,10.72
106054,HUAMBOS,1991,8,-999.0,18.9,10.33
106054,HUAMBOS,1991,9,20.6,20.56,10.94
106054,HUAMBOS,1991,10,19.6,20.83,10.58
106054,HUAMBOS,1991,11,37.9,22.1,10.95
106054,HUAMBOS,1991,12,19.2,22.41,11.86
106054,HUAMBOS,1992,1,4.2,21.79,12.29
106054,HUAMBOS,1992,2,10.2,21.59,11.9
106054,HUAMBOS,1992,3,27.4,21.16,12.57
106054,HUAMBOS,1992,4,29.2,20.24,12.62
106054,HUAMBOS,1992,5,9.8,20.65,12.65
106054,HUAMBOS,1992,6,-999.0,19.11,11.63
106054,HUAMBOS,1992,7,7.8,18.17,10.42
106054,HUAMBOS,1992,8,16.6,19.35,10.78
106054,HUAMBOS,1992,9,21.9,20.11,10.71
106054,HUAMBOS,1992,10,22.7,20.29,10.89
106054,HUAMBOS,1992,11,15.8,22.6,10.26
106054,HUAMBOS,1992,12,-999.0,21.89,11.07
106054,HUAMBOS,1993,1,3.8,21.3,11.04
106054,HUAMBOS,1993,2,68.8,20.2,-999.0
106054,HUAMBOS,1993,3,113.6,19.0,-999.0
106054,HUAMBOS,1993,4,82.6,19.54,-999.0
106054,HUAMBOS,1993,5,44.1,20.09,-999.0
106054,HUAMBOS,1993,6,5.8,18.87,-999.0
106054,HUAMBOS,1993,7,22.4,18.89,-999.0
106054,HUAMBOS,1993,8,67.3,18.83,-999.0
106054,HUAMBOS,1993,9,32.1,20.18,-999.0
