CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
106060,CUEVA BLANCA,1990,1,61.6,-999.0,-999.0
106060,CUEVA BLANCA,1990,2,62.8,-999.0,-999.0
106060,CUEVA BLANCA,1990,3,95.9,-999.0,-999.0
106060,CUEVA BLANCA,1990,4,91.3,-999.0,-999.0
106060,CUEVA BLANCA,1990,5,34.5,-999.0,-999.0
106060,CUEVA BLANCA,1990,6,39.7,-999.0,-999.0
106060,CUEVA BLANCA,1990,7,26.5,-999.0,-999.0
106060,CUEVA BLANCA,1990,8,2.5,-999.0,-999.0
106060,CUEVA BLANCA,1990,9,6.7,-999.0,-999.0
106060,CUEVA BLANCA,1990,10,105.7,-999.0,-999.0
106060,CUEVA BLANCA,1990,11,89.0,-999.0,-999.0
106060,CUEVA BLANCA,1990,12,54.5,-999.0,-999.0
106060,CUEVA BLANCA,1991,1,28.9,-999.0,-999.0
106060,CUEVA BLANCA,1991,2,88.8,-999.0,-999.0
106060,CUEVA BLANCA,1991,3,64.3,-999.0,-999.0
106060,CUEVA BLANCA,1991,4,59.7,-999.0,-999.0
106060,CUEVA BLANCA,1991,5,20.1,-999.0,-999.0
106060,CUEVA BLANCA,1991,6,11.0,-999.0,-999.0
106060,CUEVA BLANCA,1991,7,4.3,-999.0,-999.0
106060,CUEVA BLANCA,1991,8,1.5,-999.0,-999.0
106060,CUEVA BLANCA,1991,9,11.7,-999.0,-999.0
106060,CUEVA BLANCA,1991,10,46.4,-999.0,-999.0
106060,CUEVA BLANCA,1991,11,1.7,-999.0,-999.0
106060,CUEVA BLANCA,1991,12,95.7,-999.0,-999.0
106060,CUEVA BLANCA,1992,1,58.4,-999.0,-999.0
106060,CUEVA BLANCA,1992,2,42.0,-999.0,-999.0
106060,CUEVA BLANCA,1992,3,51.9,-999.0,-999.0
106060,CUEVA BLANCA,1992,4,124.7,-999.0,-999.0
106060,CUEVA BLANCA,1992,5,0.5,-999.0,-999.0
106060,CUEVA BLANCA,1992,6,1.5,-999.0,-999.0
106060,CUEVA BLANCA,1992,7,3.9,-999.0,-999.0
106060,CUEVA BLANCA,1992,8,6.2,-999.0,-999.0
106060,CUEVA BLANCA,1992,9,54.2,-999.0,-999.0
106060,CUEVA BLANCA,1992,10,42.8,-999.0,-999.0
106060,CUEVA BLANCA,1992,11,35.5,-999.0,-999.0
106060,CUEVA BLANCA,1992,12,68.7,-999.0,-999.0
106060,CUEVA BLANCA,1993,1,33.0,-999.0,-999.0
106060,CUEVA BLANCA,1993,2,125.2,-999.0,-999.0
