CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
106068,UDIMA,1990,1,13.0,-999.0,-999.0
106068,UDIMA,1990,2,65.5,-999.0,-999.0
106068,UDIMA,1990,3,126.5,-999.0,-999.0
106068,UDIMA,1990,4,97.0,-999.0,-999.0
106068,UDIMA,1990,5,27.5,-999.0,-999.0
106068,UDIMA,1990,6,33.5,-999.0,-999.0
106068,UDIMA,1990,7,3.5,-999.0,-999.0
106068,UDIMA,1990,8,0.0,-999.0,-999.0
106068,UDIMA,1990,9,3.5,-999.0,-999.0
106068,UDIMA,1990,10,69.5,-999.0,-999.0
106068,UDIMA,1990,11,72.0,-999.0,-999.0
106068,UDIMA,1990,12,26.5,-999.0,-999.0
106068,UDIMA,1991,1,11.0,-999.0,-999.0
106068,UDIMA,1991,2,91.5,-999.0,-999.0
106068,UDIMA,1991,3,89.0,-999.0,-999.0
106068,UDIMA,1991,4,111.5,-999.0,-999.0
106068,UDIMA,1991,5,82.0,-999.0,-999.0
106068,UDIMA,1991,6,3.0,-999.0,-999.0
106068,UDIMA,1991,7,4.0,-999.0,-999.0
106068,UDIMA,1991,8,5.0,-999.0,-999.0
106068,UDIMA,1991,9,0.0,-999.0,-999.0
106068,UDIMA,1991,10,51.0,-999.0,-999.0
106068,UDIMA,1991,11,48.5,-999.0,-999.0
106068,UDIMA,1991,12,36.0,-999.0,-999.0
106068,UDIMA,1992,1,73.5,-999.0,-999.0
106068,UDIMA,1992,2,31.0,-999.0,-999.0
106068,UDIMA,1992,3,172.0,-999.0,-999.0
106068,UDIMA,1992,4,140.0,-999.0,-999.0
106068,UDIMA,1992,5,54.5,-999.0,-999.0
106068,UDIMA,1992,6,7.0,-999.0,-999.0
106068,UDIMA,1992,7,5.0,-999.0,-999.0
106068,UDIMA,1992,8,4.0,-999.0,-999.0
106068,UDIMA,1992,9,39.0,-999.0,-999.0
106068,UDIMA,1992,10,46.0,-999.0,-999.0
106068,UDIMA,1992,11,45.5,-999.0,-999.0
106068,UDIMA,1992,12,13.0,-999.0,-999.0
106068,UDIMA,1993,1,68.0,-999.0,-999.0
106068,UDIMA,1993,2,140.0,-999.0,-999.0
106068,UDIMA,1993,3,257.0,-999.0,-999.0
106068,UDIMA,1993,4,220.0,-999.0,-999.0
106068,UDIMA,1993,5,82.5,-999.0,-999.0
106068,UDIMA,1993,6,33.0,-999.0,-999.0
106068,UDIMA,1993,7,15.5,-999.0,-999.0
106068,UDIMA,1993,8,20.5,-999.0,-999.0
106068,UDIMA,1993,9,82.0,-999.0,-999.0
106068,UDIMA,1993,10,108.2,-999.0,-999.0
106068,UDIMA,1993,11,31.5,-999.0,-999.0
106068,UDIMA,1993,12,57.5,-999.0,-999.0
