CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
106077,CHUGUR,1990,1,-999.0,-999.0,-999.0
106077,CHUGUR,1990,2,-999.0,-999.0,-999.0
106077,CHUGUR,1990,3,-999.0,-999.0,-999.0
106077,CHUGUR,1990,4,-999.0,-999.0,-999.0
106077,CHUGUR,1990,5,-999.0,-999.0,-999.0
106077,CHUGUR,1990,6,-999.0,-999.0,-999.0
106077,CHUGUR,1990,7,-999.0,-999.0,-999.0
106077,CHUGUR,1990,8,-999.0,-999.0,-999.0
106077,CHUGUR,1990,9,-999.0,-999.0,-999.0
106077,CHUGUR,1990,10,-999.0,-999.0,-999.0
106077,CHUGUR,1990,11,-999.0,-999.0,-999.0
106077,CHUGUR,1990,12,-999.0,-999.0,-999.0
106077,CHUGUR,1991,1,-999.0,-999.0,-999.0
106077,CHUGUR,1991,2,-999.0,-999.0,-999.0
106077,CHUGUR,1991,3,-999.0,-999.0,-999.0
106077,CHUGUR,1991,4,-999.0,-999.0,-999.0
106077,CHUGUR,1991,5,-999.0,-999.0,-999.0
106077,CHUGUR,1991,6,-999.0,-999.0,-999.0
106077,CHUGUR,1991,7,-999.0,-999.0,-999.0
106077,CHUGUR,1991,8,-999.0,-999.0,-999.0
106077,CHUGUR,1991,9,-999.0,-999.0,-999.0
106077,CHUGUR,1991,10,-999.0,-999.0,-999.0
106077,CHUGUR,1991,11,-999.0,-999.0,-999.0
106077,CHUGUR,1991,12,-999.0,-999.0,-999.0
106077,CHUGUR,1992,1,53.9,-999.0,-999.0
106077,CHUGUR,1992,2,39.4,-999.0,-999.0
106077,CHUGUR,1992,3,30.7,-999.0,-999.0
106077,CHUGUR,1992,4,26.6,-999.0,-999.0
106077,CHUGUR,1992,5,5.2,-999.0,-999.0
106077,CHUGUR,1992,6,10.5,-999.0,-999.0
106077,CHUGUR,1992,7,0.0,-999.0,-999.0
106077,CHUGUR,1992,8,11.2,-999.0,-999.0
106077,CHUGUR,1992,9,122.4,-999.0,-999.0
106077,CHUGUR,1992,10,60.1,-999.0,-999.0
106077,CHUGUR,1992,11,7.5,-999.0,-999.0
106077,CHUGUR,1992,12,45.5,-999.0,-999.0
106077,CHUGUR,1993,1,78.1,-999.0,-999.0
106077,CHUGUR,1993,2,148.9,-999.0,-999.0
106077,CHUGUR,1993,3,366.3,-999.0,-999.0
106077,CHUGUR,1993,4,409.0,-999.0,-999.0
106077,CHUGUR,1993,5,298.9,-999.0,-999.0
106077,CHUGUR,1993,6,12.2,-999.0,-999.0
106077,CHUGUR,1993,7,52.0,-999.0,-999.0
106077,CHUGUR,1993,8,46.3,-999.0,-999.0
106077,CHUGUR,1993,9,265.2,-999.0,-999.0
106077,CHUGUR,1993,10,348.1,-999.0,-999.0
106077,CHUGUR,1993,11,148.0,-999.0,-999.0
106077,CHUGUR,1993,12,201.9,-999.0,-999.0
106077,CHUGUR,1994,1,335.5,-999.0,-999.0
106077,CHUGUR,1994,2,243.7,-999.0,-999.0
106077,CHUGUR,1994,3,352.5,-999.0,-999.0
106077,CHUGUR,1994,4,256.5,-999.0,-999.0
106077,CHUGUR,1994,5,55.6,-999.0,-999.0
106077,CHUGUR,1994,6,0.0,-999.0,-999.0
106077,CHUGUR,1994,7,0.0,-999.0,-999.0
106077,CHUGUR,1994,8,0.0,-999.0,-999.0
106077,CHUGUR,1994,9,71.6,-999.0,-999.0
106077,CHUGUR,1994,10,86.7,-999.0,-999.0
106077,CHUGUR,1994,11,114.1,-999.0,-999.0
106077,CHUGUR,1994,12,147.6,-999.0,-999.0
106077,CHUGUR,1995,1,86.8,-999.0,-999.0
106077,CHUGUR,1995,2,301.5,-999.0,-999.0
106077,CHUGUR,1995,3,237.3,-999.0,-999.0
106077,CHUGUR,1995,4,120.6,-999.0,-999.0
106077,CHUGUR,1995,5,164.0,-999.0,-999.0
106077,CHUGUR,1995,6,26.3,-999.0,-999.0
106077,CHUGUR,1995,7,53.8,-999.0,-999.0
106077,CHUGUR,1995,8,9.2,-999.0,-999.0
106077,CHUGUR,1995,9,58.2,-999.0,-999.0
106077,CHUGUR,1995,10,206.4,-999.0,-999.0
106077,CHUGUR,1995,11,209.2,-999.0,-999.0
106077,CHUGUR,1995,12,307.7,-999.0,-999.0
106077,CHUGUR,1996,1,110.7,-999.0,-999.0
106077,CHUGUR,1996,2,251.1,-999.0,-999.0
106077,CHUGUR,1996,3,398.1,-999.0,-999.0
106077,CHUGUR,1996,4,220.8,-999.0,-999.0
106077,CHUGUR,1996,5,68.6,-999.0,-999.0
106077,CHUGUR,1996,6,26.8,-999.0,-999.0
106077,CHUGUR,1996,7,24.9,-999.0,-999.0
106077,CHUGUR,1996,8,28.8,-999.0,-999.0
106077,CHUGUR,1996,9,65.5,-999.0,-999.0
106077,CHUGUR,1996,10,326.5,-999.0,-999.0
106077,CHUGUR,1996,11,94.3,-999.0,-999.0
106077,CHUGUR,1996,12,41.5,-999.0,-999.0
106077,CHUGUR,1997,1,86.5,-999.0,-999.0
106077,CHUGUR,1997,2,219.9,-999.0,-999.0
106077,CHUGUR,1997,3,117.1,-999.0,-999.0
106077,CHUGUR,1997,4,144.7,-999.0,-999.0
106077,CHUGUR,1997,5,71.0,-999.0,-999.0
106077,CHUGUR,1997,6,65.1,-999.0,-999.0
106077,CHUGUR,1997,7,0.0,-999.0,-999.0
106077,CHUGUR,1997,8,13.1,-999.0,-999.0
106077,CHUGUR,1997,9,66.0,-999.0,-999.0
106077,CHUGUR,1997,10,93.6,-999.0,-999.0
106077,CHUGUR,1997,11,207.6,-999.0,-999.0
106077,CHUGUR,1997,12,276.2,-999.0,-999.0
106077,CHUGUR,1998,1,168.9,-999.0,-999.0
106077,CHUGUR,1998,2,258.0,-999.0,-999.0
106077,CHUGUR,1998,3,303.5,-999.0,-999.0
106077,CHUGUR,1998,4,276.7,-999.0,-999.0
106077,CHUGUR,1998,5,106.6,-999.0,-999.0
106077,CHUGUR,1998,6,15.7,-999.0,-999.0
106077,CHUGUR,1998,7,0.0,-999.0,-999.0
106077,CHUGUR,1998,8,14.3,-999.0,-999.0
106077,CHUGUR,1998,9,66.8,-999.0,-999.0
106077,CHUGUR,1998,10,179.2,-999.0,-999.0
106077,CHUGUR,1998,11,89.5,-999.0,-999.0
106077,CHUGUR,1998,12,109.2,-999.0,-999.0
106077,CHUGUR,1999,1,160.3,-999.0,-999.0
