CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
106088,JEPELACIO,1990,1,194.9,-999.0,-999.0
106088,JEPELACIO,1990,2,93.0,-999.0,-999.0
106088,JEPELACIO,1990,3,258.2,-999.0,-999.0
106088,JEPELACIO,1990,4,80.9,-999.0,-999.0
106088,JEPELACIO,1990,5,8.1,-999.0,-999.0
106088,JEPELACIO,1990,6,15.0,-999.0,-999.0
106088,JEPELACIO,1990,7,15.6,-999.0,-999.0
106088,JEPELACIO,1990,8,29.1,-999.0,-999.0
106088,JEPELACIO,1990,9,177.8,-999.0,-999.0
106088,JEPELACIO,1990,10,153.7,-999.0,-999.0
106088,JEPELACIO,1990,11,118.9,-999.0,-999.0
106088,JEPELACIO,1990,12,1.8,-999.0,-999.0
106088,JEPELACIO,1991,1,164.8,-999.0,-999.0
106088,JEPELACIO,1991,2,203.5,-999.0,-999.0
106088,JEPELACIO,1991,3,195.2,-999.0,-999.0
106088,JEPELACIO,1991,4,72.7,-999.0,-999.0
106088,JEPELACIO,1991,5,59.1,-999.0,-999.0
106088,JEPELACIO,1991,6,46.4,-999.0,-999.0
106088,JEPELACIO,1991,7,66.1,-999.0,-999.0
106088,JEPELACIO,1991,8,86.9,-999.0,-999.0
106088,JEPELACIO,1991,9,37.3,-999.0,-999.0
106088,JEPELACIO,1991,10,102.6,-999.0,-999.0
106088,JEPELACIO,1991,11,5.1,-999.0,-999.0
106088,JEPELACIO,1991,12,29.3,-999.0,-999.0
106088,JEPELACIO,1992,1,24.2,-999.0,-999.0
106088,JEPELACIO,1992,2,111.4,-999.0,-999.0
106088,JEPELACIO,1992,3,193.9,-999.0,-999.0
106088,JEPELACIO,1992,4,16.9,-999.0,-999.0
106088,JEPELACIO,1992,5,11.1,-999.0,-999.0
106088,JEPELACIO,1992,6,33.2,-999.0,-999.0
106088,JEPELACIO,1992,7,34.9,-999.0,-999.0
106088,JEPELACIO,1992,8,105.3,-999.0,-999.0
106088,JEPELACIO,1992,9,145.6,-999.0,-999.0
106088,JEPELACIO,1992,10,170.4,-999.0,-999.0
106088,JEPELACIO,1992,11,144.9,-999.0,-999.0
106088,JEPELACIO,1992,12,145.4,-999.0,-999.0
106088,JEPELACIO,1993,1,92.2,-999.0,-999.0
106088,JEPELACIO,1993,2,175.3,-999.0,-999.0
106088,JEPELACIO,1993,3,363.0,-999.0,-999.0
106088,JEPELACIO,1993,4,103.4,-999.0,-999.0
106088,JEPELACIO,1993,5,82.9,-999.0,-999.0
106088,JEPELACIO,1993,6,55.9,-999.0,-999.0
106088,JEPELACIO,1993,7,42.4,-999.0,-999.0
106088,JEPELACIO,1993,8,47.4,-999.0,-999.0
106088,JEPELACIO,1993,9,97.9,-999.0,-999.0
106088,JEPELACIO,1993,10,186.3,-999.0,-999.0
106088,JEPELACIO,1993,11,-999.0,-999.0,-999.0
106088,JEPELACIO,1993,12,155.8,-999.0,-999.0
106088,JEPELACIO,1994,1,97.8,-999.0,-999.0
106088,JEPELACIO,1994,2,144.6,-999.0,-999.0
106088,JEPELACIO,1994,3,153.8,-999.0,-999.0
106088,JEPELACIO,1994,4,216.2,-999.0,-999.0
106088,JEPELACIO,1994,5,78.8,-999.0,-999.0
106088,JEPELACIO,1994,6,67.1,-999.0,-999.0
106088,JEPELACIO,1994,7,87.7,-999.0,-999.0
106088,JEPELACIO,1994,8,29.9,-999.0,-999.0
106088,JEPELACIO,1994,9,117.6,-999.0,-999.0
106088,JEPELACIO,1994,10,107.3,-999.0,-999.0
106088,JEPELACIO,1994,11,209.4,-999.0,-999.0
106088,JEPELACIO,1994,12,163.8,-999.0,-999.0
