CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
106091,SAN PABLO,1990,1,-999.0,-999.0,-999.0
106091,SAN PABLO,1990,2,-999.0,-999.0,-999.0
106091,SAN PABLO,1990,3,-999.0,-999.0,-999.0
106091,SAN PABLO,1990,4,-999.0,-999.0,-999.0
106091,SAN PABLO,1990,5,-999.0,-999.0,-999.0
106091,SAN PABLO,1990,6,-999.0,-999.0,-999.0
106091,SAN PABLO,1990,7,-999.0,-999.0,-999.0
106091,SAN PABLO,1990,8,-999.0,-999.0,-999.0
106091,SAN PABLO,1990,9,-999.0,-999.0,-999.0
106091,SAN PABLO,1990,10,-999.0,-999.0,-999.0
106091,SAN PABLO,1990,11,-999.0,-999.0,-999.0
106091,SAN PABLO,1990,12,-999.0,-999.0,-999.0
106091,SAN PABLO,1991,1,-999.0,-999.0,-999.0
106091,SAN PABLO,1991,2,-999.0,-999.0,-999.0
106091,SAN PABLO,1991,3,-999.0,-999.0,-999.0
106091,SAN PABLO,1991,4,-999.0,-999.0,-999.0
106091,SAN PABLO,1991,5,-999.0,-999.0,-999.0
106091,SAN PABLO,1991,6,-999.0,-999.0,-999.0
106091,SAN PABLO,1991,7,-999.0,-999.0,-999.0
106091,SAN PABLO,1991,8,-999.0,-999.0,-999.0
106091,SAN PABLO,1991,9,-999.0,-999.0,-999.0
106091,SAN PABLO,1991,10,-999.0,-999.0,-999.0
106091,SAN PABLO,1991,11,-999.0,-999.0,-999.0
106091,SAN PABLO,1991,12,-999.0,-999.0,-999.0
106091,SAN PABLO,1992,1,-999.0,-999.0,-999.0
106091,SAN PABLO,1992,2,-999.0,-999.0,-999.0
106091,SAN PABLO,1992,3,-999.0,-999.0,-999.0
106091,SAN PABLO,1992,4,-999.0,-999.0,-999.0
106091,SAN PABLO,1992,5,-999.0,-999.0,-999.0
106091,SAN PABLO,1992,6,-999.0,-999.0,-999.0
106091,SAN PABLO,1992,7,-999.0,-999.0,-999.0
106091,SAN PABLO,1992,8,68.1,-999.0,-999.0
106091,SAN PABLO,1992,9,135.5,-999.0,-999.0
106091,SAN PABLO,1992,10,116.9,-999.0,-999.0
106091,SAN PABLO,1992,11,70.6,-999.0,-999.0
106091,SAN PABLO,1992,12,110.0,-999.0,-999.0
106091,SAN PABLO,1993,1,108.8,-999.0,-999.0
106091,SAN PABLO,1993,2,267.3,-999.0,-999.0
106091,SAN PABLO,1993,3,287.2,-999.0,-999.0
106091,SAN PABLO,1993,4,95.5,-999.0,-999.0
106091,SAN PABLO,1993,5,95.3,-999.0,-999.0
106091,SAN PABLO,1993,6,89.0,-999.0,-999.0
106091,SAN PABLO,1993,7,55.9,-999.0,-999.0
106091,SAN PABLO,1993,8,52.8,-999.0,-999.0
106091,SAN PABLO,1993,9,27.2,-999.0,-999.0
106091,SAN PABLO,1993,10,160.6,-999.0,-999.0
106091,SAN PABLO,1993,11,80.4,-999.0,-999.0
106091,SAN PABLO,1993,12,114.0,-999.0,-999.0
106091,SAN PABLO,1994,1,68.4,-999.0,-999.0
106091,SAN PABLO,1994,2,72.1,-999.0,-999.0
106091,SAN PABLO,1994,3,211.0,-999.0,-999.0
106091,SAN PABLO,1994,4,176.6,-999.0,-999.0
106091,SAN PABLO,1994,5,54.2,-999.0,-999.0
106091,SAN PABLO,1994,6,253.1,-999.0,-999.0
106091,SAN PABLO,1994,7,181.3,-999.0,-999.0
106091,SAN PABLO,1994,8,95.9,-999.0,-999.0
106091,SAN PABLO,1994,9,136.1,-999.0,-999.0
106091,SAN PABLO,1994,10,113.1,-999.0,-999.0
106091,SAN PABLO,1994,11,227.7,-999.0,-999.0
106091,SAN PABLO,1994,12,129.6,-999.0,-999.0
106091,SAN PABLO,1995,1,50.4,-999.0,-999.0
106091,SAN PABLO,1995,2,51.6,-999.0,-999.0
106091,SAN PABLO,1995,3,293.2,-999.0,-999.0
106091,SAN PABLO,1995,4,64.7,-999.0,-999.0
106091,SAN PABLO,1995,5,62.3,-999.0,-999.0
106091,SAN PABLO,1995,6,25.4,-999.0,-999.0
106091,SAN PABLO,1995,7,46.1,-999.0,-999.0
106091,SAN PABLO,1995,8,17.2,-999.0,-999.0
106091,SAN PABLO,1995,9,63.8,-999.0,-999.0
106091,SAN PABLO,1995,10,77.3,-999.0,-999.0
106091,SAN PABLO,1995,11,76.9,-999.0,-999.0
106091,SAN PABLO,1995,12,58.5,-999.0,-999.0
106091,SAN PABLO,1996,1,114.9,-999.0,-999.0
106091,SAN PABLO,1996,2,74.6,-999.0,-999.0
106091,SAN PABLO,1996,3,74.4,-999.0,-999.0
106091,SAN PABLO,1996,4,99.3,-999.0,-999.0
106091,SAN PABLO,1996,5,52.5,-999.0,-999.0
106091,SAN PABLO,1996,6,20.8,-999.0,-999.0
