CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
106092,ALAO,1990,1,48.5,-999.0,-999.0
106092,ALAO,1990,2,280.9,-999.0,-999.0
106092,ALAO,1990,3,211.0,-999.0,-999.0
106092,ALAO,1990,4,89.8,-999.0,-999.0
106092,ALAO,1990,5,45.8,-999.0,-999.0
106092,ALAO,1990,6,39.0,-999.0,-999.0
106092,ALAO,1990,7,93.6,-999.0,-999.0
106092,ALAO,1990,8,83.0,-999.0,-999.0
106092,ALAO,1990,9,82.8,-999.0,-999.0
106092,ALAO,1990,10,154.9,-999.0,-999.0
106092,ALAO,1990,11,161.3,-999.0,-999.0
106092,ALAO,1990,12,203.7,-999.0,-999.0
106092,ALAO,1991,1,6.9,-999.0,-999.0
106092,ALAO,1991,2,137.8,-999.0,-999.0
106092,ALAO,1991,3,173.5,-999.0,-999.0
106092,ALAO,1991,4,138.4,-999.0,-999.0
106092,ALAO,1991,5,72.3,-999.0,-999.0
106092,ALAO,1991,6,18.4,-999.0,-999.0
106092,ALAO,1991,7,59.0,-999.0,-999.0
106092,ALAO,1991,8,86.1,-999.0,-999.0
106092,ALAO,1991,9,140.8,-999.0,-999.0
106092,ALAO,1991,10,91.6,-999.0,-999.0
106092,ALAO,1991,11,104.0,-999.0,-999.0
106092,ALAO,1991,12,41.0,-999.0,-999.0
106092,ALAO,1992,1,73.2,-999.0,-999.0
106092,ALAO,1992,2,52.2,-999.0,-999.0
106092,ALAO,1992,3,245.5,-999.0,-999.0
106092,ALAO,1992,4,48.8,-999.0,-999.0
106092,ALAO,1992,5,14.2,-999.0,-999.0
106092,ALAO,1992,6,41.0,-999.0,-999.0
106092,ALAO,1992,7,52.9,-999.0,-999.0
106092,ALAO,1992,8,28.8,-999.0,-999.0
106092,ALAO,1992,9,115.7,-999.0,-999.0
106092,ALAO,1992,10,144.9,-999.0,-999.0
106092,ALAO,1992,11,112.3,-999.0,-999.0
106092,ALAO,1992,12,211.4,-999.0,-999.0
106092,ALAO,1993,1,88.5,-999.0,-999.0
106092,ALAO,1993,2,152.5,-999.0,-999.0
106092,ALAO,1993,3,372.3,-999.0,-999.0
106092,ALAO,1993,4,100.5,-999.0,-999.0
106092,ALAO,1993,5,150.1,-999.0,-999.0
106092,ALAO,1993,6,82.8,-999.0,-999.0
106092,ALAO,1993,7,99.7,-999.0,-999.0
106092,ALAO,1993,8,146.6,-999.0,-999.0
106092,ALAO,1993,9,26.6,-999.0,-999.0
106092,ALAO,1993,10,151.4,-999.0,-999.0
106092,ALAO,1993,11,92.4,-999.0,-999.0
106092,ALAO,1993,12,58.7,-999.0,-999.0
106092,ALAO,1994,1,34.2,-999.0,-999.0
106092,ALAO,1994,2,147.7,-999.0,-999.0
106092,ALAO,1994,3,265.3,-999.0,-999.0
106092,ALAO,1994,4,155.7,-999.0,-999.0
106092,ALAO,1994,5,138.0,-999.0,-999.0
106092,ALAO,1994,6,203.4,-999.0,-999.0
106092,ALAO,1994,7,139.5,-999.0,-999.0
106092,ALAO,1994,8,68.2,-999.0,-999.0
106092,ALAO,1994,9,170.5,-999.0,-999.0
106092,ALAO,1994,10,95.8,-999.0,-999.0
106092,ALAO,1994,11,135.2,-999.0,-999.0
106092,ALAO,1994,12,158.0,-999.0,-999.0
106092,ALAO,1995,1,87.1,-999.0,-999.0
106092,ALAO,1995,2,64.4,-999.0,-999.0
106092,ALAO,1995,3,254.1,-999.0,-999.0
106092,ALAO,1995,4,136.0,-999.0,-999.0
106092,ALAO,1995,5,84.6,-999.0,-999.0
106092,ALAO,1995,6,50.3,-999.0,-999.0
106092,ALAO,1995,7,32.2,-999.0,-999.0
106092,ALAO,1995,8,35.9,-999.0,-999.0
106092,ALAO,1995,9,219.5,-999.0,-999.0
106092,ALAO,1995,10,183.9,-999.0,-999.0
106092,ALAO,1995,11,219.2,-999.0,-999.0
106092,ALAO,1995,12,117.3,-999.0,-999.0
106092,ALAO,1996,1,93.3,-999.0,-999.0
106092,ALAO,1996,2,87.2,-999.0,-999.0
