CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
106094,CUÑUMBUQUE,1990,1,115.0,-999.0,-999.0
106094,CUÑUMBUQUE,1990,2,134.0,-999.0,-999.0
106094,CUÑUMBUQUE,1990,3,174.0,-999.0,-999.0
106094,CUÑUMBUQUE,1990,4,151.0,-999.0,-999.0
106094,CUÑUMBUQUE,1990,5,70.5,-999.0,-999.0
106094,CUÑUMBUQUE,1990,6,139.0,-999.0,-999.0
106094,CUÑUMBUQUE,1990,7,124.0,-999.0,-999.0
106094,CUÑUMBUQUE,1990,8,38.5,-999.0,-999.0
106094,CUÑUMBUQUE,1990,9,60.5,-999.0,-999.0
106094,CUÑUMBUQUE,1990,10,169.5,-999.0,-999.0
106094,CUÑUMBUQUE,1990,11,117.0,-999.0,-999.0
106094,CUÑUMBUQUE,1990,12,53.0,-999.0,-999.0
106094,CUÑUMBUQUE,1991,1,28.0,-999.0,-999.0
106094,CUÑUMBUQUE,1991,2,135.5,-999.0,-999.0
106094,CUÑUMBUQUE,1991,3,87.0,-999.0,-999.0
106094,CUÑUMBUQUE,1991,4,67.5,-999.0,-999.0
106094,CUÑUMBUQUE,1991,5,69.0,-999.0,-999.0
106094,CUÑUMBUQUE,1991,6,52.0,-999.0,-999.0
106094,CUÑUMBUQUE,1991,7,18.0,-999.0,-999.0
106094,CUÑUMBUQUE,1991,8,26.5,-999.0,-999.0
106094,CUÑUMBUQUE,1991,9,136.0,-999.0,-999.0
106094,CUÑUMBUQUE,1991,10,66.0,-999.0,-999.0
106094,CUÑUMBUQUE,1991,11,108.0,-999.0,-999.0
106094,CUÑUMBUQUE,1991,12,32.0,-999.0,-999.0
106094,CUÑUMBUQUE,1992,1,34.5,-999.0,-999.0
106094,CUÑUMBUQUE,1992,2,83.0,-999.0,-999.0
106094,CUÑUMBUQUE,1992,3,166.5,-999.0,-999.0
106094,CUÑUMBUQUE,1992,4,61.5,-999.0,-999.0
106094,CUÑUMBUQUE,1992,5,8.0,-999.0,-999.0
106094,CUÑUMBUQUE,1992,6,43.0,-999.0,-999.0
106094,CUÑUMBUQUE,1992,7,64.0,-999.0,-999.0
106094,CUÑUMBUQUE,1992,8,114.0,-999.0,-999.0
106094,CUÑUMBUQUE,1992,9,105.0,-999.0,-999.0
106094,CUÑUMBUQUE,1992,10,155.0,-999.0,-999.0
106094,CUÑUMBUQUE,1992,11,43.0,-999.0,-999.0
106094,CUÑUMBUQUE,1992,12,73.5,-999.0,-999.0
106094,CUÑUMBUQUE,1993,1,118.0,-999.0,-999.0
106094,CUÑUMBUQUE,1993,2,217.5,-999.0,-999.0
106094,CUÑUMBUQUE,1993,3,257.5,-999.0,-999.0
106094,CUÑUMBUQUE,1993,4,47.3,-999.0,-999.0
106094,CUÑUMBUQUE,1993,5,111.1,-999.0,-999.0
106094,CUÑUMBUQUE,1993,6,127.4,-999.0,-999.0
106094,CUÑUMBUQUE,1993,7,86.0,-999.0,-999.0
106094,CUÑUMBUQUE,1993,8,41.9,-999.0,-999.0
106094,CUÑUMBUQUE,1993,9,20.7,-999.0,-999.0
106094,CUÑUMBUQUE,1993,10,26.5,-999.0,-999.0
106094,CUÑUMBUQUE,1993,11,65.6,-999.0,-999.0
106094,CUÑUMBUQUE,1993,12,28.1,-999.0,-999.0
106094,CUÑUMBUQUE,1994,1,66.8,-999.0,-999.0
106094,CUÑUMBUQUE,1994,2,45.8,-999.0,-999.0
106094,CUÑUMBUQUE,1994,3,174.8,-999.0,-999.0
106094,CUÑUMBUQUE,1994,4,140.9,-999.0,-999.0
106094,CUÑUMBUQUE,1994,5,21.5,-999.0,-999.0
106094,CUÑUMBUQUE,1994,6,199.8,-999.0,-999.0
106094,CUÑUMBUQUE,1994,7,93.5,-999.0,-999.0
106094,CUÑUMBUQUE,1994,8,45.3,-999.0,-999.0
106094,CUÑUMBUQUE,1994,9,121.1,-999.0,-999.0
106094,CUÑUMBUQUE,1994,10,86.0,-999.0,-999.0
106094,CUÑUMBUQUE,1994,11,113.5,-999.0,-999.0
106094,CUÑUMBUQUE,1994,12,133.0,-999.0,-999.0
106094,CUÑUMBUQUE,1995,1,43.0,-999.0,-999.0
106094,CUÑUMBUQUE,1995,2,54.0,-999.0,-999.0
106094,CUÑUMBUQUE,1995,3,176.3,-999.0,-999.0
106094,CUÑUMBUQUE,1995,4,78.5,-999.0,-999.0
106094,CUÑUMBUQUE,1995,5,59.1,-999.0,-999.0
106094,CUÑUMBUQUE,1995,6,40.5,-999.0,-999.0
106094,CUÑUMBUQUE,1995,7,46.1,-999.0,-999.0
106094,CUÑUMBUQUE,1995,8,72.2,-999.0,-999.0
106094,CUÑUMBUQUE,1995,9,106.5,-999.0,-999.0
106094,CUÑUMBUQUE,1995,10,72.3,-999.0,-999.0
106094,CUÑUMBUQUE,1995,11,125.9,-999.0,-999.0
106094,CUÑUMBUQUE,1995,12,159.8,-999.0,-999.0
106094,CUÑUMBUQUE,1996,1,171.9,-999.0,-999.0
106094,CUÑUMBUQUE,1996,2,56.6,-999.0,-999.0
106094,CUÑUMBUQUE,1996,3,127.9,-999.0,-999.0
106094,CUÑUMBUQUE,1996,4,78.4,-999.0,-999.0
106094,CUÑUMBUQUE,1996,5,35.0,-999.0,-999.0
106094,CUÑUMBUQUE,1996,6,44.4,-999.0,-999.0
106094,CUÑUMBUQUE,1996,7,49.3,-999.0,-999.0
106094,CUÑUMBUQUE,1996,8,46.9,-999.0,-999.0
106094,CUÑUMBUQUE,1996,9,48.5,-999.0,-999.0
106094,CUÑUMBUQUE,1996,10,47.0,-999.0,-999.0
106094,CUÑUMBUQUE,1996,11,96.3,-999.0,-999.0
106094,CUÑUMBUQUE,1996,12,122.5,-999.0,-999.0
106094,CUÑUMBUQUE,1997,1,77.2,-999.0,-999.0
106094,CUÑUMBUQUE,1997,2,176.8,-999.0,-999.0
106094,CUÑUMBUQUE,1997,3,85.2,-999.0,-999.0
106094,CUÑUMBUQUE,1997,4,53.1,-999.0,-999.0
106094,CUÑUMBUQUE,1997,5,183.1,-999.0,-999.0
106094,CUÑUMBUQUE,1997,6,8.4,-999.0,-999.0
106094,CUÑUMBUQUE,1997,7,18.8,-999.0,-999.0
106094,CUÑUMBUQUE,1997,8,71.0,-999.0,-999.0
106094,CUÑUMBUQUE,1997,9,176.4,-999.0,-999.0
106094,CUÑUMBUQUE,1997,10,37.4,-999.0,-999.0
106094,CUÑUMBUQUE,1997,11,39.7,-999.0,-999.0
106094,CUÑUMBUQUE,1997,12,95.3,-999.0,-999.0
106094,CUÑUMBUQUE,1998,1,70.5,-999.0,-999.0
106094,CUÑUMBUQUE,1998,2,51.1,-999.0,-999.0
106094,CUÑUMBUQUE,1998,3,99.3,-999.0,-999.0
106094,CUÑUMBUQUE,1998,4,95.1,-999.0,-999.0
106094,CUÑUMBUQUE,1998,5,64.7,-999.0,-999.0
106094,CUÑUMBUQUE,1998,6,109.9,-999.0,-999.0
106094,CUÑUMBUQUE,1998,7,14.4,-999.0,-999.0
106094,CUÑUMBUQUE,1998,8,21.5,-999.0,-999.0
106094,CUÑUMBUQUE,1998,9,88.8,-999.0,-999.0
106094,CUÑUMBUQUE,1998,10,103.1,-999.0,-999.0
106094,CUÑUMBUQUE,1998,11,79.7,-999.0,-999.0
106094,CUÑUMBUQUE,1998,12,47.6,-999.0,-999.0
106094,CUÑUMBUQUE,1999,1,108.9,-999.0,-999.0
106094,CUÑUMBUQUE,1999,2,112.1,-999.0,-999.0
106094,CUÑUMBUQUE,1999,3,136.1,-999.0,-999.0
106094,CUÑUMBUQUE,1999,4,61.2,-999.0,-999.0
106094,CUÑUMBUQUE,1999,5,203.5,-999.0,-999.0
106094,CUÑUMBUQUE,1999,6,36.5,-999.0,-999.0
106094,CUÑUMBUQUE,1999,7,39.9,-999.0,-999.0
106094,CUÑUMBUQUE,1999,8,41.6,-999.0,-999.0
106094,CUÑUMBUQUE,1999,9,71.7,-999.0,-999.0
106094,CUÑUMBUQUE,1999,10,28.5,-999.0,-999.0
106094,CUÑUMBUQUE,1999,11,82.5,-999.0,-999.0
106094,CUÑUMBUQUE,1999,12,33.6,-999.0,-999.0
106094,CUÑUMBUQUE,2000,1,61.5,-999.0,-999.0
106094,CUÑUMBUQUE,2000,2,127.6,-999.0,-999.0
106094,CUÑUMBUQUE,2000,3,94.3,-999.0,-999.0
106094,CUÑUMBUQUE,2000,4,174.4,-999.0,-999.0
106094,CUÑUMBUQUE,2000,5,29.5,-999.0,-999.0
106094,CUÑUMBUQUE,2000,6,55.8,-999.0,-999.0
106094,CUÑUMBUQUE,2000,7,39.1,-999.0,-999.0
106094,CUÑUMBUQUE,2000,8,84.7,-999.0,-999.0
106094,CUÑUMBUQUE,2000,9,116.0,-999.0,-999.0
106094,CUÑUMBUQUE,2000,10,35.9,-999.0,-999.0
106094,CUÑUMBUQUE,2000,11,61.8,-999.0,-999.0
106094,CUÑUMBUQUE,2000,12,121.8,-999.0,-999.0
106094,CUÑUMBUQUE,2001,1,53.1,-999.0,-999.0
106094,CUÑUMBUQUE,2001,2,105.1,-999.0,-999.0
106094,CUÑUMBUQUE,2001,3,194.9,-999.0,-999.0
106094,CUÑUMBUQUE,2001,4,248.1,-999.0,-999.0
106094,CUÑUMBUQUE,2001,5,136.5,-999.0,-999.0
106094,CUÑUMBUQUE,2001,6,30.8,-999.0,-999.0
106094,CUÑUMBUQUE,2001,7,175.1,-999.0,-999.0
106094,CUÑUMBUQUE,2001,8,112.8,-999.0,-999.0
106094,CUÑUMBUQUE,2001,9,76.2,-999.0,-999.0
106094,CUÑUMBUQUE,2001,10,90.3,-999.0,-999.0
106094,CUÑUMBUQUE,2001,11,110.1,-999.0,-999.0
106094,CUÑUMBUQUE,2001,12,193.3,-999.0,-999.0
106094,CUÑUMBUQUE,2002,1,23.5,-999.0,-999.0
106094,CUÑUMBUQUE,2002,2,30.9,-999.0,-999.0
106094,CUÑUMBUQUE,2002,3,57.4,-999.0,-999.0
106094,CUÑUMBUQUE,2002,4,146.0,-999.0,-999.0
106094,CUÑUMBUQUE,2002,5,58.6,-999.0,-999.0
106094,CUÑUMBUQUE,2002,6,32.3,-999.0,-999.0
106094,CUÑUMBUQUE,2002,7,125.4,-999.0,-999.0
106094,CUÑUMBUQUE,2002,8,85.8,-999.0,-999.0
106094,CUÑUMBUQUE,2002,9,35.2,-999.0,-999.0
