CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
106101,CHAZUTA,1990,1,-999.0,-999.0,-999.0
106101,CHAZUTA,1990,2,-999.0,-999.0,-999.0
106101,CHAZUTA,1990,3,-999.0,-999.0,-999.0
106101,CHAZUTA,1990,4,-999.0,-999.0,-999.0
106101,CHAZUTA,1990,5,-999.0,-999.0,-999.0
106101,CHAZUTA,1990,6,-999.0,-999.0,-999.0
106101,CHAZUTA,1990,7,-999.0,-999.0,-999.0
106101,CHAZUTA,1990,8,-999.0,-999.0,-999.0
106101,CHAZUTA,1990,9,-999.0,-999.0,-999.0
106101,CHAZUTA,1990,10,-999.0,-999.0,-999.0
106101,CHAZUTA,1990,11,-999.0,-999.0,-999.0
106101,CHAZUTA,1990,12,-999.0,-999.0,-999.0
106101,CHAZUTA,1991,1,-999.0,-999.0,-999.0
106101,CHAZUTA,1991,2,-999.0,-999.0,-999.0
106101,CHAZUTA,1991,3,-999.0,-999.0,-999.0
106101,CHAZUTA,1991,4,-999.0,-999.0,-999.0
106101,CHAZUTA,1991,5,-999.0,-999.0,-999.0
106101,CHAZUTA,1991,6,-999.0,-999.0,-999.0
106101,CHAZUTA,1991,7,-999.0,-999.0,-999.0
106101,CHAZUTA,1991,8,-999.0,-999.0,-999.0
106101,CHAZUTA,1991,9,-999.0,-999.0,-999.0
106101,CHAZUTA,1991,10,-999.0,-999.0,-999.0
106101,CHAZUTA,1991,11,-999.0,-999.0,-999.0
106101,CHAZUTA,1991,12,23.2,-999.0,-999.0
106101,CHAZUTA,1992,1,111.0,-999.0,-999.0
106101,CHAZUTA,1992,2,163.5,-999.0,-999.0
106101,CHAZUTA,1992,3,346.5,-999.0,-999.0
106101,CHAZUTA,1992,4,169.0,-999.0,-999.0
106101,CHAZUTA,1992,5,58.5,-999.0,-999.0
106101,CHAZUTA,1992,6,61.0,-999.0,-999.0
106101,CHAZUTA,1992,7,36.0,-999.0,-999.0
106101,CHAZUTA,1992,8,147.0,-999.0,-999.0
106101,CHAZUTA,1992,9,131.0,-999.0,-999.0
106101,CHAZUTA,1992,10,137.0,-999.0,-999.0
106101,CHAZUTA,1992,11,175.6,-999.0,-999.0
106101,CHAZUTA,1992,12,162.0,-999.0,-999.0
106101,CHAZUTA,1993,1,203.3,-999.0,-999.0
106101,CHAZUTA,1993,2,293.0,-999.0,-999.0
106101,CHAZUTA,1993,3,285.0,-999.0,-999.0
106101,CHAZUTA,1993,4,76.5,-999.0,-999.0
106101,CHAZUTA,1993,5,125.0,-999.0,-999.0
106101,CHAZUTA,1993,6,100.5,-999.0,-999.0
106101,CHAZUTA,1993,7,80.0,-999.0,-999.0
106101,CHAZUTA,1993,8,81.5,-999.0,-999.0
106101,CHAZUTA,1993,9,75.0,-999.0,-999.0
106101,CHAZUTA,1993,10,110.0,-999.0,-999.0
106101,CHAZUTA,1993,11,222.0,-999.0,-999.0
106101,CHAZUTA,1993,12,190.0,-999.0,-999.0
106101,CHAZUTA,1994,1,150.0,-999.0,-999.0
106101,CHAZUTA,1994,2,95.0,-999.0,-999.0
106101,CHAZUTA,1994,3,151.0,-999.0,-999.0
106101,CHAZUTA,1994,4,197.0,-999.0,-999.0
