CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
106108,LAMBAYEQUE,1990,1,2.1,27.8,19.76
106108,LAMBAYEQUE,1990,2,0.1,29.96,21.38
106108,LAMBAYEQUE,1990,3,2.3,29.97,21.46
106108,LAMBAYEQUE,1990,4,0.0,28.08,19.63
106108,LAMBAYEQUE,1990,5,0.0,26.3,19.74
106108,LAMBAYEQUE,1990,6,0.0,23.79,17.28
106108,LAMBAYEQUE,1990,7,0.0,22.12,15.92
106108,LAMBAYEQUE,1990,8,0.0,21.94,-999.0
106108,LAMBAYEQUE,1990,9,0.0,22.38,15.42
106108,LAMBAYEQUE,1990,10,0.6,22.69,16.25
106108,LAMBAYEQUE,1990,11,3.2,23.68,16.8
106108,LAMBAYEQUE,1990,12,0.1,25.84,18.56
106108,LAMBAYEQUE,1991,1,0.9,27.74,19.87
106108,LAMBAYEQUE,1991,2,1.0,29.16,21.7
106108,LAMBAYEQUE,1991,3,1.7,29.94,22.68
106108,LAMBAYEQUE,1991,4,0.8,-999.0,20.74
106108,LAMBAYEQUE,1991,5,0.0,26.9,19.19
106108,LAMBAYEQUE,1991,6,0.1,24.49,18.02
106108,LAMBAYEQUE,1991,7,0.0,22.29,16.68
106108,LAMBAYEQUE,1991,8,0.0,21.36,16.52
106108,LAMBAYEQUE,1991,9,0.1,21.88,17.37
106108,LAMBAYEQUE,1991,10,0.0,23.23,18.16
106108,LAMBAYEQUE,1991,11,0.1,24.25,18.3
106108,LAMBAYEQUE,1991,12,0.2,25.91,20.95
106108,LAMBAYEQUE,1992,1,0.7,29.37,23.8
106108,LAMBAYEQUE,1992,2,0.0,30.2,-999.0
106108,LAMBAYEQUE,1992,3,23.8,30.85,25.03
106108,LAMBAYEQUE,1992,4,16.1,29.92,24.74
106108,LAMBAYEQUE,1992,5,0.0,28.2,22.24
106108,LAMBAYEQUE,1992,6,0.0,24.44,18.8
106108,LAMBAYEQUE,1992,7,0.0,22.71,16.34
106108,LAMBAYEQUE,1992,8,0.0,22.6,16.65
106108,LAMBAYEQUE,1992,9,0.0,23.08,16.64
106108,LAMBAYEQUE,1992,10,2.3,23.47,17.2
106108,LAMBAYEQUE,1992,11,0.1,24.89,18.49
106108,LAMBAYEQUE,1992,12,0.5,25.2,18.27
106108,LAMBAYEQUE,1993,1,0.0,27.2,20.37
106108,LAMBAYEQUE,1993,2,3.3,28.91,23.05
106108,LAMBAYEQUE,1993,3,6.7,29.02,22.89
106108,LAMBAYEQUE,1993,4,3.3,29.03,22.16
106108,LAMBAYEQUE,1993,5,-999.0,26.85,20.85
106108,LAMBAYEQUE,1993,6,0.0,25.22,20.17
106108,LAMBAYEQUE,1993,7,0.0,23.54,18.33
106108,LAMBAYEQUE,1993,8,0.0,23.49,17.86
106108,LAMBAYEQUE,1993,9,0.0,23.37,17.16
106108,LAMBAYEQUE,1993,10,1.5,24.23,18.11
106108,LAMBAYEQUE,1993,11,1.4,24.44,18.06
106108,LAMBAYEQUE,1993,12,0.0,25.87,19.64
106108,LAMBAYEQUE,1994,1,0.3,27.77,21.28
106108,LAMBAYEQUE,1994,2,4.7,28.89,21.92
106108,LAMBAYEQUE,1994,3,20.2,28.91,21.58
106108,LAMBAYEQUE,1994,4,13.2,27.39,20.22
106108,LAMBAYEQUE,1994,5,0.2,26.0,19.51
106108,LAMBAYEQUE,1994,6,0.0,22.81,17.64
106108,LAMBAYEQUE,1994,7,0.0,22.6,16.86
106108,LAMBAYEQUE,1994,8,0.0,21.49,16.13
106108,LAMBAYEQUE,1994,9,0.0,22.03,16.5
106108,LAMBAYEQUE,1994,10,0.0,23.27,17.25
106108,LAMBAYEQUE,1994,11,0.6,23.9,18.43
106108,LAMBAYEQUE,1994,12,1.9,25.03,20.38
106108,LAMBAYEQUE,1995,1,5.8,27.06,21.57
106108,LAMBAYEQUE,1995,2,0.0,28.88,23.56
106108,LAMBAYEQUE,1995,3,0.4,27.68,21.95
106108,LAMBAYEQUE,1995,4,0.1,26.19,-999.0
106108,LAMBAYEQUE,1995,5,0.2,24.07,-999.0
106108,LAMBAYEQUE,1995,6,0.0,24.05,18.4
106108,LAMBAYEQUE,1995,7,0.1,23.01,-999.0
106108,LAMBAYEQUE,1995,8,0.0,22.78,18.3
106108,LAMBAYEQUE,1995,9,0.1,22.97,18.14
106108,LAMBAYEQUE,1995,10,0.7,23.44,16.36
106108,LAMBAYEQUE,1995,11,0.6,25.08,16.65
106108,LAMBAYEQUE,1995,12,0.2,26.02,17.0
106108,LAMBAYEQUE,1996,1,0.0,27.87,18.5
106108,LAMBAYEQUE,1996,2,1.7,29.04,19.92
106108,LAMBAYEQUE,1996,3,6.2,28.02,20.03
106108,LAMBAYEQUE,1996,4,0.7,25.82,17.58
106108,LAMBAYEQUE,1996,5,2.5,24.13,15.8
106108,LAMBAYEQUE,1996,6,0.0,21.98,14.84
106108,LAMBAYEQUE,1996,7,0.0,21.29,14.11
106108,LAMBAYEQUE,1996,8,0.0,21.95,14.31
106108,LAMBAYEQUE,1996,9,0.0,22.3,14.6
106108,LAMBAYEQUE,1996,10,1.5,23.15,15.2
106108,LAMBAYEQUE,1996,11,0.0,23.94,14.74
106108,LAMBAYEQUE,1996,12,0.0,25.67,16.82
106108,LAMBAYEQUE,1997,1,0.3,27.81,18.08
106108,LAMBAYEQUE,1997,2,-999.0,29.66,20.24
106108,LAMBAYEQUE,1997,3,0.0,30.6,21.33
106108,LAMBAYEQUE,1997,4,-999.0,29.04,20.73
106108,LAMBAYEQUE,1997,5,0.0,29.64,20.92
106108,LAMBAYEQUE,1997,6,0.0,29.11,21.44
106108,LAMBAYEQUE,1997,7,0.0,28.23,20.14
106108,LAMBAYEQUE,1997,8,0.0,28.03,20.6
106108,LAMBAYEQUE,1997,9,0.1,28.74,20.54
106108,LAMBAYEQUE,1997,10,0.8,28.1,19.52
106108,LAMBAYEQUE,1997,11,4.4,29.06,21.36
106108,LAMBAYEQUE,1997,12,28.0,30.66,23.68
106108,LAMBAYEQUE,1998,1,42.1,32.35,24.89
106108,LAMBAYEQUE,1998,2,110.0,32.37,25.1
106108,LAMBAYEQUE,1998,3,116.2,31.4,24.53
106108,LAMBAYEQUE,1998,4,7.2,29.59,22.78
106108,LAMBAYEQUE,1998,5,2.0,28.29,21.33
106108,LAMBAYEQUE,1998,6,0.0,26.38,18.36
106108,LAMBAYEQUE,1998,7,0.0,24.81,16.66
106108,LAMBAYEQUE,1998,8,0.0,23.58,15.68
106108,LAMBAYEQUE,1998,9,0.0,24.06,15.6
106108,LAMBAYEQUE,1998,10,0.5,24.71,16.4
106108,LAMBAYEQUE,1998,11,0.2,25.09,16.51
106108,LAMBAYEQUE,1998,12,1.2,26.53,16.03
106108,LAMBAYEQUE,1999,1,2.3,27.07,18.48
106108,LAMBAYEQUE,1999,2,31.9,29.22,21.5
106108,LAMBAYEQUE,1999,3,1.2,29.42,20.17
106108,LAMBAYEQUE,1999,4,10.9,27.1,18.33
106108,LAMBAYEQUE,1999,5,1.6,24.8,16.67
106108,LAMBAYEQUE,1999,6,1.5,23.32,15.64
106108,LAMBAYEQUE,1999,7,0.4,22.4,15.0
